Feature1,Feature2,Feature3,Feature4,Feature5,Feature6,Feature7,Feature8,Feature9,Feature10,Feature11,Feature12,Feature13,Feature14,Feature15,Feature16,Class
* 
0.4502,0.7914,2.4281,0.0343,2.7221,2.0843,3.8376,3.0289,1.06,2.6721,2.4908,2.2055,3.8154,2.2616,-0.5008,0.9278,0 
0.0959,-0.1222,1.9029,3.161,1.5622,1.7165,3.902,1.523,2.1631,2.1931,3.97,2.9284,-0.9272,0.5655,3.0575,3.5999,0 
-0.2818,-0.2147,1.2865,1.5962,2.0267,1.0164,0.8571,0.4287,2.2792,2.5034,1.7645,1.6553,3.9068,1.0896,2.2147,0.2847,0 
1.1341,-0.3082,0.3967,1.9255,1.7743,3.3767,3.0156,1.7569,1.7237,4.1728,3.4656,2.5767,1.3572,2.5229,2.957,1.1168,0 
-0.9031,-0.3702,4.297,1.5783,1.6691,3.5997,1.6367,-0.0827,0.6367,1.9669,1.5976,2.0383,1.6361,3.4939,2.8501,1.301,0 
-1.0011,-0.1983,2.7544,3.6334,1.3431,3.6502,0.6097,0.1279,3.232,0.8341,2.6977,2.7103,1.2541,3.6544,-0.0647,0.641,0 
-0.5642,-0.6406,2.3407,0.5452,2.0644,2.8438,1.3948,0.7022,2.6816,1.5688,0.8601,3.8203,2.6708,1.7732,1.8909,2.7813,0 
0.3337,1.1422,3.1982,0.8255,0.9104,1.7763,3.3521,0.2767,1.3204,1.5727,2.168,3.1966,1.7995,1.3789,2.1105,2.0788,0 
1.9067,-0.8295,2.08,1.715,3.1697,0.3635,2.4683,0.7637,0.3918,3.8036,0.761,2.6117,3.5711,2.4558,2.5297,3.2307,0 
-0.1639,1.4046,1.3695,1.5878,2.0171,2.28,2.8747,1.544,2.4757,2.8233,1.8906,1.6037,3.0076,1.5919,0.3156,3.5285,0 
-2.1998,0.1425,0.4897,4.8181,1.3251,1.4639,2.4848,2.0543,0.7696,1.7683,1.6313,0.2223,2.2725,3.0291,0.3576,1.095,0 
-0.8385,-1.1969,2.8487,2.3652,1.5699,2.3075,2.1254,1.7415,3.991,0.7347,1.9702,4.0289,3.2902,1.8205,0.9185,1.1329,0 
