Feature1,Feature2,Feature3,Feature4,Feature5,Feature6,Feature7,Feature8,Feature9,Feature10,Feature11,Feature12,Feature13,Feature14,Feature15,Feature16,Class
* 
-0.8828,0.1368,0.9412,2.7893,1.9855,2.7745,1.4167,1.8547,2.5618,3.2752,2.9852,1.5961,2.8967,0.9577,2.6365,0.9881,1 
-1.4689,-0.5306,3.4066,1.6369,0.5545,2.1634,1.6474,1.2453,2.6362,1.5113,2.6385,1.557,0.1383,2.0713,0.5582,3.7121,1 
-0.2064,2.5342,1.5396,2.5472,1.3312,-0.1391,3.4249,1.562,2.1837,2.3951,2.1146,1.8135,2.2276,0.1372,1.1321,0.5244,1 
-0.6107,-0.7585,-0.1563,1.3801,1.2093,1.8827,1.1889,2.3565,2.5615,1.5481,4.1638,0.5401,3.1208,2.1157,2.929,3.4005,1 
0.1016,-0.7121,4.1806,2.1705,2.657,2.5139,2.6222,2.59,1.8166,1.536,1.8603,1.2657,2.1517,2.4028,0.7643,1.9208,1 
0.5454,-0.6239,2.3332,3.1091,2.1491,1.709,1.725,1.859,0.6157,1.4519,2.2657,2.9832,0.6858,0.8462,1.2794,4.0162,1 
1.8356,-0.9988,2.145,1.4294,1.1074,2.1143,2.9659,3.6302,3.5561,1.1974,2.6849,1.7813,-0.7047,1.9306,2.5122,2.0529,1 
1.4311,-1.4821,3.4803,2.5991,1.4846,3.4852,2.4509,1.0924,2.193,1.1279,2.4766,0.8488,3.057,2.7166,2.3817,2.2256,1 
0.0367,0.9058,3.4232,1.9982,2.9505,0.8848,1.7529,3.9479,1.3285,2.7712,2.5863,1.9212,0.6504,2.3258,1.9132,3.0544,1 
-0.6242,1.3228,2.1094,3.2566,1.3928,0.7178,1.2592,4.1459,2.3048,1.5932,2.6904,0.094,2.9472,2.1552,2.6116,3.381,1 
1.0621,-0.0491,5.3402,2.8657,1.7837,2.51,1.616,1.0646,1.3908,1.6431,1.6322,0.5785,1.7552,1.8578,2.5997,3.4723,1 
-2.1348,0.487,3.8337,1.8858,1.7641,2.8041,2.7876,2.3542,1.6862,2.6025,0.6103,2.8127,1.1842,2.9908,3.2848,2.5592,1 
0.7915,1.1091,1.6109,1.5453,0.4039,1.8676,0.0386,1.1867,3.1525,1.4107,2.52,2.7242,2.3402,1.4192,2.9331,2.6359,1 
-0.1409,-0.4232,4.1191,2.5483,0.217,3.1816,1.5216,1.7399,1.9879,1.7709,2.5196,2.2104,2.0151,1.4047,2.03,1.1885,1 
-0.7866,-0.8159,0.8774,2.9509,0.7227,2.5032,3.0871,2.2257,0.7476,1.2484,1.5827,2.9509,1.163,1.03,1.4632,2.7542,1 
3.2935,-0.5456,0.6786,4.1866,1.8699,1.9997,2.5739,3.6911,3.5209,1.3678,2.3853,2.4983,2.2578,0.4752,2.7445,2.5046,1 
0.3808,-0.1522,2.2632,2.0375,3.4813,4.5251,1.8006,2.3875,0.8055,3.8616,1.9236,1.6191,2.858,2.8266,1.3845,0.646,1 
-0.6586,0.1756,3.3077,2.9224,2.2865,3.6647,1.3807,2.3538,0.8655,1.9374,2.3298,1.336,0.318,2.6389,1.18,2.3818,1 
0.3653,1.9634,1.3236,3.027,1.3194,2.7235,2.2713,1.2507,0.9345,3.2714,1.8763,2.8698,2.0494,2.1171,1.6133,2.581,1 
-0.0948,0.3336,2.2532,2.4557,2.501,3.4285,3.2405,1.0683,3.5988,1.1361,2.3079,5.4984,2.2335,2.7549,0.0414,0.5998,1 
