Feature1,Feature2,Feature3,Feature4,Feature5,Feature6,Feature7,Feature8,Feature9,Feature10,Feature11,Feature12,Feature13,Feature14,Feature15,Feature16,Class
* 
0.3286,-0.7962,3.4031,0.4522,3.1667,3.1477,2.1301,2.4314,1.1317,2.0272,0.4813,1.1844,1.7764,-0.6311,2.0469,1.6231,1 
-0.1628,-0.7449,3.0693,1.2653,0.5324,3.794,0.3386,1.941,2.243,3.5781,3.5663,0.7565,2.5376,1.1562,2.1047,1.5182,1 
-0.6486,-0.7663,3.5652,1.2616,2.2121,2.157,1.3149,2.563,1.5663,2.742,1.9674,2.9815,2.911,1.9807,2.6871,3.1602,1 
1.1329,-0.3321,1.3239,1.8521,0.9221,2.4389,1.6968,2.422,2.1104,1.183,2.1168,3.9355,2.0868,1.8119,2.7745,2.7804,1 
-2.2508,-0.4099,1.5423,-0.3187,2.5525,1.5978,0.4525,2.4766,1.7481,1.7267,0.8417,1.3158,3.2544,1.5538,2.0638,0.4726,1 
1.0487,0.8507,3.6347,1.7488,2.7007,0.887,3.1124,3.2782,2.9904,3.1512,2.2468,1.5154,0.1441,1.9961,0.8403,3.9319,1 
0.6451,-1.1634,0.567,1.4762,1.8035,1.8747,2.6984,2.8945,1.8552,2.2432,1.191,2.061,1.7168,2.6337,0.146,1.5296,1 
0.3916,-0.4736,2.8486,2.2281,1.6199,2.7581,3.0076,3.8934,3.0237,2.873,2.2965,2.636,1.866,-0.8557,1.7478,1.2906,1 
1.161,-0.1576,3.3489,-0.3393,1.9786,3.9314,1.3142,2.9667,1.1327,2.6667,3.5429,-0.0067,0.6849,1.214,3.1171,2.1592,1 
0.4683,0.2955,2.4251,2.6941,0.9779,0.8264,1.8516,1.7451,0.5661,1.8392,1.7013,2.6005,3.1406,0.2586,0.8852,2.464,1 
-1.1618,0.2137,0.6573,2.7353,2.845,2.5875,2.2976,2.9321,3.5899,2.0365,2.9833,2.6712,2.04,2.1803,1.4454,3.0745,1 
1.0862,-0.9536,1.2012,3.4031,3.6821,1.5292,2.6478,1.117,1.7515,1.6353,2.5357,1.4055,1.9767,1.9103,2.8319,2.3012,1 
-0.0064,0.6902,2.4055,1.3952,0.6254,2.5098,1.8451,3.5758,3.0811,1.5737,1.5471,3.6118,1.9204,1.8047,0.5245,1.2708,1 
1.4127,1.7261,3.0634,1.577,2.5557,1.4652,4.1387,3.0751,1.837,2.5814,2.1882,2.4913,2.1697,0.9237,3.0508,0.5202,1 
-0.5673,0.0789,3.3958,2.4764,1.2194,1.3337,2.6159,2.8436,1.9358,1.0167,2.9482,2.7369,0.1687,2.9981,1.8498,4.151,1 
-1.4251,-0.3663,2.6022,3.3654,1.9792,2.5897,2.0808,1.1178,2.8269,3.3019,2.8991,2.5023,2.1145,2.7393,1.3159,3.094,1 
0.1156,-0.298,2.5043,1.6703,1.9822,2.9341,1.1096,2.9063,3.0427,2.067,0.4365,3.1066,1.7684,2.2982,2.7464,1.5001,1 
1.1245,-0.8035,1.9307,1.1639,1.2921,1.0118,3.1873,1.9333,1.2407,3.387,0.3466,2.3177,2.8994,2.1657,1.6341,1.9341,1 
0.5254,0.0537,1.9516,1.3459,1.5879,3.0571,3.0499,1.0135,3.7966,-0.3226,2.0608,1.6673,2.3148,3.9767,1.4898,-0.8246,1 
-0.1913,-0.2491,2.9462,1.8445,2.7862,2.7903,1.4573,1.8809,1.5514,3.1569,-0.3927,0.9111,0.218,1.7207,2.6626,1.3221,1 
-0.1211,1.017,3.6642,0.3546,1.6096,0.8201,3.3799,3.5034,2.2659,2.0902,1.1687,2.972,1.3798,0.3516,3.1917,2.4557,1 
-0.8656,0.4182,2.8606,2.3597,2.0593,1.2878,0.9222,2.5931,1.7673,2.2242,1.7365,2.8108,1.803,1.851,0.95,0.9061,1 
0.3287,-0.3239,4.1662,5.8933,2.556,2.3778,1.1626,4.0421,-0.5553,3.0575,1.7641,0.2261,2.5277,1.3463,2.8828,3.3781,1 
0.7014,-2.1126,1.2686,2.0419,3.6809,2.6013,3.1429,1.2735,2.7025,2.2365,2.4301,0.9642,1.3454,1.3413,1.2056,2.0091,1 
-0.0133,0.4204,3.4494,1.2857,1.4229,1.7356,4.6899,1.1289,2.4632,1.5359,1.8861,2.9469,2.1568,2.4724,0.6147,0.5658,1 
0.5904,-0.9051,1.4894,2.69,3.9309,1.361,2.7637,1.3203,0.4627,0.3151,3.112,2.211,1.5651,2.8474,2.4731,-0.4953,1 
-0.0284,0.8684,2.475,2.7896,2.1243,0.7961,0.9691,2.7268,1.4604,0.9142,2.203,1.6214,3.6729,0.7884,2.5181,0.9881,1 
1.3094,0.1103,1.1834,1.6865,2.4723,0.7198,1.0559,2.9269,1.694,2.4818,3.4138,0.7254,1.2876,0.3398,1.3174,1.798,1 
-0.7977,0.2112,3.4475,0.1272,3.4796,2.299,1.19,1.8865,1.4465,2.082,2.8551,1.3818,-0.4162,3.2197,1.6186,3.7455,1 
0.0747,-1.6391,3.078,2.204,0.2008,1.1377,1.1349,1.9908,2.1993,1.0204,2.4184,2.5367,1.6903,1.4425,0.4466,3.3726,1 
0.871,-1.0969,1.9945,2.9604,1.9627,2.5029,3.6026,1.6384,2.445,3.2229,2.2196,1.0007,1.4613,2.9533,2.1584,1.5401,1 
1.1944,-3.4809,2.4617,2.6042,0.8249,1.2191,1.0273,1.291,1.1796,1.3392,2.3848,1.3981,2.7519,3.4232,1.4338,2.9643,1 
0.3774,0.5272,2.1629,2.3138,1.4363,3.4542,2.0804,1.8901,2.5755,2.0507,2.5146,-0.0925,0.3287,1.5817,1.7554,0.8044,1 
-3.2929,-0.2514,2.1045,0.1637,1.6468,1.2886,1.9263,3.9754,2.2221,0.5365,1.2481,2.436,3.5697,1.873,4.1994,1.6995,1 
-0.6649,-2.8254,3.2853,2.0776,2.3357,2.3397,3.6283,0.9221,3.8091,2.75,1.3518,2.1492,1.9212,1.0416,2.9052,2.4121,1 
1.3572,-0.0634,1.4738,1.8414,1.7569,3.1624,1.1195,3.0078,0.2733,2.3412,1.7601,1.8315,1.821,1.7035,2.53,1.6414,1 
1.101,-0.7945,1.4421,1.1154,0.7728,3.5671,2.656,1.6794,3.1822,1.011,1.3884,1.2385,1.7764,1.3415,2.204,1.4037,1 
2.3512,0.4487,3.2543,0.4158,2.7585,1.2002,3.2395,1.5926,3.1512,2.1171,2.0155,2.3995,0.6482,-0.2224,0.3274,2.5032,1 
-0.6193,-0.223,3.4658,2.0528,2.205,1.1573,1.076,2.2355,1.5327,3.4808,2.9393,1.3797,1.4243,3.5989,1.7033,1.8043,1 
-0.1794,0.3564,-0.1928,1.5209,1.3664,1.9811,1.7235,1.6694,2.7469,1.2649,2.1441,0.2166,1.7742,2.3298,4.1449,0.9492,1 
-1.5002,-1.0665,1.0561,3.0726,-0.3459,1.7673,1.3976,1.7874,1.6777,3.5423,2.2909,2.7045,1.497,2.5831,1.2993,3.0833,1 
-0.2108,0.0338,1.5716,2.1657,2.1186,3.0496,1.2163,3.0498,1.601,2.5395,2.0645,1.1738,2.2519,1.9173,2.7822,2.598,1 
0.3706,0.3667,2.413,2.7317,3.188,2.0383,3.3319,3.9172,3.4671,2.444,3.2326,2.1784,2.3933,1.4901,1.3517,-0.3215,1 
0.8632,-1.2211,2.8671,1.908,2.2352,0.8313,1.8745,3.6963,2.2833,-0.159,5.0449,1.8688,2.9382,2.7547,-0.7428,1.5772,1 
0.0355,-0.8344,3.0681,4.588,0.1766,0.8365,2.8653,3.7842,1.3908,1.4935,0.593,2.1785,-0.5544,2.4613,1.5785,1.5172,1 
-2.0732,-0.2893,1.6263,0.4848,3.2549,1.6806,2.426,3.2641,1.536,1.5273,0.9569,1.0615,2.4698,2.2161,3.2387,2.3349,1 
0.3255,0.3737,4.2746,0.7998,0.2647,1.8986,2.7936,1.59,2.2554,2.0185,1.6691,2.6419,1.2085,1.5332,2.1148,2.0733,1 
0.1467,1.2697,2.8657,1.5537,2.5665,0.2644,1.8208,3.0163,1.5177,1.0627,1.9589,2.6653,2.8269,2.6624,2.3184,2.7921,1 
-1.8125,1.8339,0.4609,0.7829,1.7901,3.7278,2.2053,2.9111,2.6245,0.8733,2.6329,2.7516,2.6136,3.7322,2.3855,1.6199,1 
1.0877,-0.6854,-0.3502,2.2653,0.8199,2.6193,0.685,2.3213,-0.1901,3.4406,2.2919,2.2064,2.6709,1.629,0.5065,1.4506,1 
0.8202,-2.2727,1.8235,2.4066,2.5637,3.6757,3.0476,1.1898,1.9853,3.3487,2.3696,2.2554,3.8352,2.3803,2.3769,1.2782,1 
1.0744,-1.504,1.0962,2.4992,0.2123,1.0846,1.7583,2.2309,1.1597,2.8459,0.4316,2.0926,2.5323,0.4624,2.4954,1.475,1 
0.1408,0.1846,2.3726,2.6527,1.6098,2.0155,0.9219,0.6666,2.4626,1.9451,1.9239,2.7712,1.1037,1.562,1.3646,1.0253,1 
0.357,0.5624,2.7232,3.0211,1.8145,0.8268,1.7039,2.3752,1.5065,2.5501,3.2,1.9015,1.1774,-0.1932,2.3211,2.6301,1 
0.1612,-0.8218,1.3452,2.4999,2.5892,3.1533,2.9499,2.9758,1.9067,0.4957,1.2188,0.5752,3.0438,1.7678,0.911,2.6629,1 
-0.4376,-1.6669,3.0104,0.7823,2.0019,2.3453,0.914,2.2291,1.6596,3.9704,2.1128,0.9969,2.2291,1.1487,2.5516,2.0303,1 
1.3615,-0.4257,1.7003,2.6676,2.2116,1.7286,0.7343,1.051,2.6606,0.9611,1.568,2.4282,3.0215,3.3521,1.6895,1.627,1 
-0.2,0.1412,3.0754,0.8574,0.5975,2.8086,1.681,2.3881,2.6532,2.2035,1.6245,1.7201,2.5979,3.3417,1.8855,1.9526,1 
-0.3599,-0.2685,3.3326,2.7229,1.2272,0.7973,2.3186,1.9049,1.6847,1.9757,1.9824,2.6657,5.877,1.0005,2.3717,2.7699,1 
-1.1035,-0.7716,3.624,2.7668,2.3191,4.5019,2.4812,3.212,2.3257,3.1532,1.9199,2.3102,0.8755,2.8768,2.8895,2.7118,1 
-1.3195,1.4589,1.0206,2.796,0.787,4.228,1.5305,1.6269,2.245,2.9742,1.3496,2.6598,1.6647,1.6809,0.7082,1.9144,1 
-0.0332,1.3368,2.7168,2.0914,1.524,1.2307,1.6058,1.674,2.0611,1.3424,0.9795,1.8184,2.7895,1.7114,0.1791,3.4681,1 
1.3532,1.0322,2.9207,3.5544,2.369,0.8429,2.914,1.0085,2.792,1.1135,2.0496,2.2114,1.5901,2.6025,1.8308,1.0128,1 
0.1903,-0.8253,2.4107,1.507,3.1774,1.9233,1.4138,3.2588,2.3797,0.45,1.0859,1.1012,0.3896,1.7859,2.4841,3.3559,1 
-0.5197,-0.6592,1.403,3.1965,3.2358,0.5317,1.0313,1.4648,3.3299,0.7411,1.8716,0.9886,1.3734,2.2144,1.4443,2.0906,1 
0.9876,1.0144,1.2645,1.4942,2.6537,1.4857,1.8952,1.47,2.3939,0.4748,2.4188,0.2906,1.694,2.0973,0.9961,1.5677,1 
0.0297,-0.5442,3.4693,2.3693,2.8271,3.2743,-0.1934,0.6029,1.5382,1.22,1.3257,2.962,1.6848,3.0641,-0.1607,1.5756,1 
0.0975,-0.2194,1.5186,2.3337,1.5756,4.2102,1.2528,1.2223,2.1515,2.7513,1.8897,3.0063,1.1255,2.564,1.3111,1.6838,1 
0.3461,0.1814,2.5572,1.9344,1.4359,1.5032,3.1592,2.0976,0.3754,3.3557,3.5233,2.5818,1.0725,1.2442,1.8008,2.1192,1 
0.8777,0.4607,0.3337,3.3791,3.3061,2.6046,2.8685,0.8809,2.5619,1.9422,2.5747,0.7068,3.4478,1.1021,1.742,0.8198,1 
0.4652,0.7286,1.7785,0.582,2.3836,2.2644,2.659,1.9376,1.8738,2.7374,2.4023,2.358,1.7747,1.7865,2.8273,1.3968,1 
0.3668,0.3778,1.992,0.5565,2.6055,2.5886,2.6953,2.0905,0.0944,2.5627,3.7178,1.0425,1.8743,3.0352,1.7236,2.1962,1 
-0.097,0.1223,0.7148,1.2562,3.0926,0.1576,1.8155,3.6076,1.6214,1.1648,1.4873,0.5357,1.7521,2.715,1.731,1.4951,1 
0.0958,-0.1316,2.5066,1.9964,1.7614,2.3509,2.6451,1.9618,4.0968,3.251,0.7076,3.0812,3.6627,2.8381,1.5987,1.3484,1 
1.409,-0.4943,2.53,1.049,3.7831,2.4706,1.2389,1.752,1.2775,1.6362,2.3167,2.4561,2.0732,3.0986,1.7221,1.9407,1 
-0.8936,1.6591,1.8193,1.3992,0.8096,1.2615,1.593,2.4926,1.5979,0.7844,2.3913,1.8617,1.5084,1.6748,-0.1809,2.6105,1 
0.4945,1.2298,1.7245,3.0844,2.8939,3.489,2.9469,1.8368,0.8703,1.5824,2.4269,2.0532,2.6999,-0.8503,1.5533,1.7341,1 
0.7881,0.3705,1.5202,2.3099,1.9086,0.5334,2.3542,0.4249,2.1033,2.8737,2.9465,1.8143,1.6705,0.8352,2.6013,2.2017,1 
1.0972,-1.313,1.4269,2.6456,3.1931,1.6056,3.1023,2.3765,2.3305,4.8214,2.1395,3.4281,1.5988,0.632,0.3168,3.5742,1 
-0.9741,-0.3124,1.6716,1.7458,2.2589,2.2277,2.6625,1.3714,3.4787,2.1722,1.9552,1.778,1.4809,1.5376,2.3498,2.5732,1 
0.9397,-1.0932,2.6903,0.5375,1.9177,1.6768,3.6603,1.278,1.4614,2.6599,1.2801,1.7158,2.7659,1.8516,3.3085,0.5372,1 
-0.7499,0.222,1.7934,1.0256,1.9515,2.3668,0.9706,1.4222,2.114,1.9678,1.7916,2.5335,1.9905,2.4922,3.0289,2.3438,1 
0.3814,1.0121,1.9929,-0.5751,0.5557,2.0589,1.1089,3.6177,3.1112,1.773,2.1563,2.9705,2.1049,2.6297,1.0805,1.3338,1 
-0.3647,-0.5964,3.567,1.2984,2.7171,1.9318,2.0189,3.0164,2.4312,0.9262,1.9274,2.3443,1.392,1.557,2.9417,0.3814,1 
0.8802,-0.5463,2.1213,1.8269,2.0622,2.557,2.6816,4.0723,1.3297,2.0716,3.7955,2.3686,3.0363,2.6418,2.259,3.4705,1 
-0.3582,-0.1934,0.4696,3.1376,2.3146,3.4891,2.3573,2.5926,3.763,1.2606,2.0097,1.8391,2.2088,1.6675,2.3016,1.2651,1 
-1.0542,-0.5984,0.2806,-0.508,2.2624,1.8002,1.9734,3.7106,1.6216,2.03,2.3723,1.3799,3.1822,2.0245,2.4395,0.9772,1 
1.0376,0.3839,3.5756,2.949,2.0186,1.7167,2.5467,1.8261,2.0879,2.3863,2.1709,1.663,1.0323,0.2454,1.483,0.0156,1 
1.0736,0.6807,2.4304,3.6553,1.2652,0.9324,2.685,2.5712,-0.4729,1.5813,2.4094,1.9248,1.6866,2.1403,1.7712,1.9981,1 
2.0692,-2.9429,3.2053,2.3325,1.8014,2.2024,1.8921,1.884,2.7017,2.4092,1.9586,1.6434,2.6157,3.2018,2.0564,1.1324,1 
1.6984,-0.1088,3.4413,2.4945,1.317,2.2869,2.452,3.0596,2.0232,2.4154,1.5585,0.6241,2.0135,1.4731,2.5187,3.9529,1 
0.57,0.4206,1.5652,1.9259,2.2435,0.393,1.1086,3.5002,0.8094,2.7547,3.0593,3.2684,0.7348,1.5474,1.7723,2.237,1 
-1.4506,-0.4637,2.3965,1.9019,-0.0335,-0.0405,1.8106,0.4973,3.209,1.191,1.3878,0.2623,2.3475,2.7637,1.5023,2.9343,1 
