Feature1,Feature2,Feature3,Feature4,Feature5,Feature6,Feature7,Feature8,Feature9,Feature10,Feature11,Feature12,Feature13,Feature14,Feature15,Feature16,Class
* 
0.5482,1.2733,1.4423,1.9139,1.2732,1.477,2.5715,2.1768,1.1616,1.897,3.1587,1.788,1.7656,1.8753,1.9189,3.2903,1 
-0.0352,0.1245,0.9658,0.3557,2.679,3.2815,2.7886,1.5392,3.3906,2.8812,2.6383,1.0393,1.6223,1.4195,4.5016,2.0827,1 
1.4596,-1.3843,1.684,3.2705,0.504,1.3677,0.4174,0.7431,1.359,2.6625,2.0501,2.2331,2.4823,2.0855,1.4479,1.9828,1 
-0.9659,0.8497,2.1574,3.1015,2.6461,1.9902,2.3937,2.5319,0.5752,3.9153,3.3513,1.6417,3.9787,1.7288,1.7675,2.7038,1 
-0.2373,1.0834,0.6098,3.3098,2.2704,0.52,1.5086,3.3658,2.4845,1.7931,2.6424,0.7034,2.8265,3.282,0.6157,2.4345,1 
0.3943,0.7825,1.5786,2.7567,2.4083,2.3272,1.0944,1.0584,1.5715,1.3999,2.7543,2.8536,0.5969,0.6407,3.4627,1.6415,1 
-0.2774,0.6177,2.0147,2.9837,1.1364,1.1987,1.8433,1.1774,1.4097,2.7575,1.8668,1.3651,2.3586,2.1037,0.7483,1.8459,1 
-1.0523,-2.2024,2.6157,2.4159,3.7082,1.5352,0.1833,1.5085,1.6793,1.736,2.3349,3.0927,2.6463,3.5413,2.9669,1.2093,1 
-0.1049,-0.0852,1.8685,2.3847,0.6159,2.0886,3.2012,1.3022,2.086,1.276,2.1275,2.0513,0.706,1.6189,0.2983,3.8571,1 
2.8306,0.6439,2.6724,3.5634,1.4182,2.8105,1.7053,2.1352,2.884,1.856,2.552,1.7298,1.2309,0.1325,2.0218,1.6765,1 
0.4332,0.3234,2.8262,2.7183,0.3721,4.2031,2.4203,1.776,2.8228,2.6029,2.6125,1.5488,4.4901,1.5327,1.9808,1.9471,1 
1.5966,0.0729,1.8518,0.2289,1.571,2.2533,1.7463,1.617,2.3035,2.9145,2.6669,1.5899,2.5388,3.029,2.506,1.3173,1 
0.6194,-2.2502,2.4104,3.3898,3.0942,1.1205,3.2506,1.837,2.8048,0.6769,0.4299,1.2184,1.996,1.5636,1.5133,2.4519,1 
0.649,-0.2002,0.8243,3.6653,2.9412,0.0521,2.1172,1.8364,2.5634,3.571,0.4853,0.2124,1.397,4.2025,3.2319,1.4141,1 
-1.0676,1.8081,2.0066,2.5914,0.3488,2.627,1.9378,1.6569,2.4707,1.2517,2.559,3.6315,2.1804,1.9083,2.3536,2.3013,1 
-0.4266,0.0976,1.5811,0.6805,0.8987,2.3006,2.0531,3.0155,1.3178,2.8881,0.3216,2.3887,1.375,0.9643,3.9227,1.0753,1 
-1.3186,0.3287,0.3321,2.1765,2.5739,0.3299,1.1491,2.8698,2.2201,0.951,2.6938,2.765,2.4382,3.5706,1.8568,2.0559,1 
0.558,-0.6336,1.4778,1.3028,1.341,3.047,1.7304,0.8444,3.3098,2.2991,2.5557,2.2808,2.8851,1.4515,1.7125,2.7368,1 
0.6037,-0.2254,1.3592,0.9753,1.853,1.0468,1.4436,1.3502,0.5111,0.3763,1.1573,2.3031,2.3017,2.3901,1.7853,2.1446,1 
-1.0469,-1.5724,3.3677,1.0833,1.8656,1.8404,0.368,3.6661,0.0381,2.6415,3.1865,2.1954,0.5334,1.4018,3.1602,3.161,1 
-0.0405,-0.2271,2.248,1.52,1.8565,1.7182,1.5281,1.9859,1.4105,4.1509,1.5134,2.1329,1.721,2.4981,1.2443,1.8586,1 
0.2721,1.2595,3.5832,0.9503,3.4308,2.2954,4.1182,1.9747,-0.2069,1.7269,1.9074,3.8468,2.0754,1.4571,1.3003,1.9419,1 
