Feature1,Feature2,Feature3,Feature4,Feature5,Feature6,Feature7,Feature8,Feature9,Feature10,Feature11,Feature12,Feature13,Feature14,Feature15,Feature16,Class
* 
5.5341,0.7788,1.7392,3.5714,1.422,2.5627,1.4476,1.4015,1.7621,2.8726,1.8514,1.8065,1.9278,1.6867,1.2369,0.9563,1 
4.4748,1.335,2.1106,1.4938,1.7017,0.3122,2.3556,3.3339,1.1963,1.5942,0.909,3.7499,1.6961,3.5692,1.8334,2.6025,1 
5.098,0.41,1.6754,1.4658,3.2517,0.3499,1.166,2.8484,2.7012,1.4227,1.0795,0.4359,2.2024,2.2666,1.5459,1.4084,1 
2.8824,-1.3054,1.6266,0.5938,1.2301,1.3416,1.1944,1.6503,1.525,2.9084,1.5486,1.8346,1.4734,2.5775,1.1428,2.3175,1 
3.4437,-0.3144,1.1475,3.1493,2.8227,2.875,1.6865,2.3568,2.698,0.6226,1.6239,2.4106,2.6066,2.395,2.4481,2.7449,1 
6.5454,-0.0688,3.3075,2.4165,1.9011,1.6366,2.6368,2.0644,2.3676,2.0926,3.2304,1.6609,1.1661,2.5017,1.6016,2.1788,1 
5.9676,-0.9597,0.1293,0.8443,0.3184,0.4573,2.2216,0.753,2.8449,-0.0044,2.0853,2.0147,1.2701,0.2908,2.1821,3.5431,1 
6.3146,-1.2433,2.3969,2.2639,0.5813,1.0974,1.9663,2.157,2.9103,0.9838,0.2909,2.1318,2.2253,1.1868,0.777,3.1716,1 
4.7149,-1.9742,1.8679,2.129,2.1583,1.4595,1.3393,2.0348,2.6356,2.0199,2.1017,2.0029,-0.1636,3.1344,1.2419,3.6558,1 
4.4751,0.2067,1.8368,2.8563,2.1032,1.2617,2.6992,2.5348,2.6027,0.9172,2.3337,1.5652,2.6554,1.387,0.8781,2.0999,1 
4.7357,1.8653,0.6876,3.3104,4.2119,1.2437,1.6572,3.3606,3.3767,0.621,0.6843,2.8527,3.404,2.3826,2.6824,1.4722,1 
5.6091,-0.1315,1.6248,1.5893,1.7908,2.9511,2.6246,0.9674,2.3592,1.7584,1.5331,2.9207,4.4723,3.3262,1.893,1.7743,1 
3.0342,-1.2421,1.166,1.9983,3.2797,2.8023,1.5529,2.3872,2.0137,-0.5019,1.9981,3.0972,3.8417,1.3575,0.7221,2.44,1 
5.0862,0.6533,1.6761,1.3326,1.2188,1.3953,3.1668,1.7962,0.3448,0.259,1.1545,1.7772,1.4937,3.4738,2.4727,3.6622,1 
5.2329,1.0738,1.2381,3.5699,0.7304,1.8437,0.8168,3.3599,-0.1941,0.5014,2.9333,0.3815,2.4405,2.5267,2.0167,1.8829,1 
5.2135,1.1192,0.3139,3.5216,2.2767,3.6354,1.5471,2.8835,1.9932,1.4544,2.9979,1.3187,3.5397,1.8342,2.2124,3.0269,1 
6.0369,-1.5662,3.3421,1.4213,3.1154,3.4334,2.3768,2.615,0.4869,0.5592,1.9821,0.4847,2.5946,2.1473,1.7192,0.8931,1 
4.4355,-0.8671,-0.0633,2.4134,1.7333,2.4927,1.4043,0.0244,1.7284,1.7493,1.4038,1.3781,1.2436,2.3522,0.2431,0.8019,1 
6.0766,-1.4407,2.5217,1.6719,4.3992,2.7842,1.9194,2.9613,-0.0115,1.2832,2.983,2.2344,2.027,2.4311,1.4815,1.545,1 
5.2541,-0.4421,1.0091,2.918,1.9441,0.4752,3.1065,-0.0398,2.5408,1.7057,2.7115,2.0091,1.4894,2.4854,2.6964,2.05,1 
