Feature1,Feature2,Feature3,Feature4,Feature5,Feature6,Feature7,Feature8,Feature9,Feature10,Feature11,Feature12,Feature13,Feature14,Feature15,Feature16,Class
* 
2.1482,10.3535,0.9128,2.2471,1.8432,2.4371,1.1538,4.1665,2.3343,1.6221,2.5964,4.0534,1.96,1.4232,1.9391,2.9978,1 
3.775,8.6621,2.7983,0.2371,1.7353,1.943,0.0655,0.5047,2.0455,4.3269,2.471,1.0465,1.8285,1.8105,1.9179,1.9446,1 
3.3352,9.7347,3.5786,3.1117,1.9769,2.7835,0.8795,2.4917,1.6565,0.3952,1.9683,2.4636,3.357,1.5611,0.7345,1.4191,1 
0.8933,9.0054,2.4466,1.3518,1.377,3.0724,1.4426,0.9527,1.3727,1.8721,3.189,2.1453,1.463,2.673,-0.2082,2.221,1 
2.7249,10.4791,1.0965,1.7809,2.516,3.4966,2.8871,2.2056,0.9324,2.2669,1.3766,2.1878,2.8653,2.2576,2.5247,2.3161,1 
0.8587,11.3415,1.008,3.0033,1.1514,2.5583,3.0086,1.1073,2.0467,3.0343,2.825,1.0816,0.4401,0.872,2.6206,1.8733,1 
2.1134,9.3743,1.5183,3.1869,0.991,2.7964,1.3326,3.91,3.3176,1.1207,2.0062,-0.0046,3.4329,1.4122,3.2551,2.0893,1 
2.3514,11.0266,3.0282,0.6807,0.9449,1.8947,1.9279,0.7462,3.0645,1.6667,3.9484,2.2543,2.4337,1.7155,2.3064,0.2344,1 
1.8354,10.66,2.6363,0.4927,2.5636,1.5235,-0.0341,0.5288,1.739,3.6215,0.843,0.8371,1.5323,0.6351,2.3652,3.7742,1 
2.8272,8.9666,2.1171,2.3367,-0.5136,0.9173,2.2231,-0.4097,2.3123,2.3199,2.0178,1.8362,2.5477,2.8394,1.1726,1.5101,1 
4.0646,9.398,3.0064,-0.4916,1.3419,2.0769,0.8673,1.2902,2.9428,2.8563,1.684,2.4133,1.7638,0.9293,1.5045,2.624,1 
3.4782,8.1957,0.2731,1.9208,1.8791,0.4642,4.1579,2.4316,1.8132,2.5759,2.4135,2.9743,0.7324,1.9005,1.3918,2.278,1 
1.1334,10.1527,2.1323,0.9396,3.2705,2.4633,2.152,3.1524,0.4744,3.1656,0.3091,1.9126,2.2521,1.6156,1.3859,2.6819,1 
0.5076,10.3959,1.1891,1.7524,2.0954,2.5408,1.6033,1.0689,2.3679,2.4335,1.0772,1.6886,0.5011,1.5264,0.0126,2.6145,1 
2.6281,10.3539,-0.1951,2.3952,3.5859,1.3611,0.9238,1.0965,0.8029,2.3352,2.649,-0.0587,2.7756,1.6667,3.2425,0.0468,1 
1.675,9.3619,3.0018,1.129,1.5562,3.2228,2.671,-0.6479,0.8431,1.3476,2.6271,3.0872,3.2878,3.2173,1.1161,0.8965,1 
1.5025,11.0354,1.9242,2.1094,2.916,3.5126,2.123,3.6881,3.1235,3.4851,1.6477,1.6872,0.8853,2.806,1.061,1.6943,1 
1.0523,10.1417,2.7207,2.591,1.2176,1.3259,0.4377,1.9345,4.642,2.9011,1.3409,2.7525,3.3314,3.3351,0.5536,2.3148,1 
2.3746,9.1847,1.2434,2.2788,2.8684,2.5198,2.8752,2.7208,1.7099,2.0433,0.675,2.893,1.7068,2.8527,2.0422,2.4082,1 
2.8047,9.3567,2.8849,3.3686,3.3866,2.8061,1.3026,2.3549,1.5958,1.8559,0.7908,2.4577,2.4462,3.9225,1.1924,3.6296,1 
2.0659,10.6556,3.9282,0.2788,0.8624,2.2001,1.6705,1.0065,3.3575,0.7753,1.4939,1.9488,3.4766,2.4178,2.1302,2.3275,1 
1.1094,8.4459,3.3616,2.7242,2.0576,2.3758,1.552,-0.6741,1.2458,2.7077,0.7751,2.1131,3.4878,3.393,1.5135,0.64,1 
0.8234,6.4912,0.0052,4.2211,0.6131,1.0784,2.0834,1.3686,2.5671,2.1919,1.9936,-0.5487,2.1098,1.8638,1.9885,3.4814,1 
2.2962,9.5147,-0.2034,0.0124,1.9709,3.3286,2.4332,2.0075,2.1548,1.9139,1.084,1.4087,2.3146,1.1564,2.2953,1.7164,1 
1.4578,9.287,1.0578,2.4093,1.3405,4.066,2.1778,1.3874,2.0854,2.3413,2.453,2.9298,2.0022,1.7276,1.7441,1.8918,1 
-0.2456,8.2624,1.3578,2.4558,3.1441,1.9092,2.8762,0.0177,1.7558,-0.6477,2.576,1.6079,1.4746,3.8042,2.6779,1.6551,1 
1.0599,10.9649,2.1785,0.7006,3.6812,3.0118,2.4687,2.2183,2.8069,0.4965,1.7981,2.9115,1.7083,1.2689,2.4065,1.4529,1 
2.5486,10.6071,1.7886,0.6023,1.2236,2.1061,2.4295,2.3329,-0.2209,1.813,1.4601,2.2329,1.0088,1.6696,2.16,1.7289,1 
3.5577,10.135,4.2795,2.1762,1.6209,2.8923,2.5024,1.958,2.3228,1.0229,0.995,3.9902,1.1802,2.3421,1.638,3.9708,1 
1.8078,9.4968,0.0532,0.7574,1.7958,0.8933,1.4043,3.3042,0.225,0.8783,-0.288,0.7136,3.0958,4.287,1.7575,2.5602,1 
1.6578,9.4558,3.1464,4.6463,4.0217,2.7161,2.2072,1.5825,2.8001,2.1198,0.5278,1.0676,3.5637,0.5126,1.9775,2.5511,1 
2.8996,9.5028,2.9351,0.8784,2.5186,2.6441,2.8503,3.754,2.4165,3.3713,1.0824,3.4744,4.2498,1.9299,1.4043,3.2779,1 
2.4289,10.0007,2.2292,2.7413,-0.0642,2.1074,1.4853,3.4796,3.0281,2.2065,2.4888,1.1315,0.9731,-0.0065,3.0724,0.6956,1 
2.9408,9.3779,3.126,1.8211,1.0504,0.227,3.3622,1.2429,2.6491,-0.3667,2.738,3.4331,1.3329,1.67,1.4931,1.7414,1 
0.2997,9.8965,1.4256,1.6794,2.2304,1.8582,3.2843,2.3396,1.2407,1.5797,1.8113,0.5967,2.1351,0.9987,3.3044,3.414,1 
2.0587,12.0922,1.9168,2.9494,1.4304,0.8836,2.498,3.3558,1.3721,3.1288,2.4785,1.3766,2.6111,2.0518,1.6477,0.7926,1 
1.9009,12.5053,2.8756,2.9965,1.6458,1.0077,2.5452,2.0768,2.3041,4.7466,3.1876,1.0095,2.946,2.2722,0.5459,2.4012,1 
1.6233,9.8613,1.6033,2.1598,1.5055,2.3812,1.7605,1.8581,1.5159,1.2478,2.0051,0.7225,3.2434,-0.1107,0.8107,2.2967,1 
2.8991,9.7503,1.9457,2.2952,1.3732,1.7776,1.4557,2.0214,3.2915,-0.2583,2.6504,2.3435,2.4725,3.5476,1.5667,2.0807,1 
2.7157,9.8432,2.5336,3.6765,1.4118,2.4,2.6981,2.4391,1.1222,2.0485,0.3851,0.7897,0.5997,2.9003,1.1743,2.4162,1 
2.8692,9.2176,2.7797,0.9801,3.1155,1.4149,0.2982,3.3854,2.7412,0.7237,1.8865,1.2106,2.1861,1.0776,0.7481,0.81,1 
1.0841,11.1464,0.4499,1.5716,1.5585,1.475,3.3606,0.823,3.4424,1.8723,2.9721,1.6632,-0.0783,2.0663,0.9324,1.0577,1 
3.5009,9.865,4.101,2.3005,1.8209,0.993,1.4856,1.7285,2.5452,4.0165,1.4635,2.491,1.7803,0.837,-0.311,1.0991,1 
1.6373,10.3413,2.0033,2.1254,2.6137,1.2558,0.6858,0.8288,3.9199,2.2733,1.3835,-0.2124,2.4488,2.5706,1.2597,2.6342,1 
2.6065,8.8178,1.7249,1.2296,1.6806,2.1098,2.3839,1.9014,4.1412,2.6141,0.8904,2.8438,2.6654,1.9008,0.5805,3.4584,1 
1.6748,10.1438,-0.2184,0.9224,2.6662,2.4929,1.3615,2.4228,1.4114,2.012,1.6222,1.8024,2.0426,0.2824,2.6203,2.6351,1 
-0.6365,11.1959,1.7821,0.8488,3.5499,1.68,1.8663,0.1624,2.3172,1.3301,1.4342,2.61,3.2661,0.1101,2.4512,3.1336,1 
3.0413,8.0343,1.8752,2.2487,1.8983,1.4821,0.9573,0.2518,2.6199,1.3261,0.7179,1.3513,1.0653,1.1011,2.2032,1.7356,1 
1.5321,9.8575,1.6268,1.1654,0.9956,0.6371,1.5222,-0.5431,3.2946,2.1811,2.8766,1.4548,1.3873,0.1677,0.2815,0.6026,1 
0.4628,11.3812,1.4691,1.5732,1.7881,2.2408,1.6318,1.675,2.1571,3.0167,1.0212,2.4471,2.1063,2.1131,2.4625,2.8347,1 
2.5639,10.2568,1.5537,1.7109,1.7154,2.6496,1.8067,2.3222,1.766,1.9096,3.1212,1.0211,3.7062,1.7365,1.2325,1.1355,1 
1.4974,11.0152,1.5327,2.6783,1.3272,3.1499,2.8105,1.4892,1.1447,1.4068,0.4127,2.0609,2.0124,1.8144,2.9778,3.1527,1 
1.9044,8.7435,1.476,2.9799,2.2046,3.1454,4.9486,1.8076,1.9355,1.8873,0.9171,1.7719,3.0076,2.0772,1.1986,0.6918,1 
2.0865,7.367,2.7768,0.3632,0.421,3.1797,2.1837,2.3043,2.4842,0.5566,1.588,1.0765,2.9616,1.1711,3.2717,1.7549,1 
2.7121,10.621,1.4394,2.3349,1.6248,2.2685,1.6224,4.3875,2.4962,2.5764,1.8439,0.9751,0.3628,1.4446,2.2862,3.1149,1 
2.1595,10.4543,3.733,3.1915,1.5336,0.5647,1.1794,2.1282,2.3578,1.7716,2.361,2.6578,2.9954,1.4101,2.4782,0.756,1 
0.2784,8.3736,2.0208,1.9842,2.3364,2.3116,1.3927,4.2719,1.4671,0.9018,2.2173,2.7194,3.3524,1.8066,2.0733,1.2637,1 
2.2044,11.1901,4.3373,1.0013,0.5878,1.4079,1.5427,1.6895,3.4091,1.5427,2.0245,2.3007,2.0245,1.5022,2.6429,2.0092,1 
3.2204,11.0821,-0.0113,2.0967,1.1613,0.2543,3.5275,1.7942,2.4749,3.4974,1.9856,2.1908,0.6655,0.9201,1.7606,0.7341,1 
1.8425,9.5864,1.9162,3.1649,2.0322,2.2503,1.1804,2.2569,1.5166,4.6515,4.8402,2.6605,3.3567,2.5061,2.3676,1.0122,1 
3.3697,9.6436,1.8032,3.1341,3.6041,1.8464,0.7326,3.264,0.2275,2.01,1.647,0.8607,2.7828,2.5224,1.6305,4.0769,1 
2.2736,9.0611,3.9458,0.1487,1.037,2.4895,2.6316,2.6664,2.8161,2.4394,2.9796,2.3191,3.823,1.1853,2.7946,3.0681,1 
