Feature1,Feature2,Feature3,Feature4,Feature5,Feature6,Feature7,Feature8,Feature9,Feature10,Feature11,Feature12,Feature13,Feature14,Feature15,Feature16,Class
* 
2.851,10.1778,1.147,1.5561,1.7971,3.1005,-1.0351,1.5854,0.6569,1.2268,0.3248,2.8053,1.5051,1.4961,1.4038,2.3745,1 
2.4132,9.8164,2.652,3.0747,0.7148,0.7388,5.0898,0.762,1.4579,2.5211,1.2154,0.6342,1.9117,2.3082,0.583,1.9244,1 
2.6981,9.3745,1.2872,1.0047,1.8136,-0.6677,1.6698,1.7085,1.8558,1.042,4.2693,2.6636,2.8991,1.6342,2.4627,2.0799,1 
1.6551,10.9642,2.971,1.2036,2.7851,2.3066,3.1068,2.6687,2.7469,1.7893,1.9588,1.5863,1.2397,1.0045,0.7513,1.524,1 
1.6917,9.4387,2.1013,1.1896,2.0045,4.1509,2.0217,1.7368,2.7728,3.0624,2.3819,1.7116,2.1288,2.4134,2.7822,2.2068,1 
2.8877,10.2152,-0.1986,1.8404,1.2846,2.5855,2.5829,1.6486,3.652,0.4154,0.1876,2.9679,2.6056,2.773,-0.6686,3.8535,1 
2.2375,9.1538,1.7334,1.456,2.7172,3.0462,1.3206,0.8922,2.521,1.3358,0.69,2.1017,4.1663,1.179,0.1718,1.7387,1 
1.2061,10.4801,1.0597,2.4537,0.3118,2.7827,0.8425,2.9612,2.1343,4.2193,1.7508,2.3566,3.9429,0.7002,2.9666,1.9724,1 
3.0617,9.6048,1.8058,2.0622,3.0799,1.4878,2.1907,1.6542,4.2651,3.679,0.3139,1.7877,1.707,-0.2396,1.2946,1.9614,1 
3.8266,9.711,2.4592,0.6884,1.7472,2.6426,2.2206,1.3145,1.5941,1.5116,1.8522,4.8601,3.9046,1.7764,1.0899,3.5521,1 
1.8408,10.3831,1.7344,1.0236,3.4662,2.4788,1.0919,2.0213,1.7262,1.5234,1.5342,1.8145,1.0669,0.6847,3.1477,0.6572,1 
3.5285,10.7547,0.7407,2.3202,3.3402,0.0945,4.5897,3.3278,2.5546,3.1596,2.4994,1.5449,1.9986,0.7386,2.2309,1.9864,1 
2.2561,9.6125,1.4607,1.1654,2.1496,1.2399,3.68,1.3371,1.0039,3.4046,2.8386,2.5007,3.3698,1.8372,3.2371,2.0901,1 
3.1494,8.2041,1.8935,0.9502,0.511,1.0462,1.6148,2.2442,2.8447,1.2554,2.0386,0.5488,3.0487,0.4725,2.3123,1.2214,1 
2.2095,10.7225,2.7834,0.7775,1.9624,0.9328,2.0965,1.3543,2.1562,1.2325,2.4077,1.3061,1.9128,3.4334,1.4631,2.0769,1 
2.2101,9.4702,1.8844,1.3633,2.0479,3.5783,1.9801,2.3254,2.4423,2.0417,1.1594,2.2307,1.3212,1.3647,3.2686,2.2006,1 
2.5633,9.345,0.8383,1.0901,3.0738,3.366,1.188,1.4962,3.3183,2.0503,3.8604,1.8463,0.8927,2.6076,2.4915,2.5948,1 
1.8602,10.3739,3.3456,2.8492,2.5508,1.3601,2.0561,0.5536,2.5465,3.6897,1.6355,0.5659,1.0404,1.707,2.7679,1.9192,1 
0.2775,9.4063,2.6241,2.4437,1.1652,2.0532,2.5893,1.5245,1.6934,2.4516,0.8455,0.1172,0.9244,2.885,2.7553,3.964,1 
0.8873,10.3967,0.983,2.4003,2.1741,0.8022,1.29,1.5818,0.748,0.9781,1.7107,2.1266,3.5809,0.8636,2.3209,2.0022,1 
2.2127,10.7028,1.3933,0.7831,1.8548,1.6163,3.0238,1.5324,3.4397,1.4937,-0.694,1.7533,1.9128,-1.332,1.0999,1.611,1 
1.8786,8.586,3.3067,2.0165,2.5506,2.6681,3.2569,4.0399,4.6496,1.1673,2.0101,3.0215,0.1479,1.1285,3.2038,1.5459,1 
0.1283,9.444,2.4336,1.0706,2.7575,1.4259,1.0806,1.9518,2.4163,3.5458,3.0637,2.0569,0.9774,0.9027,1.0003,0.7086,1 
1.0247,9.4425,2.31,2.9188,3.1642,-0.2148,2.8955,2.2368,0.4749,2.995,1.513,3.0242,2.7976,-1.2914,3.1793,2.4647,1 
2.5161,9.4785,2.6447,2.5534,3.1258,1.3808,0.8654,2.9371,0.8197,3.226,2.0274,1.6348,1.777,3.2176,1.0161,2.478,1 
2.5373,8.4429,2.2315,3.5619,1.238,1.3522,1.4231,1.8214,2.6396,2.0497,2.1223,2.4358,2.7448,2.9798,1.9045,1.3947,1 
3.4825,11.1868,3.8273,1.8454,3.5827,2.1651,3.5663,1.2104,2.717,2.1393,1.1044,-0.4958,1.6697,0.7017,2.0943,2.5014,1 
4.0979,8.7434,0.9113,2.3169,1.4642,2.5802,1.9572,2.2178,2.8228,0.8122,3.1938,3.8326,3.6853,3.6939,1.3684,2.2505,1 
2.4599,10.1971,2.4913,1.0314,3.6694,1.7943,2.5287,4.1094,2.4461,1.4649,0.9115,3.2386,1.9094,1.1439,0.1563,1.1982,1 
-0.2385,9.9903,2.9928,1.6783,4.166,2.6991,1.486,1.2198,0.9625,3.1228,2.4628,1.6949,3.0728,1.5325,0.0261,2.2187,1 
1.8251,9.1177,2.4317,2.9147,1.433,2.8607,1.7295,2.4033,1.182,1.6174,2.085,1.14,1.2049,3.2235,0.7692,-0.3054,1 
2.446,10.2736,1.8474,1.1579,0.8994,0.9748,1.4496,3.1859,2.387,2.7935,3.4961,1.6586,-0.1232,3.6062,1.7647,2.1412,1 
1.3808,9.1229,0.6278,3.1069,1.7211,-0.1031,2.4013,3.6182,-0.195,2.3188,1.8179,2.7357,1.4305,2.7069,1.1979,2.7649,1 
1.5291,10.0679,2.3546,2.3307,1.7447,1.7359,2.4671,3.8598,2.6336,1.1422,0.5537,0.5766,0.679,2.6922,2.7056,3.1158,1 
1.5517,11.2024,3.0337,2.2369,1.2607,2.7904,2.1691,3.8449,2.6855,3.0122,2.7132,2.7309,2.1616,2.0771,0.9165,2.0233,1 
2.766,9.8779,1.5957,3.7344,3.1851,2.9038,0.6978,1.4552,1.7515,2.4457,4.2905,2.2921,2.3906,2.1543,2.124,1.1645,1 
2.0623,10.7264,1.7362,1.7089,4.2399,0.9248,1.8021,1.6041,3.2699,1.1518,2.3805,1.6458,3.5797,2.8311,2.7882,1.5259,1 
