Feature1,Feature2,Feature3,Feature4,Feature5,Feature6,Feature7,Feature8,Feature9,Feature10,Feature11,Feature12,Feature13,Feature14,Feature15,Feature16,Feature17,Class
* 
1.0622,-0.0128,2.6827,4.1026,2.0701,-0.0099,2.2473,2.3461,2.5951,2.2661,2.7789,3.5904,2.387,2.3141,2.9086,1.6203,1.317,0 
0.1461,-0.8648,0.8907,1.2354,2.8879,1.3443,0.4656,4.2456,2.1441,2.7372,0.7572,2.569,2.1048,2.5832,0.7913,2.7126,1.8397,0 
-0.8506,-0.8091,2.5038,2.651,1.3708,3.7255,1.516,3.2213,2.8134,0.5607,1.6913,0.6319,2.8837,1.78,2.7656,2.2044,2.7289,0 
-0.3386,0.5605,3.5822,2.4449,2.4503,1.8208,2.2073,1.3774,3.308,3.3813,0.0361,2.067,2.2905,2.1859,3.196,2.3866,3.4371,0 
-2.6286,-1.3857,2.1356,2.4542,0.563,2.0422,4.0447,1.6598,2.676,2.8758,2.5147,-0.95,1.5962,0.3549,-0.3735,3.1391,3.0029,0 
-0.5352,-1.5439,2.8969,1.4284,0.9688,3.3663,2.1014,0.3023,1.6163,0.861,1.6858,0.8891,3.7091,1.8018,0.8351,4.0752,3.6971,0 
0.3717,-0.3122,2.1821,0.3266,2.7315,2.1158,1.2545,-0.1317,0.2729,3.2404,2.5915,1.5214,1.1408,1.084,4.4591,2.6219,2.5941,0 
0.1175,1.646,1.0589,1.5413,2.0797,0.5822,2.6283,2.0044,1.6751,0.6972,0.9875,1.4332,2.999,1.7391,1.9302,2.1032,2.4486,0 
0.8272,1.2422,0.1348,2.7755,1.7457,0.5785,3.5588,0.609,1.0851,1.1298,0.7725,2.7991,-0.5161,2.3266,2.3611,1.4345,3.7033,0 
-0.0557,-0.0317,1.4484,1.6609,2.235,0.9326,3.6699,0.8797,2.8706,1.8259,0.4923,2.0036,2.0119,1.9258,2.1698,0.7993,2.8478,0 
0.1362,-1.069,1.0858,2.2093,2.4748,2.0242,3.7473,1.5639,1.1335,2.5041,2.8529,1.5285,1.1286,2.1154,0.5876,1.7439,0.4679,0 
-0.3621,1.4799,1.8233,2.9445,0.5776,1.824,1.8625,3.2596,1.9619,3.7118,2.4339,3.058,1.4854,2.4191,3.5128,3.6091,0.4522,0 
0.5837,0.81,2.4911,2.6322,2.7032,1.7788,0.031,1.8113,2.6893,2.325,2.5156,1.8332,2.8015,3.4789,0.7277,0.7548,3.1389,0 
-0.5103,0.321,1.7626,2.3925,2.6458,3.8064,2.1031,2.6075,0.7262,1.7604,3.2984,3.7627,2.4016,0.9961,2.6957,2.7149,3.6301,0 
-1.4076,0.0676,5.0803,-0.0509,1.7257,1.4366,1.4409,3.5964,2.3024,2.025,2.2252,2.9318,0.7529,1.1809,3.8032,1.9371,2.2254,0 
-1.5439,1.8784,1.5259,4.002,3.5539,2.7478,3.3595,0.9431,1.5,0.8372,1.9033,0.1195,2.7764,2.3135,2.8465,-0.4867,1.5017,0 
-0.0511,-0.3132,2.9539,2.3955,2.4158,2.7346,0.3051,2.5098,0.9389,1.6292,0.9019,1.092,2.5704,1.1291,3.1438,2.3902,0.1695,0 
0.5896,1.3666,0.8757,-0.5018,1.7722,0.7799,2.1901,2.9408,2.7386,1.7638,2.5263,1.6752,3.8401,3.7476,2.6128,3.4938,3.849,0 
0.1493,-0.3698,2.1602,1.9043,1.8558,2.1069,1.3674,0.1152,1.965,3.2742,0.184,1.1874,0.0865,1.4026,2.1692,1.597,2.2307,0 
-0.891,-1.4843,2.6596,2.0597,1.711,2.6801,3.718,3.141,0.0875,2.036,3.7428,1.0242,1.891,3.4398,1.6518,1.6872,1.5074,0 
0.0796,-0.4046,1.562,2.3591,3.0185,-0.1023,1.8668,1.2915,2.8669,0.6512,2.2254,2.1191,1.0673,1.1637,0.9092,0.7913,1.5133,0 
-1.6348,2.6234,1.9927,1.5272,2.898,2.8412,2.0792,0.825,2.4804,1.2294,3.2645,3.2944,2.5665,2.8194,1.3803,2.9044,1.5747,0 
-0.961,1.648,1.5251,2.3663,1.8727,1.1102,3.3712,1.1734,3.4043,2.5085,0.6086,1.4115,0.6925,1.4917,3.2673,0.2776,4.2964,0 
-1.0043,-1.8312,1.8682,2.0643,2.0148,2.2654,3.4019,1.5994,1.5846,1.6675,2.1522,-0.1933,1.4226,1.3836,2.4384,2.7295,3.0409,0 
1.3969,1.9408,2.6578,1.6064,2.0038,0.4901,2.9371,2.5878,2.7759,0.3384,2.5127,1.2313,2.7575,2.356,0.8089,2.4353,1.1392,0 
2.7281,1.2635,1.3285,0.8939,2.6872,0.3533,1.269,2.4082,2.4166,1.5022,0.9227,-0.0696,3.3616,2.6443,0.6055,1.4712,1.1185,0 
1.004,-1.1866,3.6762,2.8751,3.1096,1.8584,3.4683,2.1341,1.6739,1.8093,3.5691,1.7738,3.7389,1.5673,2.9295,1.0641,-0.3351,0 
-0.7064,-2.4171,2.3295,1.8605,1.6838,1.4702,2.8906,1.5362,1.8524,3.9389,1.6207,2.3502,1.7356,0.5552,2.7072,0.0775,3.2896,0 
-1.0282,0.6993,1.9362,2.1878,1.7129,3.7148,4.3093,2.0192,2.2166,1.7294,0.3891,2.273,1.1312,2.0956,2.592,2.2662,0.5626,0 
-0.7609,-1.8908,2.9819,3.2895,2.0865,1.8366,1.7861,1.9197,2.0495,1.064,0.989,3.3478,3.1044,3.9394,1.4466,1.3625,2.5082,0 
-0.0794,-1.0382,3.1004,2.4699,3.46,3.1316,1.8577,3.4766,4.0429,0.719,1.9629,2.5836,1.9569,2.4029,1.2393,0.4995,1.8594,0 
