Feature1,Feature2,Feature3,Feature4,Feature5,Feature6,Feature7,Feature8,Feature9,Feature10,Feature11,Feature12,Feature13,Feature14,Feature15,Feature16,Feature17,Class
* 
0.7324,2.5063,2.9735,-0.6196,3.2526,0.1327,1.4719,1.9553,1.0305,2.4166,2.3015,2.7797,2.5553,3.4513,2.5716,2.8094,2.1071,1 
1.5844,-0.3813,0.4096,3.6303,2.8329,2.5076,5.0124,3.0684,2.6672,2.5074,1.996,3.646,1.059,4.3449,2.5119,-0.0719,1.2198,1 
0.1804,1.5953,1.5386,1.5481,1.9829,3.0078,1.9548,1.8741,2.2113,2.5422,1.3912,0.4367,1.8391,2.2063,1.9795,1.895,1.2323,1 
-2.2446,-0.3511,1.739,1.8117,0.4903,1.9281,0.8215,1.3056,1.9256,1.6535,1.5068,1.1136,1.5823,2.2777,2.6997,3.4123,2.2435,1 
0.475,0.2266,2.1019,1.1728,2.5482,1.3112,3.5361,2.1357,2.527,3.0902,2.6732,3.1099,1.8391,1.9864,0.5941,2.5155,3.1179,1 
0.6499,-0.4727,3.2713,0.6717,1.5201,2.9434,1.7041,1.9103,0.2775,2.2023,2.5749,1.3059,0.5262,0.6979,1.1445,3.0234,3.3567,1 
-0.2718,1.5301,1.7592,3.8033,1.1739,0.985,0.0656,1.764,2.0725,2.5713,2.3427,3.3771,0.2194,-0.2315,0.1182,0.7606,2.7808,1 
-1.2279,-0.8009,0.8978,0.4979,0.3488,2.9341,1.6254,1.1883,2.2694,2.4772,1.7501,0.5848,3.1485,2.0021,2.0602,0.8728,3.0902,1 
-0.4442,-0.0126,1.8824,3.9972,1.0378,4.5151,1.9932,0.2194,2.7749,1.8193,2.8579,1.1711,2.1132,2.86,1.1673,2.2707,2.0053,1 
1.3795,-0.4474,1.1021,2.2334,-0.7429,3.395,0.6411,3.1748,2.4937,1.1229,3.4812,2.4252,2.972,4.0685,0.0768,1.8183,1.7913,1 
-0.0263,-0.5007,3.2118,1.7066,1.7244,0.1578,-0.0907,1.8199,1.9866,0.9871,1.4367,2.861,0.7288,1.2051,1.387,0.5721,2.3562,1 
-0.2731,0.2931,2.0144,0.6084,0.8272,1.7304,3.3431,2.494,1.1624,1.897,1.8482,3.2313,1.4956,3.0107,1.6689,3.6421,2.2566,1 
0.2585,0.5404,2.583,1.8442,3.147,3.4415,1.7279,3.2308,0.6584,2.1987,2.4217,1.8336,1.4852,1.5646,1.0488,1.8128,2.5945,1 
0.7201,0.7081,1.3879,2.8421,0.906,1.2671,1.8513,1.5901,4.2411,1.3526,1.6488,1.7091,2.2565,2.4685,2.6844,0.9394,2.1631,1 
-0.6027,1.1769,3.0205,1.0966,2.3651,1.7135,-0.4817,2.3042,1.6892,5.3184,3.0172,2.5876,2.4877,2.1975,-0.1569,2.0838,2.143,1 
0.8618,0.9131,3.4897,4.0541,2.1692,0.6262,2.13,3.3408,3.0594,2.4933,1.0832,0.7998,2.4231,1.2776,3.2389,0.4135,1.3115,1 
-1.9002,0.8901,2.0089,2.3806,1.8507,3.496,2.5245,1.744,2.2396,3.1165,1.4419,2.9675,1.3459,1.5412,0.1419,0.6196,2.7301,1 
0.0783,1.0611,3.7751,2.2201,3.315,2.8867,1.0382,1.3485,2.7777,2.3653,1.3129,1.8899,1.5569,1.4056,3.1668,1.3584,1.8277,1 
2.4972,0.7685,1.0339,3.4891,3.158,3.2272,3.5637,3.0908,2.0493,3.0528,1.0464,0.8628,1.6624,0.2992,0.091,2.284,3.3435,1 
-0.6624,1.2694,4.4052,1.5063,2.3912,2.1133,1.6924,1.8397,2.1863,2.4935,-0.5906,0.6986,1.6866,2.9179,2.8149,0.7449,1.5063,1 
1.5773,-1.0106,2.7987,2.2251,2.0374,3.3823,1.7502,1.9622,1.8881,2.2681,2.1009,1.0542,0.0583,0.7062,3.5449,1.292,2.5501,1 
0.2743,0.6998,1.9491,2.8276,1.6911,1.5312,2.2671,1.0373,3.4179,3.0867,3.2453,3.1063,3.9786,3.5706,1.2599,1.8589,2.5698,1 
-0.3591,0.5808,0.7669,2.3471,3.024,1.9092,3.0594,2.4774,3.1094,3.416,2.2041,-0.1661,0.7237,0.6918,2.3001,1.0718,1.6149,1 
1.2341,-1.7491,2.8154,3.2357,1.3068,0.7011,1.8073,2.5984,1.685,1.5607,3.1074,2.2744,2.2452,0.8053,2.4146,2.7341,0.4401,1 
-1.4647,0.7485,0.8096,2.2637,0.9793,1.609,1.3893,2.6953,3.5242,2.11,3.5844,2.7026,3.4032,1.4754,3.0863,2.2901,0.8081,1 
-0.3348,-0.1209,2.0145,3.3766,0.8944,3.0188,0.8963,2.1195,0.8354,0.9416,1.4368,3.5836,0.8169,3.7489,2.4272,0.4813,0.8489,1 
0.1482,0.1192,2.9786,1.7461,2.384,2.3234,1.8105,0.5331,2.1681,2.383,1.1383,1.3275,3.3779,0.9973,1.8887,1.6482,2.0656,1 
-0.58,-1.6848,2.9894,0.4686,0.5724,3.1464,2.2175,1.7219,1.1601,1.2194,1.1703,0.829,1.2174,2.2288,3.3071,2.6751,3.8739,1 
-0.5574,0.0609,2.3048,1.044,2.195,-0.7824,2.3585,2.6008,2.4417,3.2179,2.5863,0.751,1.9732,3.3376,0.8128,2.8598,2.7943,1 
-1.9652,-1.1589,1.518,0.7265,0.7178,1.3084,4.5361,3.6487,0.9892,1.9302,3.4497,1.8746,2.7019,2.3735,1.4675,1.6664,-0.1204,1 
0.2201,-1.0897,1.8979,2.4537,0.2573,1.4037,2.0221,1.8265,1.6013,0.7076,2.2057,2.5184,1.7248,0.7082,1.0664,3.7601,0.4239,1 
0.8492,0.9097,-0.4187,3.5116,1.4764,2.2299,3.471,2.0121,1.3647,3.2407,3.1064,0.9397,1.4248,1.6561,3.0307,2.6119,0.7549,1 
1.3013,1.7847,3.1482,1.2086,2.0973,1.8552,2.2819,0.6099,3.0299,2.5534,1.6797,3.1723,-0.2213,0.5764,2.916,2.7306,1.8126,1 
1.048,0.4831,1.4806,2.6961,2.3592,0.9954,3.5502,2.7664,1.8845,1.6149,2.5371,1.2664,0.9534,0.4699,1.2765,1.4624,4.1001,1 
-1.2011,1.3106,2.2266,1.802,1.7854,2.332,1.086,0.8843,1.2065,3.1933,2.3307,0.9451,2.8624,0.3997,0.8292,2.7132,1.6203,1 
-0.8758,-1.5515,1.072,1.9257,1.3119,1.8768,2.1663,2.5455,2.6051,2.0052,2.8626,1.4799,3.4678,2.4413,0.7216,2.1277,0.4115,1 
0.9613,1.2601,1.9696,1.7645,2.3462,3.3535,1.5988,2.5793,2.1464,0.7213,0.6942,2.7056,2.1845,2.3026,2.4979,2.4128,2.5077,1 
-0.0412,0.7494,3.0174,2.3457,3.3553,1.0722,1.7336,1.2622,2.1508,2.0511,0.0097,2.9579,3.6329,-0.3008,1.7146,2.4091,3.4334,1 
-0.3712,0.3501,3.5923,0.6173,1.2283,0.0277,2.1411,1.8152,3.3104,1.2578,1.3254,4.0986,2.4939,0.5343,1.4478,0.6849,3.2679,1 
