Feature1,Feature2,Feature3,Feature4,Feature5,Feature6,Feature7,Feature8,Feature9,Feature10,Feature11,Feature12,Feature13,Feature14,Feature15,Feature16,Feature17,Class
* 
0.1248,1.6604,4.0121,2.667,2.0088,2.5688,2.3991,2.5684,3.1795,2.8116,0.5625,2.607,2.459,1.2187,1.0634,4.7151,1.1315,1 
-0.835,0.7863,2.3274,0.926,3.0897,0.289,1.9495,0.7176,2.0855,3.1599,2.8006,0.9163,1.2644,3.7271,1.1429,2.8026,1.5708,1 
0.1706,-1.14,2.9599,0.449,2.2643,3.6172,1.8036,4.9331,-0.0436,3.7,3.5581,2.2101,1.3105,1.7545,1.7802,3.1676,1.1064,1 
0.7756,1.4319,1.8819,1.9748,1.499,1.9981,2.7849,1.8016,0.0414,2.1057,0.7623,4.0482,2.9235,1.4262,1.1982,1.6508,2.0779,1 
0.9651,0.0089,1.2654,3.9348,2.1861,2.0688,2.6541,0.7365,0.3276,4.0943,1.1799,2.5007,1.7218,1.8379,0.24,1.8678,0.7856,1 
-0.6724,1.5197,2.6143,4.4154,2.1939,3.2519,0.7122,4.949,2.4857,2.9316,1.1815,1.9816,0.6328,4.0052,2.1068,2.8932,2.2891,1 
0.023,0.3609,-0.8048,1.6157,1.7351,1.6607,1.3519,2.5204,2.5454,1.5328,1.4209,3.1262,1.2476,1.9629,1.1539,2.0558,0.7056,1 
0.7678,-0.4053,4.1208,1.7601,-0.1035,1.9467,2.8401,2.8864,1.1028,1.5447,1.3168,2.0702,3.3169,1.0586,1.571,0.8335,2.3044,1 
1.5527,-0.9635,2.1484,1.936,1.3391,2.6507,1.8389,1.1233,2.499,2.4922,0.5872,0.6228,-0.6957,2.2865,2.36,2.2673,3.5095,1 
0.6743,-0.2223,1.6385,2.5318,1.4085,3.4511,0.1024,2.6487,2.3396,2.3838,4.5114,-0.0361,2.0163,0.758,1.0539,3.2551,2.6551,1 
-0.9825,1.0218,3.4507,3.1185,2.4332,1.6821,2.8398,0.9226,2.2047,1.6294,1.2934,3.111,2.5402,0.2216,1.0604,2.5833,1.9284,1 
0.0211,0.063,2.2681,1.8212,1.5726,2.0111,2.5139,2.2776,0.0895,3.4278,0.6872,1.7113,2.2896,3.2674,1.4763,1.3558,0.9765,1 
1.3697,1.5292,2.3482,2.9048,1.5116,2.4739,0.5896,2.4832,1.8327,3.185,2.5033,2.3233,2.757,2.02,2.1416,0.3469,2.4812,1 
-0.5142,-1.9361,1.7314,1.307,0.7158,2.5243,2.1995,1.345,2.1867,2.553,2.3194,1.8577,0.9444,2.2968,2.3623,0.9998,2.7511,1 
-0.5643,-0.4738,1.7711,1.8332,1.5994,1.2097,1.7321,1.8416,1.7627,1.9623,2.443,2.1706,1.1499,1.1516,2.1742,3.1338,3.6299,1 
0.6144,2.2601,0.2504,1.5446,2.0361,0.7923,1.8492,2.7634,0.9888,-0.6259,2.2058,1.9091,0.5454,0.9769,1.212,1.4491,1.0388,1 
-1.4281,0.5495,2.7414,2.6286,1.1006,0.7954,1.6705,4.8025,1.2882,2.3493,2.624,2.098,1.8595,1.5478,1.7138,1.0434,3.5491,1 
0.7863,-0.8617,0.816,0.7685,2.413,2.011,1.8395,1.3015,2.2501,1.4223,2.822,2.1113,-0.2809,1.9616,1.2389,2.9301,1.4632,1 
1.2408,0.6045,3.3848,1.5119,1.9447,1.1004,0.6495,2.1592,1.8826,0.2788,2.5107,1.5895,-0.3214,0.4688,2.2355,0.2857,2.6836,1 
0.6796,-0.1843,3.505,3.3878,2.8203,2.3542,2.3293,1.4334,3.3432,2.1524,1.7147,2.3144,1.396,3.4827,1.9813,2.7827,1.2896,1 
0.1437,1.718,1.5123,1.484,0.9641,1.5247,4.0322,0.6943,2.3248,3.2542,1.6154,1.4024,3.1547,3.2565,3.7812,1.9712,1.7577,1 
0.2898,-0.1981,2.4176,-0.3079,0.0033,2.0651,0.8982,2.1058,1.7574,3.4623,3.7485,2.0877,3.4433,2.1547,0.0634,2.7262,2.5055,1 
0.3039,0.3763,0.1692,1.7773,2.2242,2.1534,2.4401,1.3646,1.3971,0.9667,2.8519,2.4514,4.7347,2.1496,2.2906,1.964,2.6922,1 
-1.3074,0.4917,0.6156,2.3065,3.3379,2.0502,2.7594,2.6156,2.1575,1.8313,1.2131,1.1654,2.3111,1.6317,2.9759,1.0259,0.4584,1 
-0.3482,2.3889,2.0833,1.5503,0.9243,2.3731,1.5833,0.3355,1.8145,2.4754,2.6396,2.5838,2.8078,0.5725,1.93,0.77,3.657,1 
-1.7529,0.168,-0.1014,2.1262,1.0352,1.1432,2.1593,1.2072,1.5185,2.3707,2.9705,2.875,0.7332,3.7792,0.7073,1.5179,2.8297,1 
0.481,-1.007,1.2655,1.0453,1.1939,2.5615,1.1663,0.0059,2.5353,3.5118,2.1207,1.6656,2.562,2.9698,1.9237,3.0077,2.6482,1 
-0.9679,-0.4433,2.3995,1.2595,1.6982,0.7439,2.8573,1.8181,-0.7877,2.218,0.3309,1.7308,3.2998,2.4986,4.3422,3.3526,4.197,1 
0.6001,-0.2294,3.6157,2.3999,-0.483,3.9723,4.1194,2.3242,1.8515,0.9636,0.9509,2.2436,1.8026,3.8206,3.9742,3.8494,2.4155,1 
-0.4086,0.4205,0.8524,2.181,1.3971,0.5272,-0.0788,1.7675,2.889,1.3305,2.0367,1.8765,3.1688,2.5791,2.0767,0.6104,2.1454,1 
1.1238,-0.8736,2.87,1.1351,2.7251,0.1465,3.0268,2.4554,3.145,5.6681,1.0674,1.821,2.723,0.2488,3.0244,3.3743,3.9777,1 
-0.5923,0.89,2.3202,0.6228,1.8308,1.2382,2.372,3.2004,1.9189,2.6039,3.01,3.5385,3.3638,2.7601,0.6145,-0.8559,2.018,1 
-1.3716,0.2176,1.1906,1.3087,0.1056,1.9869,1.7559,1.4672,3.0259,2.7456,3.1291,1.3949,1.5292,3.2197,2.545,3.4761,3.0978,1 
-0.9916,0.5336,1.0463,1.4883,4.4236,1.3842,3.5467,3.7537,3.1607,2.8449,-0.3366,2.3423,2.1023,1.3461,0.8437,2.2607,0.9597,1 
1.5385,-0.2326,0.2509,1.5689,-0.4793,0.8403,2.1751,0.5445,-0.0757,1.2062,3.3848,1.9131,2.6128,0.9604,2.5539,2.8782,2.2325,1 
0.8869,0.934,2.3267,3.0691,2.0143,2.2084,0.0918,1.9374,3.7232,1.8816,2.0457,4.2138,1.989,2.9124,1.2357,3.3272,2.3708,1 
-0.811,0.4522,2.2252,2.8052,1.3956,2.0921,2.2589,-0.0697,1.5481,1.4558,3.2314,4.5311,-0.5088,0.2522,2.3115,1.738,2.2519,1 
0.4096,-0.0707,2.379,2.9372,1.4981,1.5893,3.2307,2.5657,3.0,2.3076,0.442,1.1351,1.9828,1.9095,1.0227,1.1381,0.8052,1 
0.6365,0.6886,2.2226,1.3983,1.0255,2.7482,2.702,2.6228,2.458,1.8215,1.6474,2.1042,1.4131,0.3619,3.708,2.8959,4.2072,1 
0.9636,-0.1221,0.9235,3.8143,1.098,1.8431,0.472,2.2758,1.0199,1.6888,2.3751,2.9492,2.0137,2.2427,2.8606,2.1046,2.1439,1 
0.0989,-0.191,1.3411,2.4852,2.5899,1.3043,3.3896,0.4624,1.4318,4.0806,4.0254,3.0647,0.9866,0.9413,1.0004,1.7361,3.1871,1 
0.5489,-0.2975,3.3438,0.7305,3.0986,2.7989,2.8102,2.8648,0.2869,3.1598,1.8848,2.3377,0.8701,1.6214,1.1574,1.0656,2.321,1 
0.1865,2.3206,3.6462,3.3399,0.4142,0.9731,1.8104,0.4709,2.6974,4.2536,1.3306,1.0816,1.6072,2.1957,1.6444,1.6076,1.3096,1 
1.3889,0.4753,1.7465,3.2044,0.5883,3.4315,1.02,2.419,1.7693,1.5913,2.2876,2.117,1.9837,1.6889,3.0007,1.4223,3.3866,1 
1.2951,-0.1864,1.9444,2.5719,1.3452,1.3948,2.9584,3.5434,1.3893,2.1325,0.9612,1.3312,1.2529,2.0206,0.2956,2.1782,1.734,1 
-0.4322,-1.5684,1.2321,0.5326,1.1267,2.2263,2.9715,1.9932,2.53,2.8296,1.4587,1.4671,-1.3349,2.7717,1.2514,2.7764,3.9651,1 
-0.817,-0.3712,2.2706,4.5425,1.2974,1.6666,2.6054,2.428,3.1742,1.1374,2.6734,2.2917,1.2128,2.7564,2.4428,3.2259,1.3273,1 
0.3159,0.7632,1.9349,1.5896,0.1747,2.0039,3.27,0.7564,2.1413,2.0433,2.2791,1.6085,4.7032,2.033,0.4331,2.1955,2.6423,1 
-0.5368,0.5798,2.2732,1.0468,2.4717,2.2091,0.8022,2.815,2.8786,2.9823,1.5627,2.2653,2.5004,3.5331,1.889,0.9207,0.8401,1 
0.6973,2.4181,2.1152,2.0161,1.3578,2.4171,0.9889,0.9706,1.5304,2.3011,1.7968,2.9769,1.1011,1.6409,2.3485,3.5884,2.4604,1 
-0.7242,0.565,1.6196,2.2173,0.5598,2.0866,1.6394,1.9675,3.0372,2.8968,1.3125,1.8518,4.1623,0.8889,2.4806,2.103,2.2481,1 
