Feature1,Feature2,Feature3,Feature4,Feature5,Feature6,Feature7,Feature8,Feature9,Feature10,Feature11,Feature12,Feature13,Feature14,Feature15,Feature16,Feature17,Class
* 
0.2384,1.728,2.9024,2.6411,2.3648,3.3285,1.9928,2.6226,0.2417,1.956,0.7709,0.7887,3.0238,1.3019,2.6648,3.4921,0.5012,1 
0.2789,1.2743,3.316,1.3002,1.8535,1.8937,0.2177,2.0345,2.8642,0.0109,1.7554,2.9535,0.4634,3.2965,1.2629,1.0934,1.2368,1 
0.4644,0.4851,1.9004,1.8986,2.2594,2.5536,1.0633,1.2137,2.2347,1.7516,1.1936,1.2739,1.8801,2.5809,3.042,3.7252,1.6047,1 
0.5411,0.9107,1.387,0.3861,1.7689,2.8567,3.5853,1.5546,3.1865,1.2385,1.81,1.6344,2.1215,2.6843,3.2329,1.7654,1.1332,1 
-2.027,0.0939,1.3698,2.5765,1.8859,1.2057,2.4077,2.4079,1.0,0.9381,0.9209,2.3679,2.3643,1.6405,0.934,2.8021,3.1491,1 
-0.4477,0.5327,0.8511,2.1235,2.6995,1.0494,3.7839,2.8919,1.9273,1.7325,3.4661,2.9475,2.2473,2.5806,1.8852,2.3502,1.5215,1 
-0.5935,0.4498,3.3933,1.426,2.0435,0.1441,2.689,2.1689,2.0099,2.9699,2.9931,0.9934,3.2251,2.8746,3.39,2.2156,1.4769,1 
-1.676,1.6922,2.5924,1.5892,2.6609,0.9878,2.2552,2.4672,0.1588,2.5346,1.43,-0.6358,2.2483,0.9588,1.8138,1.9051,0.9728,1 
-0.3299,-0.831,1.0567,2.2206,2.7644,2.7936,0.0261,4.6026,3.6273,3.6436,2.753,1.669,1.5627,1.3212,2.0916,1.032,1.9103,1 
0.5169,-0.4524,2.893,2.4342,2.2144,1.3556,1.7807,3.1038,0.9616,2.0921,3.2247,1.97,1.6236,4.3225,1.8326,3.0467,1.5971,1 
-0.1085,0.0731,2.2729,2.0499,1.7262,3.2696,1.7631,1.7342,2.5802,2.0939,2.9558,1.1202,1.6249,1.5914,0.9224,2.4057,2.2409,1 
-0.635,0.2616,2.4464,1.7162,2.1963,2.377,1.1475,1.3541,1.1716,1.9885,1.7268,2.7698,2.4539,0.4206,1.3275,3.6106,1.8545,1 
1.0271,-0.1486,1.7482,2.885,1.2434,2.2694,4.5884,2.3995,1.3807,2.8591,2.5237,0.1892,2.6423,-0.7907,1.8569,2.7101,2.075,1 
0.6217,0.101,1.9224,0.8171,1.6318,1.259,0.0379,3.6065,2.9844,5.1945,0.3102,2.808,4.1138,1.0249,1.3316,2.6743,1.6385,1 
1.7104,-0.3723,2.6942,3.2012,0.6489,3.0046,1.4473,1.2928,1.8244,3.1183,3.4929,0.7404,2.3016,3.3692,2.0733,2.6954,0.7525,1 
2.2279,1.5123,1.2196,1.6034,0.3816,0.7423,2.0511,1.6673,2.6139,2.2613,2.6956,2.7194,1.2173,2.4088,2.7142,3.4157,0.8065,1 
-0.7516,0.0055,0.7497,1.0887,2.2301,3.1354,0.8286,2.1689,4.5476,1.7821,1.6721,0.6546,2.0992,1.8298,2.3763,1.4388,0.9735,1 
0.7326,-0.7361,3.5882,0.7011,0.5442,2.6784,3.9697,2.2773,0.9073,0.9377,0.9397,2.9635,1.5158,3.0618,3.0783,3.3315,0.6908,1 
0.5763,-1.4064,1.3696,1.9936,1.9505,1.2386,1.381,2.8626,3.0703,2.1749,2.9783,1.6736,1.5238,2.4066,2.6158,1.783,2.5939,1 
1.2182,-0.797,0.6169,1.086,2.4798,1.0341,2.9251,-0.3327,3.0546,1.8822,1.4661,0.8884,1.8659,1.8239,2.2407,-0.039,2.3867,1 
-0.9121,-0.9719,1.938,1.094,0.6678,1.331,0.6609,2.6031,1.5291,3.7545,2.9398,1.7723,1.8763,3.9019,-0.1049,1.5954,2.4964,1 
0.6431,-0.1168,2.1789,2.8243,1.1273,1.7533,2.0923,2.6551,2.7421,2.8147,2.4296,1.5981,2.0591,2.5715,0.9234,3.1275,0.9026,1 
-0.0937,0.4229,2.0773,0.6811,2.5993,-0.2065,1.2873,2.2059,2.4123,2.1334,1.0273,1.7517,4.8337,3.2711,0.1099,2.0588,2.5585,1 
-1.3755,-0.7784,1.5805,3.2916,0.0831,1.512,2.4882,3.0557,0.6874,-0.1384,1.1448,2.0696,2.5707,1.7101,0.6551,1.8273,5.1586,1 
-0.9317,0.1788,1.6264,0.6983,3.0325,1.228,1.5331,-0.0541,3.0176,1.6574,1.5874,0.9462,2.3445,1.2125,1.1145,3.5269,0.8471,1 
0.2035,1.7932,2.9745,1.7376,2.042,1.3347,2.0186,1.0926,1.4199,1.8547,1.593,0.766,0.4275,1.9527,0.2745,2.4871,2.5577,1 
0.6775,0.0453,0.7084,-0.7363,1.5046,1.5249,0.1092,2.878,3.2585,2.9624,2.477,3.7453,3.175,2.184,1.5293,0.543,1.4,1 
-0.8694,1.0416,1.0395,2.6941,1.9783,0.3015,2.5625,2.8709,3.3125,2.5805,3.2956,3.621,2.5009,1.9069,2.1889,3.2289,0.3525,1 
0.3992,0.8117,3.5711,2.621,1.7249,2.2061,-1.1285,1.2857,1.5965,0.7218,2.033,3.768,1.226,1.1702,0.9517,2.2548,1.1332,1 
0.1768,-0.3189,0.5328,1.1065,3.4246,-0.6804,3.4194,1.6426,1.3799,1.6451,1.5213,2.5256,2.1757,3.138,0.0608,3.9676,2.2493,1 
-1.2528,0.2042,1.6479,0.2775,0.9131,1.5189,2.7073,3.3855,3.3148,1.5734,2.6991,2.0936,2.8764,2.3088,1.3482,2.3316,2.3326,1 
-1.2063,2.4299,0.1236,3.2102,1.7419,2.4081,1.7281,2.8007,2.9464,1.4855,1.3071,2.3915,1.9371,2.5866,1.7107,2.1282,3.435,1 
-0.6634,1.9858,3.6434,1.137,2.4088,3.3409,2.7704,3.3909,2.2156,1.7564,2.2783,-0.3038,2.7815,3.3137,0.2552,3.663,4.7112,1 
0.047,0.0113,2.2625,1.3431,2.0788,2.8005,3.8268,3.1085,-0.3787,2.9111,2.3787,1.0526,2.4213,2.0099,0.5079,2.0117,3.0427,1 
0.0454,-1.1817,2.4853,1.7051,2.6923,2.1342,3.0784,5.254,1.8155,-0.9454,0.5861,0.7779,1.6291,1.4309,0.7498,2.6801,3.6817,1 
-0.9787,0.7295,3.2005,3.7737,2.8796,2.1427,4.3292,2.7711,1.0833,1.5732,1.9802,1.9879,2.2802,1.885,2.2067,1.7752,2.5203,1 
2.1292,0.6598,3.6673,3.0342,1.7456,2.5799,1.8232,2.8698,2.5444,2.3275,1.3454,2.8392,3.2221,1.3831,2.1521,1.74,0.9733,1 
-0.318,-0.6523,1.7771,3.1763,2.5843,1.7907,2.7949,2.4054,1.7113,1.9565,3.067,2.3417,2.2215,2.3691,2.2576,0.0415,3.943,1 
1.6183,-0.4412,2.0409,2.6263,3.2129,1.6253,2.0173,2.5683,1.5849,0.8642,1.9648,1.4397,2.3203,2.5194,2.094,2.9426,5.2622,1 
1.0829,1.1178,1.3189,2.451,0.9207,0.9345,2.4707,1.4811,2.9665,2.4294,1.9727,1.2746,0.7406,1.6763,1.6993,2.0143,1.5715,1 
0.399,0.7153,0.7857,1.4011,1.4208,1.9394,3.3594,1.0571,2.9942,3.0586,1.5946,0.9679,1.5812,1.6044,1.3598,1.8245,3.1827,1 
-1.1976,2.0324,3.521,1.6345,1.3353,2.5803,0.8794,1.6665,1.013,2.4112,1.423,3.9284,1.0434,2.1903,-0.0222,1.0263,1.286,1 
-0.8909,1.1063,1.7425,2.5446,2.0784,2.6996,2.3281,1.4654,2.8363,2.4215,1.6035,4.3214,3.1058,1.3462,5.2814,1.9828,2.9017,1 
-0.1687,-0.9704,1.7774,0.5185,3.0216,2.7942,0.4782,1.6663,3.3688,1.1474,2.039,3.5129,3.9535,1.4872,3.8313,0.9105,0.6463,1 
-1.6714,0.2149,2.0999,0.0587,0.8419,1.3925,1.4284,2.6223,1.8746,2.887,2.0375,1.3627,0.9508,1.9235,2.7337,3.928,1.4054,1 
-1.2683,1.2026,0.812,3.2645,2.0567,2.1493,2.3874,2.4829,1.9417,-0.6307,0.2857,3.3485,1.7644,1.9314,2.4074,1.4584,3.715,1 
-0.4399,-0.9981,3.0962,2.9477,0.9879,0.925,1.0845,2.5453,1.2829,2.0773,2.0842,3.7219,1.1824,2.6169,1.7573,1.1772,2.2649,1 
-0.0207,-0.7274,4.075,1.8284,0.5342,0.8397,0.1215,3.8673,2.1639,2.7609,2.569,1.7545,3.5316,2.1483,3.1548,1.2216,2.8604,1 
-0.1351,-1.3388,1.8711,1.2832,3.203,2.3236,1.62,1.7971,1.4704,1.3816,1.5084,3.1419,3.3503,1.9185,1.2367,1.5264,1.2235,1 
-0.2028,1.2824,1.5843,1.9282,1.6391,3.3072,3.5869,1.569,1.4244,0.5699,3.3024,2.9009,-0.0791,1.274,0.9323,1.4181,2.2993,1 
-1.2394,-1.1585,3.1816,2.9743,2.2463,1.5097,1.7689,3.9837,2.1578,3.9229,0.3506,-0.8025,2.5995,0.2352,1.3794,2.5701,2.5802,1 
0.0066,1.0799,3.5964,1.2489,2.6427,1.4648,1.3559,2.5421,1.473,-0.7123,2.053,0.6298,1.6875,1.9483,0.2468,1.5723,1.9573,1 
0.1073,-0.5907,2.8587,0.5836,0.392,2.341,2.3324,3.2971,0.7455,1.0773,1.7791,0.9297,3.1974,4.0241,4.3683,0.7462,2.613,1 
0.174,-0.5311,0.6065,0.5256,-0.0984,3.3588,1.1843,3.032,1.2518,0.0995,2.5334,0.7728,3.568,2.3231,2.4061,1.8083,3.4012,1 
1.5439,0.5013,1.9011,2.7816,3.4319,3.023,1.1301,1.1199,3.5152,2.3787,0.8835,2.8797,1.0661,1.5014,2.8919,2.183,3.3096,1 
0.7459,1.037,2.392,3.9708,2.5599,0.5717,0.0776,3.9167,1.1843,0.5856,2.5987,3.8171,4.2913,5.6667,2.6561,3.0818,2.1709,1 
-0.1336,0.8131,1.1799,1.947,2.3925,-0.3071,3.3495,2.9916,2.6246,2.9233,2.4055,2.1868,2.865,1.4592,1.3294,1.7264,2.652,1 
1.0664,0.0677,3.4661,2.1497,2.6057,1.3811,1.0397,2.0895,0.3037,1.622,-0.595,2.0906,1.6528,1.1603,4.8321,1.1148,1.5711,1 
-1.717,-1.5659,2.9786,3.7376,3.5552,2.2984,1.1488,1.5966,2.4497,2.0683,1.5298,0.1209,1.9805,0.0181,2.7055,1.5397,0.7891,1 
-0.3183,-1.0214,3.0239,1.9089,-0.5022,2.4993,2.8822,2.6509,1.0493,1.4072,1.8737,2.8016,0.3587,0.6649,0.9913,2.8951,2.5304,1 
0.3601,-0.7746,1.3488,2.2116,2.1671,2.1634,3.084,2.3007,3.3349,3.1989,1.2533,3.3993,2.066,1.262,3.1768,2.8468,3.0857,1 
-0.2824,1.336,3.1567,1.6702,2.6555,1.4427,2.6697,1.1318,1.5686,0.047,1.6244,0.9721,0.7764,2.9292,1.618,0.7463,2.487,1 
-0.2098,-0.4471,0.2646,1.203,1.3809,0.5521,2.2947,1.0012,0.7665,3.0011,1.8425,1.8097,1.0772,2.1283,1.9613,2.3792,3.0177,1 
0.3239,1.597,0.6979,2.3155,1.3427,2.0778,0.7566,2.2326,3.2054,1.8767,0.9413,1.7917,1.81,0.0999,2.4937,1.9638,3.2821,1 
-0.3923,-1.1217,2.9931,1.9289,2.8502,0.0898,1.8273,1.3039,2.5027,2.7956,2.1974,1.9351,2.6122,3.4677,1.0186,2.2952,1.1849,1 
-0.1285,-2.1079,2.833,0.7375,3.1762,2.3506,3.135,1.8056,1.0394,1.5391,0.8993,2.9182,1.9566,1.9544,2.3845,0.9199,1.0734,1 
-2.0742,-0.2619,1.5194,3.4339,2.1245,3.7961,1.6673,-0.1794,2.6057,1.7848,2.8658,2.1859,2.2149,3.1956,0.2948,2.3525,3.0189,1 
-1.1423,1.1436,0.2128,2.974,0.776,-0.1382,1.3972,3.3709,-0.1537,0.8525,1.4086,2.2409,1.9441,3.6647,1.2632,1.4612,2.7191,1 
1.1162,0.6371,4.0086,1.2208,-0.7907,0.154,2.0038,3.0568,1.9748,3.1653,2.428,3.0201,1.2634,0.5662,3.6275,2.2259,2.0719,1 
1.031,-0.1278,3.4144,1.3778,1.3346,2.4457,1.8468,3.5037,0.6644,1.4631,3.9313,1.258,0.3432,1.5538,0.7516,2.2543,2.293,1 
-1.4421,0.329,1.1403,2.7173,3.5769,0.6295,1.6399,0.8647,1.0785,1.5118,2.9508,2.7756,1.1327,1.3136,2.2484,3.1062,2.8455,1 
1.6501,-0.1771,-0.976,3.4586,1.4333,3.8938,-0.488,2.5329,0.3238,-0.0404,3.0272,1.3561,2.1489,2.6647,1.5839,2.3393,1.8679,1 
-0.2017,0.853,1.4582,2.7301,2.1889,1.2641,1.3847,-0.1337,2.8896,1.1732,1.8878,2.6806,1.174,2.5783,1.6828,1.4783,2.2775,1 
-1.1804,-0.5458,3.2636,2.6835,2.642,-0.1657,2.3421,0.4135,2.8484,0.623,1.96,2.8163,1.2846,1.3052,5.4717,2.0834,1.0477,1 
-1.2144,-0.6972,0.5714,3.2863,2.9527,1.205,0.2381,4.1473,2.5935,2.9333,0.6143,4.0401,1.5485,1.7471,3.4469,3.2306,2.6534,1 
-1.2992,0.9221,-0.7534,1.5149,2.3592,1.4096,1.9535,2.3892,1.6694,1.9625,-0.7829,2.8362,4.1165,1.727,1.3186,1.6776,1.8777,1 
0.6003,0.9372,3.7601,1.4075,3.1897,0.3551,3.919,1.1283,2.1097,1.4736,0.9043,1.102,4.1176,1.0975,1.3449,1.327,1.6041,1 
-0.3992,-0.2621,1.3072,0.7697,1.7062,0.992,2.4191,2.7047,1.9946,1.7978,2.4189,0.3092,1.5937,3.1482,1.6897,2.3515,4.3386,1 
0.4318,-0.1436,2.0242,2.1692,3.4458,2.5375,2.1279,0.3497,2.312,2.0549,2.3474,3.0881,1.3843,3.4344,-0.1237,3.4695,3.7274,1 
0.2008,-1.4135,2.6818,0.8565,1.6282,3.1543,2.4028,2.5951,2.3296,1.6278,3.3203,1.3699,1.9511,3.1392,2.3525,2.3443,0.094,1 
-0.0942,-2.0046,1.8887,1.7175,0.9861,2.8598,1.8268,2.518,0.788,1.4161,2.7449,1.081,1.904,1.6288,0.867,0.7776,2.1842,1 
1.3909,-0.6783,2.6528,2.3257,1.0689,2.0687,0.2082,4.49,1.0337,3.1611,0.9991,3.9903,1.5648,1.8663,1.8229,2.7031,1.5769,1 
-0.8647,3.0521,1.5204,1.1727,0.8765,1.0563,0.5346,2.0167,0.672,0.7068,3.1752,1.0788,1.5942,1.9674,1.2804,0.5637,2.6719,1 
0.1288,-1.4733,0.3275,1.5084,2.1651,0.9293,-0.0318,1.3269,3.1279,1.6206,0.4988,2.4044,-0.2845,1.6163,-1.0652,1.066,2.7907,1 
0.9228,0.1088,2.5166,1.8467,2.5759,2.2603,1.2531,2.3667,1.2454,0.4046,3.9651,0.9216,2.1338,2.2997,2.3402,2.5555,2.4739,1 
2.3799,-0.3576,0.7781,1.5317,0.2948,1.7511,1.9337,3.0775,1.0852,1.1478,3.7203,1.278,2.1755,1.8825,3.2571,0.3114,1.7292,1 
0.4594,-0.6922,2.4555,2.634,2.3274,2.7435,3.3894,1.8226,2.6318,0.697,1.7887,0.7377,2.1608,1.516,1.9889,2.7095,2.3381,1 
-1.0647,-0.2501,1.4568,0.3542,1.7359,1.1673,2.7759,2.2358,3.379,1.0681,1.7652,2.937,2.5378,2.1627,3.888,2.0188,3.1952,1 
-1.3717,0.9704,1.987,1.3951,2.192,2.0862,3.2032,0.6576,2.2308,1.9845,0.9992,1.8935,1.4106,1.9843,3.5883,1.8994,2.0321,1 
-1.1592,-0.1418,2.4617,1.0416,2.1775,1.41,1.3666,2.6204,2.7054,2.023,2.7761,0.0225,2.2225,3.2732,1.7226,3.1904,3.0051,1 
-0.6412,0.0135,0.6442,3.0311,1.1351,1.5168,2.7058,0.4204,0.9232,2.1703,0.3348,1.5784,2.4095,2.6053,1.9914,1.832,1.1539,1 
-2.2787,-1.2268,1.1516,1.8336,3.5749,2.6622,2.3573,1.868,3.3346,2.3478,2.1513,2.3772,-0.0782,1.4987,2.1115,0.9593,1.944,1 
0.9,-0.7768,2.1307,1.6966,3.0971,0.1302,1.1855,1.8643,2.0316,1.5894,1.2062,1.4013,-0.5171,0.3825,1.2462,2.6556,2.9135,1 
0.6953,1.3559,3.1348,4.1282,2.1482,1.8522,3.6686,1.5807,2.729,2.9375,2.372,1.9661,2.8907,2.6596,2.4976,0.844,1.4689,1 
0.5282,0.2451,2.3519,0.902,2.6139,1.2223,0.8766,2.3509,2.4783,0.9873,3.4795,1.2648,1.4851,1.0114,0.4008,2.0909,1.2642,1 
1.8175,0.3224,3.0393,0.4144,2.844,2.9109,1.4151,3.0946,0.4911,0.2452,2.9073,2.1849,1.8695,1.2923,1.1997,0.624,2.0883,1 
-0.0149,1.6876,1.5211,1.9275,0.625,0.6844,3.3044,0.3595,1.0459,3.7132,2.4726,2.5569,0.8347,2.1447,0.9282,3.4239,-0.0226,1 
-1.5632,1.0487,0.6999,3.3174,3.4898,2.6111,0.5049,2.1702,2.6289,1.9268,0.5254,2.6755,1.3238,2.2392,1.4393,2.2671,1.7593,1 
0.0462,-0.0706,3.0417,1.7456,2.6767,0.2679,2.1047,1.8971,3.0115,1.8031,1.5168,2.6282,3.071,3.4986,1.4381,2.6108,3.03,1 
