Feature1,Feature2,Feature3,Feature4,Feature5,Feature6,Feature7,Feature8,Feature9,Feature10,Feature11,Feature12,Feature13,Feature14,Feature15,Feature16,Feature17,Class
* 
4.396,-0.2905,2.812,4.1727,1.6372,2.0905,1.7018,1.4118,0.6327,3.3572,1.512,2.2789,2.2922,1.7179,2.4728,3.0742,2.7235,1 
4.7487,-1.568,1.9752,3.146,0.366,-0.0508,0.0871,2.5088,1.2335,1.3189,2.9154,1.6759,1.1695,2.8535,0.4472,2.2631,0.5518,1 
6.5369,0.7655,1.6411,1.2763,1.8642,0.6541,1.0968,4.2956,1.2034,2.8235,3.6128,2.2775,3.5138,1.4807,2.1602,2.2697,1.8184,1 
3.7933,-0.6147,2.8949,1.0766,3.724,3.0086,2.8342,1.1359,4.0446,1.665,-0.3051,0.8744,2.6538,2.4375,1.2268,1.5088,4.3602,1 
5.3205,-1.482,1.3992,2.3072,1.6792,1.8112,0.8474,3.7093,3.1993,2.1671,1.9276,0.3937,1.498,1.6052,0.9498,3.7119,3.435,1 
5.4513,-0.5608,0.0342,1.6408,1.9903,2.3608,3.6189,1.8532,1.6283,2.4035,2.6308,1.7694,1.1073,1.7753,1.5664,2.1454,2.751,1 
4.2235,-1.2429,1.8469,2.8797,2.4801,0.8572,1.2607,1.7199,2.7631,1.4827,1.7069,1.6691,0.5913,2.4629,1.4281,2.478,1.5787,1 
4.1503,1.1807,3.671,1.3395,2.0589,3.5369,1.8214,1.2863,0.4981,2.2107,0.3292,1.1861,4.0133,2.7991,1.9621,0.4209,3.4284,1 
6.463,0.9227,1.8111,1.5517,0.7466,1.7371,2.221,0.923,1.3235,3.1214,1.1885,2.5722,1.4914,2.5078,2.6334,2.2512,1.764,1 
3.9748,-0.3851,3.6573,1.2839,1.2097,2.3269,1.6202,3.8304,3.1527,1.485,1.3656,1.277,2.3902,3.1565,2.0096,2.402,1.6161,1 
4.5201,0.0431,0.4793,2.1112,2.3827,2.1964,0.7878,1.5368,4.5919,3.2787,0.4709,0.9324,1.6289,2.6187,0.7695,1.0725,0.2354,1 
6.4113,1.3627,2.4922,2.2248,3.9187,1.2922,2.7944,1.5804,2.0048,1.6994,1.9935,0.7858,0.9869,1.2436,2.852,1.5376,-0.0744,1 
6.2912,-0.4821,2.024,-0.87,1.9423,-0.1965,2.2673,2.7121,2.9313,1.8893,1.4435,1.3141,0.6702,4.381,2.2018,1.8625,0.9948,1 
5.3159,0.9792,1.7265,3.5489,1.906,2.0018,3.0509,0.6781,0.3414,2.7117,3.4222,2.0674,2.2901,2.7171,3.4932,2.4783,3.2981,1 
6.1704,-0.1908,3.7291,3.0834,3.3671,2.6726,2.6505,3.5649,2.2035,2.0512,0.7682,0.5771,2.4977,1.3548,1.8992,1.3532,1.3964,1 
4.2362,-0.5556,-0.3051,2.141,3.4156,0.5477,0.9881,1.024,3.6441,1.657,1.8028,2.6797,2.5798,4.0012,2.1198,1.6154,1.1402,1 
4.5988,-0.6187,1.1251,2.8951,2.9659,0.5728,1.6482,1.3733,3.1353,3.3732,2.1213,0.2087,2.1053,2.9805,0.7889,2.1507,3.0144,1 
3.7853,0.6054,1.9972,1.6282,0.9458,3.8106,3.1066,1.4572,2.183,1.9078,1.604,2.2148,1.3724,3.0841,1.1088,2.5984,2.3935,1 
5.1815,1.0836,1.074,2.6533,1.7318,2.4841,0.6583,2.6248,1.1882,1.3059,1.5408,3.5419,2.1661,2.7099,3.1534,4.2615,2.0928,1 
5.5769,-0.177,1.9801,2.1176,1.7465,2.3579,0.8349,3.747,2.1146,3.4365,1.8715,2.6658,3.3493,1.0276,2.5389,-0.3008,2.8548,1 
4.4442,0.8802,2.5299,2.1684,1.633,1.2806,0.2278,0.769,2.1121,1.6511,1.9566,2.5957,2.5096,0.4572,2.0079,1.6452,2.8848,1 
5.7387,1.5524,1.418,3.3576,2.7989,1.7364,1.3695,1.7569,2.2141,2.9966,0.9851,3.5843,3.0947,1.7159,2.189,2.0419,2.0671,1 
5.9042,1.1599,3.686,0.9689,-1.2158,1.6267,1.2527,2.7094,1.2878,2.663,3.1032,1.6885,1.6077,1.7694,2.293,2.7677,0.7536,1 
5.7015,-0.2465,2.4758,3.2392,0.9062,1.7452,1.4881,2.1504,2.8922,1.4457,0.5163,3.497,3.474,3.219,2.0961,1.1955,0.815,1 
5.7742,0.0333,3.9483,1.7209,-0.1787,2.1857,1.7311,2.8754,1.8893,1.8745,1.2496,0.8664,-0.1024,3.1715,-0.352,1.7942,2.0604,1 
5.651,0.1182,1.0841,1.2849,3.7511,-0.2379,2.733,1.5424,1.9059,2.3319,2.6357,2.4172,0.9903,0.7206,2.0693,2.3915,3.0537,1 
4.9963,-0.2246,1.1658,1.4247,1.8659,2.3973,2.0364,4.5048,-0.6443,1.713,2.4375,3.6131,1.8504,3.4233,2.4396,2.1875,1.5723,1 
4.8073,-0.1258,1.5813,2.404,2.1815,2.9428,2.0781,3.0204,1.9145,2.6944,1.1642,2.6252,0.7811,0.9717,1.1935,1.1959,4.9639,1 
3.7651,0.9573,0.8635,2.5642,3.9613,1.1379,2.1793,1.5096,3.1698,1.437,2.6711,3.1256,1.1506,2.7224,1.5673,1.5825,3.0344,1 
4.08,-0.4578,1.4041,1.4989,0.4903,4.0007,3.039,2.8417,1.772,2.0834,3.6509,3.3811,3.428,3.5483,1.2036,1.4197,0.5947,1 
3.8519,-0.3399,2.0934,1.7693,1.926,2.4798,0.4627,2.231,1.8252,2.8886,2.5951,3.8898,1.9472,1.2477,1.5394,3.0089,1.8251,1 
4.6162,0.1558,3.189,2.0409,2.3201,2.1119,0.4085,2.2481,2.638,1.4528,0.7227,1.4831,3.4817,2.0156,2.4456,0.363,3.4877,1 
5.348,-1.4254,3.3473,2.3863,2.9553,2.6349,1.6121,1.0067,2.8213,1.7485,3.684,0.4758,2.1122,1.8626,0.7972,1.031,2.7895,1 
3.0488,1.2203,1.4579,-0.1968,2.3173,1.4647,1.3155,2.6134,0.7446,2.7934,1.9964,3.1625,0.3786,0.3574,0.7947,0.1688,1.8581,1 
3.9848,-0.7851,0.6485,2.3955,2.1143,3.2427,2.0017,0.4765,1.1758,1.6744,1.8156,3.3396,1.742,1.6215,1.8032,1.616,1.8785,1 
7.385,-1.0537,3.7639,3.3698,2.6567,2.0935,3.4453,1.57,3.5757,1.6118,3.4164,2.1097,1.9048,1.2908,2.9032,1.0695,3.4457,1 
5.3789,0.4224,2.367,2.0787,2.344,2.0055,3.3036,1.2531,1.0467,1.9519,1.0089,2.1315,0.57,2.4065,1.5356,1.4205,3.3932,1 
5.313,1.3816,2.9937,2.3788,2.3607,2.5115,2.0457,2.1359,0.8671,1.3802,0.4039,2.0031,0.7661,1.3422,1.9399,0.808,1.4946,1 
5.0482,-1.2533,1.8029,1.733,0.2643,1.8047,3.4011,-0.3305,1.9256,0.642,1.8483,-0.2245,0.887,1.8348,2.696,2.0608,0.6381,1 
5.24,0.0159,2.4537,3.0702,3.2296,3.039,1.7326,3.4926,2.6271,0.7207,1.4751,2.5421,0.6627,0.548,1.0238,0.2644,3.4108,1 
2.8511,-0.3255,1.8454,2.6511,1.4346,1.8611,2.3646,1.3277,0.9148,3.3251,1.332,1.2042,2.7317,1.9353,3.0428,0.3494,0.4056,1 
5.0568,-0.0171,1.7436,2.6822,3.3498,2.2973,1.125,3.8984,1.918,2.173,2.078,2.4998,0.8474,2.4794,1.352,1.9827,1.9448,1 
7.1208,-1.708,1.1761,2.7177,0.3331,3.8031,1.8917,1.0177,2.4214,2.6065,1.4907,0.2682,2.4001,3.5564,3.8377,1.02,2.3006,1 
3.5916,-1.1215,-0.0637,2.0784,1.8413,1.6785,1.9342,3.5752,1.6011,2.2251,2.1787,0.4991,1.7662,2.4412,2.0283,2.0496,3.3557,1 
4.4019,-0.2407,2.1699,1.3063,2.4838,1.3418,3.7047,-0.2993,3.753,2.686,2.1117,0.9599,1.5681,1.4764,1.6242,3.2924,1.6099,1 
