Feature1,Feature2,Feature3,Feature4,Feature5,Feature6,Feature7,Feature8,Feature9,Feature10,Feature11,Feature12,Feature13,Feature14,Feature15,Feature16,Feature17,Class
* 
2.1726,11.0436,1.6728,1.7801,1.7799,2.288,2.3206,1.1486,1.8947,1.49,2.2547,3.654,1.5142,-0.6437,3.0815,1.2815,2.6461,1 
1.6757,10.8263,3.4269,1.7623,2.254,2.7541,1.3712,2.7813,2.4067,3.5341,2.9623,2.2987,2.1967,2.481,1.5632,2.2055,2.108,1 
1.0793,9.8297,2.069,1.8863,2.9402,1.7897,2.3263,0.8583,2.4982,3.2066,3.0646,3.4228,0.514,2.6749,2.9933,2.8821,2.4053,1 
1.9966,9.9492,3.8009,0.0137,1.9456,1.1963,1.3502,2.1517,1.9963,0.718,2.1444,2.734,2.5679,1.9686,1.3603,1.7016,2.1894,1 
1.0789,9.6642,2.5964,2.9577,0.0527,1.8237,2.4902,0.7632,1.3676,2.1956,1.7902,2.3751,1.9025,0.4077,2.2614,1.0718,1.6395,1 
2.4646,9.6194,1.7866,1.7328,1.4287,3.0399,0.5617,0.8573,2.6441,2.5126,1.4093,1.7543,1.441,1.7889,2.5662,3.1778,1.869,1 
2.8192,8.0347,0.7995,2.7562,3.5334,3.2813,2.1777,3.3652,0.9328,2.3256,2.1603,-0.2736,1.9543,3.0646,1.8045,0.7282,2.5417,1 
1.8767,9.9445,3.112,0.8684,1.439,1.2928,2.1858,2.432,2.4707,2.8324,1.1997,4.3083,0.448,2.5492,1.8377,0.7638,1.228,1 
0.4631,10.5684,2.8943,0.4852,2.3331,2.9379,2.0235,2.3338,1.8397,1.538,1.7521,2.9354,2.2006,2.5597,1.5781,0.9904,3.7129,1 
1.5784,9.1683,1.4122,1.496,1.9363,4.2133,2.3952,1.8696,0.1412,2.9286,3.0777,0.1221,1.8946,1.5503,1.2896,3.5095,3.3595,1 
2.6967,9.6366,2.9718,1.1546,3.1971,3.3613,1.5932,2.2568,1.6296,1.8569,3.1307,1.5797,2.531,2.5274,1.9505,1.9106,3.429,1 
1.8342,11.4056,2.4026,2.0988,4.1261,1.4174,2.0707,0.0963,2.8018,2.0647,1.5827,1.4981,1.3652,2.7487,1.1398,1.2121,2.7798,1 
2.3508,10.9034,2.9444,3.373,0.1637,1.9539,2.7694,1.1933,1.9188,3.2791,2.1349,2.8659,2.5394,1.6487,3.3339,2.4978,1.4089,1 
0.9422,12.5535,2.8186,-1.0632,1.7393,1.4341,2.1522,1.4918,2.4925,3.1708,1.6432,1.5322,1.1307,4.1097,1.0528,1.2946,2.2272,1 
1.2807,9.6031,3.7695,2.1732,1.5375,1.5241,1.4434,3.0933,1.8463,1.4835,3.015,0.2679,3.0474,-0.0659,1.3722,2.6997,3.1978,1 
2.5263,10.7904,1.6656,2.7843,1.4881,2.4075,2.9095,0.7319,3.3436,2.8087,2.1601,2.5476,2.0913,3.1352,1.7607,2.8321,3.4555,1 
0.1771,11.0348,2.5795,2.4079,2.523,1.8082,1.6383,1.8676,1.9001,2.635,1.5889,1.2806,1.0429,1.7579,1.2831,0.1833,0.7366,1 
2.897,10.468,3.404,3.1967,2.135,2.2561,1.4076,0.4603,1.6452,2.6574,2.2755,3.0728,1.1758,1.5765,1.6626,1.9314,2.808,1 
4.0846,10.2621,3.2459,1.5238,0.8174,2.0385,1.9044,1.1177,2.8681,1.6773,1.7295,1.6329,3.2775,0.465,2.7385,2.6428,2.5269,1 
1.8821,9.8954,0.8762,0.713,3.6845,2.0262,2.6209,1.889,0.702,1.1292,3.1363,2.489,0.8679,-0.3609,2.1952,2.8093,4.2343,1 
3.4301,8.883,2.806,2.2492,1.0637,2.0996,2.6209,2.5235,0.7182,2.5189,3.8416,0.557,4.3286,2.5554,1.5685,1.0234,2.4149,1 
1.3408,9.0674,1.2175,1.8687,3.3519,2.3583,1.8885,2.5932,0.5788,2.2402,-0.443,1.8472,0.1249,1.3662,2.3127,1.7582,1.6408,1 
2.9116,10.0428,0.6203,1.168,2.0314,1.4367,2.1414,1.559,2.1005,1.0925,3.5334,1.7276,0.6838,2.5355,2.6452,3.4034,3.7092,1 
2.4502,9.3356,1.5064,2.7056,1.065,3.418,1.1482,3.0786,1.6822,3.6063,0.3594,2.0908,0.8728,2.1653,3.6815,2.6548,3.2739,1 
3.1756,10.8085,3.7991,3.304,1.838,1.122,1.8945,1.2742,2.618,0.4886,1.4503,2.0459,3.2243,2.1471,3.3981,1.1018,3.454,1 
2.5305,9.768,1.4376,2.2175,1.769,1.7008,2.6413,2.836,2.3777,1.1533,0.3263,2.455,1.5589,0.5461,2.4549,2.9455,3.1312,1 
0.4015,9.6805,0.5078,0.8009,2.525,1.731,1.4338,1.337,3.0087,1.9373,2.7063,3.0595,0.3368,2.0022,3.0744,1.2316,2.1609,1 
