Feature1,Feature2,Feature3,Feature4,Feature5,Feature6,Feature7,Feature8,Feature9,Feature10,Feature11,Feature12,Feature13,Feature14,Feature15,Feature16,Feature17,Class
* 
1.2029,9.6626,1.9543,1.6068,3.3724,1.1933,2.651,2.1731,1.9142,1.1889,2.3035,1.7283,2.1746,1.9034,1.4928,1.2193,2.1947,1 
1.0423,10.8857,2.6235,0.2706,1.409,3.6506,1.9713,2.625,2.2222,2.6976,2.8001,1.0305,1.4987,2.4473,1.9607,3.5215,1.9962,1 
0.792,9.0678,1.2356,1.738,2.4258,2.3432,1.3134,0.3689,2.0617,2.0699,3.7166,2.8783,3.7695,1.9601,3.4228,1.1441,1.2639,1 
2.0527,9.0688,1.319,2.4782,1.7476,2.9315,1.8948,0.7109,1.7009,3.8764,4.443,3.9645,1.8342,3.1904,2.6521,2.5114,2.2349,1 
2.4993,8.9165,2.2479,-0.6307,0.2714,1.0921,2.3671,2.9035,2.1856,1.3726,1.5941,0.5384,2.5039,3.1372,2.1677,0.2844,-0.1351,1 
0.3921,10.6362,1.6946,2.0534,0.8994,3.4917,1.3677,0.6042,3.7233,1.2625,2.4251,2.4951,0.0572,2.6637,2.7601,3.2463,3.09,1 
2.8288,7.7217,2.0533,2.8514,2.4903,2.6823,1.4897,3.0033,2.9201,0.538,2.4136,0.7091,2.9866,2.1946,1.5159,1.1419,3.3016,1 
3.9275,11.4102,1.5466,0.4333,1.2733,2.2474,2.325,2.947,3.351,2.5585,2.7788,1.778,2.0973,0.937,2.7826,1.812,1.431,1 
2.5801,9.5972,1.0007,-0.1972,2.0055,3.4903,2.3563,1.9879,1.0217,1.982,2.641,2.0272,2.7013,2.2286,1.7091,5.082,3.8525,1 
4.1483,10.132,3.3976,2.7193,2.947,2.7188,-0.0504,2.4352,1.4643,3.8252,0.9769,2.8001,1.1192,1.7241,2.7383,1.6906,2.3265,1 
2.4532,8.7659,2.0197,3.8463,1.6999,3.1782,3.3402,3.8109,3.3036,1.3335,0.9238,3.3967,2.473,3.3094,3.4934,2.2042,3.3913,1 
0.9496,10.1088,1.8275,1.8496,0.6781,0.4788,2.9413,2.2406,0.8957,0.2544,1.6932,0.7885,3.4779,1.8153,2.2467,1.558,2.131,1 
0.7066,10.2607,1.1032,0.131,3.1613,2.3864,2.7125,1.5569,2.7276,1.1225,3.2532,0.0295,1.8872,2.3163,1.4221,1.659,1.7223,1 
