Feature1,Feature2,Feature3,Feature4,Feature5,Feature6,Feature7,Feature8,Feature9,Feature10,Feature11,Feature12,Feature13,Feature14,Feature15,Feature16,Feature17,Feature18,Class
* 
-0.1059,0.9877,2.3074,0.9059,2.6968,0.8853,2.7547,1.2225,1.9285,1.1975,0.7845,1.2452,1.9054,2.3724,2.7889,1.6531,2.142,3.0335,0 
-2.1391,1.4566,1.1589,2.9894,0.9797,0.8981,1.5481,0.5463,3.7465,2.1491,2.8511,2.1301,2.3238,2.7103,2.7705,3.6943,2.4175,1.8977,0 
-0.2163,-0.5049,2.4065,1.971,2.6511,2.1261,0.8836,1.637,3.173,3.0942,0.7998,2.8721,1.8107,1.5456,2.4529,1.1161,2.0939,3.3096,0 
0.0962,1.6489,3.1918,3.064,1.4689,2.6397,1.3744,3.2177,0.3296,2.5667,2.4327,1.582,1.9637,1.9039,1.5183,3.271,1.4832,2.011,0 
0.9428,1.7813,1.8149,2.0136,3.0777,1.9188,1.4366,0.7978,3.6692,2.3515,2.0487,2.1036,1.7683,2.7037,1.745,1.8453,3.0766,1.3292,0 
-0.7215,0.982,3.1095,1.3479,1.3188,0.8166,1.3942,1.6185,4.2109,0.3418,1.2493,3.7471,0.9705,1.9144,0.4909,2.2036,0.2454,3.1375,0 
2.3844,-0.2051,1.4124,3.3643,1.5493,3.3951,1.044,2.1947,0.9644,1.6287,3.4191,2.6582,0.7237,2.1748,0.9985,2.1137,0.7236,2.2428,0 
-0.5236,-1.3252,2.9549,1.8439,1.5979,1.6174,2.6479,0.3171,2.3364,1.4459,1.4471,0.5781,4.5866,2.2086,2.1813,2.9778,0.5172,3.534,0 
-1.5529,0.2147,2.6473,1.8739,2.0264,2.6567,2.9324,0.7096,0.3244,3.3036,4.0363,1.7687,2.4365,1.7128,2.1901,1.5105,2.2311,0.9961,0 
-1.3677,-0.6325,1.6681,2.2755,0.4704,2.4593,0.0767,1.5953,0.6784,1.402,0.9644,1.7906,0.6479,1.0245,2.9164,2.399,2.7817,2.075,0 
0.9767,0.3583,1.9287,0.2913,1.7305,0.1977,2.1327,2.8907,0.3438,2.1113,2.6498,1.3188,3.3748,0.7466,3.0633,2.4397,2.5822,2.2484,0 
-0.0603,0.6657,0.7318,1.5047,3.1782,3.3311,-0.2716,1.9178,1.7239,1.8324,3.0144,1.562,2.3166,2.4924,2.7387,3.1888,1.9989,1.9403,0 
-0.4405,0.5374,1.7477,1.1362,2.5679,2.5752,2.1426,1.4385,1.8548,2.4356,1.9674,2.4884,2.8292,1.5271,2.3346,3.8328,2.6358,-0.1905,0 
0.5178,1.0027,0.3647,3.2323,1.2882,2.2421,3.3032,2.7196,3.6173,1.598,0.4766,2.0092,1.2427,2.5108,3.6017,1.512,2.1904,3.6544,0 
-1.487,-0.0609,0.3391,1.2625,2.1684,1.3179,2.1692,2.0817,2.0562,1.1326,1.5599,2.2377,1.8599,1.8246,2.2831,2.8276,1.5792,2.3766,0 
