Feature1,Feature2,Feature3,Feature4,Feature5,Feature6,Feature7,Feature8,Feature9,Feature10,Feature11,Feature12,Feature13,Feature14,Feature15,Feature16,Feature17,Feature18,Class
* 
-1.2125,-0.2969,1.2469,3.1835,3.1617,0.6674,3.9789,1.2269,3.0258,1.9322,1.926,2.3148,-0.4875,3.4948,1.0458,3.766,0.054,1.7475,1 
0.1785,-1.6465,2.2047,2.3487,1.2466,1.5556,1.6167,1.7155,2.128,2.7966,1.5402,0.802,2.6916,-0.2958,1.5001,1.8363,2.2924,2.6564,1 
-1.1055,-0.2468,1.398,1.9437,2.8472,2.7473,2.2765,3.8644,2.4652,1.365,2.9922,1.3439,2.5435,0.841,2.6662,2.1962,1.9349,1.6008,1 
0.7445,0.9233,2.7951,2.0937,1.6979,1.8016,1.8341,1.9675,3.4538,2.4263,2.5291,3.389,2.9661,0.8624,4.9194,2.2786,2.4028,1.0728,1 
1.0148,-0.3534,1.374,1.102,3.617,2.1014,1.4815,1.2126,1.4749,2.9763,1.1482,1.4521,2.3048,2.5401,1.8305,2.856,1.4689,0.7464,1 
-0.5793,0.8801,2.8301,4.6622,2.7575,1.5667,2.3802,2.4373,1.6821,1.6933,1.9992,1.1061,1.3625,2.8838,3.6238,1.7935,1.662,1.9109,1 
0.0555,0.7019,2.5158,-0.4566,0.3536,2.7122,1.0807,2.1677,1.7399,2.0545,2.167,2.4813,3.2667,2.5732,2.107,2.5183,3.2288,2.946,1 
-1.9868,0.6845,0.478,3.1926,2.1246,2.7673,1.5352,1.4281,2.5795,3.0714,1.477,0.9057,1.4472,2.3197,2.6475,1.5778,2.1878,1.4167,1 
0.3474,-1.7216,1.5498,1.0438,1.3018,1.1284,1.1424,2.787,2.9073,1.8782,2.0555,0.2207,0.9069,0.4294,2.2702,3.7813,2.8425,2.0411,1 
-0.5194,0.3725,1.2215,1.424,0.859,3.8285,2.4213,2.7102,3.2717,2.0052,3.3093,0.8487,1.8458,1.2537,2.1292,1.2225,1.1178,0.7053,1 
-0.5786,2.3675,3.3917,3.3652,-0.1146,4.881,2.3604,1.8904,2.7434,1.7498,1.5321,1.9213,0.8822,2.6781,0.133,2.527,1.2343,1.8232,1 
1.6639,0.6362,2.8425,1.9089,1.0802,3.0782,2.32,1.4173,2.339,2.5271,0.475,2.3653,3.4694,0.7955,2.0389,1.7623,2.3624,1.3118,1 
-0.3287,-0.1849,-0.0165,0.9146,0.5234,2.5748,1.5947,2.1648,0.5391,1.8714,0.3943,1.1799,3.9412,2.267,0.9371,4.1475,2.5705,2.4726,1 
-0.2412,-0.4673,1.988,3.486,1.2482,1.8477,3.1426,2.5792,1.9769,3.2829,3.1514,1.999,0.8675,1.018,2.575,2.0125,2.7594,1.4157,1 
1.1519,-0.6697,2.6839,1.7208,0.947,1.7696,3.1503,1.6098,-0.0586,2.9953,2.111,1.5176,0.7396,2.3062,2.871,2.3482,1.6898,2.8986,1 
1.1633,1.8082,0.2064,2.1386,3.0213,2.993,1.8418,2.373,2.1113,2.5635,1.545,1.6433,1.5155,2.4707,2.1048,4.3758,3.0867,2.9718,1 
0.0933,1.0437,2.504,1.6694,3.1327,0.6045,3.3669,1.5249,1.8204,3.0988,1.9861,3.7024,2.2965,1.9732,2.6788,3.3542,2.7658,0.6955,1 
-0.514,-1.9903,3.6282,0.2109,1.3545,2.5163,3.6712,2.9097,1.7368,2.2613,0.9713,1.5576,1.7182,3.5441,3.8193,1.7292,1.5967,2.0477,1 
0.582,0.9983,2.4476,2.6639,1.2421,1.3971,2.1579,1.9874,1.7419,1.5768,1.783,3.0105,2.2105,1.3291,1.5318,2.765,1.8878,3.354,1 
-0.6458,-0.3628,3.7785,0.8606,0.8484,3.3679,0.9943,3.9982,0.6388,1.5523,1.4298,2.3167,1.9196,0.411,2.0576,2.0034,2.2336,3.3669,1 
1.7468,0.02,1.3912,1.8241,2.3948,2.0728,2.45,1.0946,1.6209,0.6374,2.5195,0.2323,1.2489,2.0224,1.4878,1.726,3.5215,0.319,1 
0.2466,-0.3488,2.1918,1.9208,2.1024,2.5083,1.3108,1.2338,3.4398,2.3867,2.1534,0.7218,2.8481,2.8212,1.2938,1.2203,2.4947,2.9117,1 
-0.6367,-0.3661,1.3032,0.7442,2.6694,0.5481,0.5297,2.6861,0.5668,2.0487,3.261,2.171,2.0647,1.1425,2.3513,1.2536,1.3695,3.2796,1 
-0.4976,-0.296,3.8168,3.0397,1.3073,0.7999,1.0483,3.5368,1.5183,1.8948,2.4005,2.6252,3.466,2.6263,2.5813,1.2011,1.1343,0.8843,1 
-0.6471,0.1457,3.1726,2.4481,2.7244,2.518,1.7537,0.9496,1.5456,0.6968,2.1255,0.7796,2.1619,1.1245,3.0151,1.9769,1.1843,0.1534,1 
-0.6442,0.8044,1.4803,0.7367,3.7977,1.9277,1.6977,2.8214,1.9739,0.4917,2.5524,2.1456,2.6644,1.6214,2.1338,1.9518,1.0913,1.5916,1 
0.3505,-0.1684,1.9724,1.5625,2.5173,2.5608,2.5411,4.0215,0.4297,0.8573,0.6657,1.4626,2.137,2.2102,1.704,3.3121,2.4845,2.2865,1 
-0.9557,-1.0571,0.5498,1.1383,2.2618,1.3499,2.3484,3.07,2.0082,0.7011,1.4026,2.9835,5.7015,2.5129,1.7634,2.4564,1.6193,0.8857,1 
0.5352,0.614,0.3148,1.0239,2.6137,1.8962,1.991,2.0146,1.6901,0.8099,2.4063,0.9614,3.0805,2.4709,2.1571,1.9651,2.2719,2.2625,1 
-1.0564,0.3112,2.0169,0.5964,1.9598,0.3292,1.6644,3.0959,1.5318,2.4155,0.6554,0.4788,2.3613,2.1021,1.1336,1.8765,2.781,1.163,1 
-0.9397,0.5067,3.1374,0.8221,3.0419,2.9199,2.2549,2.1535,2.3823,1.4831,1.6425,2.6541,3.8171,1.21,2.0571,0.2482,0.7027,1.7156,1 
-0.4619,1.2769,1.6451,1.7239,2.1901,1.9062,0.4639,1.767,2.3963,2.8954,3.0124,0.9478,0.8458,2.566,0.8608,3.5192,1.4404,1.0058,1 
0.308,-1.3012,3.7396,-0.5732,3.4718,2.5926,2.6706,3.3566,2.5302,1.0681,1.249,0.2822,2.1749,2.8534,2.5705,1.4157,2.0239,-0.2888,1 
-1.5779,-0.2568,3.5882,0.0215,2.0229,0.8981,3.1387,3.619,-0.8137,2.9458,1.7289,2.6673,5.2063,0.5673,3.5525,2.7618,3.9155,1.7646,1 
-0.7398,1.4119,2.9069,3.1959,0.2822,2.305,1.9198,2.2358,1.4477,1.6406,1.4012,1.0752,2.6614,2.3253,1.8325,1.0179,2.1673,2.2518,1 
-0.3695,2.1582,2.8903,1.5833,2.4817,3.2695,0.7225,1.2305,1.7495,3.9633,0.3199,1.3192,1.6271,2.0918,1.8994,1.6445,1.4916,2.667,1 
0.5403,0.4615,2.7941,2.5922,1.1113,1.9211,1.032,1.7216,4.3014,2.3873,-0.2554,1.5544,2.084,1.5441,2.1863,3.1771,1.8404,3.6083,1 
0.7732,0.6326,2.3031,1.7263,2.3204,3.6296,2.1611,0.0467,0.287,2.161,0.5623,2.5102,3.0129,0.9819,1.0022,1.4,1.3028,2.3451,1 
-1.2114,0.5409,3.852,2.1871,0.3287,2.6093,1.1636,2.2562,2.8268,3.9009,1.7832,2.5352,2.2048,2.3225,2.1332,1.1754,2.7952,0.3079,1 
0.5888,1.5326,0.9439,2.7643,2.9843,1.7995,0.2556,4.0486,2.9784,1.5161,1.8232,4.1818,0.5831,2.446,3.0913,3.5342,1.7134,2.3739,1 
-1.4315,-0.2976,1.8303,2.4641,2.7643,1.4562,1.0193,1.8242,2.4795,2.0776,1.6917,2.0689,1.5622,1.4008,2.7254,2.4366,2.2637,1.4194,1 
-0.7768,0.6856,0.3211,1.1477,1.8564,3.1796,2.0611,1.3807,2.3748,3.6461,1.0945,0.3222,2.1647,1.2939,1.2422,-0.2373,2.3076,3.6188,1 
-1.2735,2.0089,0.4055,2.5314,0.8401,0.9356,2.6628,0.7893,1.702,2.5539,4.3783,2.1191,2.8265,0.7241,1.689,2.8345,3.9302,1.7663,1 
-0.0505,-0.1888,2.7016,2.3736,1.7693,1.8437,2.1266,2.416,-0.2363,2.7405,1.7676,1.3432,1.383,1.8396,1.7564,2.65,1.0304,1.5235,1 
1.8625,0.3059,1.2065,2.0013,2.7002,4.238,3.7668,3.4847,0.9951,4.7575,3.9886,1.7695,1.2271,1.8566,1.7784,2.3466,2.3642,1.2746,1 
-0.2242,1.5352,1.8391,-0.2621,2.0363,2.8168,1.5427,2.2443,2.7166,1.9714,1.937,3.0101,1.7147,1.3732,2.3399,2.0589,3.4387,0.7054,1 
0.6055,1.2246,0.836,0.4153,0.7072,4.5864,2.8453,3.8915,2.8415,3.1646,2.1195,2.4633,3.4349,3.4973,3.0825,2.0328,1.5249,1.506,1 
0.8651,-1.4247,1.0687,1.6455,0.7533,2.6003,0.7408,0.5509,1.913,3.6089,3.9181,0.9265,2.8642,2.4985,1.9126,2.5215,2.7791,3.6425,1 
-0.7654,-0.0147,1.4859,2.1709,2.6687,0.9974,2.3576,2.2296,2.0354,2.4744,1.6854,2.0935,2.2282,1.143,1.6269,2.7088,0.9983,1.203,1 
0.3833,-0.0774,5.1803,1.4302,1.9127,1.6021,2.0599,2.4416,1.6312,2.3468,1.792,1.8774,0.8976,2.5819,1.386,4.3826,0.7765,3.2725,1 
-0.237,-0.5655,2.3066,1.7611,1.8743,1.8493,3.6009,2.575,0.9162,2.1944,2.5587,1.8673,3.9688,1.7681,2.7387,1.4127,2.614,1.6165,1 
0.8254,-1.2651,2.7422,2.5375,1.747,2.5505,3.9947,1.9122,1.4869,2.0656,0.8355,0.9793,0.9825,2.9015,2.319,2.0343,3.7958,3.29,1 
0.0032,-0.6105,1.7957,2.2955,2.7696,0.2444,1.9083,2.3408,1.7655,1.3036,2.1584,0.7341,1.1742,1.767,2.1275,1.7867,2.9325,2.7133,1 
-1.0622,-1.1484,2.7804,2.6439,2.5487,2.4827,2.6817,1.7922,2.3043,0.8067,4.2726,0.903,2.5563,2.0517,4.1493,2.1741,2.3292,1.5428,1 
1.3122,-0.7091,1.7644,1.0733,2.586,4.2788,1.7978,2.1767,2.1262,1.8097,2.0711,1.0353,1.5224,1.3462,1.8698,2.531,1.7856,2.0339,1 
0.0853,-0.2581,1.6293,2.3108,2.5337,1.1808,1.4839,4.2719,1.2061,1.7006,1.462,1.373,0.8478,1.1736,2.6208,1.5536,2.3522,1.452,1 
0.1694,-1.8594,1.2428,1.1429,-0.6459,1.5712,2.8051,0.7836,3.2236,1.3639,1.4714,2.4688,3.083,3.1565,1.5496,0.3359,2.168,2.0683,1 
1.7014,-1.6047,1.319,3.3182,1.6216,1.2597,2.0376,1.5492,1.9985,2.905,3.1527,0.8243,3.1621,1.1044,1.0999,1.9668,0.5377,1.9615,1 
1.1184,-1.2125,-0.3025,1.0581,0.7114,1.7843,1.703,3.8489,0.5936,0.1524,2.2087,1.7228,0.8197,1.5874,2.0477,1.8236,1.3405,0.8109,1 
-0.3347,-0.4468,3.6607,1.8957,1.8583,0.5002,1.1647,0.236,1.866,2.8373,1.34,2.4418,3.1769,1.2847,1.1304,0.5583,1.8385,3.0153,1 
-0.1229,-0.2651,2.7349,3.4059,1.8175,3.0531,0.4706,2.6508,1.3019,4.0118,2.4394,1.9168,1.9783,-0.0984,1.4552,2.1434,0.8242,0.6374,1 
-1.2997,0.6359,2.6806,1.2264,0.4285,1.2837,1.7251,1.5644,2.7909,0.7423,0.3375,3.6964,-0.2102,2.1524,1.7746,1.5199,1.6619,1.6186,1 
-0.2578,-2.1373,2.0534,1.2947,0.7647,1.3302,1.023,1.1672,2.4093,2.8209,2.9227,-0.0124,2.5977,1.8646,2.4942,1.192,-0.0843,0.2426,1 
1.2893,0.8676,1.7447,1.6878,2.0473,1.0318,1.8288,2.1513,2.6192,1.9397,2.4709,0.7214,1.6495,2.9618,1.5946,1.7498,2.9106,3.8065,1 
-0.3284,0.1271,2.4026,2.6573,1.7788,3.7688,2.4838,2.4377,3.2827,0.6219,2.5963,0.5837,3.5216,0.7159,1.0913,2.3115,2.6011,2.4748,1 
-1.2848,-0.8972,1.4617,3.294,0.0565,2.9659,1.7184,3.4774,3.3552,1.1166,2.1696,3.2863,1.3581,2.7234,2.0492,2.5592,0.2516,2.6784,1 
-0.1276,0.5894,1.1542,1.7104,2.5834,2.6634,1.4141,0.746,1.4126,2.2763,1.61,1.4246,1.6016,2.2317,1.5536,2.1593,1.004,1.477,1 
-0.0049,0.5216,1.3709,1.2183,2.3024,2.1165,1.0111,1.6807,2.1949,4.1874,2.2883,2.7451,1.017,1.2036,0.7555,1.3936,0.4587,4.814,1 
1.5202,0.5496,1.215,2.7041,0.9316,2.925,4.0123,2.1923,2.3073,2.7753,3.4003,1.8163,2.5612,1.6573,1.0886,2.2016,3.3447,1.6084,1 
1.7449,0.056,3.0268,2.9643,2.2508,2.0327,0.8859,1.23,3.275,1.5608,3.5702,0.9985,0.1852,2.3098,1.8188,1.9569,3.1411,0.7738,1 
-1.595,-0.455,0.6992,1.8889,3.4576,4.2424,2.2091,3.0021,3.0924,2.7494,2.4629,4.118,2.4256,1.7284,2.2209,0.8096,-0.2396,2.9657,1 
0.8677,-0.3095,1.129,1.8173,1.8472,1.4511,1.4167,3.0485,2.7757,2.4628,1.9769,2.0808,1.0601,1.9786,2.8002,3.4583,2.1647,2.7535,1 
0.9901,-0.4669,3.6533,1.0641,2.2872,4.0335,1.5862,2.186,2.0333,2.0444,0.6079,0.9658,0.4866,2.2241,2.6815,2.2221,2.1411,2.8207,1 
-1.1253,0.0135,3.8373,1.1513,2.4967,2.1341,1.4677,0.9767,3.9929,1.9914,2.3173,2.6606,2.2245,1.6517,2.9782,3.7021,2.649,3.1476,1 
0.3512,0.1082,3.2,2.5525,2.4598,1.8226,2.9963,3.4183,1.9675,2.8087,1.9153,3.6602,2.3062,2.5675,2.5838,1.7371,1.2911,1.3128,1 
-0.0891,-3.5045,3.5268,0.4164,2.5104,2.1235,2.5523,1.7339,3.5104,1.4506,1.7959,1.2554,1.0243,1.9342,5.072,3.0379,1.6607,2.133,1 
0.5448,-1.3798,0.9304,0.83,1.0007,2.6461,1.3029,1.9366,2.6298,-0.9849,1.7819,4.4894,1.4617,1.7581,0.8065,2.9807,1.0445,0.7893,1 
0.3716,0.5209,0.7669,2.3186,1.6543,3.1493,1.1946,3.0497,1.7483,2.8639,2.2561,4.3134,5.3214,1.3138,1.8005,-0.0139,4.0036,3.0491,1 
-1.0745,0.1035,0.697,1.9695,2.7734,1.8493,4.0711,3.2927,0.4484,-0.3469,2.1874,1.1639,1.9368,2.693,0.7024,2.1705,0.5562,1.2319,1 
-0.7611,-0.0037,2.4665,0.5385,1.1992,4.2564,1.7103,-0.0221,-0.0014,1.3117,3.3434,2.9544,1.1347,3.8103,2.1719,0.7274,0.8622,1.3155,1 
2.3467,2.178,1.0984,1.0489,2.2166,0.6229,3.0748,3.2329,3.8934,1.2491,2.4953,1.4787,2.0634,2.8247,1.9438,2.5217,2.4859,3.999,1 
0.9451,0.1809,0.9085,2.4467,1.7937,3.3837,2.9293,1.0376,0.3918,0.579,2.2521,1.9944,2.0664,2.7231,0.8162,2.4448,3.1203,2.6554,1 
0.2595,1.1875,1.5785,4.6557,1.6724,3.0211,2.8212,0.4049,0.8877,1.523,2.5887,1.8292,2.5113,2.7279,1.8053,1.0448,0.1296,2.8841,1 
