Feature1,Feature2,Feature3,Feature4,Feature5,Feature6,Feature7,Feature8,Feature9,Feature10,Feature11,Feature12,Feature13,Feature14,Feature15,Feature16,Feature17,Feature18,Class
* 
0.8275,-0.267,1.9685,3.9256,2.0427,1.689,2.4864,2.7576,2.604,1.6158,1.9149,2.4384,1.5108,2.6219,1.6173,3.7265,2.7389,2.2671,1 
-0.4316,0.5978,2.4709,1.7808,2.8028,2.6176,3.132,2.6223,2.2978,0.8724,3.0632,1.8736,2.4376,4.0427,0.4533,0.5199,3.359,1.2448,1 
-0.1679,-0.1537,1.7398,3.1064,2.1813,4.2977,2.6436,1.5148,1.2786,2.1301,3.3414,0.4865,3.5232,0.4299,1.5971,2.8045,1.9569,2.5545,1 
0.6811,-0.5613,2.0757,0.1049,1.9013,2.001,2.034,0.6359,1.7471,2.546,2.1902,1.8859,3.0478,1.0785,2.2934,2.261,2.1572,2.8692,1 
0.7905,-0.5867,1.0261,3.9564,2.1756,1.6381,1.5185,-0.3879,2.0144,2.6038,1.6024,2.5628,1.6412,2.4411,2.3115,1.5429,0.8099,2.1519,1 
-0.1583,-0.2638,1.357,2.2589,1.8104,2.3577,0.9926,2.5788,1.8615,2.7975,1.0817,2.7634,2.9819,1.8028,2.0152,0.9681,2.5453,2.3663,1 
0.1968,1.0455,1.5775,1.1505,2.0232,-1.0307,3.1181,1.6936,1.574,2.9981,2.5505,1.5063,2.4922,2.5445,2.9744,2.5439,2.297,1.2879,1 
0.8418,1.2929,0.8261,1.8566,1.6054,1.1644,1.6297,3.0683,2.3135,1.5547,1.8286,2.3961,2.2798,0.6236,0.2465,0.7492,1.4994,4.3872,1 
1.7335,-0.2553,1.225,0.6657,2.2611,2.8671,0.6675,1.3307,1.8444,2.1122,0.3781,1.8672,4.5796,1.6836,2.3141,2.5842,2.2147,0.5867,1 
2.408,-0.6211,0.8713,1.594,0.823,5.0219,2.8507,1.6344,2.0792,3.4064,2.6605,3.76,2.0101,1.3054,2.0081,2.6935,1.9051,2.3562,1 
0.3363,-0.1682,1.55,2.198,0.7542,2.8344,1.5757,1.0556,1.6849,2.2695,1.9399,1.4115,2.4187,2.1939,0.9588,1.0466,2.0524,1.0687,1 
-1.0355,0.6827,2.3012,2.6618,1.3238,1.5714,2.537,2.7271,1.5889,2.073,3.705,1.9071,3.1618,1.9311,-0.1191,1.8206,0.9291,1.0948,1 
0.7083,-0.3723,0.2663,0.8448,1.6661,3.5418,1.0258,3.3751,1.8365,2.4671,0.038,2.9745,0.8167,1.8203,2.4956,1.4773,3.8706,3.3326,1 
-0.9631,-1.0223,2.9381,2.842,0.9195,0.8664,2.5441,1.5848,-0.5737,3.2285,2.6689,1.7754,1.631,1.7877,1.8783,3.0242,1.1009,1.2169,1 
-1.0932,-1.476,2.1933,1.8084,1.3214,2.6237,4.041,3.3054,3.6092,3.607,1.5579,0.7956,2.4651,1.5945,1.7395,2.1331,1.8854,1.8274,1 
1.3768,-0.864,1.3077,0.6932,3.3839,2.9125,2.7265,0.9078,0.617,1.9347,0.5987,2.4048,2.1164,1.7854,2.6509,2.2457,2.2127,1.8323,1 
0.9708,0.7147,1.4334,1.9229,1.7042,-0.1551,0.148,3.106,2.6834,1.1098,0.5674,1.4732,4.6761,2.1179,0.449,1.6158,1.5429,1.6108,1 
0.3017,-0.8024,1.2912,0.8095,1.0667,2.4893,1.8326,1.285,5.0095,0.5667,0.7406,1.1424,0.6066,0.9557,0.3526,-0.0903,2.59,1.6632,1 
1.8028,0.069,1.4887,0.7145,1.3987,3.446,3.7873,3.7753,1.7673,2.3515,1.4119,3.0808,1.2057,0.7917,1.7727,2.6167,0.6274,1.7695,1 
0.1672,-0.8452,1.2973,2.6247,2.0455,1.5075,0.7916,1.5471,1.6987,4.3058,-0.306,3.6274,4.1205,2.0412,3.0627,0.7183,4.1502,2.118,1 
-0.4028,0.4187,1.8516,2.0308,2.7484,-0.6647,0.8559,2.1651,0.4797,1.882,3.0325,1.153,2.2392,2.0793,0.7026,2.7288,0.6013,1.7263,1 
-0.1217,-0.2868,3.1955,1.1891,1.6246,2.1501,1.13,2.6227,1.3139,0.978,1.5545,0.4825,1.3436,2.2645,0.5705,2.4605,1.6251,1.0762,1 
-0.099,0.5347,1.2021,3.1403,2.0389,3.089,2.9619,1.1986,1.5155,2.9931,3.6723,1.9844,1.4621,2.183,1.864,1.6495,2.2269,1.9109,1 
1.422,-0.8563,1.909,2.7192,4.1687,2.1633,3.027,1.3763,0.2692,1.5754,1.4476,2.3295,1.502,0.5378,1.5117,1.7727,2.419,2.912,1 
0.3887,1.2813,1.4289,2.5164,4.0587,1.444,2.1223,2.7304,2.3521,1.7893,1.9005,2.2836,2.3029,2.5021,2.2958,1.8453,2.1801,0.1602,1 
-0.5772,0.9838,2.292,1.7603,1.3119,1.1068,0.0735,1.7158,1.6013,1.6996,3.5888,2.6574,1.6664,0.8685,2.6513,1.5664,2.0991,2.4108,1 
-0.5272,-0.6467,0.7772,3.4701,3.4059,1.9686,1.3591,2.2262,1.5602,3.2687,0.7153,1.4248,3.4552,1.6885,2.3556,2.7081,3.7104,1.9508,1 
-0.8252,-0.5982,2.4145,2.5281,1.3248,2.4077,2.0726,2.5946,1.5206,1.0777,2.2353,1.3713,2.2027,2.8976,2.5445,1.7373,2.7667,-0.3349,1 
-0.5723,0.9399,1.0247,1.7086,2.4241,3.7316,1.8166,1.5633,1.9557,1.3434,1.7503,2.575,2.1921,1.7123,2.9578,1.9633,3.8888,0.6614,1 
1.9229,-0.4204,1.4502,1.9164,2.4191,1.7147,3.1407,1.0168,0.6506,1.9103,3.178,1.8577,2.3364,1.3025,0.8977,3.2481,0.9011,3.7687,1 
0.8679,-0.1677,1.1181,1.7127,3.4905,1.2669,1.2629,1.3173,2.5693,2.5888,2.6666,2.1591,1.5061,2.6889,3.2312,1.3839,2.5735,1.8404,1 
0.2184,0.6257,3.7787,2.5842,5.0848,2.2836,2.6332,-0.3115,3.1059,0.5757,1.8609,4.3342,1.9567,1.116,2.9686,1.4276,0.8664,2.3605,1 
1.0068,-0.3287,2.2776,0.5826,3.3524,3.2692,4.814,2.6705,-0.1407,2.4838,2.5011,2.6605,1.7078,1.3577,0.4043,0.5638,3.0412,2.0042,1 
0.8558,-0.187,0.0856,1.3489,0.6533,1.6213,2.4722,1.4624,0.7719,0.9774,2.9562,2.1689,1.0329,1.7698,3.2074,1.3121,1.2588,0.7604,1 
0.1915,-0.3577,3.4624,1.8872,3.7276,1.106,3.5035,1.6698,2.8707,1.3874,1.3134,3.1824,0.2842,1.1412,0.6614,0.3458,0.3943,2.4682,1 
0.817,-1.5254,4.2644,2.0285,2.4711,1.1468,1.4084,1.9373,2.5928,2.7404,1.099,2.2537,1.4262,0.6989,2.2517,1.3297,3.3136,2.0844,1 
-1.1519,-1.1319,4.2282,3.1421,0.9673,1.3875,2.5714,2.1674,1.2412,3.393,1.9356,2.8703,3.0432,2.4846,1.503,1.9895,1.9065,1.4795,1 
-0.7647,-2.1028,0.4047,1.3225,1.7704,2.6779,2.3197,0.0811,2.2446,1.1267,1.5973,1.3579,2.6433,3.0014,2.3378,3.5559,1.6988,2.5014,1 
0.9305,1.2123,1.2126,2.7964,1.7301,2.9181,-0.8293,3.2564,1.5579,0.8747,2.448,3.4442,1.5467,0.7715,1.744,1.5588,3.1201,1.5085,1 
0.822,0.3113,2.1743,2.5198,2.5003,2.0107,0.9831,2.5339,3.6372,2.3156,3.1866,2.3956,2.6735,0.4626,1.7668,1.3447,1.6391,1.4897,1 
-0.133,0.0584,0.8976,3.2216,1.2243,3.4779,2.1823,2.2694,1.0945,2.241,-1.1127,0.8993,0.7721,1.3373,0.8502,0.8575,0.6856,3.1691,1 
-0.4802,-0.1066,1.0531,3.9209,2.1244,0.1149,2.1388,2.6646,1.4578,3.1638,-0.8177,1.1744,3.5715,3.0229,1.4053,2.5503,1.0208,3.917,1 
0.6731,-0.9905,2.4754,3.0695,0.614,2.4553,1.716,2.0341,2.0843,-0.0001,2.0767,1.3552,-0.1011,2.7729,3.2842,2.9483,3.6589,2.9635,1 
1.6654,2.6928,1.6002,1.2177,0.0755,0.283,3.1312,2.0229,2.5437,0.9967,1.1743,2.7197,3.8465,0.9953,1.705,3.1755,1.0385,3.6682,1 
0.7405,-1.3106,2.0312,3.609,2.1583,2.6177,3.3921,3.322,0.9482,2.0642,2.2765,3.1013,1.7279,2.9921,0.2004,2.7725,2.4511,2.107,1 
1.1867,0.6487,2.5896,1.0184,4.5041,3.3489,2.4608,2.7311,1.9868,2.1106,1.7418,2.2921,2.1672,-0.5571,4.101,0.6514,0.2714,2.0068,1 
0.3497,-0.2654,2.7376,2.948,0.7048,0.1125,1.6238,2.3329,3.9535,1.9208,1.0338,3.2318,1.6732,1.6367,3.7513,0.6799,1.4102,1.1202,1 
0.3069,2.1507,1.5459,1.7179,1.4798,2.5224,1.2785,0.2679,1.4919,0.4776,1.6071,0.7617,0.1387,3.4428,1.0884,0.412,2.9337,2.73,1 
-0.3514,-0.5358,2.6365,1.5044,2.7577,3.4772,1.657,2.2984,0.7965,2.4466,2.016,3.0248,3.9219,1.9844,0.786,0.8339,0.6281,0.6109,1 
0.0829,0.6708,1.3241,1.9834,2.7693,0.5389,1.0123,1.4243,1.0387,1.364,2.8101,2.1039,0.0331,2.6805,2.483,1.1358,1.9643,3.0823,1 
-0.3464,1.4851,2.496,0.8876,2.5208,1.5444,2.0932,2.7643,2.6227,-0.4341,0.9462,3.5331,2.7324,2.8487,2.3163,4.2608,2.8359,1.8252,1 
0.2546,0.6696,-0.5383,3.4445,2.1257,0.5675,3.4917,0.7089,1.9718,2.4898,4.6685,2.2973,2.6599,2.6863,0.8235,2.0719,3.048,1.2471,1 
-0.5857,0.0947,1.5007,3.3318,1.7141,1.1087,1.0622,0.3957,0.8084,3.5114,2.912,2.1619,1.8038,2.2184,0.6734,1.1241,2.65,3.4887,1 
-0.3611,0.2903,1.8287,-0.1066,1.1843,0.8867,1.7495,1.6839,0.9851,3.4799,1.5442,1.6775,2.1349,2.6194,1.7253,2.6927,2.184,1.4176,1 
1.0787,0.0599,3.4938,3.2802,1.0881,1.8269,0.1,3.3843,1.209,1.27,4.4777,1.7651,2.8393,0.7701,0.4947,2.4548,2.3407,1.9409,1 
0.0222,0.4598,-0.0093,1.9875,1.3054,0.2748,2.597,2.026,0.7323,1.9116,1.1453,2.5023,3.7409,1.7029,2.4557,2.6477,2.3216,2.0098,1 
0.9004,-0.0916,1.5812,3.8575,2.5451,2.6437,1.7528,2.2371,1.7892,1.4545,1.9113,2.7394,2.9454,0.8335,2.8174,2.3879,1.3016,3.3744,1 
0.2687,0.8765,2.9243,2.1815,2.5513,1.0543,1.3279,1.2988,1.5279,1.7189,3.1522,3.6852,2.0323,2.6843,3.6532,3.6147,2.1179,1.3362,1 
1.0126,-0.2968,1.8901,2.409,1.9375,3.2595,1.2175,0.9832,2.8008,1.1944,1.6912,0.9105,1.8224,2.3245,0.6803,3.0438,1.5999,0.9786,1 
-0.6498,1.4033,1.7839,2.6989,2.3567,2.7659,2.812,0.2324,2.8302,1.7683,-0.1603,2.0484,1.6566,2.6673,1.8474,2.1429,2.1979,2.4408,1 
-1.0485,-0.5727,1.9352,1.3362,3.0471,0.5676,1.0141,1.5926,-0.0034,2.8573,1.5834,1.8318,0.7205,2.066,2.4215,1.4792,1.7749,3.8946,1 
-1.2686,0.8621,2.9101,1.3037,2.7508,3.1114,2.1917,3.5079,2.3758,2.5432,2.4421,2.6484,0.6489,2.8973,0.733,1.4576,1.6103,2.0617,1 
-0.013,1.353,1.2272,1.7241,2.997,2.0701,1.7115,1.6831,1.6455,3.6489,3.3694,3.0589,0.7768,1.6922,1.6339,2.9711,3.3665,0.7657,1 
0.0986,-1.2283,0.9035,2.3008,3.9517,3.2864,2.1037,3.0714,1.2326,0.8104,3.5196,1.9873,1.9322,2.3237,2.8629,1.8363,3.3598,2.0002,1 
0.2661,-0.3791,1.2776,0.1824,4.025,2.4137,1.3964,3.5801,1.9891,1.3526,1.3612,0.7552,3.4953,2.5815,2.3454,1.8188,2.9358,2.6506,1 
-0.8713,2.3169,1.4158,3.7659,3.1046,1.6542,1.5004,1.401,1.6966,2.2882,3.1392,1.8047,2.5374,1.6846,0.1001,2.4016,3.2151,3.0991,1 
-0.6093,0.7395,0.6003,2.9672,3.3653,2.3324,3.9967,1.3395,1.5639,1.0625,3.2955,1.1655,1.8671,3.1228,3.4464,1.7284,3.3453,2.3532,1 
-0.3998,-0.939,0.821,1.2284,2.6275,1.8096,1.9211,2.0841,2.591,1.164,1.0916,0.2452,2.3092,1.0322,2.2731,3.3806,2.9489,1.3394,1 
-0.9601,0.7502,2.8726,2.9489,0.9565,1.9241,3.0332,0.206,1.2201,2.4062,2.1179,2.0302,0.6545,1.3764,1.8167,2.2807,3.3793,0.7775,1 
