Feature1,Feature2,Feature3,Feature4,Feature5,Feature6,Feature7,Feature8,Feature9,Feature10,Feature11,Feature12,Feature13,Feature14,Feature15,Feature16,Feature17,Feature18,Class
* 
5.8282,0.1151,2.5971,1.8468,1.0102,1.5848,1.2223,2.1246,1.574,1.905,3.4966,0.2595,1.0448,1.9467,1.9061,2.7333,2.8492,1.3406,1 
3.762,-1.099,2.8056,1.9754,3.1531,1.6975,1.0264,1.3797,1.9352,2.0712,1.9774,1.084,0.6742,3.3077,0.8424,1.9423,0.9467,3.566,1 
8.1405,0.7777,3.6918,2.0036,2.7479,1.4637,0.8965,0.2065,1.8063,1.3733,2.0884,0.5034,1.6198,1.7659,1.2457,1.1848,1.6524,1.5991,1 
4.6237,0.9639,2.6041,1.6272,0.6262,1.2089,1.7126,1.3361,2.0771,4.3308,1.1617,1.8746,1.9805,1.9593,2.2738,2.1127,1.564,2.3668,1 
7.8114,-0.8542,1.6195,3.7331,1.4427,0.6417,2.5634,0.7553,3.4343,2.4346,1.9969,2.3581,1.8034,1.1403,3.387,2.8909,1.5865,0.2851,1 
3.5824,1.9111,0.9101,2.5643,1.2256,1.9269,0.8719,1.4381,2.5182,3.1575,0.6831,0.5002,1.8988,0.9492,0.7054,2.8654,1.3109,2.8271,1 
4.9998,-0.9102,2.929,2.0749,1.5582,0.5221,1.6252,2.8519,3.3681,1.9036,0.8219,2.4157,2.4887,0.2526,0.1009,0.6904,3.6798,1.6092,1 
3.7356,-1.2534,1.4069,3.055,2.0519,-0.1345,1.9746,1.7545,1.1891,1.2991,1.3468,2.0037,1.4626,0.8153,2.9492,3.4393,3.141,2.3776,1 
5.7305,1.0526,0.0493,2.5138,1.373,1.231,1.9449,2.4715,1.743,1.3016,1.6022,3.2035,1.7461,2.1033,3.438,-0.0077,1.3365,1.6966,1 
2.4553,-0.409,1.8547,3.7145,2.8334,2.4346,1.8106,2.1562,1.4327,1.5399,1.6086,2.137,1.7966,0.8305,3.0884,2.7813,2.0392,1.2828,1 
4.9152,-1.6363,1.7126,2.8142,1.8113,0.3707,2.6361,0.7764,1.4106,0.8082,1.677,2.7626,0.7356,1.5829,1.8717,2.0182,0.7098,1.3294,1 
5.8827,1.4869,1.503,1.6859,1.8146,2.7329,2.2637,3.0974,2.7607,2.0642,0.664,3.1836,3.0045,1.7569,0.9581,2.1938,0.9612,2.338,1 
5.2302,-0.5815,1.0189,2.5232,4.1241,1.214,1.8822,1.5492,1.1471,3.6311,1.4719,2.7133,2.3459,1.2554,2.8984,1.6193,2.1978,1.4258,1 
5.4639,-0.3723,0.348,0.7755,2.3085,2.3544,1.032,3.5779,0.8199,2.6287,2.6518,2.4529,2.8787,2.5873,3.409,1.7661,2.9873,0.4854,1 
3.9597,0.1614,0.6967,-0.0037,1.089,0.8607,3.7063,1.7887,2.2916,2.5962,2.5197,1.1348,2.1658,1.6138,2.3804,1.9241,1.9456,2.5243,1 
4.5152,-0.7339,1.5888,3.3184,2.0055,2.2343,1.717,1.6238,2.4366,2.0017,2.0199,1.2947,1.799,2.1137,1.3904,2.6862,3.3775,4.233,1 
4.2395,0.2968,2.2241,2.4514,2.5955,0.5422,0.9585,2.3463,2.7747,4.4324,1.8249,1.6484,1.778,3.2027,1.1185,3.3267,2.5929,1.6865,1 
6.0023,-1.6017,4.2501,2.614,1.6105,1.5874,1.547,1.6503,3.2781,1.5484,1.4212,2.0743,2.5349,5.2756,2.0255,3.19,1.609,0.8145,1 
5.1575,-0.2014,1.6914,1.092,2.1147,0.7771,2.4712,1.2669,2.9362,2.7389,3.8152,1.1696,0.246,0.1806,2.767,-0.1588,2.6859,1.9855,1 
4.3393,0.0737,0.9877,4.2473,2.6194,1.9069,1.6457,1.6396,1.3906,0.8396,1.8581,1.9357,1.4945,1.9412,2.4759,2.1484,3.2513,2.1295,1 
4.9845,-0.0197,3.032,2.5443,2.56,2.3163,2.9193,1.2031,3.0607,1.3187,2.9193,-0.9887,2.1273,1.357,3.2162,4.0041,2.1232,2.9471,1 
6.0893,-2.3129,1.6989,2.5105,0.5042,1.39,1.0257,1.6628,1.7582,2.1203,2.2428,1.7986,3.2482,2.9735,2.262,2.2389,3.4662,1.8414,1 
4.7125,0.5543,2.7435,1.4631,3.7847,2.7054,2.5091,1.6122,1.9851,4.3394,2.232,2.7464,2.5454,4.3064,2.3254,2.492,1.2202,0.2888,1 
6.5582,0.9015,3.2928,1.626,2.0269,1.7615,1.4276,2.6642,0.1411,3.0664,0.8789,1.2019,1.8175,1.1057,3.1674,-0.4497,2.7145,4.8352,1 
6.1919,0.1143,2.223,1.3385,1.6211,3.2049,-0.0005,2.9225,1.3309,0.415,0.3854,3.1093,4.3226,2.654,2.6128,0.7152,2.3465,2.436,1 
5.0949,0.8442,-0.6008,1.1088,0.601,1.6428,0.0852,1.9323,2.0787,0.7038,1.1963,2.5431,1.5476,2.1097,2.5829,1.3338,1.8541,1.3594,1 
5.467,0.2597,2.1766,1.069,0.8289,2.0677,1.9347,3.0751,1.0139,2.5892,2.1559,0.2556,2.899,1.4678,2.8263,2.5419,2.234,2.0695,1 
5.0443,0.3766,1.5511,4.9857,0.8994,2.1691,2.9748,1.1008,2.7524,1.9392,2.7572,2.7564,2.2834,1.562,1.6398,4.2026,1.8604,2.4325,1 
5.1456,-1.1453,2.2748,2.6147,1.5392,1.541,3.2056,2.0349,2.1889,3.0424,1.553,1.273,2.8995,2.3641,1.2572,1.9143,2.2991,-0.1147,1 
3.5739,1.2498,2.6513,0.5341,2.8521,2.2072,1.063,1.2461,0.9556,3.7846,2.9597,4.0294,2.0801,2.9587,2.3483,2.0342,4.0313,1.8797,1 
7.1278,2.8702,2.2617,0.717,3.0941,2.5328,2.3227,2.1378,1.1805,3.6975,3.3174,2.3459,1.6451,2.6199,1.937,-0.5565,2.0166,1.7351,1 
4.8334,-0.2519,1.012,2.4209,2.1939,1.4541,4.7374,1.1717,0.0549,0.4191,1.5251,1.1811,-0.2397,1.6799,1.9299,0.8607,3.3329,1.3116,1 
5.0559,-1.6832,2.7179,1.5583,1.9227,1.821,1.5503,1.5571,2.6286,2.289,2.5229,3.5625,0.9122,3.1825,2.0276,1.7184,3.5886,4.4529,1 
4.9176,0.8847,1.8372,0.273,2.5101,2.5807,2.8806,2.0223,1.8684,3.8492,2.0622,3.3494,3.1032,2.2109,1.9597,0.317,2.2875,0.8051,1 
