Feature1,Feature2,Feature3,Feature4,Feature5,Feature6,Feature7,Feature8,Feature9,Feature10,Feature11,Feature12,Feature13,Feature14,Feature15,Feature16,Feature17,Feature18,Class
* 
1.8384,10.1114,2.1911,1.7492,2.8148,1.3857,1.8302,0.1044,3.2234,3.8256,3.193,2.7929,1.9798,2.2503,1.2553,2.0626,2.284,1.6001,1 
2.694,9.94,1.1657,2.8892,0.7931,1.8592,3.5061,1.9905,2.4179,1.3462,2.9681,2.5547,2.9507,2.2845,2.9133,3.0989,-0.2366,3.2468,1 
2.9671,7.6595,1.8585,1.1522,1.3894,2.3973,0.385,2.6738,2.0745,2.2698,2.9519,2.4458,1.8456,1.9358,2.6089,0.7527,2.0393,2.017,1 
1.6754,12.5069,0.7349,2.1593,1.7489,0.6684,2.8136,1.7505,1.842,2.0662,0.8237,3.4441,1.2646,0.5579,2.7513,0.4463,0.9071,1.5802,1 
1.0485,9.5198,2.0005,1.8069,2.7157,1.3894,1.7452,2.8024,2.5619,1.9635,3.0691,2.8426,5.3091,1.7879,1.6518,2.2265,0.4229,1.1567,1 
1.3354,9.572,0.9917,1.548,3.9157,3.8544,2.3773,1.1508,1.2391,2.5465,0.9411,1.8096,2.1055,1.1422,3.605,3.1043,0.3769,2.0379,1 
3.221,10.434,0.555,2.3654,0.7659,2.952,2.5058,1.7601,1.365,1.9722,2.3121,1.2955,1.1896,2.7159,1.7605,2.7323,2.1238,3.2065,1 
2.3211,9.8309,1.7277,2.359,2.4311,2.258,2.989,1.2491,2.3514,0.1514,1.9651,0.8597,4.6557,0.7309,1.4293,2.0254,2.51,1.9952,1 
1.4801,10.4234,1.9187,2.0914,1.6138,2.5716,1.5573,2.9901,1.0071,2.4753,3.3762,1.669,3.2769,0.0838,3.2355,1.6928,1.1302,2.3557,1 
1.271,9.6339,3.2773,0.5006,1.2462,0.9458,3.7264,2.4866,1.2446,0.6732,2.3489,1.9624,1.8658,1.0937,2.7193,2.2083,3.2018,0.5282,1 
2.3049,9.7119,1.1965,0.4462,2.7088,1.2742,0.4921,0.5174,2.4535,3.3296,2.1944,1.0805,1.9612,3.9655,1.84,1.358,2.0151,1.89,1 
1.1037,11.7045,-0.0152,1.681,1.1528,1.5659,2.151,1.871,0.9626,0.5133,1.226,1.8654,1.5795,3.3501,2.1098,2.2647,2.0055,2.0943,1 
1.9009,11.059,1.1528,1.6911,1.8505,3.176,1.8606,2.1785,2.6055,2.1192,1.1474,1.1798,1.8941,1.6794,2.1378,2.4433,-0.6638,-0.1847,1 
3.2409,9.1125,2.069,3.5011,1.7305,2.0275,3.3249,0.95,2.7662,1.8281,1.7452,0.7745,1.9771,3.4188,1.0931,2.1871,1.5603,0.8481,1 
1.7646,7.9153,1.56,1.4644,2.6279,2.4962,3.5498,0.5905,0.7123,2.1972,1.3668,1.5082,0.6289,3.1987,0.9279,1.1143,1.8919,0.642,1 
3.186,9.9318,2.2741,1.487,1.8959,0.851,0.0743,2.9642,2.5786,0.3681,2.1338,2.0807,4.0537,2.1637,0.6324,2.3797,2.7802,3.5428,1 
1.5126,10.4307,-0.1522,3.7575,2.4464,0.8448,2.5478,2.8656,3.4784,0.6292,2.3878,2.603,1.8236,0.9687,2.716,2.1611,1.7994,1.6196,1 
2.3109,12.3073,1.6743,-0.1761,1.5183,0.5703,0.8212,2.3091,2.9287,1.0296,3.0039,2.8632,2.356,2.7518,1.7185,2.0271,0.5545,2.2126,1 
1.3628,10.9487,2.7505,1.293,1.8999,1.6564,1.4673,3.8028,1.1542,3.1944,1.6274,2.4425,1.8285,1.1927,1.3474,2.2407,3.6988,2.5908,1 
0.862,9.5769,2.8217,0.1572,2.3749,1.7423,1.5322,3.3409,1.3335,0.2117,1.5569,2.28,1.9994,2.8477,2.6019,3.0507,1.7902,2.2619,1 
0.983,11.1678,1.554,2.6131,2.3962,3.3142,2.2479,2.0275,2.1885,2.2829,3.046,1.7101,1.6018,2.3758,2.699,0.3851,0.5549,2.1962,1 
1.516,10.9837,1.3574,2.822,1.1528,1.8046,1.3049,1.3569,2.1472,4.0177,1.6306,1.9993,2.2531,2.6617,2.1534,1.8475,3.1149,1.6373,1 
2.8995,8.2643,1.9571,2.9744,1.7565,2.9193,2.147,3.4245,1.0399,2.6935,3.9892,2.3365,2.2058,2.5783,2.8986,2.6764,1.3796,1.8213,1 
3.9239,9.5924,1.3587,2.0996,0.9064,1.3489,2.1281,2.1557,1.618,1.9164,2.0772,2.7208,3.0472,1.0774,2.3481,3.2692,1.6261,3.2035,1 
1.8782,8.2032,2.0705,1.9706,2.7416,2.0152,2.194,2.3021,2.0001,1.4237,2.8934,3.1664,1.9533,3.0756,-0.553,0.8765,1.3434,1.8643,1 
2.2738,10.8702,0.8602,0.6043,2.1747,2.9058,0.5395,2.1203,2.0586,3.6163,1.9672,4.2655,1.6413,0.587,0.9961,1.353,1.3963,1.0353,1 
1.5574,9.712,2.7988,2.6699,1.7025,0.8942,2.705,0.3401,2.3114,1.9222,2.5573,2.3481,1.3533,2.9244,0.634,1.1406,2.3319,1.3748,1 
1.7282,9.8805,1.2201,-0.0393,2.3896,1.4822,2.5387,2.5543,2.424,1.7512,0.8683,2.907,2.6355,2.9805,3.0979,0.8052,0.6458,1.8554,1 
1.1619,9.1207,3.1632,1.486,2.8659,3.213,1.7167,3.526,0.4197,2.1668,3.8589,0.712,1.2557,2.4756,2.5602,2.5794,2.8272,4.0434,1 
2.0664,9.7452,1.3797,2.352,2.4368,1.3099,0.9829,3.4289,2.3737,1.3397,0.8473,3.2658,2.5656,1.1727,1.0117,3.1533,2.364,1.8312,1 
1.4876,9.6801,1.3106,2.9383,1.9748,2.3671,2.338,1.4366,2.0851,1.7172,2.1955,2.5596,2.9772,0.4385,1.9835,1.8661,3.4126,2.625,1 
-0.7235,9.3783,2.9294,1.9235,2.6284,0.9115,1.4122,0.5452,2.4543,1.6384,2.6836,0.8631,0.9295,2.2615,-0.7005,2.3676,2.4153,0.5384,1 
1.2217,9.6209,1.3264,2.4507,2.4176,2.7925,2.7638,4.1114,1.9959,2.7531,1.1493,3.0328,0.0201,2.1136,2.197,2.2792,2.7468,0.2957,1 
1.7672,11.0136,1.9365,3.4746,4.1959,3.7705,1.8778,3.6548,2.4291,2.6149,2.4201,2.1379,2.5698,1.3886,0.1394,1.8292,2.5234,2.1299,1 
2.2632,10.0985,2.2915,3.1356,1.4443,2.3747,2.0908,1.836,2.6757,1.3413,1.2732,3.3664,3.6876,1.3533,0.0097,2.2008,2.2873,3.4043,1 
2.6966,11.1356,1.7592,2.48,1.3895,0.6017,1.3617,0.4325,2.4276,3.6579,3.0947,1.0335,1.9987,1.8866,0.0353,2.577,3.0638,2.8895,1 
2.6255,9.1099,-1.5469,0.9698,2.2161,2.291,3.1284,2.991,2.5627,1.9563,1.2852,2.1141,0.4976,2.2975,1.3294,3.1103,0.6265,1.054,1 
1.5231,9.883,3.4041,0.8116,1.9913,2.6688,1.9056,0.2395,2.9394,4.0391,1.3915,2.4222,0.6388,1.4114,3.1017,1.9253,2.4149,2.1066,1 
2.4595,8.133,2.158,0.1974,2.7594,3.8436,0.9104,2.9429,3.198,1.7801,2.1786,1.4164,1.0747,1.3224,1.471,2.2271,3.2174,1.9621,1 
1.8812,9.2048,2.719,0.0502,1.1783,1.849,3.9358,1.8116,3.0903,2.7532,0.4705,0.9988,2.0523,0.5526,2.5215,2.1813,2.1736,0.9895,1 
1.3809,10.8972,1.8368,2.0925,2.7,-0.4253,1.529,1.0898,2.2642,1.2269,2.1833,2.4832,1.1852,2.3278,1.7024,2.03,3.3458,1.3341,1 
1.8551,9.3126,1.8282,3.827,2.4919,0.2894,2.5514,1.6443,2.7829,1.7975,2.757,1.7202,0.4077,0.6943,1.8763,2.7054,2.2035,1.5308,1 
1.2507,9.6979,0.9956,2.8378,1.4843,1.5579,2.5302,1.4824,1.9661,2.8575,1.497,2.5443,1.2429,2.5578,2.8592,0.2246,2.7539,1.0933,1 
2.5534,8.7454,2.2918,1.3417,2.0879,2.4208,-0.1151,0.968,1.5353,1.9448,1.6505,1.6345,1.5664,2.6037,2.8944,1.357,2.8325,3.8855,1 
1.8745,9.7308,2.9722,2.9965,2.9065,1.1185,1.0471,2.3953,1.5674,3.9624,2.6865,0.9309,2.2255,2.7266,2.1749,1.234,1.6637,2.5078,1 
2.8982,8.9822,1.9668,0.9542,2.3009,2.6067,3.1049,2.3504,2.2595,3.5354,1.4582,2.7663,0.0108,1.9394,0.7461,0.9835,0.7203,3.6422,1 
0.4029,8.6087,1.3694,2.4095,1.9531,3.8389,3.6094,1.4318,3.0879,2.4818,1.8079,0.8784,1.4892,1.2874,3.3852,1.6081,2.2961,0.975,1 
1.1908,9.3972,2.4729,1.4111,0.1591,2.6376,2.1689,2.3684,1.9668,0.8209,3.2826,1.211,1.5426,1.9464,2.4075,0.8532,1.6614,2.081,1 
0.1819,9.1256,1.9276,0.9235,2.6167,0.3496,0.5299,2.0608,0.8571,1.6693,2.7488,2.4393,3.0645,2.4192,2.281,1.3097,1.7986,2.8392,1 
1.4616,8.5243,1.5484,2.1665,2.286,2.6405,1.729,2.459,1.7617,1.3151,2.2891,1.9327,2.7817,2.259,3.0377,2.8576,1.8834,0.8323,1 
2.0716,9.0061,-0.1802,2.3853,1.8585,1.0906,1.0841,2.1951,1.975,2.4238,0.9834,2.2272,1.5038,3.8118,3.6043,3.6821,2.4647,0.4351,1 
1.0298,8.0765,2.4222,1.1327,3.5832,2.9476,2.9376,1.0812,1.0185,1.4777,1.2285,4.0135,2.8621,4.1821,0.6499,1.3565,1.8597,1.3121,1 
3.5013,11.1575,1.0933,1.2237,1.2984,0.9146,3.1773,0.3312,-0.5757,2.1031,-0.2522,0.5335,3.261,2.381,2.173,2.2686,2.0891,1.9317,1 
2.6054,10.141,0.8697,2.0959,1.2325,1.2575,1.8617,0.6823,-0.4418,2.604,1.0984,2.9664,2.6268,0.7012,2.8391,3.1604,1.2268,1.5391,1 
