Feature1,Feature2,Feature3,Feature4,Feature5,Feature6,Feature7,Feature8,Feature9,Feature10,Feature11,Feature12,Feature13,Feature14,Feature15,Feature16,Feature17,Feature18,Class
* 
2.1297,9.5838,2.0021,1.8073,2.4801,2.241,2.3735,1.3405,-0.3519,1.1517,1.6279,1.7447,1.6048,1.8202,1.9202,3.9177,1.787,3.5593,1 
0.3213,9.6153,2.7372,0.7224,2.389,3.4185,2.4738,1.7721,0.5321,2.2178,1.7819,2.8607,2.4547,2.8252,-0.594,1.5006,1.7101,1.4645,1 
0.773,10.5456,3.3046,0.7448,1.0308,0.7502,3.3081,1.0932,1.4206,1.7916,2.4927,0.4772,1.4089,3.8759,2.2751,3.935,2.0787,2.9737,1 
1.6708,10.5764,2.2974,3.2224,2.2687,3.8792,2.6895,2.302,4.8993,2.2817,1.8623,2.0351,3.3648,1.0951,3.3449,0.1636,2.3187,1.7407,1 
2.2407,10.6309,1.7888,1.5293,4.1581,0.654,2.957,2.0263,0.9091,3.0918,2.2969,1.0767,1.0076,0.8428,-0.2666,1.4396,1.0048,1.4485,1 
2.9901,7.2875,2.0086,2.1068,2.1945,0.2421,1.0404,1.2536,2.91,2.1444,2.7798,2.4396,1.9071,1.7981,1.2095,0.6864,3.3781,2.4059,1 
1.7284,7.8739,3.2092,1.1349,2.8393,3.4948,2.7466,1.8304,1.697,2.7796,1.2254,1.7542,1.3154,1.9079,0.686,1.3315,2.1741,1.9719,1 
1.5838,8.5206,1.9679,0.1854,1.4146,1.6422,2.6345,1.1388,2.7729,2.5023,1.9247,3.9354,1.7629,2.2931,-0.9175,2.0739,4.0368,1.5329,1 
2.3271,8.1631,1.2777,1.4178,1.1522,0.8936,2.1941,2.2705,0.4999,-0.0901,2.8317,1.3617,2.4066,2.0056,1.6761,3.8963,1.4591,2.7065,1 
2.0547,8.8018,2.473,1.9768,0.1463,2.3938,1.5838,3.0132,1.4695,0.1995,1.4001,2.8956,2.5876,1.9524,2.0699,3.5079,2.3559,0.8349,1 
2.2832,10.0553,-0.2448,2.3144,1.0853,2.6232,2.9567,1.7864,2.3105,1.8303,0.1416,1.7833,3.3246,1.5423,1.9303,1.8995,2.2173,1.559,1 
-0.4828,9.5134,1.8222,0.4169,3.3713,2.4263,1.4746,1.0755,2.2278,1.5525,2.1026,3.6525,2.1076,1.0278,3.6994,2.4992,1.8564,3.1001,1 
2.5191,8.0664,1.3294,2.9551,1.9223,2.4936,2.5107,3.6334,2.0398,-0.1114,2.8197,2.0426,1.8673,2.4819,1.2225,1.9231,3.4961,2.2345,1 
1.5783,9.1667,2.9965,1.2079,3.7814,2.1408,2.0866,1.9248,1.084,3.3743,2.2638,0.8434,1.6433,0.9121,3.554,2.3187,0.9056,4.1908,1 
1.9636,9.9689,2.2773,2.2044,0.9556,2.978,0.8996,1.0062,0.996,1.304,1.4062,3.6304,0.384,1.4509,1.3668,2.4855,1.9714,1.9883,1 
-0.383,10.0675,0.8842,0.5858,0.9955,1.2415,1.4058,0.032,1.7041,1.2392,2.6042,2.4542,1.9219,3.3272,1.4515,1.2101,1.8363,2.3705,1 
1.7771,9.4979,0.743,1.6573,1.8594,1.9671,2.0786,2.3966,0.7139,1.845,2.6411,3.1092,2.6226,-0.0092,1.6647,2.7749,2.8515,1.89,1 
3.712,12.3428,1.9297,1.0003,3.6564,2.9571,1.9495,1.8005,4.8221,0.131,3.0469,1.4891,1.5582,0.8406,2.1581,1.4535,2.392,0.9671,1 
2.6814,11.0116,1.1681,2.0728,1.7125,1.514,2.2082,2.1009,1.6988,0.7565,2.3618,0.9178,2.9838,1.0203,0.4628,2.5127,0.5532,3.1395,1 
1.1144,10.8319,2.4742,2.2433,4.0994,2.4191,1.9227,2.9827,3.7406,2.1719,1.2416,1.5308,2.0677,1.5747,1.4311,1.9324,0.7394,0.555,1 
2.3893,8.5956,3.1056,2.1477,0.4366,2.4779,1.364,1.8073,3.3344,1.628,3.0399,1.7393,1.5704,-0.5924,1.6159,2.5582,0.5049,-0.6362,1 
3.2153,9.8281,2.8645,3.6494,2.35,2.0526,1.0854,0.4669,2.8985,1.4519,1.3594,1.2535,3.5689,3.8214,0.3081,2.6514,2.3287,1.5367,1 
1.3144,10.6327,3.1816,1.3282,3.9988,1.4828,1.7254,3.2504,1.5778,2.8663,1.5459,0.8572,3.3998,0.8058,2.1432,2.902,2.7414,2.6275,1 
2.4259,10.1794,2.9162,1.4126,2.8544,1.0112,1.5166,2.808,2.7586,1.7692,0.7761,3.2866,2.7521,3.8007,1.5064,1.5153,2.7048,1.0108,1 
0.1871,8.8744,3.4878,3.5132,2.9752,2.5338,2.9634,2.7426,1.9568,1.5863,4.4759,2.7122,2.6558,3.8083,2.7546,3.2987,3.6739,1.9114,1 
1.8442,10.0087,2.2287,3.0787,1.1789,1.4891,0.9527,1.8459,0.1544,2.3558,1.1485,3.527,2.6935,1.8704,1.8228,1.5778,3.9524,2.5299,1 
1.9859,10.4109,0.1336,5.3822,3.5566,0.0696,1.9544,3.6923,3.5278,2.5788,0.9887,2.7785,1.1213,2.7546,1.3566,3.6185,1.6659,1.4073,1 
1.7758,10.3115,1.364,1.6526,2.4795,0.3317,1.7244,1.4009,1.8233,2.1872,3.3636,2.6891,3.0205,1.9743,0.8503,1.3917,2.1085,1.7713,1 
