Feature1,Feature2,Feature3,Feature4,Feature5,Feature6,Feature7,Feature8,Feature9,Feature10,Feature11,Feature12,Feature13,Feature14,Feature15,Feature16,Feature17,Feature18,Feature19,Class
* 
0.2389,-1.0292,2.0881,1.8799,2.0524,1.3104,1.3561,1.3102,0.7743,3.4552,4.0186,0.5231,3.1948,1.6738,2.037,1.7535,1.7836,1.425,1.7471,0 
1.9558,0.0675,2.8739,2.0351,1.598,2.9375,2.1439,1.938,1.1042,1.0987,0.9955,2.5312,2.3121,1.9886,1.6219,3.538,0.2575,1.2703,1.6874,0 
-0.1652,0.0092,4.968,0.9616,2.0257,2.6393,1.5939,1.3719,2.7131,2.9468,3.1204,1.5998,1.9774,1.8098,3.688,1.1927,-0.3726,1.8167,2.6564,0 
-1.1442,0.5544,2.3382,3.1162,1.25,1.2091,2.28,2.6687,2.4678,4.0088,0.76,2.3765,-0.0073,2.1364,0.6695,1.9041,0.8645,1.8,1.0824,0 
1.471,1.0302,2.9112,1.1896,3.4278,0.9839,4.3515,2.7545,3.0742,1.4851,3.8117,2.7588,1.7858,1.5223,1.0078,3.1935,3.5809,2.2841,2.9374,0 
0.8347,-0.9184,3.8001,3.4662,2.2806,2.1827,1.5075,2.5296,-1.0264,1.2091,1.2692,2.0503,1.4132,1.6545,2.787,2.6175,3.1058,3.1773,1.7899,0 
-0.3003,1.6407,2.0385,1.5425,1.717,2.9915,2.2496,0.5026,2.162,1.4815,1.3369,1.7627,1.6683,1.6562,3.7939,4.4872,0.496,1.7099,2.6246,0 
-0.5716,0.9661,1.4298,2.7437,-0.086,1.3022,2.6856,1.639,1.0929,0.8446,2.0055,2.6156,2.3552,2.1135,2.7533,0.6084,3.4273,3.9538,1.7146,0 
0.4997,0.045,2.2108,0.6647,0.8402,1.9111,2.6817,2.5751,1.0558,1.5186,1.1149,0.863,0.8741,2.2322,2.6368,1.9709,2.3144,2.3933,1.7643,0 
