Feature1,Feature2,Feature3,Feature4,Feature5,Feature6,Feature7,Feature8,Feature9,Feature10,Feature11,Feature12,Feature13,Feature14,Feature15,Feature16,Feature17,Feature18,Feature19,Class
* 
-1.2023,-0.6656,2.3717,1.9961,4.0695,3.0174,1.7352,2.1474,1.7267,2.007,3.2749,2.2067,2.806,1.1206,2.1099,4.3893,1.4303,1.1757,1.362,1 
0.8137,-0.3322,1.1512,3.2217,2.6579,2.1716,2.6499,1.479,1.2394,1.871,2.2169,2.7435,2.791,2.4911,1.2687,1.3687,0.2194,1.1166,2.8273,1 
1.1206,-0.0455,1.5537,2.0218,2.2796,2.7454,2.7379,3.033,2.035,0.9394,1.4927,2.2272,2.6989,1.4989,3.2323,1.5793,1.9283,0.8732,2.7605,1 
-0.2472,-1.1053,1.9728,1.1222,2.0398,1.8753,1.7399,0.8594,2.6482,1.6669,3.5887,1.0202,1.013,2.7313,2.2427,2.9216,3.5554,0.8299,1.2448,1 
-0.0512,-0.6567,1.3288,1.3695,3.0688,0.4307,2.2019,2.8447,1.1442,2.9985,1.4528,2.1675,2.9597,0.8109,0.3532,1.4997,1.9666,-1.1558,2.4574,1 
0.0485,0.5406,1.5196,3.6295,2.1061,0.9915,2.4546,1.6862,0.7866,1.3384,1.742,1.996,3.5105,2.938,2.7687,3.0728,1.1769,2.2314,1.0208,1 
0.4351,0.6094,3.287,1.4448,2.2709,4.2698,3.7163,1.5683,0.5604,2.5396,4.0372,2.7344,2.3206,1.1792,2.4145,1.8818,1.8129,2.5102,2.2515,1 
0.1066,0.2204,1.3978,1.4684,1.2673,0.2681,3.3364,1.3538,0.1985,-0.5016,2.0883,0.6452,1.1071,3.1876,2.1347,1.7944,2.8421,1.6061,2.2537,1 
0.7656,0.3601,1.2155,2.1454,2.2602,0.286,1.911,3.0308,2.2833,1.9824,2.5384,2.2838,2.9635,0.9496,2.6546,2.1663,1.9418,3.7806,2.7255,1 
-0.1004,0.7988,2.8765,3.3893,1.7826,2.6951,1.9421,3.1981,1.92,0.8242,3.5343,-0.1225,3.7375,4.5419,2.0446,1.8321,0.9159,1.3672,2.9973,1 
1.6897,-0.1648,1.5682,3.8923,0.3436,3.1763,2.5222,2.5617,1.1796,0.5475,2.3838,2.8877,2.1009,2.0149,1.239,2.4708,3.8198,2.0353,2.4987,1 
0.8433,0.1782,3.3997,1.9481,3.5019,3.2943,2.137,3.0211,2.2225,0.9836,1.0394,1.4761,0.3077,1.8786,1.965,1.1315,4.7892,0.9449,2.4448,1 
0.3649,0.6559,2.1973,2.8906,0.7766,4.5548,2.5337,1.9533,1.3814,-0.6853,1.4321,0.2549,2.9537,1.2565,2.374,2.3962,-0.2497,0.2149,3.6571,1 
