Feature1,Feature2,Feature3,Feature4,Feature5,Feature6,Feature7,Feature8,Feature9,Feature10,Feature11,Feature12,Feature13,Feature14,Feature15,Feature16,Feature17,Feature18,Feature19,Class
* 
1.5076,-3.1299,2.6721,1.7368,0.4134,1.0813,1.8311,1.7595,2.4372,2.9093,-0.1302,2.3358,2.2174,2.4459,1.8211,3.7315,2.117,2.181,0.8383,1 
-1.2893,0.3054,1.0454,2.3314,3.0928,2.8869,2.4156,2.0487,2.3369,5.0079,1.2973,3.3105,1.545,1.3393,3.0155,0.3964,2.0677,1.6402,1.3921,1 
0.3204,-2.5013,1.8688,1.1254,1.8302,1.4231,0.9169,2.6808,3.0353,1.2387,2.8253,2.8789,2.3018,1.829,2.2211,0.8793,1.6337,3.1197,0.9682,1 
0.1055,0.2458,1.9929,1.1953,2.3569,1.6594,2.1823,3.5028,2.1509,2.2094,3.6965,1.0279,4.2647,2.6542,1.4021,0.6199,0.7611,1.6655,3.3202,1 
0.0822,0.5141,4.6212,2.3266,0.344,1.1248,2.9978,2.1396,1.0239,3.4326,0.801,3.4678,0.547,0.8716,1.3271,1.9504,-0.2845,1.0122,1.5813,1 
-2.0849,1.4579,1.0071,3.3053,1.4348,1.7415,3.1384,2.6539,1.3981,2.1903,1.0079,1.8199,2.6922,1.5326,1.9731,2.1115,2.3335,1.0269,1.9907,1 
0.0421,0.244,3.1868,3.7455,-0.4652,1.6371,1.1951,2.7672,-0.0766,2.0361,0.7141,0.9503,3.1358,2.6508,1.6996,0.5879,1.2078,2.4932,3.6806,1 
-0.8354,0.6068,1.8763,-0.0545,1.06,2.2548,1.788,3.0508,1.6395,2.0177,1.7529,1.5584,3.3375,2.7982,1.6115,2.2295,2.3735,1.7458,1.8739,1 
-1.6055,1.2364,1.7001,0.4599,3.045,2.6961,2.8142,2.6091,1.4747,1.357,1.4334,1.8956,2.2137,3.9841,2.2364,3.1886,2.6675,2.1373,3.1124,1 
0.6594,0.5653,2.9298,2.3204,1.763,1.0464,3.1906,2.4377,3.0654,2.2381,-0.4148,3.9964,3.021,1.6241,1.5201,3.0756,3.2988,3.2841,2.3029,1 
