Feature1,Feature2,Feature3,Feature4,Feature5,Feature6,Feature7,Feature8,Feature9,Feature10,Feature11,Feature12,Feature13,Feature14,Feature15,Feature16,Feature17,Feature18,Feature19,Class
* 
5.6255,-0.5355,2.1407,2.5185,1.0661,1.7879,1.0797,1.9264,3.6741,1.3073,1.7206,1.4579,1.3016,2.1733,2.1753,2.366,1.2364,2.5886,0.2436,1 
5.9172,-0.4115,1.4483,1.2072,1.0243,1.6755,2.0512,0.9679,3.1643,0.8379,0.3791,3.4015,2.768,2.1244,0.6368,2.2006,1.0068,3.7952,1.5199,1 
4.1883,0.3158,1.8528,2.0068,1.567,0.782,2.2979,2.5546,1.8676,3.033,2.7113,0.6657,2.1169,3.4717,1.4837,2.6773,2.9057,2.6095,2.0836,1 
6.5095,-0.0065,2.0844,1.546,2.1912,2.8964,1.9335,0.6791,3.0834,1.6839,0.9529,2.0524,-1.2532,1.8665,2.0459,3.0369,3.6172,2.5671,1.9365,1 
4.8986,0.1315,2.0573,1.7546,1.3623,2.2624,2.494,1.865,2.5946,2.5009,3.4572,3.5882,1.4039,2.2433,1.7878,2.1595,1.6827,2.9915,2.9065,1 
4.9911,-1.0823,1.4246,2.5229,1.7452,2.7743,-0.3125,2.5834,3.3557,2.7154,1.9419,3.0249,1.8875,2.8156,1.5074,2.2742,3.6005,1.5023,0.9605,1 
5.2429,1.9739,1.7318,2.2782,1.6526,2.7679,2.3891,1.8656,3.2623,1.372,0.1584,2.0379,2.1334,4.5796,0.4774,1.2954,0.8247,2.3392,2.4685,1 
4.1254,1.2042,2.1709,1.9944,0.63,2.409,1.9915,1.1462,4.5278,1.3858,0.593,1.4844,2.7255,1.9844,1.9155,1.9046,3.0132,2.5219,2.7072,1 
5.9118,-0.0171,2.2974,0.9786,0.6762,0.7003,3.723,1.5595,2.7984,1.0309,3.2026,2.2688,1.5599,1.4707,0.6889,2.4101,2.0676,1.7449,2.5932,1 
5.4447,1.3994,-0.4624,1.7605,0.7025,1.1828,1.6512,2.1572,1.2114,2.478,1.62,2.9717,2.282,0.9873,2.6268,3.0296,1.6526,0.5211,1.4376,1 
5.1654,-1.3346,1.2644,2.1,2.5094,2.4729,1.5687,0.4102,2.2303,-0.0597,2.202,1.2026,0.9287,3.0557,2.4265,1.1329,2.9758,1.8003,2.1321,1 
5.6127,0.1431,1.6925,2.4049,1.9233,1.9793,4.2988,2.4752,2.8571,1.1652,2.4229,4.3053,3.4402,2.0921,1.4298,3.1112,3.6334,2.2621,3.0441,1 
4.0141,-0.1331,1.9297,0.3844,3.4068,2.1994,1.0798,1.815,2.6312,2.2128,3.4094,-0.2487,3.1576,0.853,2.7007,1.2343,1.9569,1.941,1.8311,1 
5.1938,-0.1723,1.7759,1.723,2.4697,0.7393,2.7202,1.3582,2.9641,1.5867,2.4448,1.1812,0.7827,1.8376,3.0188,1.9433,2.9493,0.8174,2.6044,1 
7.1979,0.5822,2.5996,0.7568,2.1734,1.0141,3.1685,2.1782,2.9538,2.7478,1.2702,1.6613,3.3883,2.0697,4.229,1.2381,0.068,-0.2376,1.0778,1 
6.2816,-0.2085,1.8181,1.1189,2.3101,2.4023,0.3548,1.9879,3.6648,4.2728,4.5196,2.0147,2.8544,2.8883,0.8931,2.5656,2.6378,1.968,2.5649,1 
4.5367,1.1216,0.687,3.6648,2.2584,2.657,2.029,2.2783,3.8236,1.3284,1.4673,2.3677,3.4878,3.0255,1.9351,0.7808,3.3809,0.9715,2.6783,1 
3.1589,0.791,1.5693,2.0149,1.6695,2.9715,0.581,0.3488,2.4619,2.0382,-0.3878,1.8072,2.4025,2.0198,2.5736,1.9166,1.9405,1.8185,2.0425,1 
4.3603,1.0385,2.4171,1.3107,-0.1665,-1.4187,1.4969,4.8947,2.3358,1.6291,0.1977,2.7337,0.5757,3.8794,0.1607,1.602,1.5373,2.4968,0.413,1 
