Feature1,Feature2,Feature3,Feature4,Feature5,Feature6,Feature7,Feature8,Feature9,Feature10,Feature11,Feature12,Feature13,Feature14,Feature15,Feature16,Feature17,Feature18,Feature19,Class
* 
2.7688,9.2509,3.3388,4.4585,2.4721,2.932,1.6442,3.6634,0.5154,2.1582,0.4632,1.0632,3.1276,2.2805,1.233,1.3174,0.3837,2.2936,2.273,1 
-0.2765,10.4929,1.497,-0.4138,1.058,1.1246,0.3465,-0.0532,2.3003,3.6709,0.7857,2.6573,2.7694,2.6582,1.2994,2.6569,1.2184,1.6475,2.4338,1 
2.2688,11.4042,1.4079,1.5655,2.489,0.9925,2.121,1.4748,2.1515,2.492,1.8924,3.4311,2.9688,1.0641,3.3948,1.7788,3.3622,2.9542,2.9308,1 
1.667,10.0628,0.6252,1.3048,3.1957,1.903,2.9418,2.7958,4.4397,1.8562,1.965,0.3484,2.5105,3.0127,2.8166,2.0993,-0.0411,1.9232,3.0161,1 
0.8649,10.0441,2.5268,1.8794,3.0926,1.813,-0.5645,0.3798,-0.2712,4.3224,2.5729,1.0126,3.202,2.6398,3.1184,2.3375,1.6673,3.3611,-1.2188,1 
1.2506,10.208,2.4797,0.4309,2.2294,4.8773,1.8278,2.201,1.6931,1.8171,1.8784,2.2669,2.0925,1.1846,2.643,1.3324,1.0172,2.9598,2.9238,1 
3.6474,10.8109,2.5822,3.4608,1.929,3.357,1.1126,4.101,3.0812,2.8044,0.7075,0.5381,1.2785,1.4262,1.345,2.8795,4.1783,2.0329,1.8317,1 
3.0851,10.1214,0.0197,0.8834,1.3038,3.7034,0.2998,0.8818,1.7377,1.0052,1.311,1.7597,1.1231,3.546,1.2077,3.8499,2.5666,1.5887,1.7075,1 
1.9329,10.6815,2.9748,3.6087,1.6941,3.4005,3.3345,0.9092,0.1582,1.0862,1.912,1.6899,2.7073,0.8903,1.2834,1.6437,2.2057,0.6073,1.5357,1 
1.0841,9.7731,2.0009,1.2696,2.4255,1.938,1.0444,0.6526,1.776,2.3258,2.9739,2.5978,3.2535,1.5513,0.8968,1.42,1.3944,1.7559,2.9495,1 
2.8421,10.396,1.5164,3.8896,1.6817,1.8132,3.1691,3.6008,2.9103,0.2795,2.1113,3.5916,0.9917,1.5659,1.7155,3.8644,3.1023,2.0407,2.3988,1 
1.5793,9.0037,1.994,2.3064,2.111,2.6456,2.314,1.2594,1.2531,4.0815,1.0117,2.5795,2.3931,1.1642,0.5109,1.2012,2.2545,-0.2762,2.5538,1 
1.7903,12.2009,1.2902,0.9044,1.5777,1.2176,2.757,2.1384,1.6325,3.3051,2.9232,2.3913,1.3482,2.1114,3.384,2.4185,1.4186,1.1881,2.3586,1 
1.1817,8.5078,1.2026,2.8235,1.8623,1.8239,1.0216,0.8686,1.5469,2.6666,2.9125,1.8324,3.6073,0.8975,3.7202,1.8769,1.6328,4.2027,2.8353,1 
1.0504,11.1501,3.299,0.0309,2.7024,4.0986,1.4614,1.67,2.0299,2.0651,4.4738,2.4743,2.3393,2.3288,2.3687,2.4017,1.9758,1.2388,3.5659,1 
1.4079,8.6146,3.1337,2.7953,2.8163,2.6096,2.5376,2.0436,2.2292,3.3812,0.7005,-0.0845,-0.0633,3.0114,3.1558,3.5975,2.6726,3.1574,2.1816,1 
0.5914,9.8073,2.2625,2.6422,1.4172,2.8387,4.0819,0.7656,-0.3011,2.4631,1.4423,1.7664,2.2161,-0.4539,1.3737,0.9399,1.5625,2.0765,3.0535,1 
3.2086,11.1828,3.1885,2.5541,4.0958,3.1013,3.5242,2.2317,3.2408,2.6728,1.1822,-0.9361,1.5768,2.6856,-0.2609,1.4482,2.5718,0.5313,1.6811,1 
2.713,9.9361,2.0709,0.8975,1.2476,2.3096,2.8933,2.852,1.0732,0.7608,2.934,1.8513,3.2418,4.4282,2.4757,2.9459,2.5621,2.0683,3.2631,1 
1.3223,9.6009,1.0332,1.6886,2.6646,1.6142,1.5775,2.0405,1.3867,1.6538,2.8532,0.9582,1.9938,2.8655,2.1272,2.2184,2.267,2.7066,1.6765,1 
3.5066,10.4262,-0.2289,2.0775,2.5824,1.9798,1.2605,0.4186,2.434,1.569,1.467,1.4651,2.227,1.6831,3.5367,1.5762,3.7085,0.9874,0.8621,1 
0.8176,9.7513,1.6534,3.2578,1.1889,2.8245,2.2354,2.7678,1.1103,1.7484,0.6491,2.0423,0.7967,1.4045,4.4485,3.3647,1.9574,2.4868,0.467,1 
1.1718,10.9291,3.041,0.7226,3.6734,0.9319,2.4027,1.3405,1.5225,2.8255,0.6718,3.1953,2.2668,1.8354,3.3219,2.1504,0.495,2.0829,0.0306,1 
1.3975,9.6291,5.5324,2.6333,2.567,2.2829,2.9761,2.6805,2.5335,2.4711,0.4119,2.7578,2.0964,1.6464,1.1023,2.2977,4.2243,2.5205,3.402,1 
