Feature1,Feature2,Feature3,Feature4,Feature5,Feature6,Feature7,Feature8,Feature9,Feature10,Feature11,Feature12,Feature13,Feature14,Feature15,Feature16,Feature17,Feature18,Feature19,Class
* 
2.9629,9.046,2.4931,0.8582,3.5164,1.7156,3.6661,2.2008,1.8821,0.5623,1.7343,-0.3978,1.0638,0.1788,0.8199,2.5825,2.6631,2.3095,1.6909,1 
0.2309,10.9325,2.4476,3.4045,1.6351,1.7074,1.9249,-0.3683,1.5989,3.4768,3.2131,3.0868,3.0602,1.1428,0.8712,1.9046,2.6835,1.7245,1.2174,1 
4.7756,10.2405,1.3909,2.532,0.9806,1.1252,0.3104,1.8068,0.656,2.9538,4.3142,2.3568,0.7456,2.8316,2.0512,4.1702,2.8876,2.5938,1.8216,1 
2.3237,10.2535,1.6404,3.4914,2.536,3.2097,1.0415,1.9342,1.1924,2.4206,1.2912,2.2516,0.4037,3.9953,2.495,2.7427,0.3377,1.9363,2.8748,1 
-0.0009,8.6174,0.7288,1.8413,2.3523,3.675,1.4163,2.8291,1.0089,3.1955,2.4165,0.0814,1.757,1.1575,2.8494,2.2764,3.3443,2.0047,2.2872,1 
1.1292,9.7685,4.2046,1.3481,2.7441,3.993,2.3433,3.2148,0.9589,1.7514,0.7895,1.7499,1.7593,1.9077,2.6417,1.1443,2.6274,1.1295,1.248,1 
2.5707,11.5087,2.1148,1.7672,0.3887,1.1879,1.9884,2.9574,2.4793,2.3571,1.0954,0.4434,2.1084,-0.7993,1.7627,0.065,1.509,2.73,2.117,1 
2.2195,9.9274,2.4615,0.1628,3.3065,2.1349,2.595,5.0332,1.1821,1.8482,3.4251,2.7,2.9969,1.2826,3.741,2.3547,2.8671,1.0161,2.1013,1 
1.7763,9.5681,-0.2216,0.837,3.9418,0.8423,1.2916,1.2108,2.5729,1.5153,2.4709,2.9533,0.9767,1.9299,0.52,2.057,2.0899,2.1098,3.3544,1 
2.4746,9.3139,1.3592,0.3518,3.1184,4.5158,3.0225,2.0964,2.0568,-1.1957,2.0824,2.5734,2.459,1.9263,2.4087,1.8914,1.585,0.6373,3.5593,1 
3.0388,9.654,0.6141,2.7986,3.1951,1.3199,3.3079,2.3257,2.3078,2.2499,4.1709,2.4697,2.158,3.9973,0.8038,0.27,2.1704,2.6699,0.7632,1 
3.7847,9.4754,2.1455,1.7619,1.8981,1.779,-0.7322,1.7302,1.5192,1.7288,1.549,1.6623,1.3552,2.3253,1.4753,2.3772,1.4639,2.9444,2.5835,1 
1.6005,11.0004,2.0944,1.5968,1.0364,2.1624,2.3433,1.4823,1.9681,2.3576,2.4609,2.3052,2.7734,2.4217,2.296,2.2362,3.823,2.7323,2.9518,1 
2.5594,11.2987,-0.0743,0.9672,1.4892,2.2826,2.257,2.1027,6.1772,2.829,2.7946,0.8805,0.6452,1.4839,2.074,0.7633,2.3315,2.1338,1.5799,1 
2.1474,8.8833,3.0147,2.6907,1.5879,1.3205,2.4936,0.6226,2.8014,1.0384,0.8719,1.9499,1.8067,0.033,1.9613,1.7236,1.1497,2.8563,3.1508,1 
2.6664,10.1456,2.6037,2.8824,3.5956,2.2214,1.2856,2.8657,2.4068,1.9776,1.1694,0.951,2.3754,3.4537,1.5797,2.8338,1.0452,0.9912,0.7895,1 
2.4114,9.8342,1.131,1.7547,1.8154,1.424,3.3461,2.127,4.4888,2.1619,3.0795,1.5746,2.4284,2.6862,2.0609,2.7472,1.7212,1.3707,1.2591,1 
1.8438,8.6322,2.3461,3.252,3.2361,2.9268,1.7905,1.7745,1.0402,2.601,2.2477,-0.4386,0.7164,3.1198,2.9193,-0.1574,0.9431,1.8064,-0.675,1 
1.9315,7.7461,0.7137,2.3753,1.2467,1.328,3.2968,1.9439,1.4373,1.9545,-0.1609,1.2047,1.0427,0.9773,1.1669,-0.3863,2.1316,2.6211,1.1651,1 
2.486,10.6339,0.4154,1.5691,-0.0661,1.4613,3.6917,1.3504,0.7817,1.4332,1.5722,1.6746,2.2558,1.7664,3.5964,2.531,3.5229,1.6567,1.6998,1 
2.589,9.1867,1.3289,1.0755,2.1157,2.4029,3.9222,3.9483,2.8841,2.0017,3.1344,-0.4853,1.8411,2.0053,1.1341,2.7707,2.4502,2.3293,1.8301,1 
