Feature1,Feature2,Class
0.6027,0.3529,0 
1.2434,0.74,0 
0.2606,1.8909,0 
-0.1986,1.0874,0 
-0.5716,-1.3338,0 
0.3088,1.8252,0 
1.162,-1.4484,0 
0.3923,-0.0377,0 
-1.0047,-0.0289,0 
0.1329,-1.74,0 
-1.4775,0.8846,0 
-1.4679,-1.5832,0 
-0.9235,0.2851,0 
1.5161,-1.1347,0 
-2.0831,-1.5742,0 
-0.9805,-0.9442,0 
0.9535,-0.9435,0 
-1.9903,1.7948,0 
0.471,-1.1104,0 
-0.589,-0.7916,0 
0.5665,0.483,0 
-1.449,1.5566,0 
-1.1457,0.6465,0 
-0.643,0.379,0 
-2.1344,1.8868,0 
-0.9712,0.7254,0 
0.6661,-0.5236,0 
-0.0827,1.4415,0 
0.1714,1.5648,0 
1.8263,1.1547,0 
0.4507,0.1438,0 
-0.3735,1.2322,0 
-1.0753,-0.7291,0 
-0.5012,0.619,0 
-1.7733,0.1427,0 
1.4328,0.9158,0 
-0.6043,-0.7583,0 
-0.0659,0.1356,0 
0.7063,0.961,0 
-0.348,-0.1604,0 
-0.5606,0.1133,0 
0.3503,-0.8125,0 
1.7413,0.4413,0 
-0.3541,-1.3213,0 
0.137,0.51,0 
-1.0144,-0.5274,0 
-0.4312,2.0596,0 
-2.19,-1.0749,0 
2.1668,-0.3534,0 
0.0091,-2.3822,0 
0.9046,-0.7382,0 
0.0352,0.1119,0 
0.3076,-1.3001,0 
0.008,0.9297,0 
0.1102,0.1053,0 
0.6056,-0.1887,0 
-1.3491,0.3678,0 
-0.2739,-1.3333,0 
-1.8749,1.6693,0 
0.5558,-0.3098,0 
0.0735,-0.7742,0 
1.3655,0.681,0 
-1.9848,-0.6185,0 
-1.1824,-0.3962,0 
-0.8419,-1.5284,0 
0.7367,0.0118,0 
-0.7555,-0.3289,0 
1.1746,-0.6426,0 
2.5741,0.5486,0 
-0.2838,0.6542,0 
0.8131,1.6185,0 
-1.9441,0.6536,0 
1.6188,-0.3518,0 
-0.6462,0.4788,0 
0.2791,0.1398,0 
-1.5083,1.8646,0 
-0.2975,-0.1103,0 
0.347,0.6268,0 
-1.8049,0.6318,0 
1.1705,-0.9853,0 
-0.7832,0.3299,0 
0.5494,-0.7788,0 
-1.5447,0.5461,0 
0.6832,1.0923,0 
-0.2014,-0.5684,0 
0.4915,-2.1155,0 
0.0577,-0.1486,0 
-1.7534,0.1173,0 
1.3968,0.7674,0 
1.3573,-1.1574,0 
-0.1621,-0.3256,0 
0.435,0.2617,0 
0.6783,1.4985,0 
-0.4149,-0.9215,0 
0.2355,-0.7008,0 
0.8103,-0.8605,0 
-0.2088,-0.4749,0 
-1.4073,1.0806,0 
-0.6489,0.0898,0 
7.1285,0.1442,1 
4.8847,1.231,1 
5.8453,-0.5984,1 
6.349,1.2206,1 
5.1713,-1.1111,1 
5.4757,-1.0934,1 
4.3647,-1.685,1 
6.6923,-2.3886,1 
5.2456,-1.0532,1 
7.7835,0.4447,1 
6.1186,0.5277,1 
4.3002,-1.1453,1 
5.4156,0.9073,1 
6.5345,0.0515,1 
6.5821,-0.8083,1 
5.9141,0.3117,1 
4.9679,0.9448,1 
5.1739,-1.063,1 
6.6063,-0.207,1 
5.2435,-2.3861,1 
6.8739,-0.1124,1 
4.7318,0.6936,1 
5.2669,1.8255,1 
5.4572,-0.4287,1 
7.2981,-0.1873,1 
4.3748,0.1712,1 
6.9987,-0.7531,1 
5.844,-1.3534,1 
5.4916,-0.6424,1 
4.9172,0.4199,1 
7.1562,-0.5422,1 
5.5536,0.3726,1 
5.7925,-1.584,1 
6.0385,0.6443,1 
5.3358,-0.2904,1 
4.86,0.7244,1 
5.3778,1.0794,1 
5.121,0.5445,1 
5.5429,1.2311,1 
4.9855,1.0182,1 
6.2805,-0.6776,1 
6.4154,0.5742,1 
4.9148,-0.0965,1 
4.6823,0.1746,1 
7.7566,-1.032,1 
6.1677,-0.7944,1 
4.9998,-0.1095,1 
5.0545,0.4635,1 
6.7658,0.7702,1 
6.6174,0.3859,1 
4.9958,-0.927,1 
4.6992,0.6892,1 
5.6366,1.5049,1 
5.3464,-0.2599,1 
6.7074,-0.0429,1 
4.68,0.9711,1 
5.9989,1.7108,1 
6.0825,-0.5941,1 
7.764,-0.0551,1 
4.9989,0.9339,1 
7.3665,1.217,1 
5.3087,1.6064,1 
7.0408,-1.4474,1 
6.0849,-1.4895,1 
4.7018,0.556,1 
7.4827,-0.6157,1 
4.8844,-0.5834,1 
4.9188,-0.6107,1 
8.9063,0.1702,1 
5.522,0.0918,1 
6.0162,0.9448,1 
5.406,-1.1738,1 
5.908,0.1355,1 
5.966,-1.2859,1 
6.941,0.076,1 
5.2501,-0.6446,1 
4.3662,1.1931,1 
5.347,-0.1503,1 
6.0534,0.0112,1 
7.0126,0.1556,1 
6.405,-1.2162,1 
5.4228,0.8709,1 
4.9435,-0.2917,1 
4.8318,0.1299,1 
5.8804,1.338,1 
5.3338,0.1978,1 
5.5597,-2.3464,1 
6.556,-1.0229,1 
4.6487,0.6899,1 
7.2903,0.0293,1 
6.46,-0.3939,1 
4.9421,-0.7397,1 
6.8427,0.6136,1 
5.7406,-0.1213,1 
7.0208,0.923,1 
5.6358,1.4992,1 
6.6511,-0.5469,1 
6.6904,0.7209,1 
8.6111,1.9631,1 
