Feature1,Feature2,Class
0.3661,1.0843,1 
-0.7171,1.5729,1 
-1.1993,0.7515,1 
1.6248,0.3045,1 
-0.0276,0.7335,1 
0.1066,-0.9605,1 
1.0688,-1.2489,1 
1.2802,1.9939,1 
0.0701,0.4999,1 
-1.8649,0.2973,1 
-0.0889,-0.4736,1 
-0.4129,-1.808,1 
-0.2301,-0.7899,1 
-0.2385,-0.1284,1 
0.367,-0.2609,1 
0.8172,0.2785,1 
0.1017,0.6847,1 
-1.6576,0.7092,1 
1.2621,-0.8827,1 
-1.2432,0.1002,1 
0.4275,-1.4158,1 
0.5829,-1.3039,1 
-0.8257,0.1273,1 
-1.3088,-1.3795,1 
-0.161,0.916,1 
1.6744,1.6635,1 
0.6501,-1.5753,1 
-1.1865,0.6809,1 
0.454,1.0787,1 
1.1096,-0.1087,1 
1.7945,0.9691,1 
-0.416,0.9173,1 
-0.6283,1.1944,1 
2.5072,1.4091,1 
0.9698,-1.8358,1 
0.1208,-0.4087,1 
0.3999,-1.3045,1 
0.908,-1.8429,1 
0.4327,1.1059,1 
0.3232,-0.2109,1 
-0.0995,1.4798,1 
1.081,-0.1306,1 
0.8593,1.0634,1 
0.9183,0.945,1 
1.736,-0.5429,1 
1.7553,0.5112,1 
0.4197,-0.3856,1 
-0.0307,0.0311,1 
0.7966,0.2532,1 
0.104,0.2385,1 
0.6997,0.3435,1 
1.3801,0.4256,1 
-0.4535,-0.2654,1 
-1.0673,-0.1539,1 
2.2164,1.9227,1 
0.1909,-0.5603,1 
-0.4658,0.611,1 
-0.3501,0.4502,1 
-0.7594,-0.4335,1 
0.2107,1.7993,1 
0.3416,0.7171,1 
-0.1485,0.6845,1 
-0.3691,0.1985,1 
0.2445,0.3486,1 
0.3171,-0.9727,1 
0.1642,-0.5144,1 
-0.2497,-0.5857,1 
0.9079,0.8827,1 
0.8126,0.3162,1 
0.3509,0.8331,1 
-1.0682,-0.0416,1 
2.2756,1.1708,1 
1.1013,-1.8355,1 
-0.7148,-0.3607,1 
-0.7857,-0.5109,1 
-1.3375,-0.0395,1 
0.1967,-0.721,1 
-0.9364,-0.4515,1 
-0.3567,3.1775,1 
1.5565,-0.8446,1 
1.0808,0.2248,1 
-0.1609,0.5648,1 
0.5369,1.1019,1 
0.4777,0.6305,1 
0.9816,-1.4399,1 
-0.4922,0.9055,1 
0.249,0.9278,1 
-0.7983,-0.5111,1 
1.5572,0.6197,1 
-0.1464,-1.303,1 
0.8366,-0.3181,1 
-0.004,0.6052,1 
1.5352,0.4388,1 
-0.3681,-2.1268,1 
-1.1061,-1.4983,1 
-0.6916,-0.9175,1 
0.8895,0.1214,1 
0.7013,0.0197,1 
-0.3931,1.769,1 
1.8508,-0.0339,0 
0.8137,1.5744,0 
1.8086,-0.8164,0 
2.8277,0.2468,0 
2.9828,-1.4603,0 
3.5038,0.7967,0 
4.0373,-0.5978,0 
3.0408,0.1301,0 
3.447,-1.0871,0 
3.0007,-0.1233,0 
2.8401,1.4806,0 
1.8616,-1.7303,0 
2.7209,0.7769,0 
2.8767,2.1479,0 
2.6238,-0.1351,0 
3.2318,1.0166,0 
5.873,-0.7782,0 
3.956,-0.9401,0  
2.2095,0.3997,0 
1.8545,-0.0892,0 
0.9094,0.0023,0 
2.6223,0.7224,0 
4.6322,-0.591,0 
2.252,0.3536,0 
3.5612,-0.5185,0 
1.8874,-0.2781,0 
4.2597,1.1942,0 
1.1826,1.8509,0 
1.9275,-1.4242,0 
1.8438,-1.6732,0 
1.5581,1.2772,0 
2.6162,-2.0437,0 
3.6608,-0.763,0 
3.2183,1.1684,0 
2.5159,-0.2438,0 
3.7595,0.5215,0 
3.9539,1.0,0 
4.2173,-0.057,0 
1.5693,-0.0299,0 
2.6037,-1.0603,0 
3.0249,-0.8087,0 
1.2268,-1.4993,0 
2.3875,-0.0315,0 
2.0763,-1.2566,0 
3.1644,1.1479,0 
2.4605,-0.7177,0 
0.3131,1.6485,0 
4.3451,-1.0536,0 
3.5891,0.0575,0 
1.8374,-0.7932,0 
2.5112,0.2256,0 
4.4898,-0.6501,0 
3.5229,0.3054,0 
3.9037,0.0248,0 
2.1542,-1.4204,0 
3.8484,1.1376,0 
1.9097,-1.1937,0  
1.8804,-0.0102,0 
2.3314,-1.1529,0 
1.9676,-0.4592,0 
4.3041,-0.8787,0 
3.9937,0.9761,0 
1.5284,-0.9885,0 
3.4131,0.1308,0 
3.455,1.9772,0 
4.1757,2.3911,0 
2.9399,-0.3559,0 
1.3097,-0.2896,0 
2.1464,-0.6667,0 
2.1961,0.1973,0 
2.3893,-0.5221,0 
3.6986,-0.7927,0 
2.5722,0.342,0 
3.6002,0.282,0 
3.011,0.6449,0 
4.3281,-0.2907,0 
3.3235,1.1682,0 
4.7003,1.2536,0 
4.1786,1.1875,0 
2.043,0.3127,0 
2.9962,1.1292,0 
2.6244,1.1156,0 
3.7237,-0.0051,0 
3.4134,-0.3061,0 
2.3145,-0.685,0 
4.4418,-0.1213,0 
0.7417,-0.6277,0 
3.0114,0.8704,0 
3.6895,-0.145,0 
3.5289,-0.0409,0 
1.6377,-0.2864,0 
2.0736,-0.4201,0 
2.7103,0.311,0 
2.9932,-0.2858,0 
3.9411,-0.0913,0 
1.5372,-0.8112,0 
1.957,0.0841,0 
2.6707,1.5743,0 
2.3829,-0.6679,0 
2.2209,1.5782,0 
