Feature1,Feature2,Class
* 
0.7469,-0.8078,1 
0.6295,0.1067,1 
0.919,-1.084,1 
0.7729,0.72,1 
0.9038,0.887,1 
0.5319,-0.4605,1 
-0.2575,-2.5047,1 
-0.6138,-0.7645,1 
0.4483,0.1259,1 
-0.3382,0.6224,1 
-0.3206,-0.3056,1 
-0.1784,0.1497,1 
-0.435,0.0876,1 
-0.053,0.6703,1 
-1.5539,-0.2971,1 
0.1037,1.2185,1 
-0.548,0.5307,1 
-0.4274,0.3973,1 
1.3401,-2.2667,1 
-1.0403,0.1447,1 
-0.5861,0.8998,1 
1.4649,0.8979,1 
0.973,-0.714,1 
-0.6273,0.7875,1 
2.2328,1.8749,1 
-0.0207,-1.3169,1 
1.6019,-0.052,1 
0.3351,-0.0215,1 
1.0831,-0.4409,1 
0.8946,-0.102,1 
0.6854,-0.3981,1 
-1.3563,1.559,1 
-0.1936,-0.4396,1 
0.435,-1.393,1 
-0.3015,-1.1344,1 
-0.9482,-0.7284,1 
-1.0857,1.129,1 
-0.5648,0.0117,1 
-0.1217,-1.0028,1 
-1.2628,0.8374,1 
-0.6326,-1.1982,1 
-0.9062,-0.1095,1 
-0.3511,0.3135,1 
0.668,0.4428,1 
-1.5483,-1.1236,1 
-0.5892,0.9481,1 
0.9012,-1.4671,1 
-0.8124,-0.4734,1 
-0.6291,2.0486,1 
1.5127,-0.6082,1 
0.796,0.2733,1 
0.2406,-0.5526,1 
-0.0451,0.2021,1 
0.8808,0.764,1 
-0.2547,-0.3099,1 
-0.3102,0.6214,1 
-1.5255,-1.5842,1 
-0.3391,1.8044,1 
0.012,1.6803,1 
0.1253,-0.2938,1 
1.0724,2.1024,1 
1.5217,-0.2444,1 
0.353,0.234,1 
0.1481,1.4147,1 
-0.1896,-0.2279,1 
0.9602,0.7769,1 
-0.3605,1.7302,1 
0.2061,1.5087,1 
0.4865,-0.7116,1 
-0.5688,1.276,1 
-0.1888,1.4009,1 
-0.1315,-1.2516,1 
-0.3092,0.8111,1 
1.83,-0.4195,1 
-0.6599,0.7218,1 
0.9922,0.8731,1 
1.376,0.7782,1 
-0.0727,-0.8465,1 
0.3959,-1.151,1 
-1.0792,0.6678,1 
2.2964,-0.4179,1 
-1.4845,0.2188,1 
0.7605,0.8046,1 
-0.2397,-1.0464,1 
0.4101,-0.808,1 
0.3001,-0.3748,1 
-0.573,1.8457,1 
-0.0232,-0.08,1 
0.1223,-0.2533,1 
-1.0422,1.9874,1 
1.2074,0.6054,1 
-1.0086,-0.344,1 
0.0764,-0.2486,1 
2.175,1.3528,1 
-0.1281,-0.9385,1 
1.1281,0.0516,1 
0.593,0.5972,1 
0.3932,-0.4585,1 
-0.6458,-1.37,1 
-0.3099,-0.2658,1 
-1.0024,1.5827,1 
-0.9045,0.4074,1 
-0.0081,0.5579,1 
-3.3697,0.4099,1 
1.7111,0.6777,1 
0.1007,0.7398,1 
-1.5137,1.3081,1 
1.7065,-0.7736,1 
1.0706,1.0964,1 
-1.5557,-0.7664,1 
1.4002,-2.2887,1 
-0.3526,1.0301,1 
0.1737,0.4594,1 
-3.0439,-1.2319,1 
-0.0912,-0.727,1 
0.7598,0.2637,1 
0.4979,1.8196,1 
0.9685,0.6224,1 
-0.2304,1.6824,1 
-0.0126,1.0921,1 
-0.2163,-2.347,1 
1.2201,-0.1805,1 
-0.21,0.1746,1 
0.6544,0.659,1 
-0.4734,-0.2896,1 
0.0816,1.6534,1 
0.672,-0.4719,1 
-2.0787,1.5686,1 
-2.6377,-1.5087,1 
-1.7749,-0.4333,1 
0.1564,-0.0309,1 
0.4846,0.1514,1 
0.4444,0.8635,1 
0.015,0.3093,1 
-1.1522,0.5782,1 
0.5939,0.7742,1 
-0.3769,-1.0583,1 
0.0006,0.5024,1 
0.1669,-0.187,1 
1.4365,-0.8532,1 
0.6959,0.7221,1 
-0.2093,-0.5838,1 
0.6012,1.533,1 
0.4472,-0.9108,1 
0.594,-1.0997,1 
-0.282,-0.0077,1 
-0.321,1.0742,1 
-1.4318,1.2327,1 
-1.0947,-0.5183,1 
0.6831,-0.2898,1 
-2.0548,-0.542,1 
2.295,-0.7851,1 
-1.0605,-0.7935,1 
-0.28,-1.5843,1 
0.1478,-0.8883,1 
0.3108,1.2683,1 
-1.5867,-0.2857,1 
0.7812,0.1618,1 
-1.222,0.5585,1 
0.0676,1.417,1 
-0.8874,-0.9471,1 
0.4489,-1.3271,1 
-1.2779,-0.6614,1 
1.3988,-1.0147,1 
0.5589,0.994,1 
0.8842,-0.0815,1 
-0.5181,0.2757,1 
-0.6643,-0.338,1 
-0.6276,-2.3266,1 
-1.0828,0.6391,1 
1.1876,0.2781,1 
-2.3779,-1.1448,1 
-0.2621,-0.4495,1 
1.2926,-0.1829,1 
-0.3888,-1.4751,1 
-0.9078,-0.5799,1 
-0.0549,-1.4015,1 
-2.0546,0.5645,1 
0.3048,-1.9366,1 
-0.9202,-1.0219,1 
-0.2441,-0.8049,1 
1.3034,-0.1294,1 
0.5973,-1.8078,1 
-0.0065,-0.6456,1 
-1.5551,-0.6613,1 
-0.1669,0.1838,1 
0.5793,-0.3154,1 
0.9947,1.395,1 
2.0087,-0.8828,1 
-0.7558,-0.2904,1 
0.2621,0.1712,1 
-0.3375,-0.3551,1 
-0.1041,0.2383,1 
-2.4446,-1.3512,1 
0.3787,0.3876,1 
0.2731,0.6594,1 
-0.1263,-0.0663,1 
1.2546,1.0255,1 
-0.9226,0.0028,1 
-1.3482,-1.4639,1 
-0.0458,0.678,1 
-0.6644,-0.7371,1 
0.5808,1.2423,1 
-0.1269,0.1463,1 
1.5264,-0.2809,1 
0.3485,-1.5481,1 
-1.2082,1.2012,1 
0.0258,-0.0523,1 
-0.856,-0.957,1 
-0.6523,-2.0241,1 
-1.4822,-0.2859,1 
-2.7711,-1.2142,1 
2.1498,1.5325,1 
-1.096,-1.3034,1 
-0.7013,1.3212,1 
