Feature1,Feature2,Class
-1.0196,1.003,1 
0.7915,-1.3525,1 
-1.1352,1.3903,1 
0.9267,2.881,1 
-0.6983,1.292,1 
0.1674,1.0959,1 
1.4213,1.9474,1 
-1.9705,1.3109,1 
0.0859,0.6189,1 
0.0117,-0.3474,1 
-1.4116,-0.7732,1 
0.4773,1.7911,1 
1.2879,0.8133,1 
-1.2596,0.791,1 
1.7627,-0.1112,1 
-3.4783,0.3044,1 
2.9501,-0.0348,1 
-0.373,-0.0268,1 
-0.4204,1.2181,1 
-0.5752,-1.0527,1 
-1.1522,-0.3983,1 
-0.2558,0.2161,1 
0.1529,0.1096,1 
-2.2675,-0.7281,1 
-0.6377,0.753,1 
-0.241,-0.8073,1 
-2.9084,1.8317,1 
1.0315,0.4124,1 
-0.2802,-0.539,1 
-0.7277,0.0996,1 
1.2049,1.4617,1 
-0.2074,1.0922,1 
-1.5383,-0.6984,1 
0.0043,0.1221,1 
-1.1369,1.2401,1 
0.1124,-0.3648,1 
-1.2067,1.2776,1 
0.795,0.6816,1 
1.0802,0.5801,1 
-1.0937,0.9492,1 
0.5165,0.2738,1 
-1.0045,0.1775,1 
-0.2557,-0.359,1 
0.3336,1.3994,1 
0.7293,1.9168,1 
-0.3328,0.6354,1 
1.1914,1.4794,1 
-1.4078,-0.3933,1 
-1.6907,0.0595,1 
0.3282,-0.5121,1 
-1.3512,0.2546,1 
1.2464,-0.48,1 
1.4529,0.1025,1 
1.1234,0.7096,1 
-0.0033,-1.3058,1 
0.1604,-0.7965,1 
0.7497,-1.3678,1 
-0.4516,1.2939,1 
-0.5996,0.5087,1 
-1.3881,-1.2013,1 
0.754,-1.1208,1 
-1.584,0.538,1 
0.5163,2.4638,1 
0.9665,-0.6165,1 
-0.6725,0.3658,1 
0.116,-2.4397,1 
-0.8583,-0.2564,1 
1.0199,-1.096,1 
-0.6528,1.7817,1 
0.3079,0.4369,1 
-0.9469,0.0669,1 
-0.4547,-0.4177,1 
0.1392,-0.3467,1 
0.7157,-0.689,1 
0.2993,1.5376,1 
0.7935,0.4603,1 
-0.3769,-0.6184,1 
-0.1224,-1.6422,1 
0.0923,-0.9836,1 
1.4791,-0.215,1 
0.8665,2.4349,1 
1.1436,0.5404,1 
0.5455,2.1314,1 
0.6722,-1.3868,1 
-0.6485,-0.1656,1 
-1.2808,-1.6083,1 
0.3494,2.0193,1 
-0.7072,-0.1079,1 
1.2009,-0.4557,1 
-0.7806,0.1834,1 
-0.9896,0.5519,1 
-1.8849,-1.3778,1 
-0.1188,-0.4139,1 
-0.6819,0.091,1 
-0.9978,-0.6538,1 
0.4738,0.2137,1 
0.2433,0.0944,1 
1.1539,0.431,1 
1.7072,-0.6449,1 
-0.5275,-0.9983,1 
0.0362,-0.1165,1 
0.473,-0.2412,1 
-0.6538,0.0595,1 
-0.9576,1.116,1 
0.2255,0.2524,1 
-0.0816,0.1584,1 
0.3416,0.274,1 
0.4931,1.187,1 
0.3155,-0.0579,1 
-0.7698,0.3837,1 
-1.0926,-0.5561,1 
2.4379,-0.5408,1 
-1.5121,0.7027,1 
-0.2116,-0.0731,1 
0.6113,-0.6967,1 
-0.6608,-1.0333,1 
-1.7639,1.3107,1 
0.0538,0.0929,1 
0.8089,1.1437,1 
1.0976,-2.8384,1 
0.9749,-0.234,1 
-0.077,0.4308,1 
1.0834,-1.064,1 
-0.1619,-0.665,1 
0.5554,-0.3156,1 
0.3396,-0.4886,1 
0.0485,-1.5171,1 
0.2946,0.1801,1 
1.5721,-2.0311,1 
0.3633,0.4056,1 
0.3481,0.7355,1 
0.4899,0.3546,1 
-0.9881,-0.6438,1 
-1.3932,1.6915,1 
-0.8453,-0.1111,1 
0.8272,0.1685,1 
-1.3929,-1.1973,1 
-1.3101,0.0925,1 
1.4787,-0.0076,1 
-1.1879,-0.8202,1 
0.2901,0.1636,1 
1.3015,0.5627,1 
-0.1926,-0.6215,1 
0.7621,1.7596,1 
1.1231,2.0791,1 
-1.1624,0.0241,1 
-2.0347,-1.2243,1 
0.4435,0.1264,1 
-1.3585,0.0256,1 
0.6965,-0.2009,1 
0.7177,-1.3549,1 
-0.1407,0.9623,1 
-0.0094,0.2621,1 
0.5442,-0.4211,1 
0.6759,-1.8519,1 
0.2675,2.3781,1 
-0.413,0.3836,1 
1.1581,0.8172,1 
-1.127,-0.4682,1 
-0.4781,-1.7327,1 
-0.916,-1.1715,1 
-0.1271,0.1261,1 
-1.1637,1.1481,1 
-0.8609,-1.2606,1 
0.972,0.9588,1 
0.1303,-1.7343,1 
-0.6585,1.5026,1 
0.5107,-1.4739,1 
-0.8911,1.4795,1 
0.8225,0.9476,1 
-0.8442,0.0265,1 
-0.1923,0.0258,1 
0.5244,-0.2647,1 
1.2992,2.0,1 
0.5343,0.2601,1 
0.9362,1.5686,1 
1.819,1.4542,1 
-0.8651,-0.8718,1 
0.5794,-0.345,1 
-1.0041,-0.1015,1 
0.7385,-1.7278,1 
-0.5379,0.4508,1 
1.4401,-0.6148,1 
-0.3182,0.091,1 
-1.2777,-0.3292,1 
-0.1037,-0.4565,1 
0.4192,0.3968,1 
0.621,1.1678,1 
-0.1247,-0.7983,1 
0.0226,0.513,1 
2.6019,0.9562,1 
1.5852,-0.9447,1 
-1.101,-1.1869,1 
-0.7772,-0.2564,1 
0.0716,0.7317,1 
-0.2176,1.8556,1 
-1.0699,-0.2049,1 
1.049,1.5104,1 
-0.9634,-0.2151,1 
-2.2859,0.7088,1 
-2.0935,0.789,1 
-0.0853,-1.1781,1 
2.2383,-0.8802,1 
0.6011,-0.4294,1 
0.5502,-0.6711,1 
0.2664,0.7102,1 
1.2122,-2.1231,1 
0.0538,1.277,1 
0.4469,-0.2612,1 
-2.1283,1.0386,1 
-1.4106,-1.3346,1 
0.5341,0.6716,1 
-0.4559,0.225,1 
0.3475,-0.1956,1 
-0.9219,-1.2691,1 
-0.167,-0.798,1 
0.4677,-0.8964,1 
-1.4175,0.8747,1 
0.8961,0.1599,1 
0.7006,1.1183,1 
0.9449,0.6471,1 
0.1295,-2.4222,1 
0.1456,-0.9316,1 
-0.6041,0.6024,1 
0.0853,-0.7724,1 
-0.7163,-0.5071,1 
3.1113,-1.7753,1 
0.4564,-0.3051,1 
-0.5827,0.3392,1 
0.0318,-1.5806,1 
-1.0369,-0.5553,1 
0.3816,-0.2082,1 
-0.3009,1.7468,1 
-0.6024,-0.8819,1 
-0.1386,1.0998,1 
1.3282,0.125,1 
-0.2436,0.8637,1 
-0.7863,-0.6157,1 
-1.4497,-0.1213,1 
-1.4305,0.4096,1 
0.7275,0.6579,1 
1.6732,-0.5951,1 
-0.9268,0.4188,1 
1.0124,0.599,1 
-0.2355,1.5992,1 
-0.3435,-0.7086,1 
0.9757,1.2459,1 
-0.5319,0.8839,1 
-1.6081,0.5765,1 
1.8339,0.2787,1 
0.5264,0.1775,1 
-0.1634,-0.047,1 
1.1401,0.7802,1 
-0.8848,0.0718,1 
1.5791,-0.1076,1 
-1.0577,0.6956,1 
1.7762,-1.0698,1 
0.5513,-1.1253,1 
0.225,-1.2718,1 
