Feature1,Feature2,Class
* 
1.446,0.6173,1 
0.0618,0.9837,1 
0.325,0.2983,1 
0.5354,-0.3154,1 
-1.9071,0.4692,1 
-0.3566,-0.1419,1 
0.4188,-1.3408,1 
-1.8313,0.947,1 
0.0545,-1.1184,1 
-0.9,1.7729,1 
1.9942,0.2077,1 
-0.6727,-1.2341,1 
-0.2766,-0.1521,1 
1.3081,0.0989,1 
1.4797,0.1428,1 
-0.9636,-0.6014,1 
-1.4047,-0.9686,1 
-0.0938,-1.7595,1 
-0.6827,-0.6662,1 
-0.4805,-0.0371,1 
0.3697,-1.4671,1 
-0.0536,0.3816,1 
-0.2081,1.4675,1 
0.0321,0.253,1 
-1.3502,-0.6082,1 
-0.8419,0.6437,1 
-0.7651,-0.242,1 
-0.7306,0.0514,1 
-0.8228,-1.1715,1 
-1.7711,0.746,1 
0.3487,-0.2951,1 
-0.2835,-1.8524,1 
-0.5029,1.3986,1 
1.8828,0.0221,1 
0.6217,0.7976,1 
-0.8644,-0.6384,1 
1.4074,-0.1204,1 
-0.9677,-0.533,1 
0.1584,-0.5513,1 
0.82,0.0753,1 
-0.1945,0.5858,1 
-0.7902,-2.6121,1 
-1.2098,0.8763,1 
-1.2823,-0.7096,1 
1.0162,-0.1379,1 
-0.8734,-1.4307,1 
-1.3835,0.5243,1 
0.4111,-1.1114,1 
1.3099,-0.1838,1 
0.0766,1.6428,1 
-0.1435,-0.0311,1 
2.0568,0.339,1 
-0.8411,-0.7745,1 
0.7815,-1.3572,1 
-0.1901,0.767,1 
-0.1972,0.6264,1 
0.7399,2.3901,1 
0.3945,-0.8317,1 
1.3141,0.0884,1 
-0.0916,-2.0012,1 
-0.1348,-1.1965,1 
1.2405,0.3016,1 
0.0865,-0.5568,1 
0.6699,0.1759,1 
0.1788,0.012,1 
0.1576,0.1555,1 
-2.1531,2.0563,1 
-1.3451,-0.7405,1 
-2.4386,0.2174,1 
1.3311,-1.3782,1 
-1.7071,0.8203,1 
0.7537,1.3076,1 
0.8283,-0.2665,1 
-0.8815,-0.2223,1 
1.2036,1.3511,1 
0.0524,0.2475,1 
1.5595,1.1129,1 
-0.3666,-0.7528,1 
1.8088,-0.7259,1 
0.9241,0.3793,1 
0.3669,-0.5709,1 
-0.7527,0.2448,1 
-1.3379,-0.8413,1 
-0.3942,-0.9232,1 
0.2606,0.5515,1 
0.8834,0.8854,1 
0.5075,0.9846,1 
-0.2082,-0.1467,1 
-0.4866,2.1509,1 
-0.6179,-0.9383,1 
1.6423,0.2333,1 
0.1217,-0.6372,1 
-0.9952,0.14,1 
1.5555,-1.5611,1 
0.3938,0.2442,1 
-0.3915,0.2194,1 
-0.0955,-0.5101,1 
-0.622,0.0468,1 
-0.807,-1.6356,1 
-1.5211,-2.729,1 
1.4862,-0.343,1 
1.8866,0.5489,1 
-0.2203,-1.3109,1 
1.3252,1.0213,1 
1.7656,0.6094,1 
-0.5926,-1.7203,1 
-0.0806,-1.8912,1 
1.3939,-0.7998,1 
0.1202,-0.9536,1 
-1.1612,-1.2184,1 
-0.7328,0.3972,1 
-1.2377,0.8786,1 
0.3041,1.4433,1 
0.0847,1.9118,1 
-0.196,-0.7093,1 
0.3219,-1.4587,1 
0.4523,0.4125,1 
0.8132,0.5013,1 
-1.2009,1.2597,1 
-2.2551,0.2864,1 
0.3101,1.5433,1 
-0.7125,-0.6424,1 
-1.7973,1.5317,1 
-0.5354,-2.3717,1 
-0.1859,1.0366,1 
-0.663,0.8424,1 
1.7615,0.0511,1 
-0.3973,-0.8865,1 
-2.4867,0.5859,1 
-1.0483,0.8546,1 
-0.9931,-1.6678,1 
-0.0175,-2.1985,1 
0.4352,0.1609,1 
0.2318,0.5585,1 
0.7277,-1.0794,1 
-2.2463,-1.3054,1 
1.2747,-1.3473,1 
-0.0457,0.247,1 
0.4079,-0.1007,1 
-1.0172,0.8739,1 
0.3185,0.7412,1 
0.6692,0.1668,1 
-0.9426,0.633,1 
0.772,0.1503,1 
0.3053,-1.6908,1 
0.5708,0.5018,1 
-0.5811,-0.7414,1 
-0.022,-0.3357,1 
3.2913,-0.0354,1 
1.8458,0.342,1 
0.4033,-1.4197,1 
0.1902,0.931,1 
1.1822,0.1549,1 
-1.8256,0.5128,1 
-0.4448,1.292,1 
-0.0642,1.1397,1 
0.1208,1.1863,1 
-0.3478,-0.5109,1 
0.288,2.2949,1 
0.8057,-0.7556,1 
0.9075,0.7983,1 
0.621,0.7533,1 
0.281,0.954,1 
-1.111,-0.3381,1 
0.0696,1.8834,1 
-1.7893,0.0003,1 
-0.6828,-0.1813,1 
0.6064,-0.6741,1 
-0.1277,-0.7312,1 
2.3517,0.139,1 
0.6388,-1.0965,1 
-0.4556,-1.033,1 
-0.0263,0.2011,1 
1.2466,0.0931,1 
-0.4311,-2.0057,1 
-1.5868,-1.642,1 
1.3825,-0.6255,1 
-0.3978,1.2749,1 
-1.7376,-0.2776,1 
-1.1088,0.2594,1 
-0.4604,-0.3062,1 
0.1993,0.4073,1 
1.0581,0.1695,1 
-0.3488,-2.4952,1 
-0.6909,-0.5186,1 
1.094,-0.7895,1 
0.767,0.1288,1 
0.193,-0.5115,1 
2.0878,-0.5339,1 
0.857,1.9147,1 
-1.7112,-0.2477,1 
-0.2733,-0.3157,1 
0.8473,-1.3559,1 
-0.0901,0.0281,1 
0.1288,0.6911,1 
-1.439,0.6847,1 
0.8171,-1.3409,1 
0.1143,-1.8535,1 
0.0076,0.6346,1 
0.1367,-0.8189,1 
-0.2841,-0.2863,1 
1.4665,-0.1138,1 
-0.5263,0.5902,1 
0.7715,-0.2444,1 
0.1828,1.0064,1 
-0.6174,-0.4675,1 
-0.08,-0.5084,1 
-0.4598,0.9672,1 
0.6541,-0.0074,1 
-0.6116,-0.159,1 
0.6072,1.0695,1 
-0.0457,1.8182,1 
-0.8062,2.747,1 
0.2037,-1.0941,1 
-0.4326,1.4754,1 
-0.0886,0.4061,1 
0.6205,1.1344,1 
-0.4169,-1.6856,1 
-0.4684,-1.2252,1 
-1.5533,1.4843,1 
0.1199,0.0347,1 
0.0132,-0.1346,1 
-0.645,-2.3518,1 
-1.3682,0.2705,1 
0.6265,-0.4725,1 
-1.0675,1.3798,1 
-0.9858,0.6469,1 
-0.425,0.0966,1 
0.6699,1.2384,1 
1.1588,-0.4255,1 
0.1164,-2.5952,1 
0.8045,-1.7275,1 
-1.2753,-0.9415,1 
0.9429,-0.9065,1 
0.4002,-1.6669,1 
-1.9672,0.6367,1 
2.394,0.1642,1 
0.4536,-2.2676,1 
-0.0714,-0.2532,1 
-0.6955,0.7213,1 
-0.5752,-1.5631,1 
-1.0172,0.6329,1 
1.2421,-0.2614,1 
0.1078,-0.5459,1 
-0.3323,1.6177,1 
0.9461,0.6276,1 
-0.4391,-0.3676,1 
0.289,-1.4806,1 
0.8016,-0.9712,1 
-0.8934,0.3366,1 
-1.2235,0.5324,1 
-0.3755,-0.4399,1 
-0.01,-0.7105,1 
1.0695,0.3948,1 
0.8058,0.1266,1 
-0.2877,-0.6462,1 
-0.2302,1.7492,1 
-0.1212,-0.5958,1 
-0.6215,-0.8936,1 
-0.319,0.7223,1 
-0.3087,-1.8577,1 
1.289,-0.4519,1 
0.5108,0.2163,1 
-0.2956,-0.1806,1 
1.319,-0.1095,1 
0.6086,1.3011,1 
0.5399,1.3546,1 
-0.7795,0.9129,1 
0.1823,0.2498,1 
-0.0681,-2.0189,1 
-0.6205,-0.1987,1 
0.7192,1.5161,1 
-0.2101,-1.0013,1 
-1.2801,-0.1845,1 
-1.2184,-0.0363,1 
0.2614,0.0752,1 
-1.2213,-0.3924,1 
0.9217,-2.5854,1 
1.2045,0.0051,1 
2.1968,-0.8078,1 
-1.7204,-0.423,1 
0.8807,-0.0311,1 
-0.9875,2.007,1 
1.7737,-0.3923,1 
1.2467,-0.0391,1 
-1.2949,-0.0815,1 
0.1754,2.2728,1 
0.4058,-1.2254,1 
-0.8334,-2.266,1 
0.5543,1.2149,1 
-0.4667,0.5438,1 
-0.6869,-1.161,1 
-0.6612,-0.0103,1 
1.5216,0.4264,1 
0.872,-1.5716,1 
0.4976,1.1615,1 
-0.934,-0.9575,1 
1.1375,-0.8596,1 
-1.558,-0.5555,1 
-0.0608,-1.2652,1 
1.8171,-1.5877,1 
-0.5325,-0.3605,1 
0.1309,1.5842,1 
0.6756,2.0058,1 
0.4236,1.1245,1 
-0.0892,-0.5727,1 
-0.5249,1.9972,1 
0.2447,-1.5601,1 
-0.0018,0.8576,1 
-0.1806,0.2884,1 
-0.3311,-0.8731,1 
0.6607,-0.1635,1 
0.5547,0.8642,1 
0.0037,-1.329,1 
0.47,0.6651,1 
-1.5336,-0.1291,1 
-0.9204,1.6783,1 
-1.0663,-0.3288,1 
1.6342,-0.2684,1 
-0.4244,-1.0877,1 
-0.541,-0.4741,1 
-0.4021,-0.1619,1 
0.8894,1.2002,1 
-0.1663,-0.6985,1 
-0.9953,0.3812,1 
2.2952,0.875,1 
-0.0341,1.3621,1 
0.6479,0.7162,1 
-0.4327,-1.0494,1 
0.4775,1.3202,1 
-1.6548,1.1886,1 
-0.3869,1.0885,1 
-0.3029,0.3058,1 
0.9131,0.678,1 
0.903,0.2528,1 
0.8515,-0.0874,1 
0.0297,0.6083,1 
-0.8122,0.6047,1 
0.1246,-0.367,1 
0.1456,0.8256,1 
-1.2756,-0.6827,1 
-0.5837,0.2509,1 
0.0251,-0.0558,1 
0.214,0.4344,1 
-2.1392,-0.5862,1 
1.877,0.6526,1 
1.3314,0.715,1 
1.0279,-1.3132,1 
0.4427,-0.7945,1 
1.0888,0.797,1 
-0.0425,1.6069,1 
-0.452,1.531,1 
0.3274,-0.396,1 
0.1777,1.2846,1 
0.4402,0.4712,1 
1.7889,0.5112,1 
-1.0475,0.5233,1 
-0.5985,0.8964,1 
-0.1336,0.3979,1 
-1.5782,-2.3431,1 
-0.367,0.2988,1 
-0.223,1.1973,1 
-1.2519,-0.0257,1 
-1.4237,1.3039,1 
-0.7411,0.2229,1 
1.0025,-1.0064,1 
2.8558,0.1659,1 
1.3808,-0.0315,1 
0.1606,0.052,1 
-0.5701,0.0913,1 
-1.1983,0.1457,1 
1.3975,0.1413,1 
1.3871,0.8295,1 
-0.6284,1.1052,1 
-0.5558,-0.7216,1 
-0.6095,0.2388,1 
1.7693,1.228,1 
0.0955,-2.5574,1 
-0.4333,0.4097,1 
-0.4523,-0.1039,1 
0.6845,-1.2845,1 
0.4752,-0.9438,1 
-1.1925,0.2622,1 
1.1057,-0.6807,1 
-0.0895,0.3077,1 
0.2612,0.9699,1 
-0.6159,-1.8402,1 
1.2386,-1.1855,1 
-0.1055,-0.0711,1 
-0.5392,-0.8756,1 
0.457,-1.1873,1 
0.6032,0.4533,1 
-0.3097,-0.3838,1 
0.3206,-0.347,1 
-0.4306,1.319,1 
-0.0887,2.4959,1 
1.172,1.9088,1 
-1.5153,2.6506,1 
0.5913,-1.3647,1 
-0.2439,-1.42,1 
-0.6524,-0.2136,1 
-0.8143,-0.067,1 
-0.073,0.9366,1 
0.6325,-2.7867,1 
-1.1691,-0.3945,1 
-2.3887,-0.298,1 
0.048,-0.8843,1 
0.4281,-0.3452,1 
-1.5976,-1.6974,1 
0.2406,0.1897,1 
-1.4214,-2.1818,1 
0.1512,-1.1077,1 
-0.1597,0.3114,1 
0.3837,-1.1352,1 
-0.0392,0.0192,1 
-0.826,0.4063,1 
-0.0695,-0.3064,1 
1.7758,-0.3751,1 
-0.6462,0.8797,1 
-2.4889,-0.7066,1 
-0.9556,-0.8999,1 
-0.1654,-0.055,1 
-2.4275,-0.7885,1 
-1.9485,0.2412,1 
-0.4189,-0.1564,1 
1.5171,1.1533,1 
0.7237,0.2088,1 
-0.4072,1.0809,1 
