Feature1,Feature2,Class
* 
1.2713,-2.3204,1 
-1.0731,1.3146,1 
2.0434,-1.3991,1 
-0.7826,0.3085,1 
-0.5351,-0.2024,1 
0.9337,-1.5572,1 
0.7229,0.2771,1 
-0.7357,-0.5733,1 
1.6373,-0.4044,1 
-1.0284,-0.989,1 
0.3504,-0.89,1 
-0.0776,-0.1583,1 
-1.1539,-0.6375,1 
-0.2314,-1.0149,1 
-0.4072,2.4368,1 
-0.0095,-0.2019,1 
-0.0583,-0.9072,1 
-1.5085,-0.698,1 
0.9784,1.459,1 
0.7938,0.0762,1 
0.5756,-1.6837,1 
0.0772,-0.4742,1 
0.7375,-0.1423,1 
0.9303,0.4349,1 
0.0284,-1.263,1 
-0.8476,0.1661,1 
-0.5429,-1.2049,1 
-0.5021,-0.5904,1 
-1.047,1.2634,1 
0.8483,0.463,1 
0.2552,0.2906,1 
1.2056,-3.0285,1 
0.2171,0.3476,1 
0.6876,1.2152,1 
-0.8704,-1.6985,1 
0.6887,-0.1202,1 
-0.3491,-0.8017,1 
0.7628,-0.324,1 
0.4923,-0.2019,1 
-0.2014,-2.8068,1 
1.383,0.5392,1 
-0.3397,-0.6115,1 
-0.2319,-0.7337,1 
0.4893,0.3433,1 
1.0249,1.5513,1 
0.3195,1.2107,1 
0.2321,-0.9267,1 
-0.245,-0.1673,1 
-0.2102,-0.134,1 
-0.5348,0.4964,1 
0.9125,0.2335,1 
-0.7348,-0.6344,1 
0.396,1.0013,1 
-0.4611,0.4155,1 
1.8844,-0.2837,1 
1.4211,0.4935,1 
1.3369,-0.268,1 
-0.8393,0.3527,1 
-0.4013,-0.2312,1 
-0.985,-1.168,1 
-0.3401,0.5241,1 
-0.3712,0.2198,1 
0.1248,0.3301,1 
0.0441,0.0411,1 
0.2357,1.7343,1 
0.5349,-1.1288,1 
0.694,-1.0074,1 
0.0747,0.0379,1 
0.487,-0.9388,1 
-0.5753,-0.091,1 
0.013,0.0177,1 
0.082,-0.0151,1 
-0.7548,1.4475,1 
-0.327,1.5539,1 
-0.7079,1.9839,1 
-0.6517,-0.2372,1 
0.0105,0.4499,1 
-1.3862,0.555,1 
-0.2882,0.8382,1 
