Feature1,Feature2,Class
4.7644,1.0123,1 
3.0123,1.71,1 
6.1858,1.0979,1 
4.048,-0.7456,1 
4.7055,0.2866,1 
4.8775,0.7465,1 
3.4085,0.0623,1 
3.9982,-0.4475,1 
5.3457,-0.2278,1 
5.8038,1.0233,1 
5.9078,-1.2062,1 
4.1651,-0.6012,1 
3.7608,-2.8721,1 
5.7202,0.2556,1 
3.1444,-1.8929,1 
5.003,-0.6336,1 
4.9767,0.0375,1 
4.2476,-0.0483,1 
3.8318,-0.1014,1 
5.5461,0.3037,1 
5.1499,0.466,1 
5.3013,0.1891,1 
4.3556,0.5168,1 
5.5135,-0.3572,1 
2.2416,-0.7936,1 
5.5642,-1.2038,1 
6.2438,-1.9394,1 
3.7764,-0.7815,1 
4.3722,0.5737,1 
5.7176,1.7332,1 
5.2857,0.2631,1 
6.1851,0.6385,1 
6.2669,0.8507,1 
3.8031,-0.6872,1 
4.1419,-2.4248,1 
4.3308,-2.2283,1 
4.8826,0.2062,1 
3.6291,-0.397,1 
5.9231,-0.8518,1 
5.6901,2.2845,1 
5.1391,-0.8499,1 
5.0657,0.1741,1 
6.5486,-0.1782,1 
6.0364,-0.4603,1 
5.2356,1.5985,1 
5.7295,-1.227,1 
5.3862,0.0781,1 
4.1366,-0.6048,1 
4.8982,1.0571,1 
4.0614,1.4651,1 
4.4996,-0.2566,1 
6.1397,-0.0435,1 
6.5808,-0.4588,1 
2.7278,-1.1788,1 
3.6437,0.0886,1 
6.5619,0.1322,1 
3.7635,1.6114,1 
5.5321,1.5918,1 
6.5148,0.8849,1 
5.5962,0.2115,1 
6.5851,-0.8619,1 
4.371,-0.3489,1 
4.3048,-0.0819,1 
5.7407,1.8037,1 
5.0578,1.6603,1 
4.0897,-0.1034,1 
6.2277,-0.0413,1 
3.4645,-1.3907,1 
3.4283,0.6274,1 
5.8201,0.138,1 
5.327,0.5466,1 
2.2594,0.726,1 
4.4139,-0.3438,1 
5.1701,-0.4058,1 
5.3739,-0.826,1 
6.6935,0.1465,1 
3.9213,-0.5649,1 
6.1269,-0.1298,1 
6.7637,-0.2538,1 
6.2515,1.1578,1 
5.2575,-0.0597,1 
4.0166,-1.0359,1 
4.1769,0.8287,1 
4.3116,0.2562,1 
6.059,2.6463,1 
5.7338,-0.9243,1 
5.145,0.4893,1 
5.2335,-0.7143,1 
4.8438,0.5665,1 
5.9497,1.2726,1 
5.832,0.6802,1 
6.052,-1.5454,1 
4.7643,1.1089,1 
4.766,-1.1192,1 
4.5446,1.3981,1 
6.1293,0.2961,1 
7.1334,0.9015,1 
4.4647,-0.5506,1 
4.6842,-1.484,1 
4.2962,-0.0416,1 
1.8176,2.9627,1 
1.8815,1.2156,1 
1.9613,1.4969,1 
2.5164,0.6265,1 
2.2206,3.1421,1 
1.0935,1.2032,1 
1.5947,2.2356,1 
2.1713,1.7347,1 
1.558,4.8147,1 
1.5323,0.4328,1 
0.5737,0.8722,1 
3.4414,1.5954,1 
0.8011,1.9109,1 
1.5447,2.1191,1 
3.2512,2.9584,1 
2.1762,1.3064,1 
2.0514,0.9749,1 
1.0865,1.4026,1 
-0.5208,2.115,1 
1.9124,0.371,1 
2.3435,1.9638,1 
2.475,2.4865,1 
1.0463,1.9333,1 
2.8688,2.95,1 
1.7694,0.5199,1 
0.2096,2.0717,1 
1.0721,2.0469,1 
3.1721,2.7475,1 
1.8655,1.6108,1 
2.0304,1.5568,1 
2.0906,1.5549,1 
4.0832,2.611,1 
-0.3105,1.0929,1 
-0.1124,2.5432,1 
4.0595,2.4261,1 
1.2122,0.7775,1 
0.687,2.745,1 
1.1504,0.097,1 
2.0309,0.7116,1 
4.3722,1.1711,1 
1.8662,-0.1524,1 
0.3898,0.5774,1 
0.7003,1.8578,1 
1.0508,2.5169,1 
1.5369,2.0378,1 
1.6149,-0.0017,1 
1.8036,2.8428,1 
3.162,3.3385,1 
2.6337,3.4234,1 
1.9628,0.5157,1 
0.5122,3.1414,1 
0.3114,2.7012,1 
1.926,1.3461,1 
2.1614,1.9783,1 
2.3055,1.7173,1 
4.4577,1.995,1 
1.2865,1.313,1 
3.0452,2.4212,1 
1.9891,1.4298,1 
0.8259,1.902,1 
0.4504,1.9926,1 
1.4459,1.2077,1 
2.1573,1.5439,1 
2.1523,2.8376,1 
2.2817,2.8209,1 
1.4186,2.3733,1 
1.721,2.899,1 
3.3777,1.3483,1 
2.2546,1.2841,1 
0.0346,1.9064,1 
0.0004,2.4482,1 
2.0689,1.4668,1 
2.448,3.0021,1 
2.7654,2.0148,1 
1.4101,2.0716,1 
0.5223,3.4107,1 
1.9568,2.9343,1 
2.5798,1.677,1 
2.5773,4.0923,1 
0.7235,0.6711,1 
2.2796,2.5943,1 
3.1639,-0.1943,1 
2.0225,3.3591,1 
2.8015,2.2354,1 
2.7858,2.6844,1 
1.9415,1.9705,1 
1.3846,1.6286,1 
0.8056,0.307,1 
1.0723,0.3358,1 
1.6035,2.3476,1 
2.4915,2.9141,1 
1.454,2.3931,1 
0.9496,0.1526,1 
2.5908,1.1024,1 
1.6125,3.3294,1 
1.999,2.151,1 
1.4592,1.9152,1 
3.0054,3.0963,1 
2.64,2.8067,1 
1.3594,3.5216,1 
9.5415,3.099,1 
8.2343,0.9125,1 
8.073,2.4379,1 
7.3912,1.2275,1 
8.8738,2.1246,1 
8.3772,3.4091,1 
7.4871,4.1427,1 
8.4181,-0.3486,1 
7.5012,3.0869,1 
6.9793,3.3753,1 
7.2979,1.2579,1 
7.4537,2.3523,1 
8.2757,1.4582,1 
7.3776,3.596,1 
8.8359,2.051,1 
7.1401,0.9204,1 
8.209,2.0202,1 
9.313,2.3339,1 
7.8406,4.3618,1 
7.817,3.7047,1 
8.3357,0.9017,1 
7.7128,3.9754,1 
7.7915,2.4953,1 
9.9297,2.7844,1 
9.3951,2.1244,1 
6.8644,1.2194,1 
7.4237,3.3622,1 
6.3259,2.3064,1 
7.1512,2.3832,1 
7.7324,2.86,1 
6.8291,1.1176,1 
7.8628,0.5537,1 
9.7479,3.6578,1 
7.9039,3.2304,1 
10.1004,2.245,1 
10.0917,2.8198,1 
8.561,1.3795,1 
9.2132,2.0133,1 
8.0515,3.0267,1 
6.5435,3.6359,1 
8.0067,2.3356,1 
9.0553,2.785,1 
9.1527,1.7883,1 
9.4135,3.4995,1 
8.4604,1.7936,1 
8.9599,2.1948,1 
6.4895,3.1188,1 
8.5265,1.6111,1 
7.4811,0.7856,1 
7.9328,2.8981,1 
6.7191,3.1831,1 
8.768,0.4379,1 
7.4888,1.9314,1 
7.0575,2.4541,1 
8.017,2.8563,1 
6.8221,1.061,1 
8.2358,0.4462,1 
7.8935,0.1127,1 
8.4273,1.6997,1 
8.4617,2.7174,1 
8.6089,-0.784,1 
7.0776,-0.3369,1 
6.8853,2.4228,1 
7.7029,3.5459,1 
7.332,3.3585,1 
8.0105,2.6327,1 
6.9109,1.9023,1 
6.8494,3.5543,1 
8.6419,0.9368,1 
9.2834,1.7763,1 
9.1362,1.7825,1 
8.9595,3.0596,1 
8.0415,2.2881,1 
7.3037,2.6614,1 
8.986,2.5521,1 
7.285,1.4705,1 
7.9084,3.8629,1 
7.2662,1.2098,1 
6.7658,2.8333,1 
9.4346,3.3846,1 
9.4688,2.3906,1 
9.1934,1.3498,1 
