Feature1,Feature2,Class
* 
2.2559,10.899,1 
3.2317,9.7588,1 
1.3329,8.0229,1 
1.5842,9.5603,1 
2.7988,10.19,1 
3.0901,10.3484,1 
1.7728,7.7709,1 
2.9684,11.1611,1 
1.352,9.79,1 
2.1359,9.4917,1 
2.778,9.8102,1 
3.1727,9.2376,1 
3.1985,8.6099,1 
2.5528,9.241,1 
0.4166,9.8685,1 
6.2313,9.799,1 
1.7531,11.2666,1 
1.6636,8.3586,1 
-0.0268,9.6486,1 
2.5571,9.6408,1 
1.1279,9.8661,1 
1.0287,10.8851,1 
2.0407,9.4574,1 
2.0643,9.7633,1 
0.9289,10.5428,1 
2.3104,10.7002,1 
1.9718,8.1788,1 
2.4594,9.9221,1 
3.3991,10.5959,1 
2.7951,11.3036,1 
1.3552,9.5613,1 
2.0075,9.6751,1 
2.4527,9.0277,1 
1.5305,7.9776,1 
2.1787,10.5403,1 
1.6926,10.5403,1 
1.7179,12.5449,1 
2.63,9.9411,1 
2.5325,9.4381,1 
2.7825,10.2564,1 
0.7816,11.5225,1 
3.3006,9.636,1 
1.8725,10.5768,1 
1.5519,8.2662,1 
2.6465,10.8195,1 
1.5737,10.0777,1 
3.1583,10.2731,1 
1.976,9.365,1 
1.8801,8.8039,1 
1.9842,10.3503,1 
2.505,9.8093,1 
2.8883,11.1856,1 
0.8882,11.0038,1 
1.6967,8.5758,1 
1.5033,10.2417,1 
4.3298,8.8649,1 
2.0071,9.5375,1 
3.8416,9.7266,1 
2.5762,10.2474,1 
1.4228,10.6375,1 
1.8396,9.268,1 
1.9217,9.9703,1 
0.367,9.0702,1 
0.9399,9.7105,1 
2.6817,9.9658,1 
2.2411,11.1297,1 
1.6111,9.8597,1 
0.6159,9.6241,1 
1.959,9.5408,1 
2.508,9.6953,1 
0.5625,11.0576,1 
2.428,10.0081,1 
2.6042,11.3537,1 
2.7492,10.5598,1 
0.6105,9.1983,1 
2.8676,10.4591,1 
1.6179,11.9172,1 
3.2341,10.3255,1 
3.5711,10.9584,1 
3.8468,9.7047,1 
2.599,10.5968,1 
1.8589,11.5841,1 
2.1941,9.9752,1 
2.5206,10.8217,1 
3.0698,7.4131,1 
3.0407,10.6263,1 
1.3858,11.0676,1 
3.8797,10.8841,1 
2.7613,9.4678,1 
0.6452,10.4361,1 
1.3556,8.5406,1 
2.8389,8.4839,1 
3.1063,10.0557,1 
3.0251,8.6793,1 
1.5307,9.8666,1 
2.5113,10.3472,1 
2.4988,10.6995,1 
1.8633,11.6569,1 
4.2259,10.366,1 
0.197,11.5199,1 
2.8596,10.1671,1 
1.0832,9.8295,1 
2.5767,9.4353,1 
0.9917,9.6797,1 
1.9865,11.0828,1 
2.7777,10.3123,1 
3.1439,10.6409,1 
1.4328,10.8419,1 
1.8983,10.5386,1 
3.8632,10.822,1 
1.5717,8.7846,1 
3.5103,12.052,1 
