Feature1,Feature2,Class
2.1272,11.4019,1 
2.3148,9.1416,1 
1.7339,9.3511,1 
3.5663,7.9086,1 
3.4563,10.9453,1 
1.5998,10.3152,1 
0.8899,9.4152,1 
1.8116,10.813,1 
1.8387,11.6009,1 
2.9843,9.1646,1 
1.8134,9.1419,1 
1.2402,8.4879,1 
3.7478,12.1301,1 
2.0712,8.1584,1 
1.6474,9.5911,1 
2.5593,10.474,1 
0.2974,8.6917,1 
2.4248,10.0067,1 
1.5293,10.4805,1 
3.0662,11.1563,1 
1.9976,10.0692,1 
2.847,10.6617,1 
1.2918,9.5014,1 
2.6049,10.3005,1 
1.7488,10.5561,1 
2.5546,10.0996,1 
1.2123,10.631,1 
3.2845,9.7978,1 
0.4352,11.8332,1 
1.868,10.9388,1 
3.8316,10.8831,1 
1.513,10.9113,1 
0.851,9.5506,1 
1.5881,10.4332,1 
1.9059,12.4911,1 
0.9853,10.8847,1 
3.2139,11.5071,1 
1.5616,11.032,1 
2.1519,11.0833,1 
2.3042,10.4801,1 
1.9411,8.5363,1 
3.0086,10.2471,1 
0.5743,11.4427,1 
3.3259,11.0803,1 
4.0692,9.6979,1 
1.5222,11.8163,1 
1.1018,10.054,1 
2.6128,10.2551,1 
2.1089,9.9609,1 
0.9208,10.1918,1 
4.1355,9.77,1 
2.073,10.7349,1 
1.0723,9.2864,1 
1.9823,11.7018,1 
0.8118,8.3157,1 
2.4382,10.1881,1 
0.4362,8.788,1 
0.8985,9.5723,1 
2.4803,8.9147,1 
2.2125,9.753,1 
2.375,9.2879,1 
2.0451,10.8591,1 
3.3806,9.4875,1 
2.6657,11.0787,1 
3.2204,10.3581,1 
4.0579,9.4941,1 
2.6016,10.0221,1 
1.6226,11.1992,1 
1.6928,10.5241,1 
0.3643,10.2809,1 
0.7192,13.0706,1 
2.0141,10.4224,1 
0.9932,9.2932,1 
-0.0696,11.044,1 
2.0022,9.1267,1 
3.342,9.2676,1 
1.8012,10.0798,1 
2.2264,9.3077,1 
1.2613,10.9515,1 
0.9423,9.0731,1 
1.6173,9.7999,1 
1.8317,10.014,1 
2.6838,10.4801,1 
1.6913,9.4817,1 
2.2112,8.7954,1 
2.0235,10.7407,1 
2.835,9.2741,1 
0.7017,8.8637,1 
1.5043,10.5948,1 
1.575,9.4195,1 
1.4216,9.2087,1 
