Feature1,Feature2,Feature3,Feature4,Feature5,Feature6,Feature7,Feature8,Feature9,Feature10,Feature11,Feature12,Feature13,Feature14,Feature15,Feature16,Feature17,Feature18,Feature19,Feature20,Class
* 
0.8407,-1.3571,3.2869,2.5735,2.5795,1.9724,1.6184,1.6912,3.3878,3.7165,3.0544,1.4367,2.4462,3.9994,2.239,3.0094,1.7786,1.3987,1.3578,1.9163,0 
-0.1009,0.0372,3.1516,1.5896,1.7017,2.6978,1.387,1.6031,1.1459,2.611,2.2326,2.8164,1.9879,1.8326,2.5815,0.385,1.6167,3.2354,1.5595,1.6895,0 
1.2206,-0.8953,2.8376,1.4357,2.6013,2.0767,0.9809,0.7377,1.0401,0.6948,1.9467,2.5262,0.5965,2.4241,1.3048,2.8912,0.8614,1.2136,0.6719,1.5043,0 
-0.3128,0.8307,3.3745,1.7544,2.5093,2.2804,2.8051,2.432,2.6435,3.39,2.6055,2.7295,0.1889,3.8543,1.5871,0.9829,2.2931,1.5799,0.9408,0.9608,0 
-0.4201,-1.2016,1.4446,3.0885,3.2647,2.0894,1.8772,1.9857,3.7342,2.2112,3.7088,1.5843,2.4021,2.0223,2.814,1.256,-0.0805,1.0377,2.3905,0.8377,0 
0.1499,-1.7293,2.1544,1.4896,4.6533,3.8309,3.0854,0.7368,0.9435,1.0352,2.2845,2.7982,-0.0226,2.5579,1.048,1.9018,3.3047,1.4485,1.4666,2.7279,0 
0.7842,1.1348,2.3207,3.2665,2.7842,4.2324,1.4381,2.2488,2.4946,1.3292,2.1372,2.7186,0.6804,1.4091,1.3516,0.2318,1.2625,2.1691,1.2459,3.1096,0 
-0.4288,0.4371,1.5764,2.8551,1.9772,0.3744,0.8304,0.9093,2.2673,2.7228,3.1273,2.3635,3.4903,1.8966,0.7458,0.7614,1.5648,0.5175,3.8233,1.3845,0 
1.8041,-0.0225,1.9658,1.1802,1.9637,0.1501,2.4484,0.2977,2.1387,3.4741,2.9256,3.0331,3.0235,2.436,2.3557,1.8243,1.9603,2.5337,2.0141,3.5307,0 
0.6752,-0.3102,1.8186,1.6746,1.8895,4.4908,1.8366,2.473,2.5721,2.1541,1.7117,2.4888,1.4154,3.2044,0.5204,0.7176,1.4705,1.7995,2.8563,2.3357,0 
-1.6394,-0.644,0.8328,2.3887,0.684,3.4642,2.8097,1.9451,0.4904,3.1474,1.9123,3.1462,1.5612,1.8376,1.9219,1.013,-0.38,2.6727,3.0557,2.9938,0 
-1.5578,-0.0362,1.6644,2.4722,2.58,1.1238,2.1629,0.8947,2.1305,0.7477,1.2795,0.9585,2.9618,3.148,1.1352,2.2642,3.5686,2.198,2.0337,2.4666,0 
-1.8678,-1.3455,2.7813,1.7885,-0.3807,3.3319,3.1325,1.7203,4.5353,0.8739,2.1843,3.9467,0.9578,1.0973,-0.6919,1.5903,1.0729,0.8972,1.2589,1.7906,0 
0.246,0.4862,-0.7255,2.2809,1.5651,2.1907,4.2136,1.9212,0.6532,3.7712,1.9953,4.8248,0.9597,1.929,1.1746,1.3991,0.6099,0.8942,1.3589,-0.4206,0 
-0.8512,0.5788,2.3609,4.1747,1.3946,0.8863,3.2818,1.0087,1.8799,3.3979,2.5113,4.428,1.2347,1.6031,2.2712,0.3603,0.2329,2.2019,1.8912,-0.6283,0 
-2.0048,-0.1162,0.1744,0.5964,1.3511,3.1813,3.6794,1.5245,1.6952,3.0987,3.5638,1.2524,3.4408,2.8326,1.6708,1.9693,2.7266,1.9644,1.7215,1.3941,0 
0.8264,0.9361,0.7084,1.4063,3.5775,1.4539,1.3403,0.7978,3.9066,3.1027,3.5189,1.8324,-0.0407,2.2302,0.8658,0.3336,0.8054,3.1359,2.0784,1.7018,0 
-0.2246,-0.2506,2.013,0.7258,1.7729,2.6836,1.2575,1.1596,3.8242,3.1225,1.0107,1.5902,1.9141,2.356,3.4782,0.6747,1.0332,2.076,1.7947,1.3059,0 
-0.2193,-0.4008,4.0608,2.869,3.0116,2.2304,1.4191,2.6692,3.1921,2.7151,1.1617,3.273,0.3773,4.9475,1.0694,3.1486,2.4861,4.0625,4.341,2.2846,0 
-1.0271,1.8325,2.0805,1.0743,2.8938,1.1053,0.5459,2.2669,-0.8789,1.2547,1.4512,1.852,1.2705,2.1111,1.6686,2.009,3.3464,2.5889,0.8094,3.124,0 
-0.5258,-0.3633,1.3329,2.2835,0.8331,2.0947,0.9877,0.9395,1.1679,1.7035,2.1584,1.4129,1.1448,3.8735,0.9752,4.0205,1.5814,1.7999,4.0018,2.6447,0 
0.1979,0.6611,2.6406,1.5206,3.8401,0.3803,2.653,2.3992,2.1277,1.9531,1.1068,0.1832,1.1695,2.4055,2.6043,0.1472,2.0906,0.8567,1.852,2.4454,0 
0.4189,1.1425,1.9787,2.9812,1.2213,2.3977,1.5529,2.099,1.6964,1.0224,2.0927,-0.361,1.7545,2.098,1.1363,2.0976,2.0257,0.8374,2.5496,-0.4065,0 
-1.3839,2.2336,3.4264,2.7512,3.0715,1.6593,2.5709,0.6902,2.099,2.7824,3.0284,3.7413,2.0517,2.4705,0.6345,0.9154,0.5818,4.9725,1.6737,3.0779,0 
-1.9484,1.091,3.6096,3.8273,1.4715,0.6639,1.7154,3.0833,2.1887,2.2745,2.1034,2.6674,3.3177,1.681,3.1768,2.7421,3.0009,2.6093,3.1345,0.7103,0 
1.8084,-0.2526,2.2152,1.0627,1.316,0.4984,1.7003,0.8298,1.8389,3.4108,0.8444,2.4771,2.0218,0.8889,2.4198,2.9538,1.4383,1.5284,2.2073,1.9894,0 
-1.0236,-0.345,1.165,2.6999,3.602,2.1131,2.1961,1.2205,2.4784,1.2022,2.7962,2.7234,2.5181,1.4905,2.9704,3.3944,1.9015,0.5546,4.1519,1.5429,0 
-0.2089,-0.412,2.0085,2.9312,2.0512,1.9355,3.8341,0.728,1.8719,0.8638,3.4011,0.7729,2.435,4.2591,2.7821,0.2271,0.8221,1.9596,1.624,1.2404,0 
0.6715,0.325,1.7113,1.8655,3.1474,-0.2527,2.1906,0.9136,2.0052,2.5757,2.3449,1.7742,2.4468,2.464,0.4382,0.9047,1.4177,3.9123,1.4423,1.7769,0 
-0.6826,-0.0063,2.8567,2.5754,3.0809,3.9484,1.947,1.4931,0.9278,1.5037,2.6291,4.0313,0.5006,1.3869,2.021,1.6241,2.8634,1.7737,3.0829,1.5471,0 
-1.2927,-0.0952,1.4105,2.146,1.9225,2.8352,2.4927,2.0388,1.6003,0.9989,1.4434,3.7837,1.25,3.0556,0.7748,2.7785,1.119,1.3777,1.6409,1.4842,0 
-0.3675,-1.3795,2.0384,1.974,0.1498,1.0347,2.4817,2.8767,2.4049,2.9211,1.3403,1.2881,1.6858,2.8944,1.7759,2.9529,1.6452,2.0788,3.3804,0.1518,0 
-0.6841,0.7478,2.5873,3.7821,2.9758,2.5145,1.8742,0.9051,0.361,2.582,1.0728,1.9467,1.9664,1.9048,1.5741,1.3082,2.692,2.6721,0.9878,1.9256,0 
-2.2123,0.7128,2.9247,0.0627,2.2528,2.5759,1.244,1.7579,2.128,2.3557,2.011,1.604,4.2683,2.527,1.4937,3.0827,1.702,0.8131,3.798,2.297,0 
-0.2083,-0.5379,1.3887,3.2028,2.0559,3.0823,1.2601,2.4958,0.7243,2.7067,0.8123,1.5619,1.4067,2.9085,2.1307,3.4393,-0.1906,2.6239,1.2325,2.575,0 
