Feature1,Feature2,Feature3,Feature4,Feature5,Feature6,Feature7,Feature8,Feature9,Feature10,Feature11,Feature12,Feature13,Feature14,Feature15,Feature16,Feature17,Feature18,Feature19,Feature20,Class
* 
-0.1564,-0.1541,1.5015,1.5891,1.2893,0.7385,1.6489,-0.2725,1.3905,2.3874,1.8968,1.0669,2.8786,1.3176,1.064,2.0709,1.6425,2.1172,1.0761,2.4687,1 
-1.5792,0.0903,2.1125,1.908,2.6257,1.7943,3.0195,3.624,1.859,3.1979,1.6342,4.0341,2.2396,2.0686,2.3719,1.9041,2.3052,0.0789,1.3742,3.314,1 
-1.5243,-0.8227,2.442,1.1239,3.4042,1.0047,1.5755,2.0042,0.0508,2.0024,1.1023,1.9869,2.3561,2.913,3.2957,1.1903,4.6711,3.0968,0.2334,0.6022,1 
-1.3711,-0.3733,2.2785,3.0376,2.0113,0.4671,4.3582,0.3706,2.222,1.9104,2.0,2.4348,2.4961,1.2187,0.3557,2.7719,3.2097,2.7554,2.4324,1.076,1 
0.1874,-0.5327,3.3951,2.1027,2.6177,1.5525,2.5025,3.1037,2.5849,2.4751,1.8086,1.6265,1.3812,2.095,3.5829,1.9166,3.8374,0.9447,1.9833,1.8497,1 
-0.0424,-1.0544,0.663,2.1224,2.3428,1.6179,3.2708,0.8621,2.9747,3.0204,2.3088,1.0806,0.9141,1.3915,3.6324,0.829,3.7931,3.1687,2.8678,2.0596,1 
1.3769,0.2226,0.4201,2.9054,0.6171,1.2002,2.8349,3.6012,1.2704,2.576,1.0577,1.791,1.1946,1.1177,1.6511,1.4105,1.965,2.7773,0.4165,1.6596,1 
-1.4886,0.6641,0.3583,0.0271,0.421,1.5459,-0.0315,3.4038,2.5815,2.9692,0.8169,1.9484,1.471,0.5629,0.4629,3.1991,2.8706,1.1306,1.7612,3.1031,1 
0.182,-0.7425,1.7572,-0.2576,3.1981,0.6305,2.8838,1.7257,2.3664,4.0545,2.4547,2.1514,4.2148,2.7687,1.2733,0.9384,2.1428,1.869,1.162,1.4125,1 
-0.4672,0.2667,0.8931,4.5566,3.7461,3.2792,1.7868,0.9457,1.2498,2.37,2.2384,2.3225,1.2574,0.5745,2.2627,2.6497,0.9833,4.274,1.62,0.7158,1 
0.9809,-0.2452,2.2086,1.4923,2.2037,4.03,2.2292,1.8539,0.9917,2.8284,2.2013,2.6752,2.6258,1.1188,2.1454,3.342,2.3392,1.8275,2.1785,3.5112,1 
-0.644,0.9553,2.7218,2.0977,1.7922,1.8293,1.9,2.0691,1.2421,1.9699,2.1438,1.2302,3.4323,3.5495,2.8851,2.9219,3.1423,0.4356,2.0964,2.9821,1 
0.4801,0.0075,2.0123,2.5078,0.9099,0.501,1.3955,2.0566,3.4816,2.0775,2.0361,0.9971,1.5536,0.3766,2.7909,2.6312,2.8872,1.0246,3.5869,1.6867,1 
0.0546,2.2657,2.8316,1.9966,3.3976,0.3657,1.4919,4.1473,1.1176,1.2416,3.3052,2.1731,1.2908,1.0907,1.2028,1.2169,1.4869,3.6586,1.746,1.3416,1 
1.4006,1.5168,1.8394,1.2681,0.9764,2.6698,1.0323,3.016,2.3223,1.6311,2.5993,-0.7081,1.7561,2.9878,1.4726,1.9916,2.9807,1.2987,1.5094,2.1434,1 
-1.2037,-0.5966,2.4577,1.2876,2.2003,2.6813,1.1573,3.4841,1.4369,1.8935,2.2969,1.4124,1.9499,3.4054,1.8946,3.4122,3.3353,1.481,2.0787,2.9294,1 
0.3676,-0.7155,2.4989,3.9362,1.3131,0.2343,3.5495,2.4144,2.7011,2.7001,2.6785,2.3247,2.7218,2.615,0.976,2.1012,2.0857,3.0212,0.5332,2.226,1 
0.2227,0.3933,3.4636,1.4762,4.3258,2.9538,0.4661,0.7079,3.0961,3.1573,1.7583,1.3343,3.0136,2.9003,1.4552,3.8288,2.5512,2.97,0.9217,1.8401,1 
-0.7766,-0.4885,2.0166,0.8292,4.0663,1.5889,1.2908,2.1055,1.3237,0.8709,0.8324,1.43,0.3434,-0.0095,0.1194,1.9446,2.0423,2.584,0.7567,0.7083,1 
