Feature1,Feature2,Feature3,Feature4,Feature5,Feature6,Feature7,Feature8,Feature9,Feature10,Feature11,Feature12,Feature13,Feature14,Feature15,Feature16,Feature17,Feature18,Feature19,Feature20,Class
* 
-2.0424,0.565,0.2812,1.955,1.2121,1.6666,0.3079,-1.238,2.0456,0.7665,2.0442,1.0871,2.5686,0.7082,2.793,0.2883,3.5159,3.7196,2.3198,2.9257,1 
0.2254,-2.0273,1.7701,0.8819,1.8828,1.091,2.3442,2.6354,3.358,1.2914,1.819,1.0734,3.7916,2.1557,3.1437,3.5025,1.5138,1.1132,3.6269,2.2119,1 
0.3091,-1.1079,-0.4709,2.047,2.2965,2.7007,2.8777,3.3987,0.5313,2.4703,1.4305,1.1881,1.9524,2.9549,1.1168,3.1565,2.966,2.5335,2.7835,2.1962,1 
-1.9158,-0.3466,1.8871,0.2607,1.0792,3.6153,2.4546,0.9898,-0.5164,1.685,1.4727,1.9662,1.6494,1.5004,2.0638,1.0568,3.0601,2.8141,2.7254,1.4653,1 
-1.804,0.6826,4.1859,2.6485,1.0679,0.5906,1.9489,2.582,2.5344,0.6403,2.381,1.6082,3.6918,1.9662,2.2191,1.1481,1.4408,1.4224,0.7788,3.6561,1 
0.6301,-0.6933,1.2747,0.7704,0.0964,1.8193,2.0965,1.0211,0.9142,1.4613,2.5206,2.0159,1.5861,-0.0504,0.4426,1.9524,1.3027,0.9346,1.7181,3.1386,1 
0.9948,0.3756,3.128,0.2544,0.6436,0.4035,2.2733,3.2499,4.1311,0.7379,-0.2032,0.8376,1.4998,2.0079,1.2865,3.0341,2.8006,0.2818,1.9357,2.4175,1 
0.213,-0.5549,3.6656,2.6962,1.8566,0.981,1.8247,0.3702,2.5426,0.9608,1.692,1.8593,1.2863,2.267,1.2265,1.9703,0.8505,4.3055,2.5718,1.4312,1 
0.5777,0.702,0.8911,1.021,1.7429,2.6722,0.6293,1.3391,0.332,2.1409,2.1805,4.512,0.479,1.3332,1.8938,2.3362,1.9468,2.4121,3.7917,3.1043,1 
0.1602,-0.0517,1.8053,3.1539,2.5559,1.9229,0.9824,1.2534,1.6107,2.6111,1.347,2.0633,0.9913,0.6752,1.6893,1.2411,1.4506,2.3056,1.2758,3.392,1 
-0.5505,-1.7912,2.3791,2.5433,2.9845,2.4527,2.3393,1.9791,1.5622,2.7797,3.549,1.5327,1.5477,0.3804,0.2576,2.7995,0.6156,0.3278,4.3113,-0.5524,1 
-0.0642,-1.1851,2.2039,3.4188,1.8416,3.0275,1.0821,3.0802,3.5821,1.6732,2.6818,2.6945,1.2398,2.1201,1.7753,2.2933,1.75,3.0677,1.2105,1.5028,1 
-2.4152,0.5068,2.8036,1.9352,1.7067,2.3071,2.8243,2.9031,1.0588,2.4166,2.1293,2.1963,2.7331,1.4331,1.458,1.9309,2.2601,2.5768,1.7967,1.1421,1 
-0.4114,2.0206,1.776,3.5099,2.1314,3.3741,1.5599,1.1198,1.9561,0.9314,2.5401,2.071,5.1549,0.9914,2.0996,4.0458,1.7729,2.2387,0.9535,1.3393,1 
1.986,-0.598,3.033,1.7259,1.8403,1.9346,0.7406,0.4671,2.0893,3.1478,1.9716,1.1301,0.4605,0.2925,1.2049,2.7871,3.0376,2.432,1.8701,0.9257,1 
-0.2612,1.1608,1.756,2.1282,2.0782,1.4927,1.7315,0.9668,0.735,1.2328,0.6732,2.5338,1.5415,1.8814,2.5272,2.526,2.2725,1.6803,1.3987,1.781,1 
0.5081,-2.3254,1.3567,3.0392,2.8309,1.8299,2.2271,1.772,1.0533,3.0884,3.4934,2.199,2.5494,1.4658,0.587,1.9553,0.7897,0.9888,1.0948,2.2442,1 
-2.2261,0.1429,0.9146,3.0752,3.593,1.8037,0.9911,1.0023,1.7498,2.7435,0.4981,2.4859,1.3822,1.3532,1.1304,1.1901,1.9777,2.4611,0.8447,1.1626,1 
-0.7723,1.9373,2.5345,1.3439,1.4426,2.106,2.9478,3.0313,1.7786,4.021,1.3416,0.7184,1.1238,1.5787,1.7458,2.0192,2.0438,2.3104,1.6305,2.235,1 
-0.121,0.2008,0.1845,2.6978,0.3213,0.5597,2.7679,2.0437,1.7029,0.7748,1.6909,2.8508,2.5167,0.0711,1.9123,2.2837,2.662,2.1757,2.5574,1.9247,1 
-0.2403,1.6708,-0.6183,1.4144,1.7701,2.8967,3.3284,1.8863,-0.1753,1.4982,-0.1174,0.2232,2.3812,2.346,1.3261,2.7032,4.6951,2.2001,1.5209,4.729,1 
0.4974,2.3022,2.5922,0.935,0.0013,2.661,0.4183,0.3299,2.2763,3.4084,2.5278,1.8209,0.9719,2.2202,4.3207,2.2144,3.4399,4.721,1.2073,1.6407,1 
-0.1566,-0.1799,0.5396,2.1967,1.3178,3.2842,2.3689,1.3505,1.5459,0.3945,0.2269,1.5552,1.4122,1.9514,1.4289,2.9859,3.2572,2.4202,0.0574,2.063,1 
0.9758,0.4832,2.0908,2.6871,2.1479,2.2536,0.7759,1.117,2.2857,3.6056,0.6766,0.528,2.4465,1.0822,3.1362,1.2152,1.2971,1.3401,3.625,2.2971,1 
0.4484,1.4891,2.8937,2.4741,2.6601,2.1717,3.4183,1.8995,1.4997,2.6607,1.9639,2.1013,3.363,3.5177,1.0394,3.0943,0.3933,0.2623,2.4522,2.0095,1 
-1.7646,-0.8866,1.9794,1.1256,2.9484,2.7048,2.8153,3.1275,3.3339,-0.0754,3.2094,2.3604,3.059,0.5162,1.8062,2.5974,2.7305,0.6405,3.1451,3.0151,1 
0.8114,0.4505,3.3088,1.1685,2.3909,2.4441,1.5651,1.5799,3.275,2.4193,2.6998,1.0507,2.914,3.6418,2.5262,1.4276,2.755,3.262,2.1353,0.6288,1 
-1.581,-0.979,1.6972,2.1773,2.9997,0.5498,2.7386,1.9675,2.3698,2.0327,1.9843,1.9229,1.5059,1.1764,0.5465,2.4019,2.7125,1.4841,1.053,2.434,1 
-0.1855,0.7851,3.2326,2.9135,1.443,2.6344,2.9974,3.7948,1.4372,2.453,2.5146,2.1747,0.501,1.153,2.1411,3.3512,0.9798,0.9358,2.3571,2.8665,1 
1.8379,-1.5914,2.5461,2.8809,1.906,1.7648,2.438,2.6238,2.2948,1.4257,1.5555,2.6925,2.8751,1.3482,2.4703,0.5775,3.082,2.2436,1.1774,2.0285,1 
-0.9094,0.3258,1.7645,1.9737,1.1369,1.466,2.031,3.1141,3.2938,2.2262,2.5916,1.5608,1.244,1.4295,3.5492,0.8425,4.8724,0.6847,3.6571,4.407,1 
-0.5625,0.3398,-0.3386,1.081,2.2088,1.5344,1.5092,1.6265,2.0297,1.4144,2.8762,2.5108,0.3519,1.025,2.0157,1.3889,2.343,2.5349,0.9753,2.3236,1 
-0.6525,-0.1488,2.8983,1.9094,1.5681,0.4297,1.3441,2.7002,2.7649,1.6967,2.9368,0.3624,2.8656,2.9002,1.6344,1.254,2.5619,2.652,2.8094,2.0454,1 
-0.797,1.3413,0.919,0.0292,1.057,1.4563,0.5919,1.0733,1.5374,2.5674,3.0754,3.4105,1.8537,1.9171,2.2844,2.8587,2.7998,2.3496,1.2914,1.5094,1 
0.1852,-0.8041,2.2876,3.3041,1.8513,1.8422,2.3444,1.8439,2.1002,2.0578,3.4582,2.3115,2.0404,2.6911,3.1954,1.9793,3.4951,1.2066,2.9013,2.0849,1 
0.0735,0.0218,1.4995,1.1697,0.2809,2.8113,2.4347,1.9556,-0.8614,0.9598,0.9155,2.278,-0.866,2.8047,2.508,2.3993,-0.2637,1.5052,1.2536,1.7657,1 
