Feature1,Feature2,Feature3,Feature4,Feature5,Feature6,Feature7,Feature8,Feature9,Feature10,Feature11,Feature12,Feature13,Feature14,Feature15,Feature16,Feature17,Feature18,Feature19,Feature20,Class
* 
1.5335,-1.9342,2.4758,5.0609,1.3731,2.0317,2.6418,2.5147,1.4372,2.4619,2.2327,2.3651,0.7102,2.0252,3.7402,1.3103,3.6086,2.7258,2.3253,2.471,1 
0.6151,-1.313,3.2683,1.2937,1.6089,2.6523,2.6964,3.8377,4.4018,3.2311,0.9383,1.2852,2.9362,3.2036,1.6342,1.2124,2.3766,1.3189,2.5053,3.1634,1 
-0.545,1.7035,4.0079,0.1074,3.5072,1.6656,1.6914,1.5471,3.2183,1.0097,1.7893,3.4432,1.0526,2.0343,1.4072,1.5901,3.0884,1.021,2.9048,1.5134,1 
-0.6208,0.1357,2.124,2.9598,0.8826,0.8563,2.851,2.6947,2.1757,1.3569,2.3966,1.842,2.0601,2.1547,2.9203,3.0664,1.8087,1.521,2.0537,1.5937,1 
0.4008,-0.4726,3.3846,2.6214,2.0098,1.3348,1.9863,0.6224,0.3989,1.3195,1.6982,0.1376,2.1831,2.6459,0.6343,0.6515,2.2217,0.4606,2.5568,3.4325,1 
1.0789,0.5511,2.2501,2.794,1.5526,1.3208,0.8276,1.5812,0.6804,1.8547,1.332,1.1863,1.2044,2.5689,1.9765,3.4786,1.7325,0.5335,2.3003,3.5652,1 
1.6902,1.1513,1.3454,0.2057,0.0874,0.1794,2.7544,0.4168,2.4199,0.6978,1.2451,1.6337,2.4889,0.5419,2.313,2.0807,2.202,1.825,1.1105,2.9608,1 
1.2,0.309,2.0446,1.9468,0.9669,2.5176,1.9229,1.299,1.1662,2.8322,2.1484,2.8068,1.2082,2.0561,1.3782,2.0591,3.2185,0.8114,1.5692,2.1533,1 
1.4304,0.8119,3.0105,1.77,2.8671,2.0953,1.5954,2.3027,1.4695,1.6944,1.917,2.0025,3.3607,1.14,1.9614,2.025,2.1023,0.7723,2.4657,1.9399,1 
-0.5518,0.699,1.4511,3.0721,2.3287,1.7619,1.6982,0.7274,0.975,0.7558,1.0841,1.1276,1.5823,3.3701,1.5568,1.6972,3.5054,2.697,1.9542,2.4584,1 
-0.5288,-0.0858,2.2463,2.4248,1.5066,1.3653,3.5112,1.1119,2.2709,3.4811,2.0387,1.385,1.7767,2.0969,3.3215,0.5608,1.5154,1.5267,1.9008,3.314,1 
0.1667,0.1544,2.9097,4.8681,3.8777,3.0485,1.9765,2.3711,1.6776,3.2478,4.1292,1.9527,2.9504,2.0235,1.1835,1.262,3.3601,1.0579,1.5814,2.1716,1 
-0.745,0.358,1.4895,1.7835,1.5252,1.3773,1.9503,1.9134,1.6936,0.8996,1.9077,3.0282,1.4025,2.568,1.3999,1.6496,-1.166,1.9245,2.6545,4.6474,1 
0.1457,-0.9191,1.7705,2.6854,1.916,3.1377,2.0164,2.2308,1.0558,1.7881,1.3313,2.4197,2.8575,2.1129,1.2626,1.7558,1.3079,2.206,0.0842,2.5859,1 
-0.5056,1.3009,2.8257,1.5267,3.0697,3.4054,2.6339,2.3182,1.4054,0.4274,1.0957,3.2127,3.1474,3.4965,2.0026,1.8289,2.2274,2.4522,0.708,1.131,1 
0.5199,-0.7377,1.9846,1.1776,4.0849,1.7912,3.1229,2.0659,0.3476,2.9459,0.3496,1.8266,1.2215,2.3051,1.5165,2.9878,0.8844,0.3846,2.6485,1.8365,1 
-0.6085,1.4593,2.4481,1.3414,0.9572,1.4187,0.8643,2.7619,0.4705,3.2558,3.2759,2.0671,1.3196,1.9123,2.5828,2.2239,-0.418,2.5969,-0.4066,2.0772,1 
0.4377,1.0569,3.4746,3.0001,2.1119,1.1056,1.5306,2.6824,1.5724,1.5186,1.9878,2.6477,1.7224,1.3612,1.5527,2.1513,4.415,0.6692,2.1954,1.7278,1 
-1.0228,0.5487,1.2153,1.3698,2.8678,1.4979,2.779,2.7177,0.9755,0.7902,0.9722,0.1713,2.3749,2.6491,0.9365,3.0058,0.0933,1.3431,1.2038,-0.1984,1 
0.5435,-1.634,1.7579,1.7124,0.0477,2.5043,2.2919,4.2271,0.9345,1.8508,0.8384,3.5244,0.6879,2.6829,1.6544,2.104,-0.3623,1.236,2.221,1.4891,1 
0.6582,-0.3804,0.2617,4.0164,3.5297,2.9072,1.1061,2.7936,0.744,0.8992,2.6502,1.9954,1.5454,1.6694,2.6529,1.8003,1.0595,1.8763,2.1645,0.7199,1 
0.1429,0.9776,2.7956,2.1334,1.1833,1.9622,4.2696,2.8625,3.4537,1.7631,4.5096,2.2934,2.4168,2.5795,2.1557,0.6905,2.784,2.2486,0.4844,1.3925,1 
0.7007,0.2014,3.3712,3.3596,-0.15,2.1476,1.7321,0.5649,3.8771,2.0588,2.8986,2.3186,1.5611,1.6954,3.2814,2.5952,1.5437,1.6314,2.5414,1.8486,1 
-0.669,-1.48,1.6068,2.7622,2.573,2.0694,2.02,0.6758,1.9496,2.4917,2.1201,1.7311,3.1787,1.5816,1.0777,0.6653,2.8826,1.8039,3.1889,1.5307,1 
0.5644,0.4336,4.1362,1.1887,2.0426,2.1561,0.8837,1.7689,2.278,1.5524,0.9378,2.5298,2.1734,1.857,3.9743,0.8884,3.1284,1.169,1.6441,0.0408,1 
