Feature1,Feature2,Feature3,Feature4,Feature5,Feature6,Feature7,Feature8,Feature9,Feature10,Feature11,Feature12,Feature13,Feature14,Feature15,Feature16,Feature17,Feature18,Feature19,Feature20,Class
* 
5.7053,-0.0035,0.9235,0.0856,0.8419,2.5944,1.418,2.1757,2.9317,2.1708,1.6133,1.1184,2.0466,1.3572,1.0272,1.9287,1.0692,3.1759,0.5734,1.8701,1 
7.4894,-0.1561,0.9085,2.7025,2.3696,2.3601,1.4199,-0.3343,0.9707,0.8516,3.7484,1.1662,3.0445,2.5218,1.784,0.7566,1.944,3.6644,0.8126,1.9504,1 
4.7163,-0.4222,-0.9617,2.618,0.4873,3.0616,2.4284,2.4086,1.0895,2.1227,2.5283,2.293,1.2829,3.4269,1.929,2.5554,1.7144,2.8307,1.8629,0.9633,1 
4.6432,0.8333,1.6098,0.6698,3.3304,1.4349,2.2854,1.7179,1.2432,0.9861,1.6433,1.9347,2.9504,2.0626,2.6987,0.7437,2.5404,2.4531,0.8974,2.2375,1 
5.3154,-0.0705,1.0909,4.3721,1.314,1.4736,1.3476,3.472,0.8069,2.7682,2.9407,1.5607,1.5093,2.2532,1.9946,1.5215,3.0243,1.9555,1.1663,1.3703,1 
5.9261,-0.2333,2.0415,2.9483,1.9569,2.1268,2.6457,-0.1531,2.1364,2.1687,0.3876,2.1107,2.0721,1.8557,2.1734,0.0679,2.6388,1.6455,1.3437,2.6124,1 
4.5554,-1.8575,2.1126,1.1389,0.7077,1.9289,2.1659,2.6336,2.5741,0.8738,2.9295,1.7716,2.5579,1.7376,1.1425,1.2041,2.1122,3.4399,4.7125,3.9257,1 
6.1033,-0.6853,2.5877,2.1056,2.2103,2.5431,1.965,3.3027,3.0058,2.0571,3.7358,3.2769,3.525,0.606,2.2712,1.7895,1.4491,1.125,3.01,1.79,1 
4.3115,0.01,2.2576,0.5375,3.2303,1.0618,3.7725,1.1969,2.0289,2.5291,2.4074,0.8338,0.8136,0.4494,1.7837,2.8709,1.9035,1.8985,0.2682,1.5833,1 
4.958,-0.6339,2.043,2.2086,1.7905,2.0199,0.8511,2.1095,1.1921,1.7195,2.5348,2.4771,0.8074,2.5031,1.9634,2.7386,0.4133,3.2171,0.6576,2.5061,1 
5.9052,-0.3799,2.8867,3.4166,3.2582,2.0799,3.152,2.7889,1.5965,2.4464,2.1727,1.3661,2.7512,2.6809,1.1586,1.6387,2.7596,0.8449,2.615,2.7394,1 
5.033,-0.4729,2.2553,2.6684,3.6946,2.5433,3.2298,1.7164,0.5312,1.6292,2.042,1.6342,1.1633,2.264,1.786,3.0647,3.304,0.9103,2.8608,1.9505,1 
4.9856,0.9923,3.0178,0.8395,1.9603,3.0875,1.4527,3.1842,2.664,0.3086,3.2089,2.2488,1.783,1.314,2.9532,1.9898,1.2778,-0.2238,2.7778,2.8076,1 
5.3783,1.0748,2.1459,2.2648,2.9434,1.666,0.1933,2.9473,0.8957,1.7418,2.7844,2.2364,2.9589,1.1997,3.5184,2.3806,2.3784,2.6591,2.0141,1.7582,1 
3.8563,-1.0084,1.3053,1.7765,2.1112,1.6819,1.0558,0.7407,2.3016,2.3538,1.7632,1.1641,1.8481,-0.6932,1.8806,2.4285,1.6505,0.0558,3.4051,3.1391,1 
5.4425,0.3178,1.8873,2.1777,0.4037,1.2743,1.4541,1.6776,2.2207,1.0117,1.9377,-0.6832,4.7373,2.6873,3.4667,1.3148,2.7819,1.1148,2.1723,2.9524,1 
3.4525,-0.4428,2.2403,2.9801,2.4997,3.586,2.6613,1.6912,0.9364,2.7344,3.5348,3.4436,4.164,2.0924,2.0095,1.4061,2.2865,2.2756,3.9228,2.543,1 
4.2494,-0.0817,2.0711,1.4541,2.9621,2.2204,2.5952,4.7788,-0.7893,2.4159,0.6487,1.2079,2.4994,2.0768,1.3011,2.5937,0.8845,1.2472,1.7928,1.1187,1 
4.5626,0.3798,0.9289,2.3699,1.0278,0.1373,1.2798,1.326,3.395,1.4064,2.9206,1.3601,1.6618,2.6496,2.5472,2.1859,2.5195,1.6968,2.8343,3.1372,1 
5.9395,-1.3365,3.0816,1.2737,1.6045,2.8152,1.9001,3.5087,3.7698,2.5485,2.808,1.6142,0.9387,0.666,2.247,2.8569,2.3659,0.717,0.8528,1.3781,1 
4.8396,0.0043,2.227,3.6583,2.1215,2.9402,2.4525,2.2424,1.5116,2.9198,1.8938,3.6433,1.8295,2.1001,2.3941,2.441,1.7864,2.6893,1.7358,0.4582,1 
5.1051,0.7736,0.5839,0.1091,1.7278,0.6782,1.203,1.4309,1.9817,1.1656,2.5695,1.3463,-0.0085,2.4122,2.1616,0.9328,1.1081,0.0875,3.0033,2.5979,1 
3.1365,0.6669,2.1247,2.3837,1.3378,2.3854,2.5343,1.4999,1.3845,2.0923,2.1219,0.8981,2.2574,1.3346,2.8998,1.9265,1.6694,2.9918,1.8164,2.9941,1 
5.3235,-1.1937,1.9338,0.7577,0.835,0.0967,1.9232,3.3554,2.8788,2.6076,2.3831,2.059,2.5375,1.7078,3.9232,1.9293,1.6488,3.7443,1.8445,2.1767,1 
4.1779,0.2295,0.2872,2.8286,1.5765,2.4876,1.6598,1.6647,2.7407,2.2333,2.0093,2.0948,2.2202,1.4947,2.8552,2.676,2.1344,1.9783,1.8833,3.3269,1 
7.1543,-0.2715,2.3414,2.1466,2.6118,2.043,1.0091,2.4997,3.7892,1.2606,2.0155,2.9834,0.872,2.3244,2.0553,1.6929,3.6291,1.2806,1.1803,1.8191,1 
5.2325,1.029,1.8042,4.0441,2.1036,1.6409,2.2031,1.7023,0.7494,2.4628,1.2927,2.5004,0.806,0.8463,1.7638,2.4118,1.4763,1.5986,1.7939,0.9501,1 
5.1079,0.1179,2.4404,2.7437,1.4756,1.1016,1.9673,3.1592,1.6086,2.3178,1.4546,2.66,2.4577,1.4808,2.7534,2.3578,2.1484,1.438,2.0935,3.5275,1 
5.0787,-0.5318,1.4912,1.0913,3.1162,2.882,2.5869,2.8654,1.1346,1.7395,1.1155,0.0659,2.5871,2.6684,0.9711,1.7227,2.0234,3.2456,1.3052,2.6516,1 
4.3845,-0.24,2.8922,1.2052,1.4497,1.5432,1.9112,1.8486,2.1077,2.3125,2.5316,1.185,1.6105,2.0024,1.651,0.4102,2.4613,1.0564,0.767,1.8234,1 
5.4999,0.7183,2.3559,4.3588,1.1961,1.939,0.2034,3.8179,0.6422,1.5985,3.0628,2.2748,3.8451,2.3955,2.2243,3.5879,2.861,2.7329,2.224,1.7238,1 
4.7845,-0.1629,0.1552,3.5849,2.2209,1.3653,1.0468,4.921,1.781,2.0435,3.7497,1.7125,0.5697,3.1889,1.9255,2.1083,2.6893,1.3787,1.6657,1.5384,1 
5.0147,0.231,1.7063,0.933,3.6151,1.6156,1.5327,1.3305,1.5663,2.0399,4.0528,2.2333,5.0738,4.4942,2.4141,0.2415,0.182,2.3867,-0.5338,0.3872,1 
3.7522,0.3726,0.8297,2.9324,2.4455,3.3667,0.7432,1.982,4.1665,-0.1382,1.2122,1.4928,2.4231,1.9541,1.4549,-1.0894,3.1743,2.675,0.4332,4.0,1 
4.4145,-2.1263,2.5069,4.2786,2.0326,0.8399,2.265,2.9532,3.0266,1.6784,0.4942,2.8682,1.5913,1.2422,1.8171,1.6757,-0.2754,1.2131,0.3702,2.2644,1 
5.2283,0.0396,4.2568,1.4997,1.472,1.6422,1.7365,3.0805,4.218,1.2891,2.9306,1.6446,2.1619,2.7564,-0.1139,0.5184,2.1501,1.359,2.1262,3.1257,1 
5.4258,1.0362,1.3341,2.3421,0.0992,2.5587,2.0807,1.137,0.9307,2.5958,2.8563,3.2845,1.158,0.4108,2.9277,2.9309,1.8542,1.104,1.6351,1.2348,1 
2.1201,0.5552,1.4546,0.6828,0.8135,2.7223,2.2589,0.6489,2.7532,1.97,1.7078,2.186,2.0965,1.2529,1.545,2.7295,1.2918,1.3282,3.0656,2.1409,1 
3.5544,0.9032,2.138,3.1831,1.2085,1.9553,0.6398,0.9721,3.0422,2.0781,3.9223,3.7246,1.5903,3.2237,2.3927,1.4212,1.0227,1.6983,0.6923,0.9263,1 
4.8566,-1.3341,2.3696,3.2014,3.0271,2.3693,1.8779,2.0433,1.2277,0.7447,0.9758,2.6261,1.4734,2.84,1.0586,2.8364,0.6884,2.6387,1.6511,-0.2657,1 
3.4654,0.5942,2.2265,1.5064,1.2762,3.5765,1.3501,3.2687,2.2403,3.7825,3.3353,1.6087,2.3831,0.9409,2.6791,3.2943,1.8048,1.6127,2.155,2.4029,1 
6.9336,1.006,-0.9949,2.4101,2.7183,3.5656,1.0607,1.7514,1.6985,2.1583,3.2395,3.5227,0.9371,2.0468,1.3365,3.1467,2.514,1.0051,3.7834,1.6181,1 
6.4424,-0.9025,1.3351,-0.7864,2.9,1.5429,0.6426,2.941,3.7079,1.119,2.5507,1.5804,1.2181,1.8219,0.528,1.1118,1.6576,0.2781,2.9804,1.0374,1 
3.9741,0.2241,-0.2659,1.0455,1.7274,3.4009,2.1151,2.9807,1.8814,1.8343,1.3677,0.3931,0.3298,1.2323,1.8258,1.5382,2.3008,2.4735,2.5969,0.7795,1 
5.0644,0.6289,5.2306,2.4954,2.0126,0.8107,2.2872,1.6912,0.9183,3.2633,0.386,2.0034,3.855,1.9765,2.9831,2.9982,2.9744,2.242,0.0872,0.2999,1 
3.643,-1.2442,1.1488,0.9989,0.8779,1.504,2.5341,1.6904,0.9211,4.1197,2.5467,-0.2625,2.2,1.4711,0.13,0.8858,1.3304,1.0385,1.3436,1.4371,1 
5.604,0.953,1.6505,1.5695,2.8742,2.2092,2.7146,1.4854,1.8326,2.1224,0.3609,1.7642,2.3976,3.5099,1.664,0.9907,3.1052,3.5662,2.1502,0.9358,1 
4.9524,0.3083,1.8297,3.5664,1.1552,1.5648,0.7698,2.5209,2.6568,0.3358,0.6376,4.0314,1.7693,1.9686,3.0464,2.0876,1.925,3.0736,2.451,2.8191,1 
3.6927,1.3878,3.314,2.7936,0.405,3.1955,1.3692,1.2377,1.8169,1.1215,0.3952,2.659,1.4318,2.2132,2.6629,2.4591,0.8342,3.3284,1.9844,1.5712,1 
5.7616,-0.0801,1.9579,3.1253,1.4092,0.6472,0.7927,3.0975,2.9365,1.4367,1.8687,2.9543,3.9476,2.8911,1.6096,0.3723,0.801,0.1072,0.898,1.0725,1 
3.6594,0.9115,2.7174,1.7487,2.8563,2.1279,0.1653,3.143,3.5051,1.8665,2.161,2.3984,0.3509,0.7118,3.6283,1.4975,2.7728,0.6383,0.9897,3.789,1 
3.7225,-0.0457,1.2764,1.9585,2.4629,1.3077,1.9684,2.928,0.5784,1.4424,2.2401,1.7504,1.5683,1.3923,1.7712,2.5053,0.8292,1.6496,1.2242,2.0782,1 
5.469,-0.7576,1.6212,1.1174,2.3492,1.9327,2.31,2.9611,3.1271,2.8688,1.5259,1.314,3.3297,0.0492,0.7589,2.3927,2.5373,0.3096,1.3275,0.5726,1 
