Feature1,Feature2,Feature3,Feature4,Feature5,Feature6,Feature7,Feature8,Feature9,Feature10,Feature11,Feature12,Feature13,Feature14,Feature15,Feature16,Feature17,Feature18,Feature19,Feature20,Class
* 
1.2174,11.1608,1.7037,3.4593,3.1744,1.1641,3.6064,2.3919,1.6195,1.9995,2.015,0.786,0.9238,0.5615,1.1001,1.653,1.5245,1.1644,0.3051,1.6236,1 
3.851,10.8093,1.3963,3.5319,1.4202,1.4607,0.3974,1.7158,3.49,3.2163,1.4527,0.786,0.1719,0.326,1.8025,3.541,1.6548,1.0586,3.2805,3.1583,1 
2.8539,10.6327,0.8588,1.9036,2.5751,2.1703,2.2335,3.961,1.4432,2.9483,1.8418,2.281,1.843,3.1514,0.9258,1.5644,2.1996,2.9978,2.2764,1.3738,1 
3.4894,10.1906,2.3729,2.3336,1.8111,2.3489,3.3946,1.9124,4.1952,2.4315,1.2293,0.7266,1.9426,1.8664,1.6812,0.736,1.7575,3.2241,1.1671,0.9332,1 
3.9358,10.3852,2.7855,0.4185,3.2112,0.8639,1.5894,3.011,3.023,1.2244,0.9304,2.9622,2.8074,-0.7444,2.1697,4.3258,1.4908,2.5889,3.0401,2.6486,1 
1.6773,10.5222,0.3405,-0.5756,1.5482,1.0761,2.3092,1.3871,1.4884,2.0587,1.615,1.3851,1.0491,0.8962,1.3288,2.6602,1.9911,2.1073,3.7401,0.7104,1 
3.1567,10.9312,1.2015,1.8536,2.9495,1.7216,1.3449,1.9707,1.5913,1.0389,1.0757,1.4529,3.2213,2.0635,2.7796,2.809,4.9665,3.0031,2.2352,2.458,1 
-0.2852,9.1711,3.3056,3.4296,1.1958,0.281,4.0033,3.8197,1.9803,0.7699,3.2832,0.7287,1.1718,2.4205,1.7723,2.5208,1.9766,1.6856,4.0097,-0.2726,1 
2.6241,9.4534,2.4771,1.2404,1.6856,3.4508,1.6371,2.5223,2.6388,3.2649,2.6733,1.5664,0.8948,0.3266,4.0064,2.3932,3.3732,1.8262,2.6188,2.5491,1 
1.761,9.1727,3.536,2.2156,1.8687,2.3512,1.5821,1.8826,1.7631,3.7231,2.0775,1.9225,2.0035,1.5603,2.6244,0.8126,2.6234,2.6055,0.7063,0.6479,1 
1.0837,9.2539,2.8699,1.2629,3.7826,2.8011,2.4721,1.8206,0.8534,1.2965,0.8981,2.5806,2.0219,1.3883,1.5398,2.5857,1.7854,1.123,2.5432,1.6778,1 
2.1032,9.7643,0.7519,2.8002,0.7763,0.1312,1.6577,2.5977,2.6143,0.3571,2.1843,0.9219,1.744,0.782,1.9825,2.3859,3.0662,2.9073,1.2276,0.8956,1 
2.711,10.8868,1.1475,2.1571,1.4311,2.2666,3.0219,0.9144,3.2127,2.0613,2.4012,2.5361,0.3852,2.8283,0.7271,2.2585,2.0524,1.7917,1.7703,2.4255,1 
0.0513,8.4704,1.3329,3.128,2.0048,2.068,0.4683,1.7691,2.9087,2.4752,1.7879,3.5907,1.1208,3.025,0.6959,2.2332,3.1013,3.3851,2.0689,2.2996,1 
1.8769,10.6866,2.4031,2.4898,2.0675,0.8897,2.4214,1.9035,2.3822,3.5659,2.57,0.1479,-0.0555,0.8857,3.6369,1.8796,1.577,0.7448,1.5518,3.1495,1 
1.7744,9.99,1.0131,1.2466,2.0559,1.8225,1.3672,1.6372,2.9301,0.1068,1.5182,1.8092,0.979,1.4047,3.0575,2.239,0.8468,2.975,1.3111,3.4064,1 
2.8586,11.4377,1.2994,1.7308,2.5543,2.5745,2.2206,1.7917,1.9567,2.0536,0.9078,2.0183,1.7946,1.6114,1.703,2.6259,1.9388,3.2432,3.0855,2.1995,1 
4.0163,9.79,1.5811,3.4724,1.4703,3.2948,1.462,3.2866,2.8917,2.1711,1.5454,4.227,2.3679,3.1359,3.145,1.941,2.6073,3.1495,2.6354,2.1231,1 
2.2326,9.5722,0.318,2.5997,2.5344,2.6272,0.3609,1.1665,2.0012,2.4888,2.6802,2.7243,1.4786,2.3665,2.2858,1.3116,3.2035,2.8518,2.8865,1.9917,1 
3.0308,11.8209,0.8335,0.9603,2.5455,3.605,0.8681,1.2084,2.3911,2.3604,-0.1777,1.8637,0.8319,2.1246,2.8998,1.748,1.1641,2.8469,2.2282,1.8446,1 
1.6963,9.5423,2.4097,1.8428,1.0656,2.4828,3.9031,0.4932,2.3337,3.6529,2.4696,0.0128,0.8997,2.6348,2.0707,3.5074,2.6905,0.4286,2.1685,2.7145,1 
4.0232,8.9715,3.4357,1.5396,2.4523,3.1263,3.121,2.9214,2.9788,1.3942,2.4877,3.6209,3.0461,2.8222,3.632,0.5685,0.2214,1.0527,3.0308,0.5071,1 
2.052,11.5221,1.4773,2.8188,1.6202,2.513,1.8325,3.2261,2.6626,1.197,3.3974,2.5221,3.4536,1.618,1.4923,3.099,2.0734,2.8107,0.7878,0.358,1 
2.6129,9.2898,3.0461,3.7076,2.7154,0.8341,2.1036,3.8794,3.0214,1.0306,2.1655,2.3636,1.7967,0.486,2.313,2.0949,2.9779,1.5605,3.3544,0.2768,1 
3.0758,8.303,1.4273,1.9269,1.892,0.6167,1.558,0.7112,2.8599,2.2644,1.646,2.4136,1.1793,2.5961,2.0404,3.7625,1.2895,1.9525,2.6293,2.5339,1 
0.9501,10.1746,0.9561,3.8679,2.5298,3.9232,3.645,2.0859,1.5319,4.2932,3.0048,3.2629,0.2616,2.4843,1.0527,1.3892,2.3955,2.213,3.4054,2.1824,1 
1.6798,11.7879,0.954,0.259,3.012,1.2388,1.0604,1.7801,1.8542,0.0423,2.3627,2.7966,1.5147,2.6945,2.5607,1.7379,1.7053,1.3411,0.8593,1.4723,1 
3.6258,10.3215,1.6889,2.4984,2.5173,2.2075,2.9229,1.1213,2.158,1.6796,2.5237,1.7634,2.9758,0.3547,1.9467,1.8058,0.55,1.4241,0.8749,1.0467,1 
2.3657,9.5225,2.1239,1.7342,2.028,2.7616,1.2794,1.3795,3.504,2.2867,0.621,2.9997,2.6921,4.1088,2.5756,1.058,0.1864,0.8607,0.8087,3.5276,1 
1.7433,11.1038,2.4971,2.6955,2.1629,3.1355,3.6215,2.2518,1.6353,2.6186,0.7578,1.7818,-0.4653,3.437,2.3673,1.9751,3.5206,2.8112,4.3866,2.3513,1 
0.1839,10.2005,3.5655,3.7757,2.7469,2.6075,2.8164,2.8631,2.2655,0.7715,1.5478,3.2514,0.1109,1.4715,2.128,1.8103,3.0324,2.9622,1.7221,1.3038,1 
3.1821,10.5985,2.8245,1.0339,2.272,2.4208,1.9376,2.3304,2.3336,2.4763,2.8128,1.1234,1.8533,3.4749,0.0613,1.6277,1.2399,1.6726,2.9527,2.0182,1 
0.8794,10.0549,2.3904,1.173,1.042,0.9471,4.5817,0.6942,0.8224,1.3065,-0.0217,3.3152,2.4165,2.3088,1.473,0.9518,2.0434,3.5075,0.7953,3.2033,1 
1.9275,11.8257,2.4488,2.3784,1.8288,0.2567,1.7168,3.2527,1.6975,4.6837,0.472,1.943,3.0572,2.3399,2.7955,2.7544,2.9524,1.2227,0.1508,2.4285,1 
0.7779,9.199,1.3683,1.0942,2.1707,0.883,2.0675,3.4456,3.2071,2.3073,1.2903,1.2782,2.597,0.8575,1.9947,2.0533,3.5613,2.4694,2.3065,2.188,1 
2.7999,9.0578,1.5509,1.4931,2.8554,1.9616,1.5704,1.9603,2.6443,3.3606,1.0991,4.6686,2.493,2.1703,3.1332,3.0625,2.1122,2.5335,4.7928,0.881,1 
1.5056,8.3794,5.2865,2.048,2.9397,2.5171,2.4583,2.3802,2.9978,2.5194,1.3902,0.1944,0.7507,2.5644,0.468,2.4268,2.9383,1.5975,2.3349,0.4478,1 
1.7313,9.8202,0.6542,2.1674,3.0153,2.9836,2.7665,3.109,-0.8889,3.455,3.9947,2.7346,2.8616,2.2788,0.9748,1.6839,2.2272,3.3277,2.9062,1.9831,1 
2.4773,9.3212,3.5228,2.4818,2.0903,2.5785,0.2092,0.4573,4.2545,0.0412,2.6226,2.2278,2.6055,3.2714,4.0581,1.4351,3.3098,1.2843,1.8895,2.7959,1 
2.3576,11.2626,2.5827,2.0327,1.9269,1.3948,0.3198,1.7544,2.9501,0.3473,2.7581,0.5563,0.0911,5.2197,1.6813,0.6151,1.89,1.1807,0.0435,1.6026,1 
2.3663,10.5951,2.7185,2.1474,1.6927,4.058,1.6572,1.2869,2.8625,3.4083,3.0987,1.879,1.4519,3.1111,2.3309,1.0899,0.1974,-0.1127,3.4514,1.9736,1 
2.8741,10.5913,2.4223,3.0754,3.9263,1.4874,3.8448,1.4677,1.5202,2.6232,1.372,1.3306,2.3145,2.2249,2.3566,3.4849,0.7065,1.4702,1.4853,1.1669,1 
2.3054,10.9541,3.4305,3.7833,0.8761,3.7745,2.0187,1.2629,3.0238,2.0583,3.2314,0.2636,1.0769,0.7453,2.8962,1.0188,2.4148,2.6358,2.3546,1.1214,1 
3.1381,10.3709,1.565,3.8293,2.2221,2.2445,2.4515,2.4237,4.639,2.1181,2.6583,1.7891,1.0919,0.5428,2.4396,3.387,1.8124,-0.0263,1.2647,1.4683,1 
2.644,10.2771,2.9225,1.8532,3.9269,2.446,1.4892,3.2482,1.6037,0.3842,2.5527,0.315,0.9351,2.337,2.2748,-0.112,1.158,0.7222,2.2104,0.7978,1 
2.5437,11.2669,1.6807,1.9239,1.9958,2.6333,3.838,2.2743,3.033,3.2073,1.7558,1.4794,0.9204,2.3203,2.6115,2.6142,2.2233,2.4947,1.1236,2.8077,1 
0.7074,9.5791,1.8972,2.0767,3.3592,2.1162,2.4593,2.0867,1.2636,0.9067,2.3998,2.0178,0.3273,2.9669,0.562,3.5486,2.4982,2.587,0.9444,2.0399,1 
2.16,12.1332,2.0893,1.4957,-0.2971,2.9047,1.9984,1.306,2.6508,2.1001,2.9498,2.3406,3.6268,2.1445,2.7432,0.7566,1.7162,1.5208,1.7315,1.833,1 
