Feature1,Feature2,Feature3,Class
* 
-0.633,0.3017,2.5944,0 
-0.3703,0.7297,2.4189,0 
0.4154,1.2294,1.6302,0 
0.6397,-0.9808,3.0325,0 
1.1546,-0.0797,0.7407,0 
-0.7681,-1.4638,2.7609,0 
2.1341,-0.1022,1.4331,0 
0.3434,-0.5947,1.4785,0 
-0.0504,0.5723,1.8568,0 
0.4926,1.0608,0.7961,0 
-1.1717,-0.954,1.4554,0 
-1.4937,-0.9471,1.2366,0 
-0.5654,1.1669,2.9795,0 
-0.7649,0.177,3.0278,0 
-0.9276,1.4003,1.5836,0 
-0.3871,0.4674,2.8775,0 
-0.6059,-0.2116,2.8696,0 
0.8503,1.5083,1.4892,0 
1.7632,-1.5883,0.4847,0 
-0.1943,0.5097,3.1099,0 
0.1909,-1.9117,2.4305,0 
1.3936,-1.5071,1.9626,0 
-0.2508,-2.0067,3.1188,0 
-1.506,2.2396,0.0915,0 
-0.7591,1.2706,3.1319,0 
-1.0202,1.0381,1.2905,0 
-0.6738,0.0371,1.0467,0 
1.8556,-0.7922,2.6649,0 
0.4907,0.0969,2.4098,0 
-2.2448,0.103,2.9347,0 
0.9046,0.7436,2.5519,0 
-0.1997,0.2288,1.7918,0 
-0.694,-0.1647,3.9492,0 
0.1069,-0.3155,2.7681,0 
0.7181,-0.6173,0.8218,0 
0.05,0.7834,1.7832,0 
-1.5855,0.2636,2.8142,0 
0.3682,-0.6295,0.8891,0 
0.2506,1.2958,2.4402,0 
1.1876,-1.4723,0.1527,0 
-1.1364,0.4556,1.7448,0 
-0.2785,0.1266,2.4468,0 
0.1939,-1.3274,2.5238,0 
1.219,0.5943,-0.8879,0 
0.001,1.6156,1.8485,0 
0.2421,0.1596,1.9528,0 
1.2623,-3.189,2.6441,0 
-0.0206,-1.0215,3.1826,0 
0.6539,-1.1987,1.6199,0 
-1.9022,-0.6625,2.293,0 
0.0198,-0.4073,2.1194,0 
0.8852,-0.1429,2.4153,0 
1.1148,0.852,1.8292,0 
0.8387,-0.0988,1.8854,0 
-0.2301,0.8376,2.255,0 
-0.7118,-1.0447,2.6743,0 
0.3782,0.2059,1.0432,0 
0.7605,1.4441,0.9066,0 
2.243,2.4752,2.9029,0 
-0.7247,0.2061,0.6549,0 
-1.0344,0.8562,2.8189,0 
-0.7252,0.4136,1.5819,0 
-0.8544,1.3546,1.9109,0 
1.0421,0.891,1.8009,0 
-1.1676,-1.068,2.2919,0 
-1.2531,0.6201,2.2466,0 
-1.2116,1.1935,0.2454,0 
0.1791,1.0227,1.525,0 
0.4737,-0.8006,3.3684,0 
-0.6405,-0.6986,3.4806,0 
2.0893,-0.1588,3.3908,0 
-0.4001,-1.2322,3.2696,0 
1.422,1.1075,2.0638,0 
0.5503,-0.8904,1.1565,0 
-0.7032,0.5489,-0.3594,0 
-1.1302,-0.9941,2.4687,0 
0.6613,-0.6833,2.5868,0 
0.739,-1.9051,2.6163,0 
0.239,-0.7877,0.2891,0 
-0.1013,0.4684,3.7638,0 
1.2673,0.557,1.2076,0 
0.0328,-0.8463,2.7135,0 
1.3328,-0.4767,1.9437,0 
-1.0136,0.0109,1.199,0 
0.3581,-1.9371,0.1104,0 
0.8402,-1.5711,3.1704,0 
-1.6137,0.7955,3.4222,0 
0.7228,-1.2642,0.5373,0 
0.3478,1.0905,1.5804,0 
-0.1143,0.7029,1.4664,0 
0.5276,-0.7236,2.3361,0 
0.723,0.0426,0.7071,0 
0.2149,0.6732,1.7482,0 
-0.922,-0.6383,1.4805,0 
-0.8094,-0.1803,0.875,0 
-0.5709,-0.2265,0.9354,0 
-0.8851,1.2066,2.0932,0 
-0.6418,-0.851,1.8684,0 
0.1026,-0.2247,2.7428,0 
-0.2435,-0.0092,1.9812,0 
0.0478,-0.809,0.8238,0 
0.053,0.7385,1.4685,0 
2.0485,-0.0281,1.7709,0 
-0.9258,-1.1365,1.9912,0 
0.2392,0.764,1.6715,0 
-0.3221,-1.1185,2.4721,0 
-2.1257,0.3886,3.3871,0 
-1.2254,0.6082,1.954,0 
-0.3324,-0.0221,1.5263,0 
0.0801,0.7045,1.8943,0 
-0.7243,-0.2535,0.1075,0 
-1.5913,-0.8584,1.9168,0 
1.9657,-0.996,1.2269,0 
-0.4375,0.3545,-0.0013,0 
-0.0922,1.1939,0.9633,0 
0.632,-0.3243,1.4823,0 
1.2279,-0.2397,1.4701,0 
0.1651,-1.3146,1.9523,0 
0.7513,-0.0056,2.3423,0 
-0.1986,0.2713,1.1243,0 
-0.0613,1.2092,0.9738,0 
0.828,-1.3145,1.9127,0 
-1.0653,0.6589,2.3985,0 
0.5641,-1.5899,2.5748,0 
-1.0145,-1.5744,1.2764,0 
1.3055,1.3959,-0.2426,0 
-0.6924,-0.7851,3.6464,0 
0.9544,-0.3323,2.9897,0 
0.8236,0.117,1.4102,0 
0.381,-0.2728,1.47,0 
0.2011,0.3823,2.1411,0 
-0.1687,-0.3301,3.2876,0 
-0.1523,-0.5824,2.8603,0 
0.5738,1.842,2.4419,0 
0.4291,-0.0982,2.3832,0 
0.6328,-0.6405,1.1101,0 
-0.4345,-0.2968,1.66,0 
-0.5624,1.8383,1.4818,0 
0.0578,-0.4915,1.7769,0 
0.128,-2.0707,0.9911,0 
1.2955,-0.4077,2.6875,0 
-0.7186,0.9317,1.5352,0 
0.3497,1.1111,3.5976,0 
-0.6582,0.3867,1.837,0 
-1.199,-0.7813,1.8509,0 
-1.1882,1.5982,1.9829,0 
1.9311,-0.4863,3.1025,0 
1.3884,-0.9186,2.0913,0 
-2.7611,-0.4764,5.3097,0 
-0.1191,-0.6286,2.6299,0 
-0.7017,0.1483,1.2575,0 
-2.1358,0.7296,3.8136,0 
1.1894,0.5122,2.7409,0 
1.2195,0.545,2.8845,0 
-0.6388,0.2433,1.6097,0 
0.5612,2.8507,1.8197,0 
1.4175,-1.3195,2.6266,0 
-1.144,0.2167,2.6355,0 
1.1122,-1.9982,1.041,0 
-1.0572,-0.0115,-0.9503,0 
2.2943,1.6103,2.7789,0 
0.5234,0.739,0.9367,0 
-0.8722,-1.9439,1.7601,0 
0.2529,-1.7,3.1259,0 
-0.0828,0.9284,3.1026,0 
0.4867,-0.9376,3.3292,0 
-0.7764,-0.4921,2.1879,0 
0.2558,-0.1928,3.2209,0 
-1.2741,0.6986,2.3315,0 
0.5224,-0.1117,1.5246,0 
0.7996,0.5121,1.7314,0 
-0.6902,1.2416,3.1812,0 
1.0068,-1.1234,1.8974,0 
0.9223,0.3827,1.1646,0 
0.8662,1.287,3.6891,0 
-1.8404,0.0638,2.2677,0 
0.0089,-1.4611,0.2941,0 
-0.7285,0.3315,1.649,0 
0.569,-2.1135,1.9558,0 
1.0004,-1.8565,3.0373,0 
-1.0615,1.4075,1.6812,0 
-0.0676,-0.0937,2.5191,0 
0.2206,0.369,1.5765,0 
0.0813,0.772,3.0575,0 
1.696,-0.0345,1.8461,0 
-0.5031,0.1966,1.7684,0 
-0.1498,0.8535,1.4647,0 
-0.2566,0.2081,2.3166,0 
0.2866,-0.1773,2.1042,0 
-0.5638,0.6985,1.6118,0 
-0.7247,-0.7752,1.4732,0 
1.4711,-1.2136,1.3594,0 
-2.2183,0.216,2.2327,0 
-0.4274,0.1398,1.9535,0 
-1.0261,-1.4724,1.5682,0 
-2.1526,-0.3797,1.3386,0 
-0.617,-0.8305,1.3903,0 
-0.6389,0.5837,2.4847,0 
-0.893,1.7322,0.3316,0 
-0.7122,-0.7428,1.1523,0 
-1.5289,-0.7298,1.7741,0 
-0.7597,-0.0844,1.8745,0 
0.9393,-1.3642,1.3588,0 
-0.4866,-0.2321,2.0592,0 
-0.0382,1.0027,1.556,0 
-0.6596,-0.3205,1.749,0 
1.6681,-2.0735,3.7004,0 
-0.9544,0.4175,2.1758,0 
0.1283,-1.0482,2.2973,0 
0.3459,0.2509,0.8095,0 
-0.7463,0.8126,2.951,0 
0.6584,0.2735,2.424,0 
1.3298,0.7467,3.4493,0 
1.3284,0.4778,4.5005,0 
-1.7295,0.6342,2.3321,0 
-0.209,-2.0867,1.0391,0 
1.4804,-0.6397,2.79,0 
-0.7556,1.2255,1.3707,0 
-0.2944,-0.2019,1.6902,0 
0.5728,-0.6973,0.2095,0 
-0.0234,-0.0006,1.3285,0 
0.2842,0.8027,1.4681,0 
-0.9962,-1.0805,2.0321,0 
1.5166,-0.2868,1.6451,0 
-0.6066,-2.2817,1.1569,0 
-2.2748,0.0297,3.0851,0 
0.1742,0.103,3.0303,0 
-0.2398,-1.062,1.8542,0 
2.1982,0.2957,1.7845,0 
0.5898,0.9517,1.2988,0 
0.073,2.1134,3.1363,0 
2.7158,1.567,2.2311,0 
-0.4912,-0.1011,2.9322,0 
1.9848,0.0238,3.474,0 
-0.7026,0.1284,1.9859,0 
0.7725,-1.4583,4.1544,0 
0.2235,-1.201,1.9698,0 
