Feature1,Feature2,Feature3,Class
* 
-0.4273,0.0314,1.7732,1 
0.3657,1.1739,1.8917,1 
0.0452,1.3657,4.1802,1 
-1.3322,1.8154,2.865,1 
0.1763,1.5577,3.0561,1 
0.4369,0.5652,1.0399,1 
-1.0267,-0.8604,2.5864,1 
-0.4994,-0.3655,1.9536,1 
-0.8192,0.4385,1.9562,1 
1.3196,0.8617,2.7185,1 
-0.1458,1.0607,1.9087,1 
1.1604,0.0641,2.1207,1 
-0.0879,-0.4613,1.2315,1 
1.3773,-0.0166,1.9766,1 
-0.2946,-1.1612,1.7708,1 
0.5743,1.0215,0.8668,1 
0.5453,-0.4087,-0.1711,1 
0.2349,-0.6529,2.6544,1 
-1.2298,-0.6072,1.8761,1 
1.4298,1.0735,0.9322,1 
-0.5179,0.1643,2.3371,1 
1.0894,-0.1426,3.0528,1 
1.0016,-0.1587,2.2419,1 
0.7494,-0.7542,2.4537,1 
-0.0344,-1.0725,4.4139,1 
-1.3891,0.8053,-0.049,1 
1.0755,0.9594,1.6798,1 
0.9261,0.7624,2.5828,1 
-0.4032,1.411,0.6847,1 
0.5501,-0.5931,2.6087,1 
0.8548,0.0908,3.2498,1 
-0.7757,-0.2718,3.0438,1 
-0.0269,-0.5804,1.8187,1 
0.5794,-1.3706,1.9849,1 
0.115,-0.4238,0.7103,1 
-1.2423,1.1209,2.9719,1 
1.796,-1.6175,4.185,1 
0.0761,0.1948,2.6353,1 
-0.8397,-0.8218,0.0174,1 
-1.5217,1.926,2.0722,1 
-1.2523,-0.2389,3.1472,1 
-0.9097,-0.7781,0.03,1 
0.7648,0.2983,2.7528,1 
1.655,0.7692,0.6051,1 
-0.6037,0.2842,2.1012,1 
0.5144,0.9026,2.7582,1 
-0.056,-0.9779,3.0685,1 
0.1784,2.2681,3.7501,1 
-0.6508,-1.6481,2.6869,1 
0.7953,0.1998,1.1037,1 
-0.5557,-0.009,2.5466,1 
1.5491,-1.4497,2.1833,1 
-1.1496,0.4506,1.0839,1 
0.4042,1.181,1.9601,1 
-0.2422,-0.5484,2.9116,1 
1.2888,-0.1182,2.2659,1 
1.5274,1.0259,1.9938,1 
-1.3221,-0.7168,2.2911,1 
-0.405,-1.5424,3.0808,1 
0.0402,-0.3012,3.1644,1 
-1.4531,-2.1489,1.5782,1 
-0.2714,0.156,1.5415,1 
0.4329,0.7941,3.5562,1 
-0.9753,2.9205,2.4291,1 
1.1305,-0.57,0.2092,1 
-0.6278,1.8015,0.7582,1 
-1.2349,0.9531,2.0906,1 
-0.2695,0.1687,1.977,1 
-0.8591,-2.0157,1.4438,1 
-0.7333,-0.7379,2.627,1 
-0.8546,-2.1542,2.2394,1 
-2.2624,0.3433,1.6669,1 
0.5909,-0.495,2.1642,1 
-0.9807,0.9646,1.2552,1 
2.6875,-1.424,0.5296,1 
0.9218,1.3917,-0.3641,1 
-1.1708,0.7708,1.9082,1 
1.8971,1.1084,1.9478,1 
0.186,-0.2946,2.2134,1 
0.7829,-1.1404,2.5335,1 
0.8537,0.933,0.6695,1 
0.2176,1.1152,2.1408,1 
-0.5792,0.9813,1.4912,1 
3.2547,0.1545,1.7725,1 
-0.5737,1.573,2.8329,1 
-0.3416,0.3739,3.1062,1 
0.1588,-0.5875,2.343,1 
-0.1354,-2.0316,1.5657,1 
-0.1807,-0.4443,2.6843,1 
1.8496,0.0957,1.6861,1 
-0.2732,-0.5463,2.051,1 
0.0891,1.4198,1.693,1 
0.4347,0.152,0.5933,1 
1.0267,1.9891,2.2236,1 
-0.9793,0.9651,1.3396,1 
-0.2097,-1.2027,2.4226,1 
-1.2532,0.6415,1.4261,1 
0.2936,-1.7155,1.3708,1 
-0.004,1.4327,1.4728,1 
0.9584,0.0112,3.1855,1 
0.0454,-0.4256,1.7524,1 
0.1309,-0.3623,3.5603,1 
1.1555,-0.1613,1.9704,1 
-0.4815,-0.3714,0.05,1 
-1.6693,-0.2804,2.9216,1 
0.4344,0.9531,2.3413,1 
-0.3169,-2.9977,1.6496,1 
0.2107,-1.419,3.3674,1 
0.3599,0.1891,1.0667,1 
0.4724,-1.0306,2.3902,1 
-0.0979,-1.4763,1.931,1 
0.6892,1.7119,0.5192,1 
-0.2443,0.3303,1.3545,1 
0.6596,-0.1925,2.8178,1 
0.5049,1.5692,3.1307,1 
-0.5431,-0.0225,2.8144,1 
-0.7497,-0.6059,0.5515,1 
-2.0811,-0.382,2.1033,1 
-0.6117,0.3478,1.4755,1 
-0.3206,1.4477,2.0539,1 
0.3371,0.2355,2.2082,1 
1.1625,1.1573,1.786,1 
1.9125,-1.6752,2.3837,1 
2.342,0.4883,2.7997,1 
0.8077,-0.4016,1.9795,1 
1.0401,-0.6656,1.2812,1 
0.8409,1.3339,1.2063,1 
-0.5983,0.8557,2.0646,1 
1.6588,0.6182,2.5214,1 
-0.6846,-0.7914,2.6755,1 
0.152,-0.3652,2.3198,1 
0.0127,-0.6456,0.334,1 
0.415,-1.27,2.3524,1 
1.17,0.6232,1.8759,1 
-0.7227,0.9463,1.216,1 
1.9435,0.538,0.613,1 
0.433,0.3263,2.267,1 
-1.0686,1.6246,3.5751,1 
-0.2365,0.3586,1.1906,1 
-0.1193,0.3708,2.2406,1 
-0.1116,-0.9846,0.7124,1 
-0.8148,0.4444,1.5242,1 
-1.4674,0.1514,2.8101,1 
0.4079,-1.4657,0.9842,1 
0.5049,0.3619,2.3762,1 
2.2278,-1.1666,2.6255,1 
-0.1434,0.7874,1.9464,1 
-3.7426,-1.3393,2.1203,1 
-1.1528,1.5188,1.681,1 
0.9551,-0.4898,2.1654,1 
1.4781,0.0796,1.9162,1 
0.8544,-1.5288,1.6625,1 
0.5612,-1.3551,2.6939,1 
-0.0337,1.6136,2.5346,1 
-1.351,0.3211,1.4713,1 
1.9811,-1.3216,2.0124,1 
0.4144,1.9027,0.1627,1 
0.4313,-0.7133,2.0633,1 
0.7078,-0.588,3.1671,1 
0.1084,-0.653,3.3662,1 
-0.1432,-0.6859,2.2582,1 
-0.4013,1.572,3.3813,1 
0.3461,-0.7486,1.9445,1 
1.1779,-1.1877,2.4224,1 
-1.0905,-0.9914,3.3579,1 
-0.5912,0.8275,1.7802,1 
0.6642,0.2238,2.1093,1 
0.4752,0.1237,1.2131,1 
0.1799,-0.8939,2.2837,1 
-1.3111,0.1403,2.3703,1 
0.3461,-0.6839,2.4885,1 
-1.6445,-0.5795,0.9188,1 
-0.4481,0.0158,1.5108,1 
0.9976,1.3418,3.0534,1 
-0.3304,1.1541,2.9562,1 
1.1421,0.8259,2.1309,1 
0.4253,1.0462,2.4398,1 
-1.2729,-0.5299,3.3657,1 
0.1382,1.2068,1.866,1 
-1.9289,-0.5534,1.6497,1 
-1.1967,0.438,2.1555,1 
-0.9954,1.0421,1.6334,1 
-0.5427,-1.3901,2.8295,1 
-0.0636,0.4149,3.3374,1 
0.2634,-1.6295,2.0425,1 
0.7363,-0.5871,1.8616,1 
-0.0424,0.3445,2.0237,1 
-1.5479,0.3193,2.1019,1 
-0.7664,0.0758,1.6448,1 
-0.1172,0.9621,1.5925,1 
0.1727,1.0148,1.1422,1 
-0.5396,0.4162,1.501,1 
0.4262,0.2263,3.459,1 
0.4594,-1.5058,2.2493,1 
0.6904,1.4812,1.2844,1 
1.5455,1.5156,2.8105,1 
-0.0243,0.5952,2.2066,1 
1.1556,1.0548,0.818,1 
-0.2465,0.0171,0.9885,1 
1.9275,-0.0751,2.4739,1 
0.7668,0.502,3.658,1 
-0.4052,-2.5397,0.9294,1 
-0.4589,-0.008,0.694,1 
0.9204,2.8479,3.9802,1 
-1.3846,-0.7912,1.0776,1 
1.4471,0.0688,2.0791,1 
0.3989,0.5968,2.5437,1 
-0.8164,-0.8858,2.1202,1 
0.4401,-1.2813,1.2495,1 
-0.8564,1.0919,1.7298,1 
1.4161,-1.6881,0.919,1 
1.7092,-0.5799,3.5749,1 
0.3815,1.1841,1.7467,1 
-0.2567,0.6032,1.9772,1 
0.9117,-1.3409,3.2634,1 
-1.2494,1.3886,1.3952,1 
1.8187,2.1495,1.4415,1 
0.0066,-0.5039,3.1732,1 
2.3729,-1.2451,1.4718,1 
2.1577,-0.481,1.7923,1 
0.6615,-1.3939,3.2752,1 
1.7892,-0.412,0.8121,1 
0.5322,-0.1083,2.5986,1 
0.4766,0.4713,3.0543,1 
-0.3755,0.366,1.9279,1 
-0.4103,1.2316,1.554,1 
0.125,-0.0471,2.4028,1 
1.1392,-0.1276,2.7444,1 
-1.274,-1.4481,2.2135,1 
-0.3239,-1.1964,0.8358,1 
0.5488,-1.3881,1.2913,1 
1.374,-1.1297,0.8431,1 
-2.5755,1.1759,1.872,1 
0.1104,0.3407,1.9875,1 
0.3359,-0.1062,0.902,1 
1.1436,0.0995,1.7923,1 
1.034,0.4747,3.3505,1 
0.0423,0.9254,1.8726,1 
-0.0628,0.2227,0.8557,1 
-1.8929,-0.4577,1.7542,1 
-0.0806,-0.3009,1.8928,1 
-0.249,-0.185,1.5351,1 
-0.3241,-1.8674,3.622,1 
0.0117,0.4298,2.2893,1 
-0.0981,1.249,3.1908,1 
-1.6542,0.4867,1.1664,1 
-0.3218,1.929,0.5534,1 
-0.8805,0.2337,2.777,1 
0.1557,1.3803,2.4379,1 
1.2463,0.6609,1.9116,1 
-0.1434,0.3158,3.0626,1 
0.1723,0.3442,3.1984,1 
-0.6723,0.5228,1.0519,1 
-0.7882,1.1242,2.2309,1 
-0.6431,0.1447,1.7579,1 
-0.0152,1.1112,1.7482,1 
-1.1271,0.6676,2.5674,1 
-0.5106,0.588,1.235,1 
-0.1408,-0.5108,1.4634,1 
-0.0035,-0.8097,0.4869,1 
-0.8709,0.4557,0.8971,1 
-0.4989,-0.0467,1.33,1 
-1.7484,-0.1284,2.373,1 
1.2902,0.5695,-0.0978,1 
0.7997,-0.0129,1.7451,1 
-0.0551,0.0717,3.812,1 
2.3992,0.2275,2.5745,1 
0.9837,0.429,1.2963,1 
-1.1869,-0.8362,1.576,1 
1.6759,0.3389,2.0165,1 
-0.2882,-0.1608,2.0395,1 
1.5425,1.7452,1.1348,1 
0.9423,0.1347,1.9332,1 
-0.8551,0.0712,2.2123,1 
1.0865,-0.3943,2.9631,1 
-0.5706,-0.089,3.4508,1 
-0.2341,-0.8248,1.6737,1 
-0.9946,-0.0056,2.9658,1 
0.2887,0.8419,2.9872,1 
0.4627,-0.7334,1.3383,1 
-0.8412,0.2576,4.024,1 
-0.4165,0.044,1.3775,1 
-0.2672,-1.4573,2.8703,1 
0.3214,-1.1667,2.9279,1 
1.3908,0.2727,0.4349,1 
-1.4481,0.0244,1.9507,1 
-0.2848,0.1187,1.1493,1 
-1.0031,-0.5245,1.2323,1 
0.4268,-0.5456,2.7752,1 
0.6076,-0.5211,0.5005,1 
1.3182,-0.6052,2.6633,1 
2.8982,0.6201,1.1171,1 
-0.8246,-0.357,1.401,1 
0.1504,1.9647,1.5387,1 
-0.2777,-0.1253,2.5208,1 
0.0517,-0.8997,2.1162,1 
-1.0878,1.0388,2.6607,1 
-0.4155,-0.873,0.4267,1 
1.3674,0.2764,-0.3951,1 
-1.2158,1.069,0.9659,1 
0.2121,-0.8356,2.456,1 
1.2267,-2.3111,1.228,1 
-0.6901,0.4734,-0.1582,1 
0.5079,-0.7028,1.1152,1 
0.2558,1.7524,1.9715,1 
0.9084,0.2703,1.0273,1 
-1.5725,0.4917,1.5097,1 
-2.1278,1.9753,1.7274,1 
-1.6203,0.5644,3.8638,1 
-1.3048,-0.4708,1.3801,1 
0.6167,2.4821,1.5252,1 
0.6087,0.3824,-0.2808,1 
0.3883,-0.0484,3.8338,1 
1.4929,-0.6855,1.6854,1 
1.058,-0.9031,2.6933,1 
0.0338,0.21,0.9083,1 
0.2349,1.1925,1.5833,1 
0.388,-0.835,1.4932,1 
-0.3701,0.476,1.7948,1 
-0.2971,-0.3285,1.1236,1 
-1.6111,0.068,1.9255,1 
-0.8578,-2.3023,0.3643,1 
-0.2981,-0.0759,1.1242,1 
1.2023,-0.6002,1.3467,1 
0.0253,-1.1404,2.7682,1 
-1.153,1.7933,3.7986,1 
-1.506,1.3372,1.8024,1 
1.5488,-0.8416,2.5809,1 
0.7152,-0.162,1.5266,1 
-0.3872,0.1425,1.6372,1 
1.209,-0.2912,1.8593,1 
0.0416,0.8971,-0.0342,1 
0.4097,0.5136,1.7467,1 
-0.4383,-0.1495,0.6321,1 
-0.5456,-0.7398,1.7625,1 
-1.5422,0.2878,2.0006,1 
-0.7683,-1.3224,2.0569,1 
0.5932,1.4194,4.0223,1 
0.3342,-1.1261,1.7733,1 
-0.5559,-1.1571,1.4649,1 
0.7963,0.2865,3.2446,1 
0.7412,0.9436,2.1009,1 
0.1148,0.226,3.2307,1 
0.5108,-0.0844,2.5119,1 
-0.1042,0.7264,1.2633,1 
-0.4837,-2.06,2.1445,1 
-0.6616,-1.9735,1.9071,1 
0.8023,0.7333,3.5153,1 
0.1005,-3.166,2.717,1 
-1.3871,0.0485,1.5928,1 
0.7566,-2.1537,0.3953,1 
1.2128,-1.9251,1.2425,1 
1.1413,-1.2253,0.3707,1 
1.0858,2.3306,1.075,1 
-2.1282,-0.3121,3.6566,1 
-0.049,1.6907,1.863,1 
0.1109,-2.018,2.3648,1 
-1.4894,2.2013,0.5457,1 
-1.1836,1.1317,1.5948,1 
-0.462,0.674,3.2245,1 
-0.1643,1.927,1.4739,1 
0.957,-1.4739,1.8598,1 
0.045,1.6183,1.6381,1 
-0.8701,0.561,1.0678,1 
-0.5403,1.1342,1.8073,1 
1.9607,-0.6892,1.9975,1 
1.2325,-0.2297,1.1497,1 
1.5596,1.194,1.572,1 
-0.2946,0.3993,2.2128,1 
0.8566,-1.5886,1.0234,1 
0.0688,2.2477,2.1183,1 
-1.364,-2.0191,4.227,1 
-1.371,-1.1952,3.2992,1 
-1.6243,-1.0115,2.2598,1 
-0.2098,-0.2502,2.2586,1 
0.7457,0.0702,0.991,1 
0.5501,1.5106,3.1095,1 
0.7912,2.7934,1.9081,1 
1.5529,0.1896,1.5579,1 
