Feature1,Feature2,Feature3,Class
* 
0.9869,-1.7161,2.3513,1 
2.0071,-0.3932,3.7533,1 
0.8341,0.9726,3.458,1 
-0.864,-1.1256,2.6612,1 
-2.2966,0.8067,2.8932,1 
0.5836,1.0741,2.7201,1 
0.6875,-0.5526,1.7474,1 
-0.5938,0.1108,1.7615,1 
-0.065,-0.5727,3.4877,1 
-2.6551,0.2903,2.6005,1 
0.0943,1.395,-0.0276,1 
0.398,-0.208,0.4875,1 
0.1755,0.6791,2.2936,1 
0.3986,-0.0118,0.7867,1 
1.6335,0.0736,2.0457,1 
0.6679,2.6683,2.6896,1 
0.3644,-1.8226,0.7378,1 
0.4582,-1.2549,2.4684,1 
-0.7581,-0.0973,-0.1556,1 
-0.2259,0.2943,1.865,1 
0.8502,0.1047,1.6,1 
-0.684,0.3818,2.3015,1 
0.9253,0.3236,0.4365,1 
0.5363,-0.1622,0.3558,1 
-1.0135,-0.9052,2.5155,1 
-2.1261,-0.2225,2.5033,1 
-0.1794,-1.2286,2.8766,1 
0.1306,-0.027,0.0599,1 
0.002,1.902,1.3918,1 
-1.1001,0.8984,2.0145,1 
0.1774,0.2153,2.3411,1 
0.0241,0.4347,1.209,1 
0.2513,-1.5879,1.4019,1 
0.3544,-0.0623,1.4487,1 
-0.5147,0.7738,3.4751,1 
0.3931,-0.043,1.9894,1 
0.0771,-1.8546,2.1958,1 
1.0717,0.9929,1.3123,1 
0.4852,0.3167,1.1836,1 
0.3079,1.1923,1.2485,1 
0.2456,0.4944,3.4815,1 
0.0755,0.2866,2.109,1 
0.5897,-0.0132,2.4392,1 
-1.3495,-0.3186,1.8458,1 
0.424,-0.9141,3.0149,1 
-0.1771,1.7701,0.6328,1 
-0.4296,1.0247,2.1447,1 
0.5241,0.1144,3.0064,1 
-1.2452,0.5954,2.0978,1 
0.2759,-0.6662,1.1345,1 
1.9368,-1.0755,3.3149,1 
-0.9646,-0.3702,1.3398,1 
1.0886,-1.4683,0.2923,1 
1.0431,0.2164,0.6592,1 
-0.3723,-1.271,0.7733,1 
1.5748,-1.7744,3.6069,1 
0.2005,-0.3721,2.4561,1 
0.712,-0.4639,2.8012,1 
0.9113,0.9071,2.1845,1 
-1.1318,0.0609,1.8644,1 
-0.2566,1.2009,0.8335,1 
0.0689,-0.7247,0.8197,1 
-1.0118,1.0187,0.6176,1 
-0.8199,1.1452,1.4393,1 
-0.2613,0.9411,1.0995,1 
0.6636,0.4803,1.6733,1 
-0.0271,-1.5574,0.4433,1 
-1.1633,-0.1492,1.1631,1 
-0.0333,-1.5099,2.2151,1 
-0.3638,1.9423,0.5722,1 
2.0828,0.2327,3.0641,1 
0.0268,0.9133,2.9948,1 
-1.2335,-0.142,2.2241,1 
-1.1737,-0.2765,1.6212,1 
-1.5857,0.601,0.1875,1 
-1.3134,-0.4745,2.6309,1 
-0.0191,-0.079,1.2177,1 
0.3865,0.3304,1.889,1 
0.1241,-0.772,1.7245,1 
-0.1821,-0.1963,1.0644,1 
-1.4039,-1.016,1.7601,1 
1.0036,-0.0325,2.0872,1 
-0.4654,0.3341,2.2449,1 
-1.5248,-0.0078,2.0883,1 
0.9177,-0.6595,1.9657,1 
-0.5115,-2.2606,0.5785,1 
0.3679,0.3373,1.6783,1 
-0.6461,-0.5879,1.8771,1 
-0.0248,-0.7876,3.3849,1 
0.9578,0.0395,2.2239,1 
-0.102,-1.2166,3.6503,1 
