Feature1,Feature2,Feature3,Class
1.7172,0.3247,1.5255,1 
-0.1379,0.5249,1.6422,1 
-0.7282,-0.6421,1.683,1 
-1.219,-0.052,2.694,1 
-0.1236,1.7736,2.2727,1 
-0.213,-0.4732,1.6865,1 
1.6217,0.7179,-0.1218,1 
-0.2426,-0.8268,0.7225,1 
0.3181,0.2672,3.8256,1 
0.1525,0.5206,0.8784,1 
2.1631,1.6949,1.4148,1 
-1.0225,0.4316,0.8306,1 
-0.7091,-0.4113,1.0131,1 
-0.5318,-1.8306,0.7741,1 
-1.5992,-0.2749,1.3264,1 
0.3632,1.0742,1.2995,1 
0.19,-0.2921,2.1961,1 
-1.1781,1.4468,4.0682,1 
0.9568,1.0733,2.1467,1 
-0.6893,0.8895,3.5108,1 
-0.8147,0.5924,1.8034,1 
-0.797,0.7511,1.2463,1 
1.3348,-0.3419,2.6493,1 
-2.6574,-1.4332,-0.7722,1 
0.3969,-0.5361,1.7937,1 
0.6124,0.4742,2.2131,1 
1.1263,0.2783,1.6741,1 
0.2492,1.6936,1.7108,1 
-1.0665,-0.9849,3.0902,1 
-1.029,-0.2568,4.077,1 
0.3367,0.5694,2.0322,1 
2.6078,0.1301,1.1915,1 
-0.4475,0.2504,-0.2423,1 
-0.0163,0.4546,1.1205,1 
1.6605,-0.6106,3.1448,1 
0.7513,0.8215,1.4796,1 
0.3035,-0.17,0.7194,1 
-0.8797,0.1859,1.3974,1 
0.4064,1.5751,2.6145,1 
-0.8169,-0.0607,1.3233,1 
-0.2241,0.1121,3.4817,1 
-0.1325,-0.538,-0.5495,1 
1.4234,0.9221,1.4878,1 
0.1662,-1.8591,1.5663,1 
0.2137,0.7502,1.254,1 
-0.4641,-0.2639,0.3818,1 
0.5232,-0.7328,0.7922,1 
0.5689,-0.9472,3.2006,1 
-0.0582,-0.1943,2.2753,1 
1.6469,-0.1435,2.4062,1 
1.2764,-0.4151,4.463,1 
-1.3755,0.9629,2.1192,1 
-0.7079,0.2395,2.4457,1 
0.0027,0.3515,2.5525,1 
-0.1673,1.1742,1.6522,1 
0.1955,0.4373,0.5844,1 
1.1959,0.5542,1.8937,1 
1.875,-0.3103,3.0975,1 
0.0831,-0.5412,1.5031,1 
-0.8555,0.3116,1.7235,1 
-1.4444,-0.6756,2.8334,1 
-0.608,-0.3213,2.4093,1 
-0.6676,-0.0229,1.3336,1 
-2.3801,0.482,1.6298,1 
1.7706,0.3622,5.4704,1 
1.5752,1.3241,1.3384,1 
1.6238,-0.6591,2.8728,1 
1.0764,-1.127,4.15,1 
