Feature1,Feature2,Feature3,Class
-0.4368,-1.5284,2.4983,1 
0.2932,1.0381,2.0056,1 
-0.5457,-0.065,0.0212,1 
-0.1378,0.3639,2.7531,1 
-0.8215,0.4761,3.9281,1 
0.315,-0.6763,2.5982,1 
0.1325,1.0912,3.1672,1 
-1.9815,-0.4838,2.6059,1 
2.8427,-0.8536,4.0101,1 
0.9688,-1.2114,2.8606,1 
0.131,0.3028,2.272,1 
-1.419,0.6614,3.5165,1 
0.3743,-0.5347,2.216,1 
0.8333,0.2492,2.2629,1 
-1.4293,-1.1213,2.1368,1 
-1.6523,0.2135,3.3386,1 
0.7759,0.8638,2.7041,1 
1.0987,-1.0665,1.9916,1 
-1.5039,-0.0026,2.354,1 
0.0764,-0.1324,2.0572,1 
1.3108,0.7496,2.2017,1 
-0.9603,-0.1877,1.7959,1 
0.7888,-0.4941,0.9013,1 
0.0368,-0.0161,2.6787,1 
0.2854,-0.0244,1.0575,1 
-1.8095,1.0218,1.0832,1 
0.1754,-0.4044,0.9915,1 
-0.1358,-1.8578,3.0822,1 
1.2591,0.3009,1.2797,1 
-0.2123,-1.4618,2.1843,1 
-0.4606,-0.6497,2.664,1 
-1.5927,-0.2028,1.65,1 
-0.8216,-0.9847,3.4468,1 
0.0839,-0.5732,1.3464,1 
-0.5663,1.2267,1.5519,1 
0.6356,-0.5668,3.9717,1 
-0.836,0.4924,1.115,1 
1.0864,0.5842,1.2694,1 
-0.4109,1.404,2.683,1 
-1.0458,0.3861,3.2792,1 
1.0409,1.2935,3.0452,1 
-1.5078,0.7579,0.854,1 
0.2759,0.8667,2.0107,1 
2.6804,-0.9719,1.6192,1 
1.4019,1.1616,3.2841,1 
-0.6828,0.381,1.9953,1 
0.013,-0.1817,0.9994,1 
0.3162,1.1988,1.965,1 
-0.3464,3.4197,1.5308,1 
-0.5645,0.0169,1.3947,1 
1.3205,0.0198,0.9994,1 
0.0778,-0.156,2.3985,1 
0.7044,1.8683,1.4172,1 
0.5507,0.3668,1.9735,1 
-0.5867,-2.1271,1.1607,1 
-1.3642,-1.2121,1.8275,1 
0.5157,1.0302,0.9403,1 
-0.4443,-1.3076,1.4178,1 
-0.5778,1.503,0.9691,1 
-0.6488,1.4727,1.6752,1 
-2.4289,-0.5423,2.6193,1 
-1.0131,0.5057,2.7439,1 
-0.0764,-0.6787,1.198,1 
-0.4072,-0.0779,0.4117,1 
0.5722,-0.3736,2.2637,1 
-0.227,0.3956,2.6426,1 
1.6562,-1.5134,0.9806,1 
-0.8531,-1.236,0.96,1 
0.3576,-1.3104,2.9749,1 
0.5655,-0.8635,2.0433,1 
0.6023,0.0728,2.3389,1 
1.4058,0.4265,4.004,1 
-3.1123,0.9782,2.9126,1 
1.4841,-1.3488,1.6503,1 
1.3401,1.1916,1.7968,1 
-0.0376,-0.118,4.0304,1 
-0.7258,0.1322,1.5348,1 
-0.0091,-0.2549,1.1364,1 
1.5026,-0.862,2.6555,1 
0.8098,0.7206,1.4921,1 
1.1247,0.3341,2.4298,1 
-0.2006,-2.2171,3.9369,1 
0.0923,-0.3583,4.342,1 
-0.0806,1.0222,1.1378,1 
-0.4853,1.559,0.914,1 
2.0917,-1.0357,-0.702,1 
-0.0192,1.3348,1.5236,1 
-0.0074,-0.7755,3.0192,1 
0.6487,-0.1239,1.0805,1 
-0.3266,0.0419,2.0422,1 
-0.7359,-0.8892,1.373,1 
-0.6745,0.4448,2.2443,1 
0.1907,0.5468,0.7861,1 
-0.5362,-0.8979,3.3075,1 
0.0358,-0.8128,0.4668,1 
0.0765,-0.4514,0.6899,1 
-0.0921,-0.0084,3.9622,1 
-0.2309,-0.0714,1.7484,1 
-1.1919,1.1857,2.7435,1 
2.0188,0.56,1.0056,1 
1.4958,8.9249,1.7358,1 
0.9726,10.3879,2.3175,1 
0.9563,9.0017,2.6286,1 
1.0784,10.5827,1.8862,1 
0.4961,9.503,2.5161,1 
2.265,10.8213,0.8435,1 
1.3296,11.3672,1.5533,1 
1.224,8.9914,3.6154,1 
-0.3734,7.3389,1.3023,1 
0.1516,14.3057,1.6702,1 
