Feature1,Feature2,Feature3,Class
* 
1.9489,9.3366,2.1459,1 
0.5302,9.8669,2.2849,1 
2.0132,9.6747,1.2486,1 
1.6568,9.9852,1.748,1 
2.3289,9.0993,3.0667,1 
1.6776,10.3337,2.0879,1 
3.5224,11.2209,1.2663,1 
0.8813,10.0422,3.6833,1 
2.2492,8.2566,2.2704,1 
2.9146,12.0434,2.2306,1 
2.4674,9.899,3.0778,1 
3.9405,10.7548,2.5025,1 
2.5321,10.9911,2.5363,1 
1.1026,10.0504,1.8421,1 
1.9423,7.3591,2.9775,1 
1.2334,10.3069,3.008,1 
1.9258,11.4119,2.8203,1 
1.2297,10.2595,2.3235,1 
2.4593,10.2848,1.6689,1 
3.2495,9.7987,1.4046,1 
-0.1359,9.2737,3.5868,1 
2.0522,10.2369,3.9861,1 
3.0828,7.9248,2.2953,1 
2.4035,9.6028,0.9137,1 
1.28,9.4123,4.2172,1 
1.734,9.3159,3.7021,1 
0.7154,10.288,1.5945,1 
1.4094,9.7139,2.6503,1 
1.3034,9.3516,3.9913,1 
1.4598,10.6811,2.3213,1 
3.0212,11.9121,2.7253,1 
2.3516,10.5707,4.518,1 
1.2713,11.042,2.7559,1 
2.9991,11.256,1.4725,1 
1.399,9.6818,1.3568,1 
1.4467,11.0537,0.4976,1 
0.9017,9.2461,1.675,1 
2.0588,9.3988,1.269,1 
2.084,10.0791,2.5483,1 
1.5507,8.2172,2.7256,1 
3.7507,10.9625,2.7404,1 
2.9015,9.3898,1.1304,1 
1.7519,10.0322,3.4382,1 
0.3916,8.0766,3.0195,1 
2.2315,10.6617,1.6246,1 
2.2331,10.3519,2.5705,1 
2.8869,9.9154,2.0286,1 
0.6383,10.1003,0.5651,1 
2.1783,9.0847,2.7164,1 
1.9594,11.2353,1.8753,1 
3.0092,10.2277,1.1461,1 
2.0488,10.0512,3.4038,1 
1.953,10.8607,1.9797,1 
1.7927,9.7433,3.582,1 
3.3497,9.1657,2.9634,1 
1.9298,10.4033,2.8842,1 
2.1844,10.2013,1.7226,1 
2.1209,9.8557,1.2845,1 
1.3903,11.1544,2.8708,1 
3.351,8.7546,2.0543,1 
2.8139,9.5646,2.1912,1 
2.6764,8.805,2.5607,1 
3.9458,10.1321,1.2153,1 
0.4002,10.1297,1.8711,1 
2.4901,9.0692,2.8041,1 
2.1567,10.9815,0.5856,1 
0.5158,12.2429,2.2961,1 
1.7724,10.6584,1.5385,1 
2.7354,9.9465,1.8388,1 
1.0122,8.9684,0.7106,1 
0.2762,10.1711,0.5257,1 
1.8456,9.7842,1.8129,1 
1.5885,9.2035,0.7246,1 
2.1836,9.5389,1.9638,1 
1.1471,10.3904,2.1525,1 
2.232,12.6579,2.8631,1 
3.1595,10.2578,0.1804,1 
