Feature1,Feature2,Feature3,Class
* 
2.0193,10.619,1.9356,1 
1.9361,10.2737,3.2168,1 
1.7254,9.5622,1.3389,1 
1.7004,8.8702,1.5474,1 
3.258,11.3583,3.7272,1 
2.3228,11.4701,2.8079,1 
0.8832,10.3559,3.4037,1 
3.8233,12.3132,2.064,1 
1.5423,11.0327,1.7413,1 
1.2437,8.5197,2.2972,1 
2.0589,11.3139,2.9465,1 
3.2448,10.4067,1.8058,1 
2.4846,7.8715,1.3886,1 
1.9098,11.4007,1.2507,1 
2.6555,9.8172,0.8692,1 
2.0078,8.2169,2.6957,1 
1.52,9.6518,1.9887,1 
1.0717,8.9284,3.0367,1 
2.0084,11.3012,2.2516,1 
3.0186,8.7053,1.771,1 
1.3169,10.0926,1.8012,1 
1.077,9.8824,4.1927,1 
2.7284,10.1449,0.6588,1 
-0.0225,10.0231,1.9776,1 
2.4057,10.0191,1.9681,1 
0.5933,10.5996,1.8827,1 
-0.1881,8.7291,2.432,1 
1.771,10.0516,0.8818,1 
3.2788,12.6015,0.5049,1 
3.2214,9.6062,1.3355,1 
1.2902,11.4978,2.0504,1 
2.2571,10.1601,2.4989,1 
3.3352,9.2372,3.3897,1 
-0.3504,12.1726,2.4925,1 
1.8662,11.4126,2.6457,1 
3.5403,9.5214,1.9872,1 
2.1743,9.9864,1.6737,1 
0.7815,11.0207,1.2498,1 
1.0454,9.8487,2.7906,1 
2.035,10.4918,1.0664,1 
1.6846,11.6231,3.1369,1 
2.2004,10.9875,0.1899,1 
2.7508,11.1816,1.1544,1 
0.6412,10.7363,0.4987,1 
1.8745,10.3022,1.29,1 
1.1687,10.2112,2.3852,1 
1.8899,11.3046,1.9195,1 
1.2717,9.1888,1.6603,1 
1.9112,7.9138,1.7915,1 
1.9579,10.7864,4.6524,1 
2.2889,9.8187,3.5132,1 
2.7146,9.9339,2.1419,1 
1.9531,9.5738,3.0124,1 
3.6228,11.3036,2.222,1 
2.0804,9.0328,1.9879,1 
2.8583,9.7682,3.4791,1 
0.2719,9.2,3.4965,1 
1.6824,9.0464,3.2238,1 
3.0555,8.8344,2.5639,1 
3.1556,10.1893,2.079,1 
2.5615,8.5231,-0.0353,1 
2.8833,12.2637,-0.1325,1 
-0.7689,11.3389,3.1409,1 
3.5466,10.6067,2.8053,1 
1.2592,9.4389,3.3812,1 
2.8426,10.6477,2.0695,1 
4.1771,11.2298,1.5651,1 
1.4826,11.0755,1.3588,1 
3.0738,9.7742,1.7157,1 
2.1544,9.6708,0.4283,1 
2.4816,9.7706,1.5847,1 
3.396,9.7291,2.4247,1 
0.1267,9.5575,3.5937,1 
1.6588,9.5958,0.8495,1 
2.6117,9.346,3.551,1 
4.1403,6.7638,3.9851,1 
1.9583,10.3782,1.0707,1 
3.4355,10.5465,0.5901,1 
2.3518,9.019,2.4274,1 
1.3988,10.7638,2.6505,1 
2.6933,12.0677,1.3341,1 
2.9367,9.4561,1.3918,1 
3.3264,11.254,1.6529,1 
3.1181,10.4949,2.9619,1 
-1.4456,12.3254,0.3268,1 
1.1303,7.924,1.1201,1 
0.7904,10.1488,1.6693,1 
1.541,10.5703,1.5529,1 
2.005,9.9927,2.2956,1 
3.0412,11.9398,2.5471,1 
1.4232,9.6751,1.4509,1 
1.2917,9.4277,1.4207,1 
0.319,11.1235,1.3841,1 
2.2816,9.6253,1.5693,1 
1.1455,9.6352,2.2216,1 
2.8638,11.4808,4.3335,1 
1.3487,8.9936,1.2225,1 
1.8004,11.582,2.5646,1 
3.1193,8.8882,3.4051,1 
2.5263,10.083,0.956,1 
1.5484,11.0809,3.2458,1 
3.4906,8.6529,2.8524,1 
2.3206,10.3328,1.6554,1 
1.1385,8.3775,0.8432,1 
1.5271,10.4922,2.5838,1 
2.7842,9.0606,1.7071,1 
1.8751,8.5099,1.7299,1 
