Feature1,Feature2,Feature3,Feature4,Feature5,Feature6,Feature7,Feature8,Feature9,Feature10,Feature11,Feature12,Feature13,Feature14,Feature15,Feature16,Feature17,Feature18,Feature19,Feature20,Feature21,Feature22,Feature23,Feature24,Feature25,Feature26,Feature27,Feature28,Feature29,Feature30,Class
* 
0.6764,1.5211,1.4881,3.1502,1.4093,1.2312,1.665,2.093,0.6224,2.2279,1.4098,0.7031,0.4019,1.7026,0.5484,1.8001,1.4473,3.9585,0.2952,2.9134,1.3081,1.3284,2.5445,4.2373,2.1568,0.3798,1.504,0.9778,-0.1971,1.7474,0 
-1.0625,1.8427,1.4812,0.9046,3.4152,1.9168,0.6968,-0.0423,1.7512,2.3058,2.9436,3.1612,2.3838,1.6954,2.9479,3.2267,1.2694,1.8276,1.3062,1.3751,2.3947,1.7557,1.4591,2.4153,3.1685,3.4478,1.4829,0.0927,2.4096,2.3184,0 
-0.0001,1.8511,1.9372,2.1773,2.4475,0.337,1.7124,1.0577,0.7503,1.7051,1.9641,3.2661,1.8268,2.5718,4.419,3.0505,2.7528,1.313,1.6613,1.6934,0.8556,2.4666,2.8216,1.556,2.1659,1.2047,3.4904,3.7534,0.251,2.0694,0 
-0.9047,1.0828,0.7914,1.7989,2.0282,0.5009,3.5384,1.4441,1.5338,2.4646,0.4187,3.5971,3.12,1.4422,3.1051,1.3269,2.57,1.8604,4.7034,0.4179,1.592,0.8569,1.9061,3.1823,1.4053,3.1308,-0.7604,3.5467,3.1309,3.387,0 
-0.2195,-1.5149,1.5933,1.4691,1.8755,0.1601,3.7085,3.6922,2.3211,2.2026,2.8606,3.9132,0.3883,1.0391,3.3641,1.8377,2.0668,2.0284,0.8266,1.4148,4.0513,1.2495,1.6359,2.0866,2.5667,2.7036,0.9443,2.281,3.5286,0.3807,0 
0.9308,-0.692,1.0137,0.3757,2.6621,4.6908,0.5531,2.5433,2.1035,1.1876,2.8331,1.6684,2.3043,2.4187,1.0746,4.4368,2.3901,2.6089,1.7406,1.4563,1.7647,1.6797,3.7268,3.6133,1.7132,1.0178,2.2079,0.7468,1.3047,3.1081,0 
2.2423,-0.263,1.7644,2.5002,2.1779,2.4842,3.1632,1.1247,1.7635,2.6142,3.3337,1.7411,0.7951,1.0528,2.8662,1.6197,2.2149,2.3042,1.6732,3.5192,3.3112,1.618,1.4893,2.7635,2.1016,3.8261,3.6161,1.8591,1.8712,0.3323,0 
-0.631,-2.1008,1.6428,2.3454,0.7358,1.5144,2.3128,0.8579,1.5512,4.7056,1.773,2.0291,3.8485,2.2177,1.2133,2.7516,1.0834,2.5274,2.3568,0.7939,1.1836,0.673,0.4223,1.9554,2.7184,1.6653,1.4165,2.3606,2.7331,0.7975,0 
0.7697,-1.1074,1.677,3.0282,0.3375,2.6013,1.098,0.434,2.0166,-0.1393,3.1232,2.4642,1.8075,0.8679,1.9421,-0.0274,2.1873,2.5419,1.8822,0.6846,0.8714,2.0029,-0.1649,2.2746,2.3494,0.0148,2.5614,1.1028,2.5992,2.1804,0 
