Feature1,Feature2,Feature3,Feature4,Feature5,Feature6,Feature7,Feature8,Feature9,Feature10,Feature11,Feature12,Feature13,Feature14,Feature15,Feature16,Feature17,Feature18,Feature19,Feature20,Feature21,Feature22,Feature23,Feature24,Feature25,Feature26,Feature27,Feature28,Feature29,Feature30,Class
* 
0.5718,1.5252,1.1406,0.9999,1.3867,-0.0349,2.9565,3.1492,1.9417,0.7567,1.0897,2.6,2.8024,2.8675,1.0538,2.0803,3.1119,3.14,1.7552,0.809,0.8968,2.1353,2.6431,3.1959,3.3983,2.1871,3.734,1.7676,1.9411,1.5037,1 
1.4302,0.141,2.1866,1.5807,1.9864,3.322,1.5334,2.9372,0.8156,3.3375,3.0011,1.9715,2.5043,0.0402,2.6749,2.7309,0.5061,1.9508,4.2286,5.6037,0.2548,-0.6636,1.9217,1.4708,2.1865,2.5105,3.1264,1.6317,0.1164,1.5202,1 
0.627,0.2524,0.3052,1.4721,2.0784,2.3234,2.4778,1.2482,2.2347,0.9296,3.0028,0.859,2.8618,2.7736,1.8602,1.9342,3.2462,3.421,1.9997,0.7913,3.1551,1.1728,4.2679,2.4121,3.3033,1.8247,1.5796,1.2038,1.8312,4.9054,1 
0.0372,1.2409,3.3114,2.4455,1.5577,1.5869,2.8343,1.9128,2.4958,2.2048,2.6059,2.3282,0.5796,2.5509,1.7522,3.1682,1.6363,1.7477,3.0716,3.4832,2.7956,2.7984,0.795,0.9891,3.8061,2.4976,3.129,2.9079,2.5958,1.8862,1 
1.3255,1.8203,1.4497,2.8768,3.5543,0.9213,1.5144,1.6876,2.8672,1.8841,3.0325,1.3361,2.622,0.5001,3.633,0.5171,1.7687,1.0104,2.3848,1.3289,1.3042,2.5852,3.1135,0.6038,2.6124,2.3077,2.6015,2.0355,1.5031,1.18,1 
-0.4106,0.273,1.7409,4.0481,1.7503,3.7056,3.443,2.3683,2.9736,-0.2164,-1.1346,2.6069,2.4646,1.0696,2.6242,0.1575,2.167,1.4496,4.3762,1.2403,1.7152,1.5582,1.467,3.4046,2.5994,1.3135,1.2161,1.6077,0.9231,2.4086,1 
0.3178,0.8642,1.9484,1.0864,2.9291,2.8923,0.775,0.8902,1.5249,0.8511,1.6377,1.0158,2.7779,1.7583,0.3336,1.497,1.6503,2.6371,1.9431,1.5729,3.5606,0.9557,1.0581,1.487,3.1038,1.9514,2.3931,2.3645,2.8319,2.1557,1 
0.9358,-1.1107,1.4877,2.276,2.1844,2.5033,1.3088,1.9829,1.962,0.3822,2.1728,0.8736,3.9956,0.2368,2.5706,0.8709,2.3228,1.0839,2.8174,2.4235,0.7523,1.1529,2.1917,2.6619,1.1853,1.6955,1.3361,2.5157,1.6953,2.411,1 
-1.6315,-1.3895,2.2921,1.7044,4.0382,1.1279,1.3599,3.3154,0.9759,5.2475,1.959,3.458,2.6429,2.8486,3.0276,2.2264,2.8662,2.4037,1.7828,2.0011,0.7348,1.9853,3.7875,1.2058,0.5853,2.0099,1.5734,1.205,2.6944,2.031,1 
0.9549,-0.1545,3.7873,2.5364,1.6397,1.7436,0.9887,3.6983,1.5348,1.4569,1.6933,1.8568,4.4643,1.759,0.6984,3.3816,-0.2612,2.0243,2.4311,2.7747,4.3687,0.9253,2.3084,2.7418,1.8783,1.1312,3.276,2.5805,0.0867,1.4537,1 
-0.0605,-1.3217,3.4923,1.9973,2.5355,1.7811,1.6247,2.3548,2.137,1.4829,1.1625,2.3573,0.3402,2.1782,1.3689,0.6799,2.0565,1.0025,1.5683,1.1862,2.4324,2.7922,0.7639,1.8469,1.3181,2.597,1.792,2.9171,3.7837,3.2485,1 
0.2029,-1.5715,2.0658,2.4786,2.2476,1.596,1.3307,0.483,3.1533,1.3667,1.6586,2.7708,2.7882,1.3901,2.0243,0.3938,3.4902,2.9988,2.6008,2.1358,3.7168,4.316,2.9164,0.7868,2.3802,1.3958,-0.0201,2.2591,1.782,2.4585,1 
0.7559,-0.7051,2.2686,2.1819,0.8835,3.1677,1.9233,3.309,3.1294,3.9531,2.5392,1.4535,2.2131,4.3336,2.1745,2.9098,3.4279,2.7428,4.1625,2.8493,0.2941,2.0442,1.0433,2.2385,0.4831,2.5671,2.5484,2.7353,1.273,1.5923,1 
-0.8199,0.7993,3.5295,2.343,1.4056,2.2455,2.4648,2.4915,1.7083,1.4241,2.3665,2.2471,1.9956,3.4203,1.7411,1.9497,1.5591,3.0415,1.2268,1.3201,2.0572,2.589,3.0755,1.6943,3.1775,2.0474,2.1022,1.4652,2.8876,1.2099,1 
-0.2373,0.0657,0.8881,2.3524,3.1279,2.3603,2.0612,2.2335,0.7593,0.8822,1.6731,1.6681,0.9938,2.0897,1.8266,3.5258,-0.7672,3.0955,3.3429,2.4099,0.6351,2.2179,2.1528,3.6382,3.2234,2.0697,5.2156,0.9289,0.9184,2.4974,1 
