Feature1,Feature2,Feature3,Feature4,Feature5,Feature6,Feature7,Feature8,Feature9,Feature10,Feature11,Feature12,Feature13,Feature14,Feature15,Feature16,Feature17,Feature18,Feature19,Feature20,Feature21,Feature22,Feature23,Feature24,Feature25,Feature26,Feature27,Feature28,Feature29,Feature30,Class
* 
-1.2921,-0.868,3.3145,2.0032,2.5048,2.9237,2.6986,2.5061,-0.1686,-0.2168,1.5559,3.0562,3.3312,1.1361,1.5341,2.1468,4.9742,0.8739,0.2537,1.9047,2.7059,0.9515,3.2562,4.1185,0.7276,3.1572,3.4335,1.183,3.041,2.648,1 
1.421,0.6258,0.815,1.0988,2.7903,1.0524,1.3679,0.9249,2.8699,2.1929,2.1524,0.8613,2.1245,1.6293,2.2694,2.7326,0.0988,1.4494,3.2975,2.5897,2.6221,2.0945,2.8036,0.7917,2.3217,1.9304,2.8072,1.6464,0.0407,1.1824,1 
-1.9284,-0.5986,1.8167,1.4241,2.644,1.0965,0.676,-0.4241,0.8658,0.9517,2.8042,2.2964,3.7765,2.7332,3.0483,1.3255,2.7344,2.9173,2.074,3.1295,1.828,3.1689,3.7686,2.4049,3.0325,3.2281,1.3585,1.2206,1.5812,1.3303,1 
0.6338,-0.1244,1.1646,3.0801,1.9543,1.1346,0.7549,1.8776,0.7972,1.9094,3.0433,1.9444,0.9293,0.4818,2.9314,2.7271,1.7241,1.0176,1.0919,2.9321,0.1566,0.335,2.7217,2.5825,1.2889,2.4936,1.5689,1.9025,0.2918,1.248,1 
-1.6585,1.2251,1.2373,2.3919,1.9509,2.0296,2.1832,0.8613,2.7363,2.1182,0.964,1.6958,1.3561,1.4698,1.0339,3.77,1.1322,3.7905,2.6621,1.7635,0.6378,3.4908,1.329,4.5851,2.4058,3.762,2.0136,1.4644,2.308,0.2581,1 
1.588,0.1111,2.1621,3.0607,2.1533,1.4871,1.3134,1.2864,1.2813,3.4816,1.9711,2.4028,3.0298,2.1613,1.4655,3.8532,1.2943,1.3489,1.7055,2.9713,1.718,0.9097,3.5458,1.7808,4.2994,2.6775,3.0674,2.0517,1.6212,1.2176,1 
1.2422,-0.4709,2.8536,1.4384,3.1668,1.6395,0.7365,0.8696,0.7151,2.3613,3.9448,0.4262,3.5016,2.1274,1.6097,1.5838,0.0074,1.1463,1.9027,1.7154,2.3597,2.5781,3.86,2.0185,2.6534,2.7044,2.2329,1.8309,1.8325,3.0092,1 
-1.1112,-0.1244,2.6645,2.7258,1.3017,2.4491,1.7842,1.2308,1.7669,0.8576,1.9559,2.7688,1.6932,0.514,0.7359,1.7968,2.0355,2.5504,2.3036,1.8519,2.608,2.2951,3.0886,3.3424,1.7636,1.7368,2.163,3.206,1.9656,1.191,1 
1.086,-0.5094,3.6596,2.4227,3.2161,2.5156,1.2205,-0.0458,1.5178,2.9858,2.158,2.8574,3.6963,0.4207,1.8046,1.8277,2.02,3.6639,0.8612,0.6923,3.3402,0.9202,1.3353,2.2784,2.591,2.0494,2.349,0.7142,0.2203,2.1513,1 
-0.3416,-1.7939,1.7071,3.5939,0.4817,2.2311,0.722,1.3531,2.2304,1.0997,1.292,1.9774,2.1271,2.5075,2.5883,1.1465,2.6977,0.9865,2.5585,1.8041,3.7569,2.2187,1.6641,2.091,1.0928,1.6974,0.8425,2.2705,1.4411,1.3257,1 
1.0397,-0.0534,1.9338,2.1304,1.2915,1.3014,1.654,2.0253,1.1594,0.4693,2.0646,1.2566,2.4464,2.3666,0.3925,2.26,2.5566,1.6863,3.9362,2.9996,2.0537,1.3884,2.4041,1.7883,3.2256,1.4878,3.8421,2.1429,1.8142,3.0861,1 
0.7351,-0.1597,1.3549,2.1402,3.214,1.5478,2.3079,3.2763,3.4335,2.973,3.4113,0.6523,2.6592,2.2179,3.051,2.645,1.6128,2.1029,2.2001,2.8846,1.7975,1.4921,3.8692,1.435,0.3344,2.9718,1.704,1.0574,0.2692,0.772,1 
1.3655,0.6263,1.288,2.5525,0.9035,1.9635,1.4317,2.4144,1.1639,3.4985,3.3926,1.0306,2.6165,3.0937,1.473,1.4555,3.1488,3.0564,-0.5402,3.8781,1.3488,1.7143,2.1609,2.6724,0.8012,2.1812,2.0099,3.1696,1.2069,0.9606,1 
1.0778,0.4353,2.3439,1.4006,1.5218,1.8348,1.5239,-0.144,2.4552,1.8853,2.0863,1.185,2.8183,3.0577,2.3214,2.5189,1.8628,0.637,1.1869,1.4468,1.4579,2.0632,2.5808,2.6598,1.5956,2.316,3.299,1.4207,1.9727,1.3805,1 
-0.2788,-0.5557,1.7827,2.6893,0.0468,0.6799,1.7745,2.5554,2.0426,3.0451,2.0244,2.3924,2.7432,2.0043,2.4842,1.9196,2.6772,3.4312,3.0123,2.7499,1.3855,3.3531,2.1249,1.7923,1.9838,2.527,1.8009,4.313,3.0056,1.2471,1 
1.5112,0.6815,1.804,2.3493,2.3883,0.6773,2.7981,2.3122,1.5766,-0.3536,3.2566,2.5099,3.0256,2.2901,3.7679,0.9173,1.5959,0.0772,1.3431,3.653,1.0362,2.2405,1.2862,3.0251,1.9466,2.3331,2.316,1.5871,2.458,2.6613,1 
0.2417,-1.1428,2.6795,1.9024,2.3783,2.0753,1.9005,4.1739,0.7037,1.6776,1.3752,2.6507,2.7456,0.7849,1.8903,1.4278,1.1191,1.9589,1.6436,3.4457,2.2747,3.0849,2.0737,-0.4074,1.9612,2.3641,1.6544,2.2528,2.6798,2.4863,1 
0.0206,0.6855,3.1589,2.1569,1.8144,2.523,1.502,1.2966,3.2713,1.5981,2.1004,2.6809,-0.8471,2.4176,1.7625,3.7138,2.199,2.0362,2.3764,0.8487,1.0059,2.5748,1.6921,2.455,1.05,2.1347,0.5089,0.2337,2.4751,3.2389,1 
-0.4382,0.1365,1.5826,2.9541,3.4676,1.4175,0.6517,1.4021,0.9472,3.2196,2.9056,2.5421,2.3389,2.0494,2.7399,1.4013,2.338,2.2877,5.0659,2.2512,1.3638,0.7968,1.3619,1.3146,3.5742,2.1603,2.007,2.1815,2.1553,2.2395,1 
0.009,0.0784,0.2056,1.6661,2.3742,2.1871,2.6533,3.1196,1.7807,4.3095,2.523,2.1019,2.4203,2.4267,3.3256,0.2827,0.7665,1.4169,1.7682,2.1969,0.854,2.0167,2.9058,2.2235,2.3923,0.5433,1.5526,1.4149,2.9307,2.8507,1 
0.7323,0.7955,0.7928,1.6929,2.7331,2.065,3.8573,2.6416,0.6633,1.544,2.9249,1.6555,1.5032,1.3145,3.033,2.1265,0.8518,0.7243,3.1071,2.7121,0.7936,2.087,1.5231,3.0067,2.0292,2.8818,2.1077,1.9275,2.0929,2.7937,1 
0.3736,-0.5686,0.7902,2.7526,4.9589,2.1932,0.9054,1.0969,2.9716,4.8976,0.165,1.8049,3.1987,1.9071,1.4981,0.4241,1.9307,1.8954,2.7264,1.9878,2.4164,3.49,1.9722,0.9865,2.6173,2.5055,1.1484,0.3344,3.0597,0.9316,1 
1.1788,1.0346,2.2147,3.3529,0.881,2.1983,1.5777,0.9804,1.59,2.7238,3.577,3.622,1.5203,0.9464,1.8995,0.6744,4.0106,3.3872,0.9342,2.4715,1.5009,4.2519,0.8219,0.8156,3.138,0.7082,4.8867,1.8823,0.9966,2.154,1 
-0.3339,-1.8357,4.0332,2.2785,1.3235,1.8794,0.9658,1.1729,2.2931,0.9408,1.9787,-0.2834,2.1187,1.2243,2.3941,2.6206,2.6931,2.5857,2.0933,2.8211,3.1588,0.3801,2.4809,0.9694,3.5537,1.8562,1.3465,1.4397,2.2953,1.4519,1 
0.9763,0.0166,2.3341,1.8462,2.3119,2.5947,2.2311,1.925,0.4529,0.83,3.8714,-0.2464,2.5789,2.7095,1.2903,1.1978,3.8529,1.9924,2.3549,2.0851,2.2972,3.1722,2.2917,1.8876,3.7651,0.9152,2.182,3.8919,2.0453,2.1396,1 
