Feature1,Feature2,Feature3,Feature4,Feature5,Feature6,Feature7,Feature8,Feature9,Feature10,Feature11,Feature12,Feature13,Feature14,Feature15,Feature16,Feature17,Feature18,Feature19,Feature20,Feature21,Feature22,Feature23,Feature24,Feature25,Feature26,Feature27,Feature28,Feature29,Feature30,Class
* 
5.8814,0.1834,1.0497,1.5916,1.8102,1.0142,0.8085,0.4557,2.3658,3.4555,0.4583,1.5192,1.3033,2.0623,3.4158,1.9569,1.7382,3.8358,4.374,4.2998,0.5129,2.3526,0.6902,2.6395,3.1635,0.0931,2.9482,-0.1679,4.4289,0.7273,1 
5.6293,1.8365,1.9125,2.11,0.8221,2.1039,1.9401,2.2479,2.6897,2.4222,2.5684,2.7436,2.7713,2.8598,2.8303,2.3084,1.4444,1.664,1.7773,1.2893,1.1792,2.847,1.9036,1.0238,3.2694,3.4897,1.9006,2.086,2.9031,2.621,1 
6.6868,1.7748,2.0118,1.0496,0.7027,1.0329,1.7091,1.7512,3.6619,3.079,2.4792,1.7681,1.6835,3.422,-0.1278,1.1906,1.0555,0.524,4.0651,3.331,0.9309,2.2586,0.6509,1.9314,2.9109,3.8245,3.8866,1.1022,1.5349,3.7665,1 
5.4422,0.3561,2.8051,3.0086,1.408,0.7759,1.2837,1.2588,1.117,0.8901,2.5355,2.5349,0.3115,2.7654,1.0833,2.5186,3.155,1.2239,3.4546,2.2726,1.5878,0.2821,2.6857,1.7673,1.8995,3.2549,2.1797,3.33,2.2797,2.7653,1 
1.7167,-0.6232,1.7134,3.453,2.3025,2.1475,0.646,2.0998,1.912,1.407,2.1591,2.6647,1.2601,-0.143,1.1176,1.5671,0.3065,2.1912,3.3281,2.5612,1.8498,2.1556,2.1685,1.5066,1.9837,1.1084,0.9438,-0.5012,2.0534,0.7785,1 
5.2151,-1.5355,2.4103,1.3415,0.4294,0.5866,2.898,1.4616,1.3411,1.7748,0.7915,2.5121,2.2057,1.7087,2.6118,0.9404,2.2174,2.9072,3.4304,0.0281,2.7559,2.6065,1.4634,2.6955,2.4709,3.434,2.7574,2.5412,2.7623,1.7315,1 
3.4213,0.9466,0.8263,0.7254,2.3712,0.9532,2.6633,2.2463,-0.571,2.6391,1.4298,2.1311,2.3808,2.1743,-0.2672,-0.6622,1.5776,1.4455,4.2057,2.7345,2.1026,-0.6073,0.1213,1.7453,1.0876,2.0372,3.5869,1.0852,1.7204,1.7824,1 
5.5742,1.519,1.745,1.8607,3.3174,2.1107,3.2255,2.0758,2.4754,1.3578,0.6492,2.2208,1.3464,0.6115,2.2984,1.9236,1.4432,0.8372,1.56,-0.7845,3.9152,2.5711,2.1868,4.0279,1.6435,2.9769,1.1799,1.8396,2.2993,1.3488,1 
6.4866,0.685,0.5643,1.6654,0.7764,2.8332,3.0044,0.8135,4.5546,1.0742,2.2443,0.7264,-0.2688,1.6925,1.3092,1.4502,3.2294,2.5037,1.3597,2.9289,3.8862,2.1533,1.555,5.2085,2.4587,1.8793,2.4329,1.0894,1.4761,3.9905,1 
5.3547,-0.1813,2.1393,1.8447,1.8262,2.7181,2.2109,0.6342,1.8705,3.3871,3.2626,1.938,2.3527,1.5347,2.8076,1.7637,2.6598,0.6281,1.7616,2.7849,3.0481,3.5157,2.7378,0.704,1.9102,1.4665,2.2386,1.8133,0.4677,2.2732,1 
5.1956,-0.185,3.9099,3.8669,2.5534,1.9006,2.2878,2.9473,0.1395,2.3012,1.1792,1.8647,0.9899,1.694,2.1809,0.8339,0.6892,2.1245,2.5501,3.1666,2.2923,1.9809,3.6823,2.0055,2.594,2.1621,2.0089,2.5601,1.5383,1.2888,1 
6.3549,-0.1807,1.4735,1.0372,1.4873,0.7369,0.9571,2.17,1.5201,2.4144,3.3821,1.225,2.8553,1.2365,2.3465,3.7223,1.8368,1.0212,2.2738,2.3062,2.2941,2.2606,3.9043,1.6095,2.2164,1.9712,1.2878,1.3345,1.427,2.5282,1 
5.6391,-0.4037,2.6637,4.6009,1.5082,0.8972,2.0202,1.6228,2.5066,2.9935,2.298,2.1743,2.6335,2.3834,2.1438,0.0844,1.5036,2.4578,3.5254,1.5026,3.1205,2.2937,0.4581,1.9722,3.0128,1.9774,2.5535,2.2188,2.5038,1.4801,1 
4.0382,0.8893,2.2743,3.6466,2.7117,1.2089,2.1251,-0.1137,1.8668,4.319,1.3056,2.9323,2.2758,1.7124,3.8237,0.991,0.3458,0.8331,3.2374,2.1979,2.4941,2.5702,-0.7959,1.7045,4.3687,1.7827,1.5625,1.6484,2.6349,2.2533,1 
3.3346,1.7226,1.5168,3.5362,0.9568,1.9279,3.1143,0.6999,1.8457,1.9985,1.8653,2.3039,1.5831,1.3295,2.3825,2.2336,1.522,2.9108,1.9003,1.2103,1.7948,3.2037,2.1759,2.1067,2.6684,3.4021,2.6311,1.9653,1.4769,3.3791,1 
