Feature1,Feature2,Feature3,Feature4,Class
-0.7382,-0.0928,2.3152,2.4351,0 
-1.1883,-0.4392,4.2479,2.5283,0 
0.4828,0.7354,2.6319,2.2337,0 
-0.354,-0.1963,1.7414,2.8516,0 
-0.8087,2.5593,1.307,0.0835,0 
0.1602,0.2019,1.4681,1.1358,0 
-0.0103,-0.349,2.2036,3.2792,0 
0.9384,-2.1138,2.2801,1.4208,0 
-0.7688,1.0756,-0.8153,2.6912,0 
0.4671,0.4385,1.4595,-0.1572,0 
1.4054,-0.4512,1.6653,0.537,0 
0.2038,0.3459,0.9033,0.5403,0 
-1.3259,-0.3621,1.9911,2.3598,0 
1.1731,0.0148,3.1249,2.5216,0 
-0.0404,0.708,0.9553,2.3531,0 
1.1645,-0.4761,1.4694,1.6928,0 
-0.546,-2.3555,0.9869,0.5099,0 
1.7922,1.5596,1.0664,3.1027,0 
0.3364,0.0607,3.6768,3.0958,0 
0.919,1.8705,1.0933,3.0452,0 
-0.5666,-1.0367,2.8651,0.837,0 
1.2179,1.0326,1.2364,2.3456,0 
-0.6477,-0.3949,0.5307,2.0542,0 
-0.0568,-0.8378,4.5249,2.1278,0 
-0.544,-0.9297,1.7049,0.8069,0 
0.1823,-1.1671,3.0408,2.3943,0 
-2.085,0.4145,2.1661,0.5483,0 
0.9136,0.1623,1.1662,2.0888,0 
-1.2573,-1.0769,0.616,2.6043,0 
0.3691,1.0816,-0.7465,-0.2766,0 
-1.3652,1.1119,2.6333,2.752,0 
0.8419,-1.1293,2.319,2.5565,0 
0.82,-0.608,1.3581,1.0219,0 
-0.8945,-1.7211,2.7395,2.5503,0 
1.2739,0.9284,2.4084,2.161,0 
1.933,-0.8543,1.1998,2.3753,0 
-2.4145,0.2691,1.7173,2.2102,0 
0.8595,0.0634,2.3047,2.3485,0 
1.2222,-2.0708,0.3318,-0.072,0 
-0.5769,0.6273,1.0906,2.4021,0 
-0.5664,-0.2181,2.5535,3.5086,0 
-0.0293,-0.7062,2.0369,3.1279,0 
