Feature1,Feature2,Feature3,Feature4,Class
-0.4562,0.2758,2.6389,1.821,1 
-0.1277,1.2387,1.4054,2.3504,1 
1.0363,-0.0506,0.3845,2.2172,1 
0.1427,1.4209,0.9736,2.0163,1 
-0.4452,-0.2094,2.3654,1.7182,1 
0.6885,-0.1968,2.7094,1.3872,1 
0.8264,0.2537,2.1779,1.8311,1 
0.9221,1.2628,3.0248,1.0996,1 
2.1037,-1.9118,1.724,2.7427,1 
0.1355,-0.9396,1.0678,2.6698,1 
1.0419,-0.4642,2.6471,1.0297,1 
-0.5569,-2.6918,2.6298,2.1128,1 
0.9393,-0.8343,2.1755,2.0586,1 
0.6681,-0.6348,1.0884,1.3471,1 
-2.2481,-0.424,1.4663,1.9061,1 
1.975,-0.2628,2.4173,2.3783,1 
0.8407,-0.7305,1.4911,0.9731,1 
0.5788,0.2375,0.5086,1.4207,1 
-0.6446,1.0129,3.0265,1.2788,1 
0.8023,0.1869,1.6207,2.713,1 
0.1271,0.3749,1.7733,0.6607,1 
-1.5895,-0.437,2.0482,1.2671,1 
0.6739,-0.9354,1.5813,1.581,1 
0.7479,0.7588,1.2429,3.9732,1 
-0.7724,-0.6483,0.489,3.4467,1 
1.5691,-0.1292,1.3055,2.6993,1 
0.7023,1.421,2.6345,1.0079,1 
-0.5625,1.1048,3.602,2.1151,1 
1.121,-1.1297,1.3691,2.9357,1 
-0.1186,-2.0798,2.7397,0.97,1 
-0.1208,0.7863,3.3174,3.1604,1 
0.696,1.0473,3.512,3.26,1 
1.4157,0.5971,1.9837,3.6189,1 
-0.9492,-0.6283,3.4904,1.9919,1 
1.1915,0.251,4.5462,1.9996,1 
-0.0093,-1.0282,1.9206,-0.2554,1 
-0.702,0.3809,1.313,2.1704,1 
1.5454,1.0903,2.6585,1.2527,1 
-0.0309,-1.9265,1.6559,4.44,1 
4.6587,0.6047,3.1772,0.4739,1 
-1.0337,0.3964,0.9071,2.3876,1 
0.3192,0.8127,1.2028,3.0857,1 
0.1572,-0.6577,0.3776,3.5517,1 
-0.4326,1.0972,3.5684,3.2503,1 
0.2463,0.2369,2.8894,1.2174,1 
0.7875,1.6347,0.8647,2.3941,1 
