Feature1,Feature2,Feature3,Feature4,Class
* 
0.1847,0.3196,2.0125,0.4133,1 
-0.0865,0.7481,1.4073,2.5079,1 
2.0304,-1.5209,1.6102,0.1288,1 
-0.3779,-0.9176,3.9628,2.1189,1 
1.0585,-0.1312,1.9138,0.8955,1 
-0.0484,-0.8748,3.5024,2.1866,1 
-0.8425,1.1346,1.2011,0.7834,1 
-1.2763,0.3737,1.6869,1.669,1 
0.912,-1.5233,0.6197,1.0028,1 
-1.4942,0.4959,1.0521,2.6456,1 
-0.6412,1.4079,3.3503,1.4162,1 
2.4716,-0.8234,1.2769,2.1668,1 
-0.04,-0.2896,4.4357,2.9106,1 
-1.5868,0.8124,1.4611,2.8261,1 
0.5774,0.4244,0.0599,1.6505,1 
-0.4991,0.6772,3.2348,1.1364,1 
-0.7783,-1.8411,1.0935,0.9014,1 
-0.4163,0.5242,2.133,2.6491,1 
0.3252,-2.0153,1.8612,1.9386,1 
-0.9954,-0.8748,1.2202,2.2864,1 
-0.5778,1.742,1.7914,1.2412,1 
-0.8351,0.1011,2.4224,2.2207,1 
0.2557,-0.3817,0.6477,1.3129,1 
0.8183,0.9642,2.9711,3.0892,1 
0.5385,-0.3249,2.9993,0.572,1 
-0.0004,-0.7198,2.9085,2.8226,1 
-1.8238,0.9321,2.4013,1.9902,1 
-1.2872,0.5948,2.6541,0.8348,1 
-0.1075,-1.3382,3.3986,1.2048,1 
-0.1587,0.3392,3.1013,2.2067,1 
0.4546,1.4027,1.5283,2.5284,1 
-0.7936,1.9015,1.2389,1.9137,1 
-0.6741,-0.53,0.9006,2.5943,1 
-1.7783,-0.2574,2.5632,2.4585,1 
-1.3539,0.6139,2.5027,-0.8137,1 
1.0873,-1.9892,2.3679,2.2271,1 
0.2844,0.6512,1.9035,1.5905,1 
-0.4789,-0.1518,0.7465,3.5915,1 
2.6451,0.3569,0.3299,2.4657,1 
0.5416,-0.7201,2.2552,0.592,1 
0.2638,0.1821,2.8066,1.3741,1 
-1.1353,0.2187,1.1333,0.8952,1 
0.9167,-0.8427,2.9772,3.1388,1 
-0.7801,0.9572,1.6933,1.9221,1 
-0.8172,-1.3841,0.4315,1.2764,1 
-0.1297,-1.4699,1.9989,4.2124,1 
0.3408,-0.5868,-0.7514,-0.3423,1 
-0.6444,-0.3779,1.0372,1.4561,1 
-0.3195,-0.2218,2.3311,3.2866,1 
0.8468,-1.6283,-1.2377,1.3863,1 
0.2686,-0.4649,1.9394,1.6366,1 
-1.8013,-0.4799,2.1752,1.4356,1 
0.7117,0.7053,2.4436,1.1637,1 
-1.1685,-1.9314,2.0813,2.254,1 
-0.8033,0.4821,1.017,1.2787,1 
-0.8317,1.2162,2.8485,2.0061,1 
-0.0971,-0.3497,0.5985,1.0234,1 
-2.6782,0.0826,1.0464,1.6914,1 
-0.4192,1.0945,1.4567,3.5726,1 
-0.281,-0.2598,2.6134,2.3573,1 
-3.9571,1.5159,3.1467,0.6872,1 
0.284,-0.2015,3.6636,1.8411,1 
0.5123,0.1762,3.6225,3.255,1 
-2.3494,-0.7806,2.4765,0.9031,1 
-0.1658,1.4956,1.7512,3.1221,1 
0.3251,-0.9314,1.5019,2.9365,1 
-0.0597,-0.2779,2.0202,2.2649,1 
0.5973,0.1165,2.3761,2.4218,1 
-1.6728,-0.1633,3.0978,-0.9551,1 
-0.0012,-2.293,2.1327,1.6701,1 
0.1467,-0.1101,3.2288,2.6022,1 
-0.4244,0.6368,3.5348,3.6715,1 
0.7399,0.2044,2.0966,3.4396,1 
1.0802,-1.0788,1.2943,3.7163,1 
-0.3523,-0.9323,-0.1378,3.1831,1 
-0.5354,0.3309,1.4827,2.2832,1 
1.1313,0.1,0.5426,3.3921,1 
0.0408,-0.0306,2.1921,3.132,1 
0.5741,-0.844,3.0951,3.1446,1 
0.6987,1.2417,2.087,0.7099,1 
0.4822,0.7177,2.8114,1.656,1 
1.4,-0.2533,2.719,2.8525,1 
2.1267,-0.9458,1.4386,2.4471,1 
-0.4312,0.3423,0.7922,3.1035,1 
0.1048,-2.1551,2.7842,2.4035,1 
1.0975,-0.2849,1.7273,3.6018,1 
0.2351,-1.3795,-1.2552,3.1725,1 
0.9106,-0.3908,2.8743,2.8023,1 
-0.4006,-1.6025,2.3727,2.2107,1 
-1.6296,-0.7478,3.2344,1.9926,1 
0.4651,0.2899,2.5708,2.068,1 
-0.5837,-0.5432,0.4999,3.2185,1 
0.2449,2.5235,1.797,2.0856,1 
0.1606,-0.2791,3.6538,2.4756,1 
-0.1243,0.3312,3.7666,1.7416,1 
0.9793,-0.41,1.5415,-0.1847,1 
1.1911,-0.5611,3.151,1.3251,1 
0.0752,-1.1519,1.2043,1.929,1 
0.9349,0.6763,2.9067,2.7561,1 
0.2193,0.0734,2.0564,2.642,1 
1.401,0.5567,2.3619,1.6094,1 
1.6311,0.4969,1.4877,1.7907,1 
-1.5094,1.0068,2.2879,2.4187,1 
-0.3372,0.9844,2.434,2.1487,1 
-1.1973,1.9536,0.9099,2.0432,1 
1.0845,0.9264,1.2184,-1.9741,1 
