Feature1,Feature2,Feature3,Feature4,Class
-0.1969,-1.2848,0.4297,1.1209,1 
-1.34,0.4341,1.6997,1.548,1 
0.3237,-1.0739,1.8012,1.1417,1 
1.0735,-0.2893,3.3189,1.1175,1 
0.5362,-0.1097,1.9177,1.3941,1 
-0.4209,-0.6511,-0.195,0.6355,1 
0.7098,-2.4327,2.7188,1.4027,1 
0.2269,1.6527,1.0697,1.085,1 
-0.433,-1.951,2.0845,3.6163,1 
-0.3514,-0.4231,0.7521,4.0373,1 
-1.3178,0.7284,2.3304,4.4254,1 
-1.6682,-1.4526,0.8699,0.9403,1 
-0.8648,-1.1554,1.195,3.1273,1 
-0.2255,-0.8221,2.7396,0.9537,1 
0.0735,-0.4196,2.7174,2.6024,1 
0.6999,-1.3584,2.7342,2.1921,1 
0.6469,-0.3408,1.6494,1.1703,1 
-1.7144,-0.4134,2.624,2.4957,1 
0.8605,1.3627,1.4578,-0.2062,1 
0.4709,0.0911,2.0219,1.0318,1 
0.3596,0.2307,2.5897,0.52,1 
0.4892,-0.7149,1.7663,2.4881,1 
-0.9366,-0.5372,2.1279,3.2775,1 
0.5131,0.1631,1.6192,1.5464,1 
0.3482,0.1902,3.1105,2.5312,1 
0.6124,-0.2063,2.7572,2.8353,1 
-0.3376,1.4572,2.8267,0.6055,1 
0.7563,0.7478,1.6072,1.7325,1 
0.987,0.6233,2.8715,2.5918,1 
-2.1867,-0.1642,2.6991,3.1341,1 
-0.7586,-1.3634,1.9773,1.9903,1 
1.3195,0.3112,0.6016,1.9158,1 
-0.2844,-1.3608,1.9581,1.8643,1 
-0.9335,0.5742,3.6133,1.9681,1 
1.3107,0.4211,2.5001,0.9133,1 
0.4242,0.2343,2.5555,2.5629,1 
0.4009,1.9243,1.8221,2.1985,1 
0.2932,0.466,1.0455,1.2011,1 
-1.6841,1.6934,4.142,1.9594,1 
1.2852,-0.0965,3.6014,1.8119,1 
1.2497,0.6279,1.5121,1.9918,1 
-0.8905,-0.4271,1.6993,1.7187,1 
-1.1877,-0.7654,2.0954,1.9493,1 
0.8727,0.5767,1.7361,1.7317,1 
-1.2579,-0.3909,2.8962,2.2574,1 
0.1309,1.9452,1.2722,0.1806,1 
0.5241,0.6697,2.7009,1.3696,1 
1.3653,-0.8376,1.2388,1.0176,1 
-0.3491,0.4368,2.5644,-0.1149,1 
-0.2152,-0.379,2.3123,0.9646,1 
0.2185,-1.2883,1.5335,0.8989,1 
0.4791,0.2533,1.7667,2.3493,1 
-1.1044,-0.8217,2.592,2.6316,1 
-1.313,0.2947,1.9601,0.4289,1 
0.1985,2.535,2.6166,2.0669,1 
-0.7353,-0.6664,2.825,2.4925,1 
-0.66,-0.4008,1.5991,1.9848,1 
0.0722,0.9881,2.5537,1.6898,1 
-1.2353,-0.1796,0.4529,1.2871,1 
2.2707,0.2693,2.593,1.1215,1 
-0.4464,1.274,1.2758,1.8797,1 
1.4246,0.8539,0.8903,2.5056,1 
0.7346,-0.3122,1.535,2.2206,1 
-0.1795,1.095,0.8589,2.0631,1 
-2.0729,-0.551,3.2163,2.44,1 
0.0924,1.7455,2.4058,1.5827,1 
1.6702,-1.2251,3.5241,0.3078,1 
-0.0441,-1.4078,2.5174,2.6392,1 
-1.5682,-0.7338,3.6865,2.0009,1 
0.3887,0.9064,0.9785,3.0209,1 
-2.4495,-1.1621,0.6304,1.0327,1 
-0.3143,0.5109,1.9402,1.3077,1 
0.3651,0.3655,0.2943,1.6405,1 
0.1464,0.7259,3.6423,2.2265,1 
-0.3152,0.1908,1.6037,1.5353,1 
-1.7837,0.4945,2.297,2.1474,1 
0.0241,1.9049,0.8915,0.6794,1 
1.0928,0.2966,1.9183,1.9526,1 
1.8223,0.0643,2.195,2.5041,1 
0.1263,-0.8886,3.7452,3.4478,1 
0.9739,1.2889,2.2285,2.6058,1 
0.6471,-0.6494,2.0469,2.1848,1 
0.6157,0.1839,1.9298,1.7463,1 
-0.1114,-3.265,-0.0754,2.1403,1 
-0.202,-0.3867,2.455,2.726,1 
0.8702,-0.1445,-0.025,1.3368,1 
-0.213,-1.1297,2.4808,3.0478,1 
-0.1069,0.2749,1.7136,0.302,1 
0.8377,-2.139,3.5511,1.5618,1 
-0.5849,0.0579,2.2961,0.3274,1 
0.9149,0.4666,3.1394,1.7358,1 
0.4296,-0.0602,1.5581,2.1156,1 
-0.2845,0.2872,1.8543,2.7478,1 
1.4582,-0.1193,2.4889,1.7298,1 
-1.5476,0.3223,3.3371,2.062,1 
0.7668,1.4634,2.4372,0.4252,1 
0.3572,0.3477,1.3296,2.3284,1 
-0.687,0.6506,3.1156,2.3197,1 
-0.4329,-1.6586,1.0097,1.3987,1 
-0.059,-0.4873,2.9582,3.2881,1 
1.3624,0.6856,1.3073,4.0064,1 
-0.3189,-0.3828,3.029,0.2447,1 
-1.0811,0.1075,1.9382,1.348,1 
-0.391,0.3704,3.1736,2.1633,1 
0.0543,-0.1788,2.0917,2.0835,1 
0.6008,0.8488,3.5124,2.2072,1 
1.3851,0.0996,1.3273,3.4296,1 
1.5208,-0.6362,1.9482,1.5916,1 
-0.2248,0.8917,2.5042,4.7371,1 
1.4905,-1.7748,1.8374,1.7724,1 
-1.6716,-0.2258,1.8857,2.7928,1 
0.3284,-0.7673,1.74,1.4576,1 
-0.8469,-0.3996,1.4849,2.2916,1 
-0.8271,-0.903,2.0928,1.0229,1 
0.3118,-0.0614,1.1094,1.1632,1 
-0.1625,-0.1993,2.0162,2.3133,1 
0.8467,-0.92,0.5963,0.9816,1 
-0.0577,0.235,1.0877,0.664,1 
0.6195,0.7488,2.3944,-0.0207,1 
-0.1273,0.7839,0.6023,1.1752,1 
-1.0046,-1.12,2.3021,0.4883,1 
-0.5628,-0.3429,2.0102,3.3221,1 
0.8763,0.4247,3.0571,2.9981,1 
-0.1485,0.2508,2.7969,2.563,1 
0.0834,-0.3612,0.621,2.0213,1 
-0.117,-0.8357,2.8856,2.6001,1 
1.6645,-0.6606,3.2195,1.3689,1 
-0.6133,-0.0958,3.0409,2.4419,1 
-1.5736,-0.104,1.5078,2.2594,1 
1.8814,3.044,0.743,1.9826,1 
0.6121,1.3527,3.0037,-0.0691,1 
-0.6784,0.4845,2.9316,2.8699,1 
0.298,0.4958,4.3579,1.1079,1 
0.6188,1.4036,1.7552,1.8014,1 
1.702,0.7386,1.1301,0.8234,1 
0.4361,0.4837,5.0176,2.1053,1 
-0.1971,1.8721,2.7092,2.1222,1 
-0.2958,-1.1828,1.6395,0.3433,1 
-1.2354,0.2039,3.329,2.406,1 
0.2656,0.44,2.5695,2.3365,1 
-1.2047,-0.9555,1.6356,2.0819,1 
0.5523,1.6945,0.2819,1.725,1 
-0.1285,-0.3698,0.7517,2.2295,1 
1.7157,-1.6981,1.7609,0.6953,1 
0.7257,-1.5721,2.2631,3.0192,1 
-0.4593,-2.8232,1.8058,3.7525,1 
-1.5647,-2.7509,2.9097,0.8846,1 
-0.4175,1.1708,1.9041,2.1236,1 
-0.364,0.4509,2.1154,1.2669,1 
-1.8775,-0.6119,-0.5075,3.1391,1 
-0.0282,-0.3315,1.9489,3.167,1 
-1.5103,0.3279,1.7659,2.1484,1 
1.438,-0.7951,0.9456,3.6678,1 
0.3781,0.9503,0.6799,2.5209,1 
-0.9918,-0.4406,0.2798,1.986,1 
0.7602,1.7397,2.2391,2.1386,1 
-0.5609,0.4893,1.0967,3.0667,1 
0.7308,-0.2256,3.4824,1.5881,1 
0.2791,0.9586,1.8851,1.5025,1 
-0.7552,-0.8486,2.2948,1.8936,1 
-1.537,-0.0404,3.1079,2.6407,1 
-1.088,-0.2049,1.095,1.987,1 
-2.6889,0.2349,2.9001,1.688,1 
0.3643,-0.3564,3.3627,1.9926,1 
1.7424,2.0221,3.4948,2.0152,1 
2.0657,-0.462,1.0262,2.764,1 
-0.1904,-0.436,2.5729,2.4689,1 
-1.4006,-0.2162,1.9174,1.3884,1 
-1.2193,1.5012,2.434,2.2962,1 
0.4293,-0.5744,1.7794,1.2846,1 
