Feature1,Feature2,Feature3,Feature4,Class
0.8493,-1.1227,3.1431,2.675,1 
-0.4648,1.0618,3.4299,1.3346,1 
-0.9845,-1.0397,1.4218,2.0945,1 
1.1176,-0.3772,0.9194,2.0611,1 
1.2374,-0.3281,2.6461,1.7586,1 
0.7889,-0.9434,2.4734,0.354,1 
-1.2368,0.5592,1.1843,3.2684,1 
-1.1916,-1.1408,2.4275,1.2671,1 
1.1299,1.5948,2.0772,2.0,1 
0.4735,0.2859,3.5859,2.2954,1 
-1.2421,0.5213,1.6514,2.8914,1 
-0.6756,0.0707,1.9217,0.0495,1 
-0.3469,-2.3963,1.5656,1.3885,1 
0.2812,0.7702,2.2853,3.3749,1 
-1.3627,0.2838,2.0512,2.9831,1 
0.0406,1.3587,0.8951,1.9768,1 
0.5495,0.0749,1.6304,2.002,1 
0.273,-0.8554,3.5292,3.2606,1 
-0.1204,0.198,3.2651,2.1039,1 
-0.1693,0.095,1.1357,2.2461,1 
-1.5978,-1.9412,3.2702,1.1361,1 
0.5805,0.8137,3.903,1.1194,1 
-0.6536,0.0594,4.1527,1.6286,1 
-0.4804,0.3366,1.7152,3.2034,1 
-1.4347,0.7913,1.0551,1.752,1 
0.1706,0.6478,2.847,1.8103,1 
-0.3153,-1.8958,3.1025,2.2291,1 
0.4708,0.0399,1.5991,1.677,1 
-0.4214,-0.3651,3.0441,1.623,1 
-0.7844,0.1936,2.1058,3.7441,1 
0.7451,-1.1789,2.9102,3.3032,1 
0.9611,-0.239,0.9144,1.6577,1 
1.8383,0.3247,1.7442,1.6949,1 
0.2401,0.3111,0.9135,1.1524,1 
-0.8636,1.0551,2.7923,2.4887,1 
0.0229,1.442,2.9903,3.2067,1 
0.4748,0.1269,2.0072,2.8028,1 
-0.6598,-1.4105,1.609,1.5396,1 
1.3448,-1.3712,3.1607,0.9649,1 
0.0529,1.5238,0.6184,-0.1925,1 
-1.5818,0.8585,2.1147,2.9598,1 
0.7582,-0.7354,2.0115,1.6195,1 
0.2174,0.714,2.079,1.9143,1 
-0.3326,-0.3594,2.4554,2.0077,1 
1.2522,-2.0911,2.1241,1.6963,1 
-0.4754,-0.5268,2.6885,3.3185,1 
0.9698,-1.0699,0.8334,4.4275,1 
-1.0585,-0.0913,2.1897,2.6177,1 
1.067,-1.9474,1.4845,3.1948,1 
1.5589,0.3138,1.4794,-0.0287,1 
0.5137,2.4543,1.6876,2.5248,1 
-1.1173,0.4395,3.3845,1.0201,1 
-0.6537,-1.1468,2.8675,0.3435,1 
0.1164,-1.0156,0.6873,2.89,1 
1.4334,0.5209,2.3564,1.8054,1 
-0.3474,0.5802,0.9175,2.8487,1 
-0.3375,1.2947,2.8166,1.2773,1 
0.5908,-2.1446,3.3373,-0.0341,1 
0.2082,-0.9773,2.7576,-0.0586,1 
0.8609,-0.9311,2.6729,2.7822,1 
0.495,1.0993,4.3778,1.3157,1 
0.452,-1.1625,0.7305,3.0495,1 
1.1987,1.8586,1.1038,1.1067,1 
2.0637,-0.9185,2.5978,2.8661,1 
-0.6961,1.1138,2.1148,0.8467,1 
-0.1994,-1.4835,2.224,1.4288,1 
-0.9616,-0.761,1.5864,1.5897,1 
0.0176,0.6634,2.7673,2.244,1 
1.3265,0.2384,1.8787,2.1404,1 
0.7936,0.5823,1.3266,1.6091,1 
1.6716,-0.7472,3.5092,1.6709,1 
-0.4813,0.5642,3.5981,1.8644,1 
-1.5179,0.7556,1.4119,2.9392,1 
0.3957,1.2676,1.5714,1.3272,1 
-1.6465,1.2365,1.7629,2.1698,1 
0.0146,-0.5762,1.5847,2.0556,1 
0.9419,-1.025,1.57,1.2806,1 
-0.8868,-0.4471,1.763,1.3499,1 
0.5906,-1.3913,-0.611,1.8578,1 
-0.4362,-0.2432,1.8748,0.9114,1 
-0.7926,0.4756,4.0893,1.9271,1 
-0.3713,0.5414,3.5188,1.1067,1 
-0.1404,-0.1261,0.5099,2.5013,1 
0.8175,-1.2022,2.505,3.2631,1 
0.8198,0.5713,2.4405,0.6668,1 
-0.5558,-1.8312,1.0354,0.2513,1 
-0.4965,0.7376,1.6248,1.9898,1 
-1.0129,1.5656,2.3514,2.4821,1 
-0.0349,0.0728,1.7747,1.1311,1 
-0.1236,1.9654,1.8401,3.4384,1 
-1.4875,0.3015,2.3939,4.4842,1 
0.9084,-2.1349,2.0279,1.3021,1 
-0.467,1.4718,-0.1924,1.8635,1 
-0.205,-0.0192,1.1867,1.8737,1 
0.4366,-0.9563,2.705,2.7223,1 
-0.1166,-0.6614,2.2694,2.0843,1 
-0.6543,-0.3821,1.9401,2.4033,1 
-0.3484,0.6485,1.5481,0.362,1 
1.0357,-0.6894,2.6163,0.7343,1 
0.9415,-1.6419,5.0916,3.0723,1 
-0.4087,11.6979,2.9336,3.664,1 
-0.3814,11.1664,1.2523,0.4335,1 
0.4343,11.1608,1.3988,2.3359,1 
-0.3269,10.17,3.003,0.5254,1 
1.1063,10.3331,-0.8199,0.715,1 
-1.0484,9.7963,2.674,0.3376,1 
-0.2618,10.4864,1.858,1.0213,1 
1.4288,10.253,5.0465,3.1006,1 
