Feature1,Feature2,Feature3,Feature4,Class
4.933,1.4219,2.3851,3.1571,1 
5.1734,-0.3551,3.7168,0.5893,1 
4.2968,-0.1834,1.9863,0.4417,1 
3.9686,1.1887,2.5077,3.0129,1 
4.0765,-0.37,3.001,3.8879,1 
3.3198,1.4678,1.0186,1.0821,1 
6.1317,-1.339,3.0334,1.804,1 
4.1194,1.0514,4.1768,0.9586,1 
6.1881,1.7286,1.7228,1.2997,1 
5.834,-1.7945,2.9705,1.1072,1 
6.7648,0.3139,-0.0263,1.2901,1 
4.7386,-0.2941,-0.152,0.8989,1 
5.8379,0.761,1.9848,1.4711,1 
6.1271,-0.2951,1.0355,1.7269,1 
4.3409,-1.7107,2.0894,2.1526,1 
6.5717,-0.09,1.3258,1.4654,1 
4.626,0.5816,4.0164,1.4497,1 
5.1829,-0.7473,2.5373,2.655,1 
4.2098,-0.8902,2.004,0.8976,1 
6.0412,-1.1021,1.9522,1.3722,1 
3.7848,1.3516,2.641,3.1764,1 
5.4205,2.3729,2.846,2.2605,1 
4.777,-1.0222,2.4328,3.0401,1 
4.8621,0.6095,0.6456,3.5723,1 
5.4646,0.6163,0.0642,0.8233,1 
2.4804,0.6397,3.0842,0.821,1 
5.6711,-0.6902,2.8549,2.6553,1 
5.0011,-0.4973,0.9622,3.3849,1 
4.0723,0.1749,1.9154,2.5624,1 
5.6023,-0.8894,3.0055,2.777,1 
2.3948,-0.6735,2.3381,2.5822,1 
6.0843,-0.0516,2.4643,1.7407,1 
3.3294,1.6442,1.8192,2.0283,1 
3.8864,-0.6774,2.7678,2.1333,1 
5.5716,-0.1862,1.8415,1.2096,1 
4.7859,-0.3821,3.0409,0.461,1 
5.8493,-1.2396,1.7027,3.1603,1 
4.1695,-0.4942,2.2591,2.7294,1 
5.5978,-0.5445,2.9661,2.7336,1 
5.3476,-0.8715,1.0479,2.0788,1 
6.354,0.0461,3.0821,1.8768,1 
4.112,-0.7003,2.7484,1.5408,1 
4.6504,-0.1827,2.2688,1.7234,1 
3.4388,0.5247,2.0603,2.0696,1 
3.8637,-0.7257,2.6418,2.6691,1 
5.6291,-1.861,0.9517,2.8687,1 
6.3188,-0.1566,3.6899,2.6829,1 
4.9682,-1.1666,1.5825,0.0413,1 
6.2455,-0.1296,0.9313,3.3881,1 
6.1779,1.4122,2.774,2.9388,1 
4.7444,-2.012,2.6463,3.1038,1 
3.8321,-1.3884,0.7031,0.1449,1 
5.2136,-1.7208,0.7083,2.4424,1 
4.7172,0.2157,0.2076,1.6337,1 
3.4767,1.1495,1.3085,4.3788,1 
5.0647,0.8307,1.7054,2.0567,1 
3.0825,0.2978,3.2956,1.3484,1 
6.3082,-0.4035,2.547,2.1384,1 
5.3436,-2.6429,3.1668,3.578,1 
5.2837,0.7833,2.9224,2.4924,1 
4.1876,-0.0429,1.5845,1.7699,1 
6.4529,0.7521,3.0202,1.1253,1 
4.5071,1.5927,1.1591,2.0777,1 
6.7993,0.6263,2.3899,2.2717,1 
4.207,-0.9156,2.2951,4.4761,1 
6.496,1.9544,2.1754,2.3167,1 
4.7253,0.76,1.7726,2.1976,1 
3.9932,1.934,0.237,1.6098,1 
3.7022,0.8727,0.6589,1.5285,1 
