Feature1,Feature2,Feature3,Feature4,Class
* 
2.5042,10.6922,1.6447,2.93,1 
1.6517,9.9866,2.8814,1.2764,1 
0.7604,10.9885,2.425,3.1924,1 
1.7928,9.6731,3.0501,2.2069,1 
1.522,9.8338,1.2008,2.8674,1 
3.8398,8.6542,0.7426,2.1984,1 
1.9184,10.0597,1.6629,1.6749,1 
2.3518,11.6015,0.1867,2.688,1 
1.4694,11.3725,1.3117,1.9403,1 
2.1627,9.9996,1.7435,2.2332,1 
1.2507,8.7839,-0.0637,2.8172,1 
1.0904,10.222,3.3997,1.1712,1 
2.2523,10.0494,2.2023,2.4824,1 
1.479,11.3613,2.1444,1.6724,1 
2.3342,9.6175,1.0216,1.5316,1 
4.2494,8.7177,2.0784,1.3853,1 
0.912,10.4305,1.1606,1.8092,1 
2.4407,9.4865,0.4946,1.9146,1 
3.0658,10.4504,1.5879,2.7362,1 
3.7349,8.3485,1.9084,1.9837,1 
2.4876,11.221,1.9162,2.8243,1 
1.3597,9.3881,2.2561,2.6795,1 
1.0563,8.6683,2.3569,1.1374,1 
2.4442,10.3565,3.7585,3.3182,1 
2.0118,10.0203,3.4584,0.7626,1 
1.4447,10.2642,1.1785,1.4914,1 
2.5551,11.5023,3.368,3.3835,1 
1.5816,10.1697,2.7272,1.1654,1 
1.5321,9.8656,1.4002,0.7148,1 
1.527,9.4694,2.6782,2.0188,1 
2.2063,8.9585,1.3343,3.1025,1 
2.2461,10.517,2.2482,2.1108,1 
0.5343,9.9943,1.6311,1.9444,1 
2.541,9.2223,1.0152,1.9043,1 
2.5033,9.9704,0.9491,2.4598,1 
1.68,10.2444,3.7293,2.6883,1 
3.2401,10.3333,0.8479,0.9952,1 
-0.7852,10.0758,1.7357,3.3324,1 
2.7172,10.4077,2.5134,1.6006,1 
2.1512,10.2771,2.3329,0.7119,1 
2.8296,8.5196,1.5906,2.9255,1 
2.4953,10.7836,3.0575,3.6681,1 
1.8597,8.3678,2.282,2.2802,1 
3.2962,8.179,3.6867,0.2422,1 
2.5556,11.3299,2.1082,2.0126,1 
2.1099,10.7636,3.3671,0.4114,1 
0.8504,8.1436,3.9349,3.7582,1 
2.6614,10.5409,2.3713,0.9114,1 
2.9888,10.1498,1.7665,1.3088,1 
2.4714,10.745,1.524,3.1172,1 
3.3864,8.8323,3.3318,2.3494,1 
1.8739,10.4269,1.5941,2.01,1 
2.0098,9.9822,0.3616,2.8286,1 
3.3931,9.7624,2.2274,2.8812,1 
2.3815,7.9966,2.761,1.7984,1 
