Feature1,Feature2,Feature3,Feature4,Class
* 
1.0814,10.6074,2.2475,2.8864,1 
3.7434,10.4553,1.3223,1.6404,1 
1.714,9.3005,3.7927,2.3306,1 
2.1759,8.6955,2.1535,0.1525,1 
3.8536,10.3486,2.1229,1.7271,1 
1.3076,9.9426,2.0247,1.0386,1 
0.2487,10.3374,3.1141,1.9673,1 
3.6777,8.4346,-0.2188,2.6832,1 
2.4028,10.2303,3.1857,2.067,1 
0.5685,10.1403,4.002,0.0324,1 
3.637,10.1187,1.0707,1.0416,1 
1.0734,10.2965,2.5142,1.8125,1 
0.1831,10.3572,1.756,1.817,1 
0.474,9.4467,2.5054,1.7117,1 
2.8977,9.5183,2.6837,3.1991,1 
2.9558,8.0186,1.4809,2.5865,1 
2.2077,9.8282,3.3302,3.7261,1 
3.016,9.1069,1.8772,0.8518,1 
2.9424,10.7508,0.4936,1.5586,1 
2.1264,9.0178,1.0355,2.8421,1 
1.5751,10.2066,1.5552,1.79,1 
2.3552,11.9085,1.6949,0.5185,1 
2.8126,10.4802,2.4944,0.9867,1 
1.9052,11.0996,1.9709,2.1247,1 
0.7924,8.6661,0.4279,1.4923,1 
2.3034,9.3276,2.8789,2.6704,1 
2.2357,10.4129,1.9457,1.7455,1 
2.8149,10.8095,2.6606,1.0596,1 
1.7959,11.6896,1.8571,2.3333,1 
2.1213,10.8328,1.1302,2.0634,1 
1.9419,10.7179,4.0621,2.3683,1 
2.8026,10.5176,1.6111,0.5597,1 
2.2032,11.1214,1.6331,0.8331,1 
3.6979,9.6946,2.1676,2.223,1 
2.3461,11.2683,1.1895,1.7914,1 
2.4088,9.1641,1.0854,1.8807,1 
2.2851,10.3962,1.0516,2.4342,1 
1.9827,9.7964,2.7413,2.5348,1 
3.5994,8.5542,2.5134,2.1636,1 
1.3214,9.4089,1.7589,2.6369,1 
2.0238,12.1012,0.0787,4.1256,1 
3.3199,10.8054,1.8549,2.3089,1 
1.1301,9.0931,1.882,3.2567,1 
3.4856,9.4133,4.3469,1.6943,1 
2.1816,9.4857,2.52,2.2867,1 
3.0028,9.4989,0.2564,3.3273,1 
0.8768,10.0665,2.8752,1.0957,1 
3.0188,10.8281,0.7496,-0.1682,1 
1.8199,9.5696,3.0438,1.8195,1 
1.9824,10.0444,-0.0847,0.3139,1 
2.7822,9.3843,0.4273,1.9531,1 
3.6635,10.6186,1.7897,3.551,1 
0.0235,11.061,2.3409,0.1942,1 
1.0571,9.4147,1.598,0.1514,1 
1.9931,10.1556,1.9276,1.8446,1 
3.0801,9.5134,4.0839,1.4284,1 
0.7466,10.6518,1.6454,0.6691,1 
1.6936,11.2209,2.6091,4.0743,1 
3.6663,10.2858,2.8245,3.0578,1 
2.2498,9.5784,2.2109,1.57,1 
3.2105,11.76,1.0554,1.1211,1 
2.8333,11.0808,4.0075,3.9334,1 
2.9716,11.501,1.3186,2.244,1 
2.1708,9.9505,1.1871,1.2212,1 
2.5209,9.3033,0.5589,3.098,1 
3.7552,9.2283,3.4237,2.9687,1 
2.7286,10.2384,1.4493,2.4053,1 
2.893,8.8713,2.7205,1.9735,1 
0.5948,9.7704,3.1078,1.2053,1 
2.1684,11.6508,3.236,1.1675,1 
1.9055,10.4089,0.4123,3.8699,1 
1.9138,9.0263,3.8295,1.6336,1 
2.6885,10.2288,1.3552,2.843,1 
2.8454,9.0391,0.3111,3.5553,1 
1.5849,11.8615,2.8793,2.1826,1 
3.4691,10.3906,2.8959,0.8916,1 
0.7748,9.9935,3.7469,2.0387,1 
2.6718,10.6034,2.434,3.3446,1 
1.8169,10.5848,2.7904,2.7941,1 
1.4085,9.7127,-0.0734,1.1383,1 
0.6263,8.6377,1.192,2.308,1 
2.6251,9.87,1.6841,1.8511,1 
3.6633,10.4884,2.9079,0.8971,1 
1.644,9.8328,2.864,3.9621,1 
1.9383,10.4257,0.9312,1.4194,1 
2.6883,9.725,2.2891,0.8016,1 
0.8206,9.7146,2.2598,3.6192,1 
1.5257,7.7816,0.2724,2.5769,1 
4.0819,12.0464,1.9074,2.0353,1 
1.6067,9.9854,2.0684,4.1741,1 
1.0243,10.5289,1.3338,1.5523,1 
2.8889,10.0936,0.9056,1.8231,1 
0.5559,11.3901,1.137,1.3432,1 
2.2796,10.2527,1.5455,1.9422,1 
0.016,11.2201,4.2864,2.1654,1 
2.8406,11.1657,2.3178,1.8616,1 
0.2174,7.3402,0.7155,3.285,1 
0.8725,11.256,2.7395,2.6061,1 
3.3582,10.6132,2.1624,1.3462,1 
-0.4155,9.6052,2.1498,2.2345,1 
1.5442,8.3039,2.3916,0.9494,1 
2.859,10.8756,1.5314,2.5574,1 
2.5061,9.9364,1.4711,1.7311,1 
2.2424,10.2922,3.1601,1.7202,1 
1.8437,9.7852,3.3717,0.8524,1 
0.6067,10.3896,1.5308,2.2104,1 
2.2915,8.7771,5.2847,3.0746,1 
1.0601,9.8539,1.4545,2.8556,1 
1.8154,9.3291,2.5557,1.4483,1 
2.8346,10.2792,2.9284,3.6869,1 
4.0357,9.6078,2.5569,2.0308,1 
2.5636,8.7761,0.8582,2.4064,1 
3.8773,10.1246,1.8593,3.1435,1 
2.6136,10.5932,1.4553,2.3454,1 
1.7648,10.6255,1.8516,3.3578,1 
1.6187,10.2107,2.8019,2.0,1 
0.9021,9.7852,0.4927,2.8192,1 
1.2081,9.0724,1.9377,2.8861,1 
2.241,10.7541,1.5116,1.282,1 
3.5476,7.6835,1.146,1.4612,1 
2.0504,9.9503,0.1826,3.0125,1 
3.4236,10.4585,1.3102,4.4927,1 
2.3083,9.608,1.0312,0.1485,1 
1.3531,10.4173,3.005,1.2853,1 
1.3889,8.8458,4.3225,2.5898,1 
1.6339,10.7454,2.1577,3.1896,1 
2.6361,9.9308,1.4344,1.7219,1 
2.4443,8.9263,0.5261,1.8034,1 
2.5497,12.0534,1.54,-0.4906,1 
2.3633,9.6562,3.708,3.2761,1 
0.9359,11.4652,2.6378,3.1276,1 
2.6436,9.9031,0.9971,1.1826,1 
3.2185,9.9076,1.8994,1.1303,1 
1.9562,9.1723,2.3934,1.2559,1 
1.5493,9.7391,0.9344,0.8568,1 
2.8623,10.1858,2.3317,2.1625,1 
2.5995,9.4929,-0.6252,1.043,1 
0.4954,9.6254,0.9471,0.7158,1 
0.6084,10.2369,1.8537,3.0965,1 
2.179,10.5548,0.154,1.9765,1 
1.6232,9.7185,3.1679,0.2118,1 
3.5551,10.5215,1.649,4.3185,1 
0.4253,10.2146,3.0697,2.4606,1 
2.0018,8.9066,1.2974,3.3341,1 
2.2865,8.8682,1.1443,2.8075,1 
1.9626,11.0489,2.1425,1.5575,1 
1.344,9.3527,0.5349,2.6486,1 
1.4229,8.8291,2.7442,1.9876,1 
0.0655,11.7251,2.4256,1.296,1 
0.1001,8.6927,2.2043,0.5604,1 
2.9415,9.3335,1.5284,2.1333,1 
0.5982,11.3651,-0.484,2.3204,1 
0.8406,10.7351,3.4683,2.2167,1 
2.5115,9.7878,0.3589,3.3475,1 
3.0877,9.6103,2.4935,3.4982,1 
2.322,10.3381,2.1379,1.2464,1 
3.4186,8.9632,3.5618,1.0758,1 
-1.448,8.3214,1.8975,2.2842,1 
2.2557,9.4,3.27,1.6471,1 
2.0428,10.6143,1.028,2.2042,1 
1.2161,10.5278,2.7525,1.7256,1 
2.023,10.0943,0.8904,2.5336,1 
3.6311,10.9451,3.6067,2.0115,1 
3.7403,10.5746,3.8677,1.5471,1 
1.5214,10.9707,2.0498,2.8854,1 
2.9486,11.1071,2.6998,2.9424,1 
-0.2828,10.532,2.9653,0.8564,1 
0.9841,9.9081,1.2537,1.8326,1 
1.8546,12.0189,3.4492,1.6689,1 
1.4252,11.2363,-0.4141,0.2927,1 
0.5959,9.6304,3.0498,-0.569,1 
0.7403,10.6065,3.115,2.0883,1 
3.2376,9.4568,0.8942,2.1484,1 
2.083,11.3732,3.295,1.6136,1 
1.8016,7.6971,0.8966,1.9471,1 
2.357,9.065,1.7143,2.5566,1 
2.9876,8.9551,1.0114,2.7779,1 
2.6579,10.517,0.2496,0.6227,1 
0.1348,9.2409,3.0149,2.4523,1 
0.3127,8.0754,1.7951,2.3863,1 
2.9754,10.1337,2.3969,0.235,1 
1.5283,8.4422,2.3321,0.429,1 
2.5424,8.7121,2.097,1.5239,1 
3.1985,9.4347,2.9488,2.7002,1 
0.8207,6.9395,2.2139,0.4263,1 
2.5288,10.2183,1.8436,2.6575,1 
2.9188,9.1789,-0.4865,2.7047,1 
3.211,9.8362,2.2085,3.4684,1 
1.3404,9.0204,1.5306,1.2605,1 
2.0805,9.9915,1.3821,3.3911,1 
1.1296,11.3063,0.8607,2.944,1 
0.5789,9.6498,2.6737,2.61,1 
1.1539,9.4983,1.0003,1.9218,1 
0.9709,10.4461,2.7393,3.5279,1 
1.4472,10.4867,1.1773,0.4807,1 
0.8856,8.6336,2.8463,0.6034,1 
2.6726,10.4172,2.4271,2.1804,1 
2.5536,9.0622,1.518,1.1278,1 
2.2903,10.6272,2.8184,1.0895,1 
1.4366,10.0624,2.2445,1.3754,1 
2.4295,11.1751,2.6734,2.0199,1 
2.2819,10.9909,3.027,3.5112,1 
2.7548,10.5083,0.4114,0.3686,1 
1.9934,10.3423,2.301,3.8529,1 
1.157,11.024,-0.2076,2.6644,1 
3.3541,11.482,1.8706,1.5904,1 
2.1529,11.0824,2.0978,2.6251,1 
3.0738,10.6904,-0.1296,2.131,1 
1.55,10.6035,2.7103,0.8312,1 
2.8717,11.1913,3.2399,2.1846,1 
2.4831,9.1637,1.916,1.5673,1 
0.7853,9.7853,2.6546,3.8197,1 
2.2986,11.5005,1.2071,1.9038,1 
1.6341,8.4261,2.0812,1.5022,1 
2.0373,10.1851,1.1212,2.9814,1 
2.8357,8.9347,0.8414,0.274,1 
0.5504,9.2298,1.434,1.0209,1 
1.4341,9.2492,2.9894,1.2267,1 
1.1201,9.6951,2.4679,1.4919,1 
3.1274,7.4349,2.7837,1.1203,1 
2.8191,10.6901,2.4234,1.3349,1 
2.5668,8.1754,0.6068,1.9232,1 
3.4868,9.9222,2.5683,2.7214,1 
2.7019,8.6325,2.9501,2.0202,1 
2.5122,10.0026,1.4189,0.2939,1 
3.4407,9.7485,3.8979,2.2018,1 
1.293,10.4786,0.266,2.356,1 
2.8046,10.9173,1.8997,0.6108,1 
1.1437,10.549,2.6405,2.9595,1 
1.5142,8.609,2.8397,1.5884,1 
2.8271,10.3354,2.1764,2.2138,1 
0.3359,10.8764,0.3068,3.3167,1 
3.4282,11.2826,0.9528,1.7399,1 
2.2043,10.2969,2.4694,1.8425,1 
4.2799,10.2522,1.9119,0.9797,1 
3.4539,8.2794,2.2203,4.1454,1 
0.7319,9.7265,3.8161,1.2099,1 
