Feature1,Feature2,Feature3,Feature4,Feature5,Class
-0.604,-0.2905,2.812,4.1727,1.6372,0 
0.0905,-0.2982,1.4118,0.6327,3.3572,0 
-0.488,0.2789,2.2922,1.7179,2.4728,0 
1.0742,0.7235,1.7487,0.432,1.9752,0 
1.146,-1.634,-0.0508,0.0871,2.5088,0 
-0.7665,-0.6811,2.9154,1.6759,1.1695,0 
0.8535,-1.5528,2.2631,0.5518,3.5369,0 
0.7655,-0.3589,1.2763,1.8642,0.6541,0 
-0.9032,2.2956,1.2034,2.8235,3.6128,0 
0.2775,1.5138,1.4807,2.1602,2.2697,0 
-0.1816,-1.2067,1.3853,2.8949,1.0766,0 
1.724,1.0086,2.8342,1.1359,4.0446,0 
-0.335,-2.3051,0.8744,2.6538,2.4375,0 
-0.7732,-0.4912,4.3602,2.3205,0.518,0 
-0.6008,0.3072,1.6792,1.8112,0.8474,0 
1.7093,1.1993,2.1671,1.9276,0.3937,0 
-0.502,-0.3948,0.9498,3.7119,3.435,0 
0.4513,-0.5608,0.0342,1.6408,1.9903,0 
0.3608,1.6189,1.8532,1.6283,2.4035,0 
0.6308,-0.2306,1.1073,1.7753,1.5664,0 
0.1454,0.751,1.2235,0.7571,1.8469,0 
0.8797,0.4801,0.8572,1.2607,1.7199,0 
0.7631,-0.5173,1.7069,1.6691,0.5913,0 
0.4629,-0.5719,2.478,1.5787,1.1503,0 
1.1807,1.671,1.3395,2.0589,3.5369,0 
-0.1786,-0.7137,0.4981,2.2107,0.3292,0 
-0.8139,2.0133,2.7991,1.9621,0.4209,0 
1.4284,1.463,2.9227,1.8111,1.5517,0 
-1.2534,-0.2629,2.221,0.923,1.3235,0 
1.1214,-0.8115,2.5722,1.4914,2.5078,0 
0.6334,0.2512,1.764,0.9748,1.6149,0 
1.6573,-0.7161,1.2097,2.3269,1.6202,0 
1.8304,1.1527,1.485,1.3656,1.277,0 
0.3902,1.1565,2.0096,2.402,1.6161,0 
-0.4799,0.0431,0.4793,2.1112,2.3827,0 
0.1964,-1.2122,1.5368,4.5919,3.2787,0 
-1.5291,-1.0676,1.6289,2.6187,0.7695,0 
-0.9275,-1.7646,3.4113,3.3627,2.4922,0 
0.2248,1.9187,1.2922,2.7944,1.5804,0 
0.0048,-0.3006,1.9935,0.7858,0.9869,0 
-0.7564,0.852,1.5376,-0.0744,3.2912,0 
-0.4821,0.024,-0.87,1.9423,-0.1965,0 
0.2673,0.7121,2.9313,1.8893,1.4435,0 
-0.6859,-1.3298,4.381,2.2018,1.8625,0 
-1.0052,0.3159,2.9792,1.7265,3.5489,0 
-0.094,0.0018,3.0509,0.6781,0.3414,0 
0.7117,1.4222,2.0674,2.2901,2.7171,0 
1.4932,0.4783,3.2981,3.1704,1.8092,0 
1.7291,1.0834,3.3671,2.6726,2.6505,0 
1.5649,0.2035,2.0512,0.7682,0.5771,0 
0.4977,-0.6452,1.8992,1.3532,1.3964,0 
-0.7638,-0.5556,-0.3051,2.141,3.4156,0 
-1.4523,-1.0119,1.024,3.6441,1.657,0 
-0.1972,0.6797,2.5798,4.0012,2.1198,0 
-0.3846,-0.8598,1.5988,1.3813,1.1251,0 
0.8951,0.9659,0.5728,1.6482,1.3733,0 
1.1353,1.3732,2.1213,0.2087,2.1053,0 
0.9805,-1.2111,2.1507,3.0144,0.7853,0 
0.6054,-0.0028,1.6282,0.9458,3.8106,0 
1.1066,-0.5428,2.183,1.9078,1.604,0 
0.2148,-0.6276,3.0841,1.1088,2.5984,0 
0.3935,0.1815,3.0836,1.074,2.6533,0 
-0.2682,0.4841,0.6583,2.6248,1.1882,0 
-0.6941,-0.4592,3.5419,2.1661,2.7099,0 
1.1534,2.2615,2.0928,2.5769,1.823,0 
-0.0199,0.1176,1.7465,2.3579,0.8349,0 
1.747,0.1146,3.4365,1.8715,2.6658,0 
1.3493,-0.9724,2.5389,-0.3008,2.8548,0 
-0.5558,0.8802,2.5299,2.1684,1.633,0 
-0.7194,-1.7722,0.769,2.1121,1.6511,0 
-0.0434,0.5957,2.5096,0.4572,2.0079,0 
-0.3548,0.8848,2.7387,3.5524,1.418,0 
1.3576,0.7989,1.7364,1.3695,1.7569,0 
0.2141,0.9966,0.9851,3.5843,3.0947,0 
-0.2841,0.189,2.0419,2.0671,2.9042,0 
1.1599,1.686,0.9689,-1.2158,1.6267,0 
-0.7473,0.7094,1.2878,2.663,3.1032,0 
-0.3115,-0.3923,1.7694,2.293,2.7677,0 
-1.2464,0.7015,1.7535,2.4758,3.2392,0 
-1.0938,-0.2548,1.4881,2.1504,2.8922,0 
-0.5543,-1.4837,3.497,3.474,3.219,0 
0.0961,-0.8045,0.815,2.7742,2.0333,0 
1.9483,-0.2791,-0.1787,2.1857,1.7311,0 
0.8754,-0.1107,1.8745,1.2496,0.8664,0 
-2.1024,1.1715,-0.352,1.7942,2.0604,0 
0.651,0.1182,1.0841,1.2849,3.7511,0 
-2.2379,0.733,1.5424,1.9059,2.3319,0 
0.6357,0.4172,0.9903,0.7206,2.0693,0 
0.3915,1.0537,1.9963,1.7754,1.1658,0 
-0.5753,-0.1341,2.3973,2.0364,4.5048,0 
-2.6443,-0.287,2.4375,3.6131,1.8504,0 
1.4233,0.4396,2.1875,1.5723,1.8073,0 
-0.1258,-0.4187,2.404,2.1815,2.9428,0 
0.0781,1.0204,1.9145,2.6944,1.1642,0 
0.6252,-1.2189,0.9717,1.1935,1.1959,0 
2.9639,-1.2349,2.9573,0.8635,2.5642,0 
1.9613,-0.8621,2.1793,1.5096,3.1698,0 
-0.563,0.6711,3.1256,1.1506,2.7224,0 
-0.4327,-0.4175,3.0344,1.08,1.5422,0 
-0.5959,-0.5011,0.4903,4.0007,3.039,0 
0.8417,-0.228,2.0834,3.6509,3.3811,0 
