Feature1,Feature2,Feature3,Feature4,Feature5,Class
* 
-0.1824,0.9627,1.8815,1.2156,1.9613,1 
-0.5031,0.5164,0.6265,2.2206,3.1421,1 
-0.9065,-0.7968,1.5947,2.2356,2.1713,1 
-0.2653,-0.442,4.8147,1.5323,0.4328,1 
-1.4263,-1.1278,3.4414,1.5954,0.8011,1 
-0.0891,-0.4553,2.1191,3.2512,2.9584,1 
0.1762,-0.6936,2.0514,0.9749,1.0865,1 
-0.5974,-2.5208,2.115,1.9124,0.371,1 
0.3435,-0.0362,2.475,2.4865,1.0463,1 
-0.0667,0.8688,2.95,1.7694,0.5199,1 
-1.7904,0.0717,1.0721,2.0469,3.1721,1 
0.7475,-0.1345,1.6108,2.0304,1.5568,1 
0.0906,-0.4451,4.0832,2.611,-0.3105,1 
-0.9071,-2.1124,2.5432,4.0595,2.4261,1 
-0.7878,-1.2225,0.687,2.745,1.1504,1 
-1.903,0.0309,0.7116,4.3722,1.1711,1 
-0.1338,-2.1524,0.3898,0.5774,0.7003,1 
-0.1422,-0.9492,2.5169,1.5369,2.0378,1 
-0.3851,-2.0017,1.8036,2.8428,3.162,1 
1.3385,0.6337,3.4234,1.9628,0.5157,1 
-1.4878,1.1414,0.3114,2.7012,1.926,1 
-0.6539,0.1614,1.9783,2.3055,1.7173,1 
2.4577,-0.005,1.2865,1.313,3.0452,1 
0.4212,-0.0109,1.4298,0.8259,1.902,1 
-1.5496,-0.0074,1.4459,1.2077,2.1573,1 
-0.4561,0.1523,2.8376,2.2817,2.8209,1 
-0.5814,0.3733,1.721,2.899,3.3777,1 
-0.6517,0.2546,1.2841,0.0346,1.9064,1 
-1.9996,0.4482,2.0689,1.4668,2.448,1 
1.0021,0.7654,2.0148,1.4101,2.0716,1 
-1.4777,1.4107,1.9568,2.9343,2.5798,1 
-0.323,0.5773,4.0923,0.7235,0.6711,1 
0.2796,0.5943,3.1639,-0.1943,2.0225,1 
1.3591,0.8015,2.2354,2.7858,2.6844,1 
-0.0585,-0.0295,1.3846,1.6286,0.8056,1 
-1.693,-0.9277,0.3358,1.6035,2.3476,1 
0.4915,0.9141,1.454,2.3931,0.9496,1 
-1.8474,0.5908,1.1024,1.6125,3.3294,1 
-0.001,0.151,1.4592,1.9152,3.0054,1 
1.0963,0.64,2.8067,1.3594,3.5216,1 
0.1804,0.4968,1.4762,0.7627,2.3394,1 
1.0818,0.6967,2.4526,-0.736,2.7226,1 
-0.8199,0.3839,1.808,1.6448,1.4362,1 
-0.7517,0.1309,3.4119,2.4269,1.9417,1 
0.8156,0.2508,4.3036,3.1006,3.9693,1 
-0.4056,-0.1815,1.1375,1.2423,1.0489,1 
-0.0263,-0.6644,5.0847,1.9498,-0.3754,1 
0.6511,0.2263,2.356,0.1153,2.1914,1 
-1.0921,-0.9335,1.5056,1.768,1.4707,1 
1.3152,-0.3677,2.123,0.9915,3.0961,1 
0.8134,-1.1392,0.3198,2.2605,2.7006,1 
-2.833,-0.0139,2.4953,3.7953,2.5521,1 
2.3738,-0.9912,3.3234,3.4124,3.3129,1 
1.8611,-0.448,2.066,1.5899,4.4745,1 
-0.5644,-1.1547,2.2776,3.8898,1.0827,1 
-1.3077,1.2236,2.2712,1.7418,1.2684,1 
-0.394,-0.5254,0.874,2.2897,0.2836,1 
1.0906,-0.1404,2.6006,2.6695,2.399,1 
-1.2836,-0.5038,1.368,1.9998,3.2184,1 
-0.3874,-0.2461,0.7808,0.7706,4.071,1 
-0.9418,0.372,1.2891,1.3111,-0.5497,1 
-1.8036,1.6372,2.7099,2.8673,1.3904,1 
1.0496,2.0861,2.6441,0.3442,2.8798,1 
-0.6139,1.451,3.1704,1.9136,2.6151,1 
0.833,-2.2863,1.9388,4.0902,1.3802,1 
0.0641,-0.1346,3.6707,2.1062,2.0072,1 
-1.0909,0.9507,3.2938,1.7242,0.4487,1 
-0.0569,1.6453,0.2949,2.5945,1.2805,1 
-1.1953,-0.1596,1.9918,1.6689,2.9544,1 
-0.8318,0.3665,2.8296,3.3052,1.2162,1 
-0.0825,1.0207,4.0278,3.0387,1.9594,1 
1.5872,-1.5283,2.0234,2.5788,1.1061,1 
1.304,-0.1818,0.1376,3.2271,1.6885,1 
-0.7635,-1.7592,1.5929,4.9526,4.3141,1 
0.4607,0.6407,4.7777,1.6511,0.4265,1 
0.2848,-0.0867,2.3069,-0.3109,2.4239,1 
-0.1624,0.3828,3.6308,1.295,1.4467,1 
-2.3061,1.6199,2.9652,1.1801,1.4451,1 
-0.0513,-0.5527,1.1201,2.0814,3.251,1 
-3.1956,1.3583,2.5575,2.8109,1.9508,1 
-0.1659,-0.2116,2.2198,0.9733,1.1138,1 
-1.3766,0.0987,0.9813,0.688,2.8292,1 
2.5175,-0.004,1.9131,1.7519,0.1686,1 
1.9007,0.8052,1.6597,0.3091,2.0139,1 
-0.0337,1.4701,2.3739,1.0556,-0.6095,1 
0.1199,0.5882,1.1484,2.582,3.1933,1 
-1.8736,1.6478,1.4051,3.1295,3.2927,1 
-1.7624,-0.6176,1.5976,2.7058,1.8393,1 
-0.1443,1.0038,0.6772,2.0827,0.731,1 
1.3952,-0.4173,2.3759,2.905,1.2919,1 
-1.6956,-1.0191,3.2999,0.5395,1.71,1 
-0.3016,1.856,1.2372,1.1943,1.2648,1 
-0.5797,-0.4932,2.0067,3.0535,1.8655,1 
1.5116,0.1513,3.6036,1.3227,3.4652,1 
0.0156,1.4118,3.5057,1.6543,1.4079,1 
-1.0816,-2.2447,1.0795,2.5101,1.9738,1 
0.6074,-0.1264,2.3331,3.5573,1.809,1 
0.0123,0.1063,2.3929,2.0858,2.3416,1 
0.1315,-0.1856,1.8662,3.8059,2.7206,1 
1.5566,0.2333,2.5889,3.9559,1.707,1 
1.4867,0.6125,1.9451,1.5958,2.6114,1 
0.457,1.658,2.4104,1.404,1.3529,1 
0.7966,-0.4316,0.8124,1.1578,2.1565,1 
2.3167,1.69,4.5245,2.5457,2.3991,1 
1.3944,0.7585,0.3393,1.1176,2.2871,1 
-0.1935,0.4505,2.0236,2.3449,2.8963,1 
-0.343,-0.0654,3.6999,1.8279,1.547,1 
-0.117,0.4063,1.3191,2.1871,3.3694,1 
-0.0165,-2.4509,1.6526,2.0026,2.6056,1 
0.616,1.2301,2.439,1.5424,3.5147,1 
0.9301,-1.9801,2.0478,0.6306,0.6152,1 
-0.7131,-0.0383,2.0128,0.8543,-0.3565,1 
1.5428,0.2626,1.0589,2.1878,1.1899,1 
