Feature1,Feature2,Feature3,Feature4,Feature5,Class
-0.3747,0.3196,1.2729,3.5751,3.6895,1 
-0.1043,0.0211,2.0632,1.9847,1.3734,1 
-1.3434,0.7353,2.9627,3.1816,0.6603,1 
-1.0775,-1.0255,1.7427,3.8168,2.9129,1 
0.3129,0.322,1.3849,1.7673,1.1571,1 
-0.7975,-1.145,2.156,2.3421,3.1338,1 
-0.4721,-0.5403,2.2917,1.1856,3.678,1 
1.0897,-0.7568,2.2247,3.0356,2.2956,1 
1.3374,0.603,3.1982,4.0814,3.3132,1 
-0.8117,-0.1158,2.1664,1.2792,1.1218,1 
0.0507,-1.274,1.6504,1.8268,1.763,1 
0.1954,0.3695,1.7467,2.1436,-0.2963,1 
-0.361,0.8098,3.2726,1.2315,1.7853,1 
0.2007,-0.4306,0.8785,-0.585,1.1192,1 
-0.3461,-0.4604,2.4648,0.7937,1.5868,1 
0.5398,1.6189,2.8599,1.9476,1.565,1 
0.1564,-0.1582,1.3497,1.8138,1.0709,1 
0.3417,2.3086,1.3581,2.2492,1.7723,1 
0.6665,0.4816,1.8629,2.0531,1.2043,1 
-1.0958,0.9528,2.923,2.3792,1.1617,1 
-0.7466,-1.4937,0.7708,3.0719,2.0855,1 
-1.8917,-0.6397,2.5902,2.0845,2.615,1 
0.7613,1.4723,2.096,2.0432,1.4108,1 
-0.1596,-1.3755,2.209,2.1781,2.5834,1 
-1.3311,0.7846,2.7902,2.4831,2.5261,1 
0.7544,-1.2251,3.2819,2.2585,1.5195,1 
3.1849,-0.0546,1.6485,1.1104,2.143,1 
1.108,-1.0587,1.7696,2.0552,3.6531,1 
-1.5259,-1.9551,2.7636,3.1607,2.0919,1 
0.0837,-0.7414,3.4872,2.0571,2.9061,1 
-0.9561,-1.8264,2.4781,2.1803,-0.0433,1 
-0.168,-0.0965,1.9879,2.5079,1.5095,1 
1.2762,-2.5644,1.4767,1.5484,1.6109,1 
1.6279,-1.3065,1.996,2.8301,2.6046,1 
-0.8794,-0.0618,2.2591,0.8239,0.7111,1 
2.0134,-2.4958,2.1333,0.6149,1.0901,1 
-0.6215,-0.537,2.4915,2.8198,3.4703,1 
-1.7878,-0.018,3.2321,2.6021,2.8792,1 
-0.3133,0.1173,-0.1355,1.369,1.622,1 
-1.2381,-0.3754,1.8338,0.6205,0.3862,1 
0.0205,-0.0143,3.3221,0.8537,1.5116,1 
2.1491,0.106,0.8325,2.2491,2.7527,1 
0.3393,1.1587,3.1263,2.1719,3.1027,1 
2.0011,0.6344,2.0179,1.6098,3.4744,1 
-0.0275,0.0894,3.1056,-1.8991,2.9369,1 
0.8778,0.1742,2.2159,1.6992,1.8294,1 
-0.9189,0.7252,2.0461,2.368,3.9015,1 
-0.4128,1.1144,1.521,0.5994,2.2525,1 
-0.2035,1.7995,2.7996,2.6354,2.0619,1 
0.0756,-1.0175,0.9873,2.0971,1.977,1 
-0.7053,1.7867,3.0471,2.4547,2.1546,1 
-1.9473,-2.1694,1.3627,0.809,1.0523,1 
-1.4628,1.4887,2.5551,2.476,1.1948,1 
0.005,0.9995,2.5458,1.5336,2.6321,1 
-0.7652,0.559,1.8281,0.3745,1.5857,1 
-1.43,0.4993,3.1203,1.4223,2.2464,1 
-1.1179,0.3969,2.9471,2.383,0.7815,1 
-0.3366,-0.5006,3.4233,0.4482,2.6578,1 
0.8601,2.7362,0.639,1.5815,1.9223,1 
1.0859,1.3123,2.5155,-0.0181,1.2925,1 
-0.0679,-0.7773,0.7191,2.6515,2.2321,1 
0.4163,1.3256,2.0236,2.4771,3.2787,1 
-0.1085,-0.0353,1.2113,0.48,1.202,1 
-1.5347,-2.3242,2.0548,3.3464,1.044,1 
0.9811,0.7521,3.0302,4.144,0.7984,1 
1.0548,0.0271,2.7539,1.6721,4.0362,1 
0.5116,0.8436,1.9338,0.9636,1.7305,1 
0.1566,0.9243,1.3081,2.5758,1.4511,1 
1.7292,-0.4553,2.2613,1.8182,1.7055,1 
1.3802,-0.5069,1.4054,1.6465,0.2925,1 
1.2539,-1.4146,4.1066,2.2053,2.9163,1 
0.6739,2.6487,2.5403,2.4796,2.3432,1 
0.4683,-1.088,2.656,2.3066,1.3969,1 
-0.3477,-1.3554,2.8366,1.5052,1.1901,1 
-0.151,0.4441,3.1142,0.4509,1.2235,1 
1.8651,-0.1432,1.9783,0.9962,1.4166,1 
0.8936,0.9646,1.1029,2.4332,3.1164,1 
1.0644,-0.7935,1.1518,1.9034,0.5542,1 
-1.3933,0.1432,3.102,1.0596,2.6778,1 
0.1167,0.2723,3.0694,0.4096,2.0639,1 
1.7414,0.741,0.1829,0.9101,0.3424,1 
1.5218,-1.1804,2.5929,2.1725,1.0507,1 
-0.3555,-0.9691,1.8925,2.6078,2.1317,1 
-0.2984,2.7916,1.941,2.1117,2.008,1 
-0.2795,0.0409,2.5627,1.1932,2.3776,1 
0.6657,-1.1751,1.8585,1.9488,2.0121,1 
0.4936,-0.3205,3.6536,3.0814,1.9162,1 
0.239,1.1983,1.9488,1.5113,0.9628,1 
