Feature1,Feature2,Feature3,Feature4,Feature5,Class
* 
0.2613,-0.0376,1.5501,2.2389,1.6787,1 
0.3357,-0.6346,0.9416,0.8098,0.8976,1 
0.9462,1.0316,2.3914,1.2258,1.8704,1 
0.7414,1.3166,-0.3816,0.5646,1.9353,1 
1.4974,1.351,1.2734,-0.3562,2.9716,1 
1.0488,-0.2655,1.6324,1.3442,2.5329,1 
-1.1501,0.7034,0.9705,3.4485,2.6146,1 
-1.4185,3.0058,2.8807,1.0831,2.3847,1 
-0.2118,1.0836,2.4443,3.3075,1.8254,1 
2.2786,0.8886,1.5698,3.2755,2.3229,1 
0.5996,0.9111,2.9388,2.0046,1.9765,1 
1.9465,-0.3206,2.0721,3.4327,2.0419,1 
-1.9798,-0.6519,1.9845,2.2607,2.8746,1 
0.7095,1.4812,1.8071,0.3481,3.066,1 
-0.9902,-0.1846,-0.4769,2.0919,1.8875,1 
-1.3905,-0.9865,0.5102,3.2747,1.9396,1 
1.1274,-0.2367,3.1657,1.8298,1.0942,1 
-1.1212,0.2228,1.7428,3.8862,2.5045,1 
-0.6427,0.3076,1.4617,1.3036,1.8886,1 
0.5707,-0.3005,1.4987,0.5935,0.153,1 
-0.9487,-0.0368,1.3222,2.4974,0.7169,1 
-0.5582,-1.786,-0.223,0.1135,1.8764,1 
0.6667,1.2298,1.8269,2.6641,1.8612,1 
0.6642,0.8294,1.5657,0.8118,1.1303,1 
-1.8346,1.1998,0.7946,2.2907,2.9885,1 
-1.1854,-0.0183,1.7472,0.6557,0.556,1 
-1.365,0.9058,1.3872,4.675,1.7809,1 
-0.3691,0.9125,2.5386,1.772,1.3795,1 
-0.504,1.3325,2.7178,2.3131,1.9149,1 
-0.4036,-0.4193,1.6468,1.2307,0.8053,1 
0.3969,0.9813,1.2903,3.485,0.529,1 
0.293,-0.4539,2.9968,1.1279,1.0482,1 
-1.3253,0.4851,2.0718,0.569,1.5043,1 
1.6602,-0.2035,2.3549,2.4084,2.9583,1 
0.3129,0.0554,1.4008,0.9343,2.179,1 
0.1817,-0.4663,3.3062,-0.3301,1.7222,1 
-0.1949,-1.0836,2.3197,2.2168,2.861,1 
1.0713,1.3449,2.6758,2.9511,1.3066,1 
0.14,1.0665,3.0106,2.6319,1.8342,1 
-0.4599,-1.1548,3.0375,1.0721,1.9026,1 
-0.2805,0.4465,1.7399,1.0389,3.1165,1 
0.6907,-0.6307,1.3324,0.7986,3.0863,1 
0.5812,0.8734,1.196,2.6007,3.8173,1 
0.0654,-0.4923,-0.0167,2.3565,0.757,1 
1.7281,-0.5427,3.3897,3.5088,2.7258,1 
0.0159,0.8278,2.8646,1.922,0.7244,1 
0.0889,0.6718,4.7439,3.0532,2.4091,1 
-0.8166,0.9446,1.919,0.713,3.2148,1 
-0.1373,-0.7217,0.9613,1.9015,1.2599,1 
-0.3208,0.8001,2.7559,2.0477,2.8621,1 
-0.3462,-1.4878,3.0089,1.8757,3.4918,1 
2.3505,-0.1822,1.9172,-0.4151,2.3814,1 
-0.5755,-2.1564,1.2992,3.0769,3.0885,1 
0.112,-0.74,-0.7229,2.6496,2.9937,1 
-1.1856,0.479,1.6408,2.1485,2.6674,1 
0.1721,0.8403,1.224,0.6254,0.7027,1 
1.1553,-0.2633,2.444,3.5417,2.9573,1 
-1.057,-0.8447,2.0904,3.6459,0.8691,1 
-0.6943,1.2738,0.8034,2.4527,3.0181,1 
-0.7446,-1.4943,2.5822,1.988,0.6593,1 
0.2538,0.3607,3.2067,1.6749,0.6986,1 
1.2083,-0.934,1.7343,2.3321,1.8622,1 
-0.0767,1.5415,1.8671,1.7709,0.8827,1 
-1.4424,-0.5383,2.0755,2.1408,1.8403,1 
-0.5661,1.6413,-0.2214,2.872,1.9295,1 
-0.8691,1.6384,2.5026,2.7762,1.8764,1 
0.8616,-0.433,3.3718,1.7036,0.8748,1 
-0.2791,0.2947,1.3545,3.3081,1.284,1 
0.4598,0.8579,2.9036,1.8941,1.5088,1 
0.7718,-0.5376,1.6064,1.2948,2.11,1 
-0.1741,-1.3776,3.3879,3.5114,0.8031,1 
-1.6103,0.0552,1.7969,2.7116,2.8749,1 
-0.3605,0.8752,3.0097,3.0635,2.9898,1 
-1.4511,0.938,2.7663,2.6036,3.4426,1 
-0.5357,0.2946,-0.6133,0.9363,2.0445,1 
-0.2923,-0.0854,1.6167,1.3864,1.6595,1 
-0.2882,0.0408,2.7113,1.5038,0.4625,1 
-0.5197,0.2763,0.9389,1.8944,1.4441,1 
-1.2144,0.719,1.1853,0.4674,1.1035,1 
1.2027,0.2123,2.295,1.3253,1.9118,1 
1.5876,-1.2205,-0.2005,0.885,2.7839,1 
0.7966,1.4056,3.3992,2.2777,2.4545,1 
0.4269,-1.093,2.3661,2.8997,1.9342,1 
0.5036,0.2903,2.2365,3.4943,1.8787,1 
-0.023,-0.3825,2.2701,1.0652,2.7898,1 
0.6094,0.478,0.664,0.3147,2.7482,1 
0.8461,0.3797,1.9369,1.0923,2.0107,1 
0.4735,2.6356,1.7954,2.1573,2.2562,1 
1.5179,-0.1193,2.7981,-0.1831,0.6885,1 
0.2359,1.1248,2.5263,1.3832,2.4512,1 
-0.0303,0.4056,0.9977,3.8374,1.5707,1 
1.189,-2.0703,1.6864,1.3738,1.6423,1 
-0.4126,-0.2292,1.0648,2.8471,1.8633,1 
-1.4878,-0.3263,1.8009,1.9716,1.8925,1 
-0.3109,0.6367,2.046,3.9081,3.8573,1 
1.2874,0.842,3.1038,3.3072,1.5016,1 
1.3919,-0.7725,2.9966,2.0986,2.1034,1 
0.6782,0.5142,1.5254,1.9035,2.8484,1 
1.2895,-0.6568,1.081,2.2378,1.682,1 
-0.1838,0.467,3.9547,2.2193,3.3102,1 
0.7757,-0.4737,2.6363,1.9386,1.7193,1 
-0.199,1.854,0.5611,1.9472,1.5252,1 
0.8953,1.7983,2.5462,2.396,3.9821,1 
-1.343,2.1964,0.6446,1.8952,1.5068,1 
0.6263,-1.8693,2.0562,2.8121,1.6288,1 
2.3781,-0.8856,3.8192,2.6419,1.4138,1 
1.4469,0.474,1.387,1.3956,3.5345,1 
0.613,0.0743,0.4108,2.2756,0.7059,1 
1.5758,-0.2514,3.011,3.0178,0.7064,1 
0.4337,0.0347,4.3001,2.5522,1.6214,1 
1.9599,0.1253,2.2441,2.8342,3.9581,1 
0.8863,-0.1855,1.8443,3.1473,2.0497,1 
0.7628,-0.9073,1.4312,1.1174,2.4891,1 
0.1383,-0.4533,2.1264,2.0992,1.8801,1 
0.2113,0.7191,2.719,3.5959,1.2903,1 
-1.0278,-0.0467,3.3046,3.6221,0.661,1 
-0.4692,1.324,3.504,2.7782,1.3178,1 
0.9102,-0.1005,2.1746,2.7323,0.5961,1 
2.6932,0.2616,2.1303,1.3791,1.8358,1 
0.5686,0.2548,1.6291,2.6592,-0.5649,1 
-0.546,0.5803,2.8472,2.4979,1.9583,1 
-2.3561,-0.0061,1.7861,1.9598,2.2933,1 
0.8666,0.5688,1.0164,1.3422,1.283,1 
-0.9437,0.1816,3.5753,2.0951,1.4775,1 
-0.4562,-1.4736,3.1536,3.2456,1.7983,1 
-0.9384,-0.0159,1.9863,4.0042,0.3419,1 
1.251,0.0001,3.1257,3.1809,1.79,1 
0.1965,-1.0308,1.4192,1.4891,2.1918,1 
0.2448,0.4799,3.7167,1.0488,1.5471,1 
-0.1669,0.7495,2.3195,3.3644,1.0031,1 
-1.5574,0.3027,3.0952,0.283,1.4987,1 
0.6528,0.4358,0.4883,2.3042,2.8528,1 
0.2422,0.166,3.6594,1.6459,2.2244,1 
-0.4151,-1.9913,1.8893,2.3158,1.5257,1 
